CYCLES;0x13;0x14;0x15;0x16;0x17;0x18
624982;53268;372281;15;162;83;19 
623020;53270;372485;14;125;71;31 
625887;53259;372052;18;158;74;23 
625006;53259;371985;12;121;74;22 
627231;53258;371886;17;161;76;22 
624429;53267;372251;14;126;76;17 
623842;53272;372634;14;152;80;18 
624741;53258;371945;15;128;83;19 
623213;53263;372007;13;139;81;20 
623763;53268;372272;19;158;84;24 
627177;53266;372374;15;153;76;22 
624998;53259;372208;15;140;72;13 
625434;53266;372152;17;141;73;17 
624330;53265;372718;15;179;84;25 
626784;53266;372581;16;150;74;21 
625412;53267;372387;13;127;80;18 
622856;53275;372723;14;144;66;18 
626857;53263;372375;16;146;81;21 
626452;53269;372234;14;145;76;20 
623806;53265;372510;13;130;85;24 
625516;53272;372759;23;225;71;25 
625305;53264;372557;14;127;84;28 
623590;53262;372373;16;162;68;19 
626542;53267;372545;14;119;76;23 
627236;53268;372445;17;157;73;16 
623047;53271;372528;14;124;82;19 
623809;53270;372847;16;158;78;29 
623604;53269;372200;12;122;85;17 
623007;53264;372482;14;152;72;32 
625737;53270;372583;14;129;85;21 
625896;53267;372565;15;162;80;20 
623180;53262;372218;13;140;82;25 
625314;53276;373002;16;156;72;16 
622966;53263;372036;13;129;83;26 
626001;53270;372778;17;161;74;21 
625368;53268;372350;14;126;83;27 
626974;53266;372405;16;175;75;14 
625567;53263;371939;12;121;81;23 
623376;53258;371814;15;160;85;23 
623788;53267;372230;13;129;73;24 
628785;53277;372332;22;206;81;29 
626486;53275;372440;13;126;76;25 
624407;53265;372269;16;146;81;17 
623968;53276;373143;15;143;72;15 
627268;53272;372398;14;151;87;21 
623808;53270;372827;14;150;74;21 
625125;53271;372319;16;134;79;20 
623665;53265;372414;14;146;72;15 
624874;53263;371816;15;146;73;18 
626324;53266;372026;18;184;83;24 
625384;53264;372173;13;124;77;14 
626368;53267;372429;16;160;83;23 
623923;53260;371846;19;155;78;20 
623191;53263;372460;14;149;71;23 
623040;53267;372521;13;122;81;21 
626177;53264;372154;17;166;76;23 
626000;53269;372611;13;122;79;14 
626160;53267;372420;15;154;75;26 
624064;53275;372702;14;124;84;24 
626241;53267;372838;16;157;71;24 
625866;53264;372169;13;124;85;16 
625841;53270;372685;13;153;69;14 
623919;53267;372383;16;144;82;22 
626493;53274;372895;18;150;70;26 
622396;53265;371884;14;128;74;21 
623382;53267;372857;17;153;74;14 
623570;53258;372082;14;126;80;31 
626827;53265;372472;15;164;72;18 
623172;53264;372249;13;125;81;21 
626422;53276;372950;15;149;83;25 
625969;53261;372075;14;127;72;15 
627094;53267;372436;34;269;80;26 
624485;53259;371853;15;127;77;20 
626783;53266;372446;18;154;79;21 
623230;53276;372532;12;127;81;20 
623795;53262;372529;16;156;80;25 
623203;53259;371995;13;126;79;22 
623517;53262;372573;16;155;84;20 
625681;53271;372814;12;127;69;13 
626997;53269;372329;14;160;80;24 
626856;53265;372246;14;130;83;23 
623959;53275;372867;16;165;76;19 
623386;53271;372412;16;177;81;18 
626541;53268;372654;15;142;77;26 
623096;53264;372359;14;145;76;23 
627129;53265;372695;16;169;76;19 
626222;53263;372425;12;118;73;23 
625135;53271;372986;16;166;80;18 
623370;53266;372258;14;127;79;27 
623481;53266;372306;16;172;81;11 
626678;53267;372278;13;126;75;10 
623827;53260;372045;19;184;87;26 
625922;53263;371820;16;129;79;21 
622867;53260;372536;15;156;72;17 
625353;53266;372143;16;130;74;21 
624155;53265;372786;22;184;78;21 
623587;53267;372416;14;128;78;27 
624691;53267;372330;15;164;73;19 
627170;53272;372506;12;123;75;17 
626696;53263;372171;17;172;82;19 
625786;53261;372497;14;125;80;31 
623295;53261;372521;16;171;77;23 
625690;53283;372855;20;195;77;21 
626260;53270;372472;14;171;76;28 
625835;53272;372893;14;124;77;20 
624923;53261;372088;15;172;72;28 
623521;53269;372172;12;118;78;29 
623782;53268;372798;17;174;78;15 
625396;53265;372432;13;124;73;15 
623677;53266;372307;17;182;80;19 
625104;53270;372698;13;131;76;18 
626977;53264;372278;14;146;78;19 
626788;53266;372580;15;137;75;17 
624016;53276;372720;19;171;81;27 
625646;53270;372554;17;142;68;25 
627399;53266;372505;21;179;75;18 
623681;53263;372516;16;146;71;23 
622537;53261;371899;17;172;75;13 
625403;53269;372651;14;125;76;17 
627403;53267;372849;17;178;75;22 
622926;53265;372005;14;144;81;18 
626621;53261;372320;16;174;68;31 
626052;53275;372497;16;188;80;21 
625984;53267;372719;18;181;73;16 
625183;53272;372933;14;133;81;17 
626282;53267;373005;15;147;67;17 
622832;53266;372087;13;124;75;22 
623294;53268;372620;17;179;78;13 
623148;53267;372254;13;126;74;24 
623430;53262;372260;16;141;79;22 
625789;53267;372117;12;144;77;21 
626529;53264;372152;16;146;79;20 
625371;53267;372441;16;147;79;33 
624973;53282;373214;18;159;70;19 
625494;53272;372464;14;146;80;12 
623012;53269;372356;13;144;70;20 
625661;53264;372358;15;149;77;20 
622347;53264;372066;14;150;69;19 
623588;53274;372766;16;155;82;17 
626412;53265;372395;17;151;74;11 
623883;53264;372458;15;167;86;17 
624493;53267;372152;14;126;76;18 
623909;53266;372719;22;215;83;23 
624827;53266;371968;14;128;77;21 
623945;53267;372381;14;144;78;25 
622762;53261;372225;13;122;77;24 
626832;53270;372867;15;148;76;30 
624895;53266;371951;13;123;81;27 
622045;53261;371929;16;157;67;14 
