CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
626315;417;0;313158;0;322;95 
626214;396;0;313106;0;288;108 
625149;324;0;312574;0;264;60 
622724;360;0;311361;0;296;64 
625867;344;0;312932;0;288;56 
623891;424;0;311946;0;336;88 
624505;380;0;312252;0;272;108 
625897;340;0;312949;0;268;72 
625334;352;0;312667;0;284;68 
624606;396;0;312303;0;324;72 
624496;368;0;312248;0;276;92 
624688;394;0;312344;0;294;100 
625292;400;0;312646;0;276;124 
625406;304;0;312702;0;248;56 
625091;348;0;312545;0;272;76 
622006;296;0;311003;0;256;40 
624513;356;0;312256;0;272;84 
625416;324;0;312707;0;252;72 
626012;355;0;313006;0;259;96 
623649;376;0;311825;0;284;92 
626960;420;0;313480;0;332;88 
623652;344;0;311826;0;292;52 
624200;410;0;312100;0;320;90 
625087;352;0;312544;0;276;76 
625361;360;0;312680;0;288;72 
624046;384;0;312023;0;292;92 
625447;396;0;312723;0;300;96 
622365;372;0;311183;0;292;80 
626927;408;0;313464;0;276;132 
623218;368;0;311609;0;300;68 
622111;316;0;311055;0;244;72 
623145;382;0;311572;0;302;80 
626397;364;0;313198;0;256;108 
622372;364;0;311186;0;276;88 
626363;356;0;313181;0;256;100 
622913;364;0;311456;0;272;92 
623086;368;0;311543;0;276;92 
621546;344;0;310773;0;256;88 
626792;360;0;313396;0;304;56 
626318;336;0;313159;0;252;84 
626867;424;0;313433;0;316;108 
621833;380;0;310917;0;268;112 
625120;396;0;312560;0;284;112 
622602;336;0;311301;0;264;72 
625468;368;0;312733;0;276;92 
624139;344;0;312070;0;264;80 
625572;388;0;312786;0;296;92 
622373;324;0;311186;0;252;72 
623971;352;0;311985;0;268;84 
624229;388;0;312115;0;280;108 
623474;320;0;311737;0;256;64 
623001;420;0;311499;0;308;112 
623427;404;0;311713;0;300;104 
622366;368;0;311183;0;284;84 
626994;336;0;313497;0;248;88 
624701;328;0;312350;0;252;76 
623895;324;0;311947;0;268;56 
623066;332;0;311533;0;252;80 
625724;340;0;312862;0;276;64 
621265;276;0;310632;0;228;48 
626076;428;0;313038;0;328;100 
622768;376;0;311384;0;280;96 
627755;379;0;313877;0;283;96 
623691;348;0;311846;0;272;76 
627494;364;0;313746;0;296;68 
623914;288;0;311957;0;224;64 
623649;380;0;311824;0;264;116 
622500;348;0;311249;0;272;76 
627157;348;0;313578;0;260;88 
624306;336;0;312153;0;260;76 
623358;340;0;311679;0;264;76 
623262;396;0;311630;0;312;84 
626119;384;0;313059;0;288;96 
624453;324;0;312227;0;252;72 
623534;408;0;311766;0;308;100 
622655;392;0;311327;0;280;112 
625631;344;0;312815;0;280;64 
623522;400;0;311761;0;296;104 
627053;348;0;313526;0;280;68 
622487;368;0;311243;0;268;100 
626514;424;0;313257;0;332;92 
623104;420;0;311552;0;320;100 
625923;352;0;312962;0;256;96 
624988;324;0;312494;0;256;68 
622784;360;0;311392;0;276;84 
623722;388;0;311861;0;308;80 
624752;328;0;312376;0;260;68 
625435;356;0;312717;0;284;72 
624249;348;0;312124;0;260;88 
623267;340;0;311633;0;284;56 
624984;340;0;312492;0;292;48 
626901;400;0;313450;0;320;80 
623362;320;0;311681;0;240;80 
622374;352;0;311187;0;276;76 
623095;360;0;311547;0;288;72 
624270;340;0;312135;0;268;72 
624390;344;0;312195;0;256;88 
625226;387;0;312613;0;295;92 
626078;304;0;313039;0;244;60 
623583;396;0;311791;0;304;92 
621837;340;0;310919;0;256;84 
625476;340;0;312737;0;276;64 
623734;448;0;311867;0;324;124 
625973;352;0;312986;0;276;76 
622344;344;0;311172;0;252;92 
626911;376;0;313454;0;296;80 
623809;328;0;311905;0;248;80 
626924;324;0;313462;0;272;52 
625086;332;0;312543;0;260;72 
625792;360;0;312896;0;292;68 
624767;344;0;312384;0;264;80 
624887;424;0;312443;0;328;96 
624057;336;0;312028;0;248;88 
624451;426;0;312226;0;318;108 
624556;328;0;312277;0;248;80 
622518;336;0;311259;0;264;72 
623002;339;0;311501;0;259;80 
625966;392;0;312983;0;300;92 
622795;360;0;311397;0;280;80 
622976;368;0;311488;0;280;88 
622207;339;0;311103;0;275;64 
625488;348;0;312744;0;288;60 
623034;380;0;311517;0;292;88 
624795;343;0;312397;0;267;76 
625686;364;0;312842;0;280;84 
624143;352;0;312071;0;292;60 
625385;344;0;312692;0;252;92 
624079;332;0;312040;0;288;44 
626726;364;0;313363;0;280;84 
622649;340;0;311325;0;268;72 
625557;336;0;312778;0;260;76 
625076;404;0;312538;0;312;92 
623698;384;0;311849;0;304;80 
623510;426;0;311755;0;330;96 
626016;352;0;313008;0;292;60 
622041;328;0;311021;0;260;68 
626407;359;0;313203;0;299;60 
624250;316;0;312125;0;252;64 
624823;332;0;312411;0;252;80 
621187;296;0;310593;0;228;68 
623476;420;0;311737;0;308;112 
624746;352;0;312373;0;284;68 
624544;444;0;312272;0;336;108 
626129;324;0;313064;0;268;56 
626771;380;0;313385;0;272;108 
625447;348;0;312724;0;288;60 
627440;400;0;313719;0;288;112 
623930;319;0;311965;0;260;59 
624493;388;0;312247;0;280;108 
623620;356;0;311810;0;288;68 
624656;348;0;312328;0;256;92 
626623;384;0;313312;0;324;60 
625945;360;0;312971;0;268;92 
624982;392;0;312491;0;320;72 
623220;380;0;311610;0;276;104 
627151;370;0;313575;0;270;100 
624440;324;0;312219;0;264;60 
625447;376;0;312724;0;300;76 
626828;324;0;313414;0;260;64 
621972;336;0;310986;0;268;68 
622245;316;0;311123;0;264;52 
628131;380;0;314065;0;312;68 
625752;375;0;312876;0;275;100 
625890;440;0;312945;0;320;120 
623374;351;0;311687;0;255;96 
623650;364;0;311825;0;308;56 
