CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
625905;1;0;0;113;0;0 
625699;1;2;0;159;0;0 
623548;1;0;0;107;0;0 
625278;1;2;0;138;0;0 
623797;1;0;0;111;0;0 
624242;1;2;0;130;0;0 
624332;1;0;0;117;0;0 
626604;1;2;0;146;0;0 
624511;1;0;0;110;0;0 
624010;1;2;0;130;0;0 
622477;1;0;0;111;0;0 
625971;1;2;0;135;0;0 
625639;1;1;0;134;0;0 
623429;1;2;0;138;0;0 
623028;1;0;0;109;0;0 
623550;1;2;0;136;0;0 
623056;1;0;0;107;0;0 
623895;1;2;0;137;0;0 
623017;1;0;0;116;0;0 
623662;1;3;0;144;0;0 
624126;1;2;0;203;0;0 
623835;1;2;0;138;0;0 
626377;1;0;0;107;0;0 
623828;1;2;0;143;0;0 
624517;1;0;0;111;0;0 
623845;1;2;0;134;0;0 
624741;1;0;0;112;0;0 
625945;1;2;0;161;0;0 
625729;1;0;0;109;0;0 
625329;1;2;0;131;0;0 
625238;1;0;0;112;0;0 
625288;1;3;0;189;0;0 
626096;1;0;0;113;0;0 
626194;1;2;0;149;0;0 
625668;1;0;0;109;0;0 
627260;1;2;0;141;0;0 
626375;1;0;0;111;0;0 
623679;1;2;0;144;0;0 
622791;1;0;0;107;0;0 
623161;1;2;0;141;0;0 
625505;1;1;0;203;0;0 
626791;1;2;0;144;0;0 
622168;1;0;0;115;0;0 
626811;1;2;0;157;0;0 
625410;1;0;0;109;0;0 
623433;1;1;0;130;0;0 
625749;1;0;0;114;0;0 
627440;1;1;0;134;0;0 
623921;1;1;0;126;0;0 
627180;1;0;0;118;0;0 
627260;1;1;0;128;0;0 
627598;1;2;0;174;0;0 
626117;1;2;0;141;0;0 
623346;1;1;0;134;0;0 
628171;1;2;0;138;0;0 
624739;1;1;0;131;0;3 
626362;1;2;0;146;0;0 
625421;1;1;0;134;0;0 
624342;1;3;0;147;0;0 
625004;1;0;0;112;0;0 
628038;1;2;0;144;0;0 
625077;1;1;0;134;0;0 
623757;1;1;0;125;0;0 
622906;1;0;0;111;0;0 
622834;1;2;0;139;0;0 
625775;1;0;0;119;0;0 
623442;1;2;0;152;0;3 
625965;1;0;0;110;0;0 
625115;1;2;0;137;0;0 
626017;1;0;0;112;0;0 
626936;1;2;0;137;0;0 
626752;1;1;0;203;0;0 
626142;1;2;0;135;0;0 
624146;1;0;0;114;0;0 
628151;1;2;0;138;0;0 
624847;1;0;0;113;0;0 
624220;1;2;0;141;0;0 
625631;1;0;0;113;0;0 
627259;1;2;0;157;0;0 
