CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
627058;0;11962;8238;45;0;11184 
625592;0;12470;7797;30;0;11194 
624036;0;11923;6266;31;0;11211 
628675;0;11863;11147;33;0;11206 
625022;0;11796;7379;32;0;11207 
626395;0;11849;8609;33;0;11211 
625128;0;11740;8220;32;0;11136 
627448;0;11837;10228;31;0;11155 
626835;0;11858;9044;32;0;11136 
623974;0;11848;6612;22;0;11172 
623594;0;11917;5838;32;0;11210 
627482;0;12113;9300;58;0;11180 
624822;0;11832;7575;43;0;11172 
626840;0;12511;8774;32;0;11202 
624194;0;11919;6562;41;0;11182 
627039;0;11876;9756;29;0;11208 
626369;0;12074;8356;41;0;11211 
624385;0;11749;7128;34;0;11164 
623820;0;11855;6150;41;0;11208 
625591;0;11852;6845;16;0;11186 
626105;0;11858;8962;46;0;11156 
625906;0;11778;8683;21;0;11176 
625398;0;11835;8283;42;0;11129 
623533;0;11842;6067;22;0;11210 
626274;0;11965;8489;42;0;11154 
625388;0;11652;8164;16;0;11119 
626732;0;11836;9343;39;0;11172 
625572;0;11787;8287;18;0;11198 
623995;0;11805;6383;37;0;11186 
625550;0;11708;8771;17;0;11142 
624405;0;12074;6884;42;0;11148 
625858;0;11907;8371;54;0;11171 
624995;0;12603;6946;32;0;11153 
625776;0;11989;6935;33;0;11201 
626338;0;11899;7870;28;0;11176 
626968;0;11998;8921;31;0;11199 
625512;0;11800;8418;38;0;11187 
627131;0;12043;9295;33;0;11225 
626147;0;11903;8756;31;0;11211 
624150;0;11855;6619;33;0;11205 
625931;0;11914;8423;17;0;11179 
626061;0;11964;8296;40;0;11221 
626707;0;11964;8477;50;0;11172 
627626;0;12011;9137;38;0;11209 
626655;0;12070;8832;32;0;11164 
624841;0;12712;6900;36;0;11171 
626507;0;11951;8565;23;0;11194 
626277;0;11825;8845;41;0;11135 
626349;0;11909;9190;17;0;11174 
624255;0;11887;6395;42;0;11192 
623994;0;11798;6371;18;0;11175 
625620;0;11964;8106;41;0;11163 
623133;0;11773;6078;17;0;11142 
623862;0;11936;6330;17;0;11179 
625039;0;11827;7627;32;0;11162 
625884;0;11901;8629;53;0;11160 
623485;0;11953;5915;33;0;11201 
624710;0;11811;7520;39;0;11155 
628458;0;11896;9630;41;0;11215 
626055;0;11874;8728;22;0;11149 
628728;0;12911;7625;42;0;11176 
625579;0;11775;8452;22;0;11219 
624381;0;11983;6358;41;0;11213 
625489;0;11756;7228;17;0;11192 
