CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
622975;40926;7239;623911;0;2;0 
624822;40933;7238;623899;0;3;0 
624353;40926;7238;623912;0;1;0 
623456;40930;7238;623896;0;3;0 
624462;40925;7238;623881;0;1;0 
628196;40933;7238;623933;0;3;0 
625140;40928;7238;623897;0;3;0 
622640;40930;7238;623905;0;2;0 
625147;40927;7238;623921;0;2;0 
624567;40935;7238;623915;0;2;0 
626634;40927;7238;623901;0;3;0 
622211;40947;7238;623918;0;1;0 
626511;40928;7238;623915;0;3;0 
624566;40929;7238;623893;0;1;0 
623460;40928;7238;623886;0;3;0 
624043;40926;7238;623902;0;1;0 
627878;40928;7238;623905;0;3;0 
623417;40929;7238;623897;0;1;0 
622709;40931;7238;623928;0;2;0 
623103;40934;7238;623919;0;1;0 
626712;40937;7238;623948;0;5;0 
624651;40930;7238;623916;0;1;0 
626890;40932;7238;623900;0;3;0 
623692;40941;7238;623909;0;2;0 
623177;40930;7238;623924;0;3;0 
625894;40925;7238;623904;0;1;0 
625566;40931;7238;623922;0;3;0 
622658;40926;7238;623888;0;2;0 
626388;40928;7238;623887;0;3;0 
623704;40932;7239;623943;0;3;0 
624097;40930;7238;623929;0;3;0 
623315;40938;7238;623925;0;1;0 
626568;40926;7238;623912;0;3;0 
624407;40928;7238;623910;0;1;0 
624669;40930;7238;623896;0;3;0 
625116;40931;7238;623912;0;1;0 
623408;40919;7238;623880;0;2;0 
623149;40927;7238;623936;0;2;0 
628093;40930;7238;623929;0;2;0 
623437;40932;7238;623922;0;1;0 
623098;40948;7238;623936;0;5;0 
622940;40929;7238;623925;0;3;0 
627723;40930;7238;623917;0;2;0 
624526;40928;7238;623912;0;3;0 
625094;40929;7238;623928;0;2;0 
622675;40935;7238;623913;0;3;0 
622353;40930;7238;623897;0;2;0 
625808;40944;7238;623945;0;3;0 
627017;40930;7238;623876;0;2;0 
623853;40932;7238;623919;0;3;0 
624946;40932;7238;623912;0;1;0 
625886;40933;7239;623923;0;4;0 
624725;40929;7238;623890;0;1;0 
624320;40928;7239;623902;0;3;0 
624782;40927;7238;623916;0;1;0 
624269;40927;7238;623871;0;3;0 
626391;40928;7238;623927;0;1;0 
624807;40925;7238;623889;0;3;0 
626405;40928;7238;623906;0;1;0 
624566;40934;7238;623933;0;3;0 
628746;40929;7238;623918;0;4;0 
623698;40935;7238;623905;0;3;0 
625051;40925;7238;623922;0;2;0 
623968;40931;7238;623930;0;3;0 
622580;40925;7238;623880;0;1;0 
622839;40925;7238;623911;0;3;0 
625481;40934;7238;623895;0;1;0 
626252;40929;7238;623922;0;3;0 
625029;40927;7238;623887;0;1;0 
624361;40932;7238;623901;0;3;0 
622277;40926;7238;623890;0;1;0 
626616;40932;7238;623926;0;5;0 
622580;40928;7238;623911;0;1;0 
624077;40937;7238;623955;0;3;0 
625509;40931;7238;623917;0;1;0 
622716;40926;7238;623941;0;3;0 
625216;40926;7238;623886;0;1;0 
624685;40931;7238;623918;0;3;0 
625999;40932;7238;623907;0;2;0 
625377;40929;7238;623920;0;3;0 
625723;40924;7239;623874;0;3;0 
623417;40927;7238;623909;0;3;0 
625250;40934;7238;623914;0;1;0 
623072;40927;7238;623911;0;3;0 
624923;40930;7238;623910;0;1;0 
625814;40925;7238;623898;0;3;0 
622927;40938;7238;623964;0;2;0 
624360;40930;7239;623919;0;3;0 
624141;40925;7238;623878;0;1;0 
625472;40930;7238;623903;0;2;0 
627817;40928;7238;623930;0;3;0 
626355;40941;7239;623931;0;3;0 
623126;40935;7238;623957;0;4;0 
626171;40930;7238;623887;0;1;0 
626436;40930;7238;623926;0;2;0 
