CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
625872;2677;202640;3161;3;11971;7996 
623678;2673;202832;2862;7;11911;6253 
622776;2672;202648;2760;2;11944;5630 
624577;2671;202794;3286;7;11892;6539 
623815;2680;202676;3809;2;11820;5656 
624812;2675;202652;4671;2;11761;8075 
624516;2667;203164;2326;4;11865;7401 
625726;2674;202652;3883;2;11902;7393 
622875;2674;202640;2732;4;11819;5825 
625601;2674;202668;3755;0;11827;7521 
622164;2669;202649;2891;4;11741;5208 
626393;2675;202674;2694;0;12204;8557 
623818;2669;202668;3580;4;11834;6163 
625170;2677;202641;2738;0;11930;7871 
623829;2671;202615;3218;7;11982;6156 
624451;2674;202666;2914;0;11969;6779 
622981;2676;202967;2590;4;11844;5840 
626373;2673;202685;5321;0;11938;6513 
627107;2665;202679;3783;7;11924;8883 
622120;2672;202667;2453;0;11789;5352 
625922;2674;202770;4489;10;11996;6911 
626333;2667;202668;4285;0;11755;7939 
623947;2673;202662;3598;4;11806;5992 
625877;2675;202676;3846;0;11779;7881 
626845;2664;202842;3118;7;12817;8345 
622426;2679;202654;2586;0;11830;5438 
626617;2670;202791;4818;4;11814;7435 
626110;2677;202662;2720;5;11952;8779 
623647;2670;203130;2367;6;12078;5930 
626588;2670;202652;3948;3;12097;7737 
626542;2678;203171;3469;4;12013;7890 
622106;2670;202669;2827;0;11763;5130 
624176;2675;202660;2945;4;12700;6123 
624592;2675;202679;3405;2;12004;7381 
626341;2669;203162;4071;6;11801;7686 
624054;2676;202627;3215;0;11915;6670 
623777;2672;203240;2324;2;12889;5409 
623107;2670;202767;2849;2;11794;5963 
625642;2674;203175;2428;5;11933;8308 
625730;2675;202734;3795;5;11948;7460 
624159;2673;203201;2381;4;11925;6778 
622267;2672;202684;2340;4;11893;5272 
625727;2677;202644;2941;2;12075;7924 
623202;2668;202693;3030;2;11812;5825 
625722;2677;203205;3826;2;11938;7281 
623577;2669;202629;2932;4;11936;6043 
625256;2670;203208;2169;2;11803;8373 
626385;2672;202752;4109;4;12733;6929 
622452;2671;203211;2494;2;11834;5185 
625272;2673;202620;3084;4;11823;7938 
624301;2674;202644;3067;0;11849;6851 
626017;2668;202683;3003;4;12003;8691 
624933;2673;202675;3008;0;11769;7818 
622975;2677;202690;2721;2;12034;5384 
623568;2677;202665;3259;0;12357;5398 
627284;2671;202989;3922;4;12685;8019 
622122;2672;202680;2399;0;11748;5541 
626903;2669;202950;3950;4;11807;8404 
626158;2678;202673;3239;0;11919;8555 
626224;2664;202827;3671;4;11858;7972 
625492;2677;202651;4953;3;11862;6335 
623877;2670;202827;4193;10;12020;5383 
625110;2675;202670;2717;0;11807;8058 
622964;2676;202643;3582;4;11978;4921 
623224;2679;202673;3100;0;12029;5610 
623933;2668;203010;3231;6;11961;6108 
625216;2677;202664;3131;0;11719;8158 
622449;2675;202991;2519;6;11907;4858 
621811;2673;202655;2536;0;11652;5320 
623429;2680;203172;2461;4;12064;5525 
