CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
626646;40933;7239;623927;0;4;0 
624149;40938;7238;623921;0;3;0 
625340;40931;7238;623924;0;3;0 
624026;40930;7238;623951;0;3;0 
623107;40922;7238;623890;0;1;0 
622975;40929;7238;623910;0;3;0 
624738;40927;7238;623898;0;1;0 
621871;40922;7238;623879;0;3;0 
625610;40931;7238;623928;0;2;0 
626540;40927;7238;623898;0;3;0 
622944;40929;7238;623912;0;1;0 
625825;40932;7239;623928;0;4;0 
625219;40925;7238;623920;0;2;0 
625404;40926;7238;623883;0;2;0 
624904;40931;7238;623924;0;1;0 
627776;40936;7238;623944;0;3;0 
622880;40929;7238;623921;0;1;0 
622923;40925;7238;623897;0;3;0 
622790;40934;7238;623932;0;1;0 
626531;40928;7238;623910;0;3;0 
622420;40933;7238;623910;0;1;0 
623551;40929;7238;623891;0;3;0 
627936;40930;7238;623925;0;4;0 
626404;40922;7238;623856;0;3;0 
623669;40930;7238;623920;0;1;0 
627340;40929;7238;623924;0;4;0 
623715;40932;7238;623902;0;1;0 
625529;40930;7238;623933;0;3;0 
626003;40925;7238;623890;0;1;0 
627837;40923;7238;623893;0;3;0 
625630;40931;7238;623908;0;1;0 
627240;40928;7238;623923;0;2;0 
622999;40929;7238;623880;0;2;0 
627175;40933;7238;623938;0;5;0 
625995;40928;7238;623906;0;2;0 
622738;40934;7238;623938;0;3;0 
622787;40929;7238;623902;0;2;0 
627655;40926;7238;623908;0;3;0 
624743;40929;7238;623909;0;2;0 
623671;40929;7238;623909;0;3;0 
625772;40932;7238;623922;0;3;0 
625252;40931;7238;623943;0;3;0 
625550;40931;7239;623923;0;3;0 
623183;40942;7238;623919;0;2;0 
625910;40930;7238;623900;0;1;0 
623672;40926;7238;623877;0;2;0 
624702;40931;7238;623918;0;2;0 
624667;40927;7238;623902;0;1;0 
623867;40930;7238;623919;0;2;0 
625567;40929;7238;623882;0;1;0 
623275;40938;7238;623928;0;3;0 
626363;40930;7238;623919;0;1;0 
622676;40934;7238;623926;0;3;0 
625155;40937;7238;623914;0;4;0 
625304;40940;7238;623891;0;3;0 
623273;40935;7238;623952;0;1;0 
627627;40928;7239;623910;0;3;0 
625481;40930;7238;623905;0;1;0 
624561;40931;7238;623934;0;3;0 
626383;40934;7238;623963;0;1;0 
623582;40936;7238;623933;0;3;0 
623457;40928;7238;623918;0;1;0 
626908;40929;7238;623897;0;2;0 
626443;40932;7238;623933;0;1;0 
624360;40932;7238;623908;0;4;0 
624310;40926;7238;623880;0;1;0 
622788;40930;7238;623925;0;3;0 
626538;40932;7238;623918;0;1;0 
624590;40923;7238;623885;0;3;0 
622814;40928;7238;623893;0;2;0 
622162;40926;7238;623877;0;3;0 
623200;40940;7238;623931;0;2;0 
624790;40929;7238;623917;0;3;0 
625896;40922;7238;623886;0;4;0 
625996;40935;7238;623936;0;3;0 
625738;40928;7238;623887;0;1;0 
625859;40926;7238;623903;0;2;0 
