CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
626902;426;0;313451;0;338;88 
624596;368;0;312298;0;272;96 
626269;340;0;313133;0;264;76 
624154;352;0;312077;0;280;72 
626333;316;0;313167;0;260;56 
629292;372;0;314646;0;292;80 
623285;280;0;311642;0;228;52 
625449;376;0;312725;0;296;80 
624335;308;0;312167;0;240;68 
628467;397;0;314234;0;296;101 
626216;384;0;313107;0;268;116 
625729;344;0;312863;0;248;96 
622558;364;0;311279;0;272;92 
623324;366;0;311661;0;286;80 
625004;368;0;312501;0;256;112 
625196;336;0;312598;0;264;72 
625266;352;0;312633;0;268;84 
625662;312;0;312830;0;268;44 
622629;420;0;311315;0;308;112 
627972;380;0;313986;0;304;76 
623574;389;0;311786;0;296;93 
625679;356;0;312840;0;296;60 
621691;316;0;310845;0;252;64 
623015;324;0;311508;0;268;56 
625322;372;0;312661;0;264;108 
624676;320;0;312338;0;256;64 
623078;352;0;311539;0;284;68 
624019;312;0;312009;0;236;76 
622994;372;0;311497;0;272;100 
624140;416;0;312070;0;308;108 
625355;372;0;312677;0;284;88 
625655;364;0;312827;0;280;84 
625496;352;0;312747;0;304;48 
621253;312;0;310627;0;244;68 
623641;388;0;311819;0;284;104 
626855;360;0;313427;0;280;80 
622938;348;0;311468;0;276;72 
624888;300;0;312444;0;248;52 
623622;316;0;311811;0;232;84 
624604;348;0;312302;0;272;76 
626551;410;0;313275;0;298;112 
623099;360;0;311549;0;268;92 
624444;344;0;312221;0;268;76 
624539;344;0;312269;0;260;84 
626811;399;0;313406;0;315;84 
625273;332;0;312636;0;248;84 
622157;340;0;311078;0;268;72 
624074;336;0;312036;0;256;80 
626528;320;0;313264;0;260;60 
623735;372;0;311867;0;308;64 
625050;348;0;312525;0;280;68 
623732;352;0;311865;0;260;92 
626757;380;0;313378;0;308;72 
624493;328;0;312246;0;268;60 
623657;336;0;311829;0;256;80 
623278;372;0;311639;0;312;60 
625136;308;0;312568;0;252;56 
624707;332;0;312353;0;268;64 
621879;288;0;310939;0;236;52 
624992;327;0;312495;0;263;64 
625745;416;0;312872;0;324;92 
626256;328;0;313127;0;260;68 
625899;400;0;312949;0;304;96 
624125;336;0;312062;0;292;44 
625032;404;0;312516;0;300;104 
624242;392;0;312120;0;268;124 
622395;340;0;311197;0;284;56 
623286;380;0;311642;0;308;72 
624658;376;0;312329;0;280;96 
626853;424;0;313426;0;332;92 
622532;312;0;311266;0;224;88 
626610;398;0;313305;0;310;88 
621730;336;0;310865;0;264;72 
624714;344;0;312357;0;264;80 
624744;360;0;312372;0;280;80 
622239;324;0;311119;0;248;76 
626509;372;0;313254;0;272;100 
621773;279;0;310886;0;240;39 
623921;396;0;311961;0;296;100 
626768;384;0;313384;0;308;76 
627458;436;0;313729;0;320;116 
623790;356;0;311894;0;284;72 
625369;360;0;312683;0;248;112 
622524;332;0;311261;0;256;76 
622445;420;0;311222;0;304;116 
626584;392;0;313291;0;280;112 
625606;324;0;312803;0;256;68 
624990;336;0;312494;0;264;72 
621530;320;0;310765;0;252;68 
627064;368;0;313531;0;300;68 
623974;324;0;311986;0;256;68 
623492;420;0;311745;0;324;96 
623352;328;0;311676;0;252;76 
626632;364;0;313315;0;296;68 
624382;336;0;312191;0;248;88 
624957;352;0;312479;0;276;76 
624539;312;0;312269;0;240;72 
626426;340;0;313213;0;284;56 
623666;344;0;311833;0;288;56 
625034;356;0;312517;0;264;92 
627018;452;0;313509;0;324;128 
621953;284;0;310977;0;240;44 
627400;398;0;313699;0;322;76 
622316;348;0;311158;0;280;68 
622843;412;0;311422;0;308;104 
624535;328;0;312267;0;252;76 
626298;336;0;313149;0;268;68 
624335;284;0;312168;0;244;40 
624292;404;0;312145;0;276;128 
624763;332;0;312381;0;264;68 
625227;360;0;312612;0;276;84 
627025;396;0;313513;0;316;80 
621828;324;0;310913;0;232;92 
626316;332;0;313158;0;244;88 
623255;372;0;311627;0;296;76 
624075;308;0;312037;0;252;56 
625727;380;0;312863;0;292;88 
622437;356;0;311218;0;272;84 
622590;348;0;311294;0;276;72 
623756;324;0;311878;0;256;68 
624433;428;0;312216;0;328;100 
621819;368;0;310910;0;280;88 
626526;394;0;313263;0;322;72 
621489;328;0;310744;0;248;80 
626119;364;0;313059;0;264;100 
623190;360;0;311595;0;284;76 
622189;340;0;311095;0;256;84 
625834;340;0;312917;0;268;72 
626002;344;0;313001;0;252;92 
622021;324;0;311011;0;272;52 
626735;351;0;313367;0;256;95 
623019;380;0;311510;0;324;56 
625767;364;0;312884;0;264;100 
624757;395;0;312378;0;288;107 
625422;328;0;312710;0;252;76 
622522;352;0;311261;0;260;92 
622584;335;0;311292;0;280;55 
621492;324;0;310746;0;248;76 
622219;344;0;311108;0;280;64 
624128;304;0;312064;0;236;68 
622497;332;0;311249;0;260;72 
622171;376;0;311085;0;272;104 
623171;392;0;311585;0;312;80 
625966;332;0;312983;0;272;60 
627375;368;0;313687;0;288;80 
624182;368;0;312090;0;280;88 
624873;293;0;312436;0;223;70 
623396;304;0;311698;0;228;76 
625954;344;0;312976;0;284;60 
622645;324;0;311323;0;280;44 
622721;312;0;311361;0;244;68 
624123;408;0;312062;0;320;88 
624881;336;0;312441;0;268;68 
626174;378;0;313086;0;294;84 
623578;304;0;311789;0;244;60 
625722;364;0;312861;0;292;72 
624706;372;0;312353;0;292;80 
622845;376;0;311422;0;272;104 
624985;320;0;312492;0;276;44 
623820;320;0;311909;0;236;84 
622205;328;0;311102;0;264;64 
624106;320;0;312052;0;240;80 
623109;416;0;311554;0;316;100 
625422;356;0;312710;0;268;88 
626882;392;0;313440;0;300;92 
626216;372;0;313108;0;268;104 
623344;316;0;311672;0;236;80 
624728;372;0;312364;0;272;100 
624606;332;0;312303;0;252;80 
622707;300;0;311353;0;256;44 
622326;356;0;311163;0;288;68 
624895;312;0;312446;0;264;48 
621873;364;0;310937;0;268;96 
623698;402;0;311850;0;326;76 
626064;364;0;313031;0;296;68 
623695;328;0;311847;0;244;84 
623026;348;0;311512;0;292;56 
626006;368;0;313002;0;264;104 
624148;364;0;312074;0;296;68 
624994;340;0;312497;0;248;92 
626116;356;0;313058;0;296;60 
