CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
619948;0;101;0;16;53267;0 
616540;0;113;0;18;53266;0 
616739;0;108;0;16;53262;0 
619294;0;112;0;18;53269;0 
620568;0;148;0;17;53265;0 
617141;0;112;0;13;53276;0 
617227;0;127;0;16;53261;0 
616838;0;120;0;14;53274;0 
616867;0;136;0;23;53261;0 
618626;0;140;0;22;53270;0 
617889;0;142;0;23;53267;0 
616648;0;138;0;18;53268;0 
617244;0;140;0;18;53256;0 
617357;0;136;0;20;53274;0 
618800;0;184;0;25;53274;0 
616631;0;127;0;18;53268;0 
618066;0;136;0;17;53267;0 
616518;0;154;0;15;53265;0 
617244;0;137;0;19;53267;0 
618487;0;189;0;25;53260;0 
620117;0;93;0;14;53263;0 
620429;0;164;0;22;53265;0 
619419;0;98;0;13;53267;0 
621437;0;134;0;18;53263;0 
616488;0;99;0;13;53265;0 
620107;0;131;0;19;53261;0 
619262;0;97;0;14;53270;0 
617977;0;124;0;13;53273;0 
617299;0;100;0;12;53273;0 
617761;0;128;0;19;53265;0 
617183;0;101;0;14;53264;0 
617739;0;121;0;19;53266;0 
616360;0;95;0;15;53266;0 
617825;0;117;0;16;53269;0 
617379;0;115;0;17;53265;0 
616764;0;116;0;19;53260;0 
619036;0;94;0;16;53262;0 
617983;0;114;0;17;53273;0 
620718;0;115;0;16;53269;0 
620696;0;110;0;19;53270;0 
618750;0;111;0;19;53262;0 
620245;0;99;0;13;53267;0 
621913;0;130;0;16;53264;0 
616496;0;98;0;14;53262;0 
617305;0;136;0;21;53257;0 
620072;0;98;0;14;53272;0 
620233;0;132;0;20;53264;0 
619194;0;97;0;14;53265;0 
620715;0;146;0;28;53257;0 
619406;0;92;0;13;53266;0 
621222;0;163;0;25;53271;0 
620088;0;111;0;15;53270;0 
619111;0;120;0;16;53269;0 
617020;0;97;0;13;53258;0 
619084;0;135;0;20;53264;0 
617239;0;95;0;13;53267;0 
620106;0;123;0;17;53271;0 
619292;0;109;0;15;53273;0 
620817;0;138;0;21;53263;0 
619100;0;98;0;14;53262;0 
617368;0;118;0;16;53274;0 
619752;0;96;0;13;53266;0 
619396;0;122;0;20;53261;0 
619472;0;94;0;14;53272;0 
619602;0;124;0;16;53270;0 
620466;0;98;0;13;53268;0 
617178;0;140;0;17;53268;0 
619580;0;93;0;14;53275;0 
620327;0;127;0;16;53281;0 
619945;0;102;0;14;53265;0 
619349;0;136;0;21;53270;0 
617695;0;100;0;15;53271;0 
619568;0;122;0;17;53272;0 
619349;0;93;0;16;53262;0 
617284;0;107;0;15;53267;0 
617913;0;103;0;17;53270;0 
618989;0;95;0;14;53273;0 
617616;0;111;0;16;53271;0 
617248;0;95;0;13;53273;0 
618791;0;140;0;21;53267;0 
616412;0;97;0;14;53263;0 
617781;0;110;0;20;53270;0 
620000;0;94;0;13;53279;0 
619341;0;127;0;17;53262;0 
620288;0;119;0;15;53265;0 
618549;0;127;0;15;53266;0 
619222;0;116;0;13;53264;0 
617231;0;131;0;18;53267;0 
620090;0;106;0;15;53271;0 
619577;0;128;0;21;53261;0 
618799;0;98;0;15;53265;0 
617068;0;116;0;16;53260;0 
617746;0;97;0;14;53269;0 
619232;0;122;0;17;53263;0 
618915;0;95;0;14;53271;0 
619607;0;123;0;17;53259;0 
619570;0;96;0;16;53260;0 
618772;0;121;0;18;53263;0 
619510;0;94;0;13;53265;0 
620851;0;139;0;16;53262;0 
619754;0;115;0;16;53268;0 
618020;0;106;0;12;53267;0 
619510;0;103;0;15;53265;0 
620146;0;121;0;17;53265;0 
619709;0;105;0;17;53264;0 
616394;0;96;0;14;53267;0 
620514;0;98;0;16;53271;0 
616657;0;109;0;16;53263;0 
618574;0;154;0;25;53264;0 
619678;0;117;0;13;53270;0 
