CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
624021;66809;0;0;0;0;0 
627023;49227;0;0;0;0;0 
625829;71573;0;0;0;0;0 
625057;50101;0;0;0;0;0 
623572;50303;0;0;0;0;0 
627730;58788;0;0;0;0;0 
626224;51570;0;0;0;0;0 
626975;57259;0;0;0;0;0 
626403;49582;0;0;0;0;0 
624963;50603;0;0;0;0;0 
626273;49751;0;0;0;0;0 
623829;64965;0;0;0;0;0 
626790;69021;0;0;0;0;0 
624994;49131;0;0;0;0;0 
624573;51686;0;0;0;0;0 
626985;59912;0;0;0;0;0 
626501;49982;0;0;0;0;0 
626695;49269;0;0;0;0;0 
623286;52090;0;0;0;0;0 
626520;48869;0;0;0;0;0 
627318;61260;0;0;0;0;0 
626648;49878;0;0;0;0;0 
627896;63805;0;0;0;0;0 
624426;45868;0;0;0;0;0 
623989;69529;0;0;0;0;0 
627833;59392;0;0;0;0;0 
626970;51706;0;0;0;0;0 
627920;47917;0;0;0;0;0 
627215;68492;0;0;0;0;0 
626273;49103;0;0;0;0;0 
623400;49692;0;0;0;0;0 
627193;65619;0;0;0;0;0 
626498;50220;0;0;0;0;0 
627828;48566;0;0;0;0;0 
623728;49761;0;0;0;0;0 
626881;49201;0;0;0;0;0 
623567;48642;0;0;0;0;0 
624010;48916;0;0;0;0;0 
626007;48832;0;0;0;0;0 
626773;61434;0;0;0;0;0 
632349;71566;0;0;0;0;0 
624271;46926;0;0;0;0;0 
623395;54879;0;0;0;0;0 
624462;47409;0;0;0;0;0 
626037;47827;0;0;0;0;0 
624837;45264;0;0;0;0;0 
626298;69674;0;0;0;0;0 
624677;54252;0;0;0;0;0 
624643;54672;0;0;0;0;0 
625558;50035;0;0;0;0;0 
626860;65936;0;0;0;0;0 
627180;52639;0;0;0;0;0 
624893;46968;0;0;0;0;0 
623328;47969;0;0;0;0;0 
624602;49426;0;0;0;0;0 
624572;48276;0;0;0;0;0 
626058;47556;0;0;0;0;0 
626445;48514;0;0;0;0;0 
624788;50243;0;0;0;0;0 
626572;49699;0;0;0;0;0 
627974;49223;0;0;0;0;0 
627000;71141;0;0;0;0;0 
628541;63334;0;0;0;0;0 
627423;70492;0;0;0;0;0 
626115;50628;0;0;0;0;0 
626012;72930;0;0;0;0;0 
626835;57927;0;0;0;0;0 
627291;68685;0;0;0;0;0 
625612;48141;0;0;0;0;0 
625604;59427;0;0;0;0;0 
624446;53343;0;0;0;0;0 
626575;49307;0;0;0;0;0 
629113;54530;0;0;0;0;0 
625076;49108;0;0;0;0;0 
626977;48910;0;0;0;0;0 
624200;49265;0;0;0;0;0 
625649;49949;0;0;0;0;0 
626309;49233;0;0;0;0;0 
623791;49612;0;0;0;0;0 
627112;73142;0;0;0;0;0 
628631;48596;0;0;0;0;0 
626927;70506;0;0;0;0;0 
628109;50333;0;0;0;0;0 
624563;47897;0;0;0;0;0 
627526;48702;0;0;0;0;0 
626887;61874;0;0;0;0;0 
626721;57032;0;0;0;0;0 
626080;49843;0;0;0;0;0 
628170;57290;0;0;0;0;0 
623502;48189;0;0;0;0;0 
627294;54736;0;0;0;0;0 
623498;48088;0;0;0;0;0 
625650;48750;0;0;0;0;0 
626693;62766;0;0;0;0;0 
626254;50767;0;0;0;0;0 
623659;47956;0;0;0;0;0 
624241;51662;0;0;0;0;0 
627103;68263;0;0;0;0;0 
625828;49424;0;0;0;0;0 
627260;65020;0;0;0;0;0 
626411;71178;0;0;0;0;0 
627264;69289;0;0;0;0;0 
627538;56098;0;0;0;0;0 
626343;58829;0;0;0;0;0 
626922;71174;0;0;0;0;0 
624796;59550;0;0;0;0;0 
627472;56457;0;0;0;0;0 
623834;58912;0;0;0;0;0 
627011;49343;0;0;0;0;0 
624499;47748;0;0;0;0;0 
627530;71616;0;0;0;0;0 
626669;49109;0;0;0;0;0 
626856;48176;0;0;0;0;0 
627152;48601;0;0;0;0;0 
626363;50998;0;0;0;0;0 
625260;57874;0;0;0;0;0 
624555;49996;0;0;0;0;0 
623911;46709;0;0;0;0;0 
626083;49861;0;0;0;0;0 
628141;48388;0;0;0;0;0 
626207;49158;0;0;0;0;0 
626648;57656;0;0;0;0;0 
628790;54477;0;0;0;0;0 
627152;56135;0;0;0;0;0 
624727;49840;0;0;0;0;0 
624944;48995;0;0;0;0;0 
637860;51101;0;0;0;0;0 
626812;48719;0;0;0;0;0 
626737;62888;0;0;0;0;0 
625840;50423;0;0;0;0;0 
626536;49172;0;0;0;0;0 
626671;56700;0;0;0;0;0 
626406;50451;0;0;0;0;0 
624650;53724;0;0;0;0;0 
626532;50743;0;0;0;0;0 
627684;49652;0;0;0;0;0 
623666;48826;0;0;0;0;0 
626462;54357;0;0;0;0;0 
626574;49234;0;0;0;0;0 
625768;53969;0;0;0;0;0 
626282;64332;0;0;0;0;0 
626319;47240;0;0;0;0;0 
623855;47571;0;0;0;0;0 
626256;70708;0;0;0;0;0 
626467;49062;0;0;0;0;0 
