CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
623934;51650;1;1;2705;0;0 
627115;51650;1;1;2740;0;0 
625284;51650;1;1;2695;0;0 
626499;51650;1;1;2738;0;0 
623229;51650;1;1;2725;0;0 
627398;51650;1;1;2753;0;0 
625023;51650;1;1;2723;0;0 
625248;51650;1;1;2706;0;0 
622586;51650;1;1;2726;0;0 
626738;51650;1;1;2708;0;0 
622508;51650;1;1;2740;0;0 
628533;51650;1;1;2709;0;0 
624738;51650;1;1;2694;0;0 
623868;51650;1;1;2721;0;0 
626444;51650;1;1;2735;0;0 
625673;51650;1;1;2740;0;0 
623054;51650;1;1;2744;0;0 
625451;51650;1;1;2778;0;0 
625524;51650;1;1;2727;0;0 
623325;51650;1;1;2751;0;0 
626890;51650;1;1;2716;0;0 
625306;51650;1;1;2771;0;0 
626487;51650;1;1;2720;0;0 
626863;51650;1;1;2736;0;0 
625933;51650;1;1;2760;0;0 
627663;51650;1;1;2764;0;0 
622684;51650;1;1;2704;0;0 
627610;51650;1;1;2769;0;0 
626289;51650;1;1;2749;0;0 
625786;51650;1;1;2722;0;0 
622297;51650;1;1;2663;0;0 
624183;51650;1;1;2738;0;0 
622192;51650;1;1;2696;0;0 
627576;51650;1;1;2705;0;0 
626194;51650;1;1;2731;0;0 
626113;51650;1;1;2789;0;0 
626879;51650;1;1;2744;0;0 
626118;51650;1;1;2733;0;0 
624632;51650;1;1;2744;0;0 
625912;51650;1;1;2711;0;0 
626929;51650;1;1;2732;0;0 
623141;51650;0;0;2707;0;0 
625645;51650;1;1;2700;0;0 
626385;51650;1;1;2750;0;0 
625923;51650;1;1;2751;0;0 
624672;51650;1;1;2680;0;0 
626605;51651;1;1;2689;0;0 
625488;51650;1;1;2726;0;0 
624340;51650;1;1;2689;0;0 
623204;51650;1;1;2727;0;0 
627944;51650;1;1;2740;0;0 
625040;51650;1;1;2707;0;0 
623769;51650;1;1;2731;0;0 
622809;51650;1;1;2731;0;0 
624951;51650;1;1;2713;0;0 
622751;51650;1;1;2743;0;0 
624945;51651;1;1;2721;0;0 
625844;51650;1;1;2746;0;0 
627000;51650;1;1;2783;0;0 
623812;51650;1;1;2760;0;0 
626710;51650;1;1;2756;0;0 
624953;51650;1;1;2696;0;0 
626459;51651;1;1;2729;0;0 
622575;51650;1;1;2733;0;0 
626244;51650;1;1;2759;0;0 
625180;51650;1;1;2705;0;0 
622844;51650;1;1;2736;0;0 
622565;51650;1;1;2701;0;0 
623749;51651;1;1;2710;0;0 
627549;51650;1;1;2748;0;0 
623598;51650;1;1;2751;0;0 
625677;51650;1;1;2746;0;0 
627444;51650;1;1;2743;0;0 
623833;51650;1;1;2734;0;0 
622892;51650;1;1;2715;0;0 
626002;51650;1;1;2729;0;0 
624464;51650;1;1;2685;0;0 
623331;51650;1;1;2771;0;0 
627289;51650;1;1;2790;0;0 
626842;51650;1;1;2757;0;0 
626413;51650;1;1;2736;0;0 
625826;51650;1;1;2705;0;0 
625337;51650;1;1;2692;0;0 
622795;51650;1;1;2709;0;0 
627234;51650;1;1;2745;0;0 
623118;51650;1;1;2738;0;0 
623622;51650;1;1;2753;0;0 
626212;51650;1;1;2745;0;0 
624388;51650;1;1;2729;0;0 
627325;51650;1;1;2729;0;0 
625880;51650;1;1;2726;0;0 
624640;51651;1;1;2715;0;0 
625160;51650;1;1;2725;0;0 
627342;51650;1;1;2693;0;0 
623594;51650;1;1;2708;0;0 
625431;51650;1;1;2761;0;0 
624214;51650;1;1;2752;0;0 
624632;51650;1;1;2737;0;0 
623743;51650;1;1;2737;0;0 
624209;51650;1;1;2705;0;0 
623723;51650;1;1;2692;0;0 
625089;51650;1;1;2693;0;0 
623027;51650;1;1;2703;0;0 
622812;51650;1;1;2707;0;0 
626916;51650;1;1;2717;0;0 
623597;51650;1;1;2775;0;0 
624492;51650;1;1;2716;0;0 
623026;51650;1;1;2739;0;0 
626901;51650;1;1;2709;0;0 
625282;51650;1;1;2769;0;0 
627120;51651;1;1;2756;0;0 
624611;51650;1;1;2704;0;0 
624271;51651;1;1;2740;0;0 
624418;51650;1;1;2707;0;0 
625202;51650;1;1;2773;0;0 
624875;51650;1;1;2783;0;0 
624717;51650;1;1;2749;0;0 
625599;51650;1;1;2682;0;0 
623484;51650;1;1;2729;0;0 
625322;51650;1;1;2717;0;0 
625894;51650;1;1;2722;0;0 
626622;51650;1;1;2758;0;0 
627014;51650;1;1;2753;0;0 
623004;51650;1;1;2756;0;0 
625897;51650;1;1;2698;0;0 
627022;51650;1;1;2711;0;0 
623786;51650;1;1;2714;0;0 
623330;51650;1;1;2729;0;0 
626211;51650;1;1;2721;0;0 
626363;51650;1;1;2721;0;0 
624063;51650;1;1;2702;0;0 
625602;51650;1;1;2709;0;0 
626507;51650;1;1;2713;0;0 
624147;51650;1;1;2765;0;0 
623058;51650;1;1;2723;0;0 
623577;51651;1;1;2737;0;0 
624124;51650;1;1;2718;0;0 
622881;51650;1;1;2693;0;0 
625256;51650;1;1;2727;0;0 
623173;51650;1;1;2725;0;0 
626431;51650;1;1;2756;0;0 
622713;51651;1;1;2692;0;0 
623082;51650;1;1;2742;0;0 
623153;51650;1;1;2744;0;0 
626760;51650;1;1;2712;0;0 
623607;51650;1;1;2715;0;0 
624491;51651;1;1;2742;0;0 
624110;51650;1;1;2781;0;0 
624760;51650;1;1;2688;0;0 
623679;51650;1;1;2725;0;0 
624657;51650;1;1;2732;0;0 
624967;51650;1;1;2718;0;0 
625664;51650;1;1;2694;0;0 
628377;51650;1;1;2713;0;0 
626035;51650;1;1;2709;0;0 
623047;51650;1;1;2688;0;0 
625836;51650;1;1;2750;0;0 
627442;51650;1;1;2736;0;0 
626226;51651;1;1;2715;0;0 
623241;51650;1;1;2715;0;0 
626034;51650;1;1;2714;0;0 
624540;51651;1;1;2750;0;0 
627156;51650;1;1;2739;0;0 
627188;51650;1;1;2766;0;0 
626721;51650;1;1;2707;0;0 
623520;51650;1;1;2709;0;0 
626788;51650;1;1;2742;0;0 
625758;51651;1;1;2708;0;0 
625619;51650;1;1;2708;0;0 
624653;51650;1;1;2737;0;0 
622918;51650;1;1;2761;0;0 
623055;51650;1;1;2754;0;0 
626630;51650;1;1;2746;0;0 
622862;51650;1;1;2716;0;0 
626343;51650;1;1;2689;0;0 
623694;51650;1;1;2731;0;0 
