CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
625699;40701;56909;0;0;2750;60047 
622681;40698;56909;0;0;2733;60044 
622264;40700;56909;0;0;2731;60046 
624464;40698;56909;0;0;2752;60044 
622668;40700;56909;0;0;2796;60046 
623091;40698;56909;0;0;2780;60044 
625672;40700;56909;0;0;2770;60046 
625491;40699;56909;0;0;2747;60045 
625610;40700;56909;0;0;2750;60046 
622965;40698;56909;0;0;2767;60044 
626196;40700;56909;0;0;2751;60046 
625137;40700;56909;0;0;2779;60046 
625960;40699;56909;0;0;2747;60045 
624911;40700;56909;0;0;2791;60046 
622879;40699;56909;0;0;2767;60045 
624009;40699;56909;0;0;2771;60045 
623559;40699;56909;0;0;2805;60045 
623917;40701;56910;0;0;2743;60047 
623021;40700;56909;0;0;2768;60046 
623177;40699;56909;0;0;2748;60045 
623808;40702;56909;0;0;2778;60048 
625777;40698;56909;0;0;2756;60044 
624886;40699;56909;0;0;2760;60045 
626585;40698;56909;0;0;2774;60044 
625328;40700;56909;0;0;2757;60046 
623144;40698;56909;0;0;2780;60044 
627687;40700;56909;0;0;2802;60046 
625115;40698;56909;0;0;2749;60044 
625161;40700;56909;0;0;2749;60046 
625900;40698;56909;0;0;2759;60044 
622600;40700;56909;0;0;2767;60046 
624227;40698;56909;0;0;2721;60044 
626227;40700;56909;0;0;2791;60046 
622665;40698;56909;0;0;2748;60044 
625656;40700;56909;0;0;2740;60046 
622702;40698;56909;0;0;2761;60044 
622446;40700;56909;0;0;2768;60046 
621846;40698;56909;0;0;2725;60044 
622965;40701;56910;0;0;2760;60047 
623056;40698;56909;0;0;2781;60044 
626057;40700;56909;0;0;2734;60046 
625720;40700;56910;0;0;2721;60046 
625311;40700;56910;0;0;2754;60047 
625435;40699;56909;0;0;2776;60045 
622855;40700;56909;0;0;2733;60046 
624957;40699;56909;0;0;2734;60045 
626330;40700;56909;0;0;2780;60046 
625713;40700;56910;0;0;2828;60046 
623761;40700;56909;0;0;2758;60046 
625611;40699;56909;0;0;2775;60045 
626782;40699;56909;0;0;2757;60045 
624249;40701;56909;0;0;2749;60047 
623362;40699;56909;0;0;2793;60045 
624706;40698;56909;0;0;2736;60044 
623875;40699;56909;0;0;2763;60045 
626468;40699;56909;0;0;2764;60045 
626468;40699;56909;0;0;2793;60045 
626125;40699;56909;0;0;2795;60045 
623267;40698;56909;0;0;2784;60044 
623700;40699;56909;0;0;2819;60045 
626106;40700;56909;0;0;2757;60046 
626221;40699;56909;0;0;2816;60045 
622716;40700;56909;0;0;2784;60046 
623816;40700;56909;0;0;2805;60046 
624780;40699;56909;0;0;2743;60045 
626380;40700;56909;0;0;2794;60046 
626148;40699;56909;0;0;2788;60045 
626422;40700;56909;0;0;2810;60046 
625011;40698;56909;0;0;2758;60044 
625463;40700;56909;0;0;2781;60046 
625593;40699;56909;0;0;2774;60045 
623414;40702;56909;0;0;2814;60048 
623121;40698;56909;0;0;2758;60044 
625260;40700;56909;0;0;2769;60046 
625852;40698;56909;0;0;2729;60044 
626281;40700;56909;0;0;2781;60046 
622364;40698;56909;0;0;2714;60044 
623470;40700;56909;0;0;2817;60046 
625698;40698;56909;0;0;2722;60044 
626370;40700;56909;0;0;2791;60046 
624596;40698;56909;0;0;2755;60044 
625843;40701;56910;0;0;2766;60048 
626076;40698;56909;0;0;2733;60044 
624851;40700;56909;0;0;2739;60046 
625632;40698;56909;0;0;2770;60044 
623369;40701;56910;0;0;2768;60047 
624640;40698;56909;0;0;2742;60044 
626510;40700;56909;0;0;2749;60046 
625237;40698;56909;0;0;2745;60044 
622947;40700;56909;0;0;2752;60046 
623064;40699;56909;0;0;2789;60045 
623040;40701;56909;0;0;2808;60047 
626538;40701;56909;0;0;2762;60047 
625031;40699;56909;0;0;2759;60045 
624911;40698;56909;0;0;2730;60044 
626297;40700;56909;0;0;2820;60046 
622802;40698;56909;0;0;2761;60044 
624461;40699;56909;0;0;2791;60045 
621930;40698;56909;0;0;2747;60044 
626435;40700;56909;0;0;2784;60046 
623731;40698;56909;0;0;2769;60044 
625267;40700;56909;0;0;2714;60046 
622890;40698;56909;0;0;2763;60044 
625273;40700;56909;0;0;2783;60046 
625368;40698;56909;0;0;2812;60044 
622395;40700;56909;0;0;2781;60046 
626134;40699;56909;0;0;2793;60045 
625129;40700;56909;0;0;2792;60046 
626302;40699;56909;0;0;2783;60045 
622924;40700;56909;0;0;2769;60046 
627492;40700;56909;0;0;2787;60046 
622477;40699;56909;0;0;2778;60045 
626409;40702;56909;0;0;2775;60048 
626686;40699;56909;0;0;2781;60045 
622212;40699;56909;0;0;2742;60045 
624822;40698;56909;0;0;2738;60044 
622002;40700;56909;0;0;2769;60046 
625978;40698;56909;0;0;2743;60044 
624855;40700;56909;0;0;2778;60046 
622822;40698;56909;0;0;2739;60044 
621985;40700;56909;0;0;2754;60046 
626312;40698;56909;0;0;2791;60044 
624256;40700;56909;0;0;2764;60046 
625098;40701;56909;0;0;2760;60047 
626173;40700;56909;0;0;2764;60046 
622530;40698;56909;0;0;2760;60044 
624792;40700;56909;0;0;2755;60046 
625065;40698;56909;0;0;2756;60044 
625904;40701;56910;0;0;2801;60047 
625359;40698;56909;0;0;2734;60044 
623558;40702;56909;0;0;2791;60048 
622375;40698;56909;0;0;2766;60044 
623361;40700;56909;0;0;2804;60046 
625052;40699;56909;0;0;2802;60045 
623149;40700;56909;0;0;2764;60046 
625861;40699;56909;0;0;2772;60045 
622412;40700;56909;0;0;2776;60046 
625681;40700;56909;0;0;2777;60046 
623454;40699;56910;0;0;2807;60046 
624886;40700;56910;0;0;2803;60047 
623213;40699;56909;0;0;2786;60045 
623468;40700;56909;0;0;2769;60046 
624713;40698;56909;0;0;2744;60044 
622263;40702;56909;0;0;2749;60048 
625009;40699;56909;0;0;2767;60045 
624561;40699;56909;0;0;2740;60045 
625821;40698;56909;0;0;2798;60044 
626336;40700;56909;0;0;2775;60046 
622808;40698;56909;0;0;2767;60044 
625653;40700;56909;0;0;2774;60046 
