CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
627125;0;12022;9233;42;0;11161 
625013;0;11771;8182;17;0;11151 
624910;0;12090;6982;41;0;11223 
624697;0;11742;6719;16;0;11154 
627804;0;13036;8478;38;0;11246 
624290;0;11904;6775;17;0;11185 
626229;0;11951;7905;36;0;11168 
623838;0;11843;6488;17;0;11163 
624563;0;11689;7478;41;0;11144 
627370;0;11863;9096;17;0;11169 
624251;0;11728;7459;42;0;11153 
626804;0;11942;9315;17;0;11188 
627716;0;13486;8637;40;0;11174 
625530;0;11782;6691;16;0;11166 
626491;0;11832;9135;37;0;11136 
625317;0;11812;8139;16;0;11203 
627839;0;12644;8729;40;0;11140 
625993;0;11889;8226;17;0;11197 
628484;0;11922;10258;34;0;11170 
626755;0;11882;9514;32;0;11155 
626135;0;11927;8479;38;0;11193 
623944;0;11789;6723;16;0;11189 
626275;0;11642;9247;41;0;11152 
623429;0;11757;6423;32;0;11157 
628431;0;12941;9764;33;0;11178 
626740;0;11754;9261;32;0;11165 
627317;0;11762;8693;41;0;11152 
628685;0;13041;9212;41;0;11248 
626399;0;11908;8864;38;0;11186 
626379;0;11902;8785;39;0;11175 
626911;0;11785;9634;29;0;11159 
627509;0;12070;8687;52;0;11178 
626495;0;11897;8956;17;0;11207 
623751;0;11818;6171;40;0;11164 
625414;0;11890;7787;21;0;11187 
626227;0;11782;7659;33;0;11176 
624562;0;11832;7258;28;0;11178 
625381;0;11974;6691;32;0;11214 
626332;0;11849;9007;22;0;11174 
623896;0;11974;6214;42;0;11205 
627017;0;11959;9316;31;0;11203 
626414;0;11834;9030;41;0;11214 
627177;0;12151;8331;37;0;11224 
623846;0;11810;6693;41;0;11146 
628131;0;11850;9856;22;0;11187 
626898;0;11920;9430;42;0;11182 
624266;0;11948;6356;17;0;11209 
623495;0;11889;5973;42;0;11166 
628398;0;11759;9536;17;0;11144 
626890;0;11931;9181;41;0;11224 
623721;0;11904;6263;17;0;11197 
625002;0;12171;7025;53;0;11168 
623911;0;11878;6339;16;0;11237 
624739;0;11847;7318;42;0;11204 
626359;0;11720;9062;16;0;11177 
623656;0;11750;6672;39;0;11168 
626479;0;11805;8387;22;0;11162 
627805;0;11971;9303;39;0;11206 
626563;0;11963;7975;17;0;11209 
628546;0;12122;9347;41;0;11187 
625762;0;11944;8249;16;0;11199 
624736;0;11889;7097;42;0;11193 
624165;0;12193;6014;46;0;11212 
627356;0;12046;7790;41;0;11201 
626300;0;11970;7718;18;0;11217 
627020;0;11940;9737;41;0;11151 
624552;0;12063;6651;17;0;11228 
624138;0;11860;6833;42;0;11151 
623361;0;11905;5975;32;0;11163 
623702;0;11811;6349;33;0;11156 
623507;0;11806;6058;17;0;11163 
624550;0;11723;7410;31;0;11150 
626497;0;11777;9213;35;0;11175 
623810;0;11860;5991;42;0;11192 
626504;0;11833;9090;34;0;11187 
626597;0;11824;9410;38;0;11169 
624502;0;12069;6397;40;0;11197 
623955;0;11860;6444;34;0;11188 
627413;0;12019;9620;39;0;11224 
627333;0;11899;6132;21;0;11173 
627454;0;11976;9631;42;0;11236 
627160;0;11845;9659;17;0;11165 
627877;0;11860;10405;53;0;11163 
626016;0;11855;8838;17;0;11190 
626569;0;11842;9110;42;0;11170 
623344;0;11772;5924;17;0;11162 
623590;0;11768;6282;42;0;11136 
624381;0;12084;6505;16;0;11229 
624101;0;11943;6312;42;0;11176 
627974;0;11915;7063;16;0;11238 
627799;0;13135;8822;42;0;11192 
627385;0;12016;9234;16;0;11218 
623976;0;11951;6310;41;0;11217 
623483;0;11833;6305;16;0;11171 
626660;0;13763;7291;42;0;11146 
626337;0;11720;8219;16;0;11185 
626898;0;12033;7815;41;0;11180 
626241;0;11762;9219;17;0;11164 
624096;0;11958;6265;38;0;11215 
625973;0;11774;9047;17;0;11176 
624136;0;11848;6478;35;0;11175 
626051;0;11870;7845;18;0;11216 
627738;0;12137;9719;50;0;11233 
624714;0;11683;8021;17;0;11134 
627643;0;11773;9409;41;0;11170 
627465;0;11692;9058;17;0;11148 
625639;0;11847;8298;48;0;11152 
623706;0;11737;6301;41;0;11147 
626568;0;11816;9377;29;0;11168 
625188;0;11971;7618;31;0;11187 
625584;0;11966;7809;38;0;11214 
627592;0;12017;9461;41;0;11259 
624762;0;12070;7066;33;0;11177 
624121;0;11825;6580;45;0;11187 
623681;0;12461;5893;34;0;11146 
627600;0;12444;9011;33;0;11184 
626287;0;11833;8836;17;0;11212 
624020;0;11926;6517;41;0;11200 
626471;0;11835;8284;21;0;11177 
624348;0;12030;6503;42;0;11172 
624235;0;11915;6757;17;0;11184 
623999;0;11827;6869;42;0;11175 
623556;0;11992;5640;16;0;11184 
626851;0;11858;8482;40;0;11165 
623212;0;11853;5906;29;0;11184 
625381;0;13898;5711;41;0;11198 
626089;0;11794;6094;17;0;11177 
624384;0;12051;6562;41;0;11217 
626103;0;11854;8743;22;0;11188 
624172;0;12612;6283;42;0;11148 
626594;0;11801;8077;17;0;11172 
624230;0;11895;6474;41;0;11173 
