CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
23393887;1894428;0;12255;275;3114139;3173 
23395555;1894416;0;14928;269;3113000;3378 
23396450;1894430;0;14325;289;3113862;3292 
23406398;1894408;0;30233;314;3108598;3407 
23400881;1894445;0;25938;292;3107247;3542 
23408681;1894436;0;38014;272;3103115;4034 
23395803;1894423;0;14566;280;3113090;3475 
23398461;1894447;0;11610;302;3117613;3458 
23395064;1894425;0;12572;284;3114191;3392 
23419250;1894414;0;47108;285;3103406;5194 
23434857;1894430;0;84153;252;3085073;3367 
23401850;1894429;0;22254;645;3112115;2959 
23404331;1894430;0;17035;265;3114867;7724 
23401877;1894423;0;24951;290;3109515;3067 
23406466;1894421;0;33767;315;3105247;3338 
23407747;1894409;0;27264;292;3109961;5932 
23406318;1894446;0;31681;272;3107048;3010 
23407871;1894415;0;36245;275;3104564;3414 
23407303;1894439;0;27700;316;3109012;6105 
23408071;1894415;0;32181;318;3107817;3563 
23401970;1894430;0;22662;262;3111208;3156 
23416802;1894439;0;52782;276;3095255;5905 
23399830;1894414;0;21544;295;3110656;3201 
23396781;1894417;0;15274;327;3113449;3091 
23406286;1894427;0;35533;296;3103717;3080 
23396884;1894435;0;14657;299;3114079;3365 
23402762;1894418;0;27495;283;3107958;3311 
23399919;1894430;0;13894;294;3115543;5453 
23404167;1894441;0;28388;292;3108304;3448 
23396132;1894410;0;13721;288;3113916;3382 
23403388;1894446;0;29915;288;3106140;2987 
23395132;1894435;0;11909;306;3114633;3297 
23399036;1894437;0;19244;284;3111598;3251 
23406142;1894461;0;35627;256;3103560;3107 
23402253;1894427;0;20464;281;3112332;4883 
23399624;1894426;0;17252;262;3112050;5090 
23402315;1894429;0;21809;284;3112696;3349 
23395542;1894431;0;13146;316;3114112;3388 
23401838;1894422;0;19113;308;3112294;5726 
23395359;1894415;0;13780;286;3113617;3559 
23398844;1894451;0;14958;284;3115445;3337 
23399661;1894431;0;13865;296;3114841;5936 
23396782;1894414;0;13110;284;3114760;3612 
23394679;1894435;0;12238;319;3114001;3345 
23395791;1894445;0;13909;287;3113995;3024 
23402907;1894437;0;25163;295;3110168;3130 
23399711;1894410;0;22472;271;3109635;3387 
23394822;1894418;0;11792;252;3114765;3633 
23398488;1894425;0;19921;306;3110197;3648 
23399129;1894462;0;17029;305;3112845;4542 
23406887;1894424;0;25044;309;3109980;7411 
23405516;1894426;0;31148;304;3106829;3422 
23403012;1894448;0;24455;290;3110327;3525 
23396255;1894409;0;15473;277;3113106;3121 
23405518;1894414;0;21470;274;3115639;5614 
23395653;1894401;0;12911;293;3114473;3050 
23404628;1894411;0;30139;290;3106563;4057 
23395696;1894427;0;14408;307;3113360;3069 
23397621;1894435;0;13533;303;3115799;3801 
23400841;1894422;0;22355;315;3110171;3405 
23397380;1894424;0;14928;284;3114669;3235 
23401536;1894426;0;26815;295;3107673;3277 
23400930;1894438;0;20834;303;3111647;3519 
23403383;1894434;0;24813;315;3110539;3130 
23407349;1894436;0;34139;287;3106179;3247 
23395654;1894406;0;14772;272;3112972;3315 
23397527;1894424;0;18110;276;3111251;3311 
23405076;1894434;0;28743;274;3109121;2924 
23397240;1894423;0;13324;278;3115481;3395 
23417909;1894443;0;53740;283;3097223;3483 
23402358;1894421;0;20924;268;3113398;3081 
23405902;1894421;0;31914;312;3106505;3055 
23406117;1894428;0;32977;286;3106186;3113 
23410242;1894416;0;37008;274;3105457;3299 
23395808;1894444;0;14615;279;3112922;3242 
23396165;1894416;0;11783;277;3115617;3850 
23433245;1894406;0;78322;267;3088981;3456 
23400338;1894417;0;21132;300;3111725;3195 
23409755;1894458;0;38642;277;3104241;3109 
23394723;1894383;0;11633;271;3115145;3117 
23395834;1894443;0;13758;277;3113814;3367 
23394361;1894410;0;14132;272;3112702;3185 
23407120;1894395;0;32367;274;3107097;3745 
23409171;1894445;0;32885;272;3106469;6160 
23405053;1894437;0;30347;257;3106609;3599 
23398762;1894424;0;16365;299;3113824;3343 
23412660;1894426;0;48979;302;3097142;3063 
23404843;1894436;0;22626;281;3111870;6096 
23401367;1894448;0;20854;275;3112747;3292 
23400374;1894444;0;19530;305;3110722;5530 
23405944;1894416;0;23980;285;3110305;6977 
23413711;1894420;0;50615;272;3096355;3306 
23395285;1894444;0;13447;270;3113815;2888 
23395569;1894430;0;13175;290;3114152;3359 
23426859;1894424;0;66837;320;3093528;3247 
23409163;1894425;0;35893;284;3104588;4866 
23400366;1894422;0;17694;279;3112071;5959 
23401302;1894416;0;20058;240;3113615;3208 
23394640;1894411;0;12353;275;3114035;3045 
23399694;1894452;0;15256;282;3114055;6013 
23400017;1894412;0;15608;271;3113787;6030 
23425708;1894392;0;70150;294;3089834;3338 
23401692;1894440;0;20929;305;3111598;4515 
23397809;1894443;0;15502;277;3114220;3124 
23396690;1894422;0;18797;281;3110789;2935 
23397537;1894435;0;16091;267;3113052;3403 
23407206;1894433;0;32977;271;3106235;3334 
23399462;1894454;0;13256;316;3114243;7220 
23396619;1894430;0;14391;315;3114142;3304 
23417777;1894431;0;53706;270;3097805;3112 
23397778;1894418;0;17153;274;3111667;4006 
23397387;1894436;0;14701;318;3114448;3349 
23397537;1894435;0;12740;437;3116631;3149 
23400073;1894411;0;21766;303;3110831;3365 
23428661;1894447;0;73529;283;3089017;3143 
23405274;1894429;0;22427;279;3111757;6553 
23412445;1894306;0;29300;499;3108068;10940 
23398883;1894411;0;13816;281;3114273;5735 
23397767;1894444;0;14029;291;3115471;2995 
23396740;1894445;0;12552;306;3115052;4392 
23396568;1894441;0;13756;301;3114624;3516 
23400835;1894427;0;26487;283;3107312;3185 
23395133;1894449;0;12349;279;3114563;3101 
23395741;1894457;0;14072;303;3113591;2982 
23401109;1894440;0;19168;284;3111300;5898 
23411506;1894437;0;48375;319;3096875;3207 
23415601;1894437;0;42595;331;3104541;4323 
23395406;1894452;0;13840;289;3113459;2948 
23407760;1894440;0;32844;286;3106185;4828 
23398007;1894418;0;15841;276;3114152;3092 
23395200;1894437;0;13221;289;3113648;3318 
23409914;1894439;0;36727;292;3106386;3130 
23403419;1894431;0;26427;264;3109347;3178 
23402165;1894420;0;19903;316;3112184;5521 
23396538;1894425;0;13081;294;3115225;3129 
