CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
23401515;497;0;11700748;0;144;353 
23396528;616;0;11698255;0;80;536 
23395938;648;0;11697958;0;104;544 
23398584;561;0;11699282;0;84;477 
23414323;680;0;11707152;0;84;596 
23409497;1174;0;11704738;0;278;896 
23394869;536;0;11697424;0;88;448 
23396512;689;0;11698246;0;57;632 
23404923;560;0;11702452;0;104;456 
23398002;699;0;11698993;0;96;603 
23395904;629;0;11697943;0;108;521 
23418487;644;0;11709233;0;104;540 
23396333;644;0;11698154;0;56;588 
23404723;729;0;11702352;0;117;612 
23397072;540;0;11698525;0;52;488 
23397373;620;0;11698678;0;80;540 
23400646;512;0;11700315;0;60;452 
23396259;680;0;11698119;0;104;576 
23430670;820;0;11715323;0;100;720 
23401291;656;0;11700635;0;100;556 
23396087;566;0;11698034;0;77;489 
23422851;836;0;11711418;0;76;760 
23395986;652;0;11697984;0;56;596 
23410618;720;0;11705300;0;88;632 
23395358;636;0;11697667;0;128;508 
23396079;644;0;11698026;0;84;560 
23395052;628;0;11697513;0;92;536 
23399980;592;0;11699982;0;100;492 
23397399;756;0;11698692;0;68;688 
23397897;648;0;11698940;0;92;556 
23397679;748;0;11698829;0;80;668 
23397780;648;0;11698882;0;128;520 
23395085;584;0;11697530;0;88;496 
23397197;576;0;11698587;0;68;508 
23395818;584;0;11697902;0;88;496 
23395860;646;0;11697919;0;108;538 
23408511;716;0;11704247;0;92;624 
23394324;556;0;11697153;0;108;448 
23396928;588;0;11698455;0;64;524 
23408409;616;0;11704197;0;64;552 
23401282;600;0;11700631;0;136;464 
23395039;555;0;11697509;0;68;487 
23394293;580;0;11697137;0;52;528 
23402904;572;0;11701439;0;80;492 
23396106;640;0;11698041;0;84;556 
23394737;576;0;11697359;0;76;500 
23410696;504;0;11705336;0;92;412 
23396175;552;0;11698076;0;76;476 
23401259;608;0;11700620;0;80;528 
23401550;612;0;11700765;0;128;484 
23407123;648;0;11703551;0;60;588 
23400891;540;0;11700434;0;84;456 
23423276;700;0;11711630;0;52;648 
23403038;671;0;11701507;0;96;575 
23399207;652;0;11699596;0;144;508 
23397584;552;0;11698782;0;52;500 
23396283;568;0;11698131;0;64;504 
23396556;480;0;11698267;0;64;416 
23408036;779;0;11704008;0;99;680 
23394219;592;0;11697100;0;84;508 
23409212;852;0;11704594;0;80;772 
23415011;832;0;11707497;0;112;720 
23396708;558;0;11698341;0;102;456 
23395376;672;0;11697679;0;100;572 
23394411;725;0;11697196;0;96;629 
23417478;518;0;11708731;0;84;434 
23405445;754;0;11702713;0;102;652 
23396532;680;0;11698258;0;92;588 
23398400;712;0;11699189;0;60;652 
23396012;612;0;11697998;0;124;488 
23396742;508;0;11698361;0;84;424 
23423409;683;0;11711691;0;115;568 
23412991;602;0;11706486;0;101;501 
23398430;536;0;11699204;0;68;468 
23399643;516;0;11699813;0;52;464 
23400257;708;0;11700116;0;200;508 
23396078;718;0;11698029;0;128;590 
23413922;724;0;11706949;0;100;624 
23406493;660;0;11703236;0;92;568 
23394175;540;0;11697081;0;76;464 
23395285;812;0;11697634;0;64;748 
23396150;588;0;11698061;0;80;508 
23398007;682;0;11698993;0;94;588 
23406225;612;0;11703104;0;80;532 
23405243;628;0;11702610;0;76;552 
23405481;676;0;11702733;0;100;576 
23397170;782;0;11698576;0;140;642 
23395411;552;0;11697694;0;140;412 
23399836;927;0;11699907;0;122;805 
23396153;592;0;11698069;0;64;528 
23401429;640;0;11700703;0;108;532 
23397316;812;0;11698651;0;96;716 
23402467;520;0;11701223;0;88;432 
23401234;756;0;11700608;0;96;660 
23397130;500;0;11698556;0;44;456 
23394061;612;0;11697019;0;124;488 
23398523;1028;0;11699248;0;136;892 
23398215;520;0;11699098;0;80;440 
23396386;628;0;11698180;0;80;548 
23396412;732;0;11698196;0;108;624 
23403263;731;0;11701622;0;96;635 
23395116;636;0;11697549;0;96;540 
23395503;440;0;11697742;0;64;376 
23394664;493;0;11697327;0;65;428 
23400309;1032;0;11700144;0;108;924 
23396094;772;0;11698038;0;84;688 
23417439;785;0;11708705;0;133;652 
23396985;652;0;11698482;0;88;564 
23405930;699;0;11702959;0;121;578 
23397253;818;0;11698619;0;234;584 
23401341;616;0;11700660;0;68;548 
23403594;726;0;11701790;0;154;572 
23393522;633;0;11696750;0;81;552 
23396219;736;0;11698100;0;60;676 
23400163;700;0;11700073;0;136;564 
23395693;540;0;11697836;0;96;444 
23399728;684;0;11699856;0;60;624 
23395562;672;0;11697772;0;100;572 
23412861;1268;0;11706421;0;380;888 
23394883;704;0;11697434;0;92;612 
23402421;608;0;11701200;0;140;468 
23394747;668;0;11697362;0;56;612 
23396865;672;0;11698421;0;60;612 
23401325;700;0;11700653;0;140;560 
23395629;596;0;11697804;0;96;500 
23403773;628;0;11701875;0;80;548 
23396264;648;0;11698123;0;84;564 
23399807;652;0;11699894;0;60;592 
23396856;544;0;11698419;0;112;432 
23401858;842;0;11700920;0;334;508 
23404333;972;0;11702152;0;108;864 
23402223;608;0;11701103;0;108;500 
23405550;660;0;11702766;0;108;552 
23398189;652;0;11699086;0;100;552 
23397877;648;0;11698929;0;92;556 
23397032;616;0;11698506;0;56;560 
23401975;508;0;11700974;0;92;416 
23411135;768;0;11705561;0;112;656 
23409288;698;0;11704637;0;134;564 
23401979;604;0;11700976;0;56;548 
23398029;681;0;11699004;0;57;624 
23397072;528;0;11698526;0;60;468 
23400647;652;0;11700315;0;64;588 
23407169;696;0;11703578;0;96;600 
23397599;726;0;11698791;0;102;624 
23398013;584;0;11698996;0;120;464 
23398555;556;0;11699267;0;44;512 
23395799;696;0;11697885;0;68;628 
23396799;556;0;11698386;0;64;492 
23399687;630;0;11699833;0;98;532 
23411035;640;0;11705510;0;68;572 
23399375;748;0;11699679;0;116;632 
23410793;644;0;11705385;0;136;508 
23411754;884;0;11705870;0;148;736 
23409331;855;0;11704656;0;87;768 
23406989;660;0;11703484;0;92;568 
23410536;557;0;11705260;0;66;491 
23399005;748;0;11699495;0;124;624 
23403733;724;0;11701856;0;72;652 
23408464;672;0;11704221;0;84;588 
23396389;576;0;11698183;0;104;472 
23401334;1079;0;11700652;0;170;909 
23395331;552;0;11697659;0;80;472 
23395808;656;0;11697889;0;56;600 
23404749;716;0;11702367;0;120;596 
23395609;744;0;11697794;0;68;676 
23404333;612;0;11702156;0;56;556 
23395430;604;0;11697703;0;108;496 
23397954;524;0;11698968;0;84;440 
23397037;625;0;11698507;0;117;508 
23401201;592;0;11700588;0;64;528 
23404845;724;0;11702412;0;84;640 
23400719;704;0;11700348;0;64;640 
23395524;486;0;11697750;0;74;412 
23400294;760;0;11700138;0;88;672 
23398811;728;0;11699396;0;88;640 
23396131;612;0;11698056;0;80;532 
23394690;596;0;11697335;0;100;496 
23408660;584;0;11704321;0;124;460 
23407934;592;0;11703956;0;112;480 
23407119;848;0;11703549;0;76;772 
23395590;614;0;11697788;0;134;480 
23396025;616;0;11698001;0;120;496 
23400468;596;0;11700225;0;96;500 
23399159;593;0;11699572;0;61;532 
23399351;660;0;11699666;0;88;572 
23408683;496;0;11704334;0;80;416 
23396932;604;0;11698454;0;68;536 
23401342;512;0;11700664;0;48;464 
23424971;576;0;11712474;0;96;480 
23396529;858;0;11698257;0;322;536 
23401896;774;0;11700939;0;126;648 
23400462;552;0;11700223;0;92;460 
23394934;796;0;11697456;0;136;660 
23394651;667;0;11697311;0;79;588 
23397583;592;0;11698779;0;124;468 
23399330;556;0;11699658;0;76;480 
23402190;562;0;11701082;0;66;496 
23396010;609;0;11697989;0;81;528 
23403349;736;0;11701666;0;64;672 
23407909;608;0;11703944;0;76;532 
23396549;568;0;11698264;0;68;500 
23397089;636;0;11698532;0;120;516 
23401220;712;0;11700602;0;72;640 
23397893;564;0;11698934;0;104;460 
23396188;640;0;11698086;0;92;548 
23401977;576;0;11700977;0;52;524 
23399286;568;0;11699632;0;108;460 
23407997;810;0;11703987;0;144;666 
23407584;712;0;11703781;0;72;640 
23395578;648;0;11697779;0;108;540 
23402634;564;0;11701305;0;52;512 
23405099;747;0;11702541;0;108;639 
23425305;539;0;11712644;0;63;476 
23399600;648;0;11699793;0;72;576 
23398327;536;0;11699156;0;76;460 
23396020;720;0;11698001;0;144;576 
23396811;620;0;11698396;0;68;552 
23397787;692;0;11698884;0;152;540 
23396784;749;0;11698385;0;73;676 
23409315;1000;0;11704648;0;168;832 
23400188;568;0;11700083;0;96;472 
23398408;552;0;11699194;0;80;472 
23395608;440;0;11697794;0;64;376 
23428390;1126;0;11714185;0;106;1020 
23418146;544;0;11709063;0;48;496 
23396141;640;0;11698059;0;132;508 
23405170;572;0;11702578;0;80;492 
23409523;700;0;11704751;0;144;556 
23411329;2055;0;11705654;0;447;1608 
23410799;991;0;11705388;0;73;918 
23394571;496;0;11697278;0;68;428 
23394833;660;0;11697406;0;56;604 
23401109;650;0;11700543;0;66;584 
23396293;578;0;11698134;0;66;512 
23397543;998;0;11698760;0;250;748 
23431403;592;0;11715690;0;76;516 
23416734;776;0;11708357;0;120;656 
23405583;636;0;11702783;0;72;564 
23396580;584;0;11698279;0;80;504 
23396708;620;0;11698343;0;116;504 
23394635;548;0;11697309;0;68;480 
23407899;1549;0;11703937;0;593;956 
23400073;676;0;11700026;0;84;592 
23414308;648;0;11707142;0;120;528 
23407362;628;0;11703672;0;80;548 
23395387;643;0;11697683;0;83;560 
23397455;636;0;11698716;0;88;548 
23403879;634;0;11701931;0;70;564 
23395082;678;0;11697536;0;104;574 
23399693;703;0;11699835;0;103;600 
