CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
23394156;6709347;0;29292;0;0;0 
23400509;6710347;0;14221;0;0;0 
23396927;6710225;0;26908;0;0;0 
23402562;6714598;0;41723;0;0;0 
23399470;6714878;0;115552;0;0;0 
23423567;6720650;0;88355;0;0;0 
23400203;6710475;0;62178;0;0;0 
23396262;6710853;0;12152;0;0;0 
23397544;6713748;0;119288;0;0;0 
23394752;6709568;0;102177;0;0;0 
23398064;6712144;0;69657;0;0;0 
23405143;6712544;0;37370;0;0;0 
23397129;6711932;0;61627;0;0;0 
23404995;6711448;0;53127;0;0;0 
23400578;6707651;0;29956;0;0;0 
23404216;6711520;0;25886;0;0;0 
23397187;6709732;0;52563;0;0;0 
23409995;6707396;0;183624;0;0;0 
23396917;6709833;0;40350;0;0;0 
23399662;6711820;0;70104;0;0;0 
23413393;6714327;0;139330;0;0;0 
23398135;6708212;0;76681;0;0;0 
23396427;6710941;0;3773;0;0;0 
23398454;6712018;0;64187;0;0;0 
23394392;6711286;0;37222;0;6;0 
23404365;6718184;0;139356;0;0;0 
23395486;6712014;0;106786;0;0;0 
23424706;6724531;0;28417;0;0;0 
23407938;6716674;0;27628;0;0;0 
23394952;6706461;0;28886;0;0;0 
23396518;6708923;0;64751;0;0;0 
23397098;6714038;0;32579;0;0;0 
23398012;6710621;0;63588;0;0;0 
23405921;6709425;0;5177;0;0;0 
23404519;6712617;0;41968;0;0;0 
23401980;6709686;0;13861;0;0;0 
23404452;6713509;0;75416;0;0;0 
23395864;6706851;0;10197;0;0;0 
23401887;6709737;0;46326;0;0;0 
23396577;6711509;0;39628;0;0;0 
23401534;6711662;0;50055;0;0;0 
23406982;6712083;0;66200;0;0;0 
23412618;6722038;0;104601;0;0;0 
23398856;6709983;0;39882;0;0;0 
23397526;6707541;0;127575;0;0;0 
23405217;6717597;0;26393;0;0;0 
23394148;6711958;0;37646;0;0;0 
23395787;6709951;0;65307;0;471;0 
23399894;6710749;0;10314;0;0;0 
23402758;6713313;0;7935;0;0;0 
23395963;6705522;0;13920;0;0;0 
23396726;6706825;0;102755;0;0;0 
23399753;6711563;0;49086;0;17;0 
23402154;6713780;0;51375;0;0;0 
23403988;6714436;0;138771;0;0;0 
23394534;6714730;0;38168;0;0;0 
23397813;6709817;0;128958;0;1;0 
23397432;6711259;0;129088;0;0;0 
23395159;6711800;0;46869;0;3;0 
23414094;6720462;0;75412;0;0;0 
23421924;6718928;0;13838;0;0;0 
23397431;6711342;0;95376;0;127;0 
23395953;6711728;0;69524;0;0;0 
23401011;6707663;0;54732;0;0;0 
23396195;6709726;0;13786;0;0;0 
23400161;6714173;0;128562;0;0;0 
23399932;6712893;0;29398;0;0;0 
23424878;6721365;0;84193;0;0;0 
23398618;6708404;0;26825;0;0;0 
23403575;6715795;0;51635;0;0;0 
23407205;6716509;0;35688;0;0;0 
23394678;6709503;0;52874;0;0;0 
23398699;6708737;0;35065;0;28;0 
23398691;6711547;0;67458;0;0;0 
23394285;6709252;0;38875;0;0;0 
23400565;6711724;0;80360;0;0;0 
23409510;6712071;0;8024;0;0;0 
23407348;6714210;0;294326;0;0;0 
23397326;6711035;0;14457;0;0;0 
23398597;6716757;0;26863;0;0;0 
23396173;6712465;0;103868;0;0;0 
23395898;6708558;0;104634;0;0;0 
23395592;6709943;0;55080;0;0;0 
23398854;6711979;0;127558;0;0;0 
23398129;6714471;0;31596;0;0;0 
23422808;6718755;0;117528;0;0;0 
23395023;6708603;0;95704;0;1;0 
23396788;6708624;0;61515;0;0;0 
23403262;6713424;0;65947;0;0;0 
23402266;6715366;0;71236;0;0;0 
23408157;6709319;0;28925;0;0;0 
23398281;6708934;0;35076;0;0;0 
23412912;6720473;0;18879;0;0;0 
23396745;6713648;0;67066;0;0;0 
23397829;6710267;0;16924;0;0;0 
23397827;6709504;0;40671;0;0;0 
23402358;6709930;0;66127;0;0;0 
23395575;6713148;0;84108;0;0;0 
23394731;6708605;0;35084;0;0;0 
23398867;6711164;0;74835;0;0;0 
23395531;6712961;0;14850;0;433;0 
23397315;6712047;0;49585;0;0;0 
23401922;6709335;0;103372;0;0;0 
23395514;6710053;0;53431;0;0;0 
23397037;6711700;0;61548;0;0;0 
23398953;6711823;0;52465;0;0;0 
23404014;6714750;0;72828;0;0;0 
23400684;6717369;0;4178;0;0;0 
23399680;6714173;0;53582;0;0;0 
23402671;6709291;0;80694;0;0;0 
23397550;6709096;0;21657;0;0;0 
23397105;6711391;0;83168;0;0;0 
23399694;6710316;0;104883;0;0;0 
23402101;6708304;0;65678;0;0;0 
23410305;6719483;0;126594;0;0;0 
23402624;6712400;0;14810;0;0;0 
23396876;6712457;0;113736;0;0;0 
23395294;6709917;0;65295;0;0;0 
23402915;6709377;0;128555;0;0;0 
23396590;6710985;0;32772;0;0;0 
23397044;6712005;0;4073;0;431;0 
23395441;6708997;0;100917;0;0;0 
23393879;6713895;0;3335;0;28;0 
23394807;6708592;0;86901;0;0;0 
23401300;6710822;0;122196;0;0;0 
23394544;6713373;0;78480;0;0;0 
23395111;6712399;0;2570;0;0;0 
23403205;6710241;0;45430;0;0;0 
23402596;6712730;0;74493;0;0;0 
23395139;6711972;0;79305;0;0;0 
23394942;6711146;0;77956;0;0;0 
23417627;6711983;0;7215;0;0;0 
23407140;6715141;0;28992;0;6;0 
23395059;6712871;0;67019;0;0;0 
