CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
23394678;0;3114454;3681;284;0;1847731 
23408258;0;3104830;3419;291;0;1847735 
23396487;0;3112971;3215;287;0;1847736 
23435430;0;3108462;21362;355;0;1847734 
23403255;0;3110691;3882;312;0;1847728 
23395371;0;3114517;3071;285;0;1847733 
23397269;0;3111703;3011;291;0;1847735 
23402187;0;3111388;3652;288;0;1847735 
23399182;0;3114923;5759;290;0;1847734 
23403457;0;3111372;3308;291;0;1847739 
23400715;0;3110564;3321;283;0;1847729 
23398290;0;3111446;3400;282;0;1847728 
23414813;0;3100241;3377;290;0;1847736 
23401354;0;3108976;3484;289;0;1847736 
23412843;0;3104351;3234;291;0;1847737 
23400792;0;3112385;2941;284;0;1847724 
23399814;0;3111469;3211;282;0;1847735 
23416527;0;3097299;3021;289;0;1847734 
23396769;0;3114391;4247;290;0;1847733 
23399881;0;3111674;3643;283;0;1847724 
23399174;0;3113393;5830;290;0;1847738 
23398910;0;3111280;4121;291;0;1847738 
23405315;0;3109571;2968;290;0;1847732 
23395166;0;3114100;2871;287;0;1847729 
23397026;0;3113473;3019;293;0;1847736 
23396238;0;3115135;3296;287;0;1847733 
23404886;0;3107011;3233;289;0;1847731 
23396647;0;3112414;3225;281;0;1847727 
23397658;0;3113675;3636;287;0;1847739 
23399487;0;3113257;3236;290;0;1847730 
23396204;0;3113182;3445;292;0;1847726 
23402014;0;3111297;5393;289;0;1847736 
23408292;0;3106658;5679;287;0;1847737 
23408865;0;3108478;3116;289;0;1847732 
23401733;0;3109668;3101;281;0;1847730 
23396354;0;3115570;3336;289;0;1847735 
23397971;0;3113969;3342;290;0;1847733 
23399655;0;3109986;3645;290;0;1847730 
23397295;0;3114200;4817;289;0;1847733 
23413427;0;3097582;4276;286;0;1847735 
23402297;0;3111311;3357;287;0;1847736 
23396024;0;3114475;3134;291;0;1847739 
23396433;0;3115236;3094;279;0;1847727 
23396334;0;3114260;3642;288;0;1847733 
23403208;0;3113673;3476;290;0;1847739 
23408326;0;3110806;7622;289;0;1847730 
23402433;0;3107597;3150;277;0;1847737 
23396591;0;3115696;3386;290;0;1847727 
23398980;0;3111265;3844;281;0;1847728 
23397084;0;3115328;3349;288;0;1847743 
23411111;0;3104658;4343;287;0;1847740 
23410123;0;3106930;3101;289;0;1847724 
23395338;0;3113584;3522;293;0;1847731 
23397423;0;3113491;4237;290;0;1847736 
23397051;0;3113693;3254;290;0;1847741 
23401083;0;3112298;5968;283;0;1847734 
23397161;0;3113066;3330;292;0;1847728 
23416222;0;3103887;5800;286;0;1847736 
23398850;0;3115663;5896;285;0;1847740 
23397439;0;3113285;3298;287;0;1847731 
23396891;0;3111549;3194;284;0;1847729 
23405029;0;3103667;3245;286;0;1847740 
23398740;0;3112621;3552;289;0;1847738 
23394781;0;3113667;3207;287;0;1847731 
23396036;0;3112269;3188;286;0;1847728 
23398646;0;3111438;2978;289;0;1847735 
23429213;0;3093769;3460;287;0;1847736 
23395649;0;3114144;3023;284;0;1847734 
23396219;0;3114482;3722;284;0;1847732 
23404179;0;3108675;3182;290;0;1847737 
23397620;0;3114328;3415;287;0;1847736 
23396665;0;3114066;3519;290;0;1847727 
23402946;0;3112522;5081;280;0;1847729 
23400020;0;3111958;3217;290;0;1847736 
23408267;0;3105547;3243;311;0;1847736 
23430958;0;3088265;3024;285;0;1847723 
23396993;0;3112328;3365;288;0;1847740 
23395115;0;3113126;3305;286;0;1847736 
23397206;0;3113062;3084;289;0;1847731 
23394746;0;3114397;3243;285;0;1847727 
23399616;0;3112053;3214;290;0;1847739 
23398968;0;3110558;3130;289;0;1847735 
23395889;0;3114658;3203;285;0;1847725 
23395986;0;3114350;3422;288;0;1847728 
23404197;0;3108131;3541;290;0;1847734 
23402392;0;3110887;3312;288;0;1847727 
23404926;0;3108390;3381;292;0;1847727 
23407758;0;3109077;4221;285;0;1847729 
23395521;0;3114779;3214;286;0;1847739 
23396535;0;3114467;3053;289;0;1847735 
23400529;0;3110087;2997;274;0;1847735 
23409544;0;3100094;3209;290;0;1847736 
23411752;0;3104233;4625;290;0;1847731 
23396792;0;3111705;3369;284;0;1847730 
23399093;0;3113554;3015;289;0;1847739 
23397693;0;3113142;3215;288;0;1847732 
23396225;0;3114676;3233;288;0;1847732 
23396210;0;3114524;3322;285;0;1847729 
23398505;0;3113563;5131;284;0;1847736 
23395173;0;3113484;3390;287;0;1847725 
23393331;0;3113652;2919;285;0;1847732 
23406954;0;3106113;3163;289;0;1847733 
23403946;0;3110521;3665;289;0;1847732 
23409789;0;3105922;3697;311;0;1847728 
23402743;0;3109296;5152;283;0;1847724 
23399861;0;3114938;5697;288;0;1847727 
23398901;0;3115794;5131;287;0;1847734 
23399558;0;3114221;5479;287;0;1847733 
23395401;0;3114403;3456;286;0;1847737 
23407039;0;3108379;3775;289;0;1847726 
23396165;0;3112073;3012;291;0;1847739 
23406168;0;3104439;3073;290;0;1847735 
23395956;0;3112696;3201;289;0;1847729 
23404882;0;3107974;3297;283;0;1847733 
23398417;0;3114073;4152;283;0;1847736 
23395610;0;3113691;3235;287;0;1847726 
23399009;0;3110936;3230;289;0;1847731 
