CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
23402538;4902806;139041;25851621;0;47;0 
23397036;4902810;139041;25851597;0;47;0 
23398064;4902807;139041;25851616;0;47;0 
23399697;4902803;139042;25851637;0;47;0 
23404871;4902808;139041;25851629;0;47;0 
23395913;4902805;139041;25851555;0;47;0 
23406913;4902803;139041;25851575;0;47;0 
23404031;4902807;139041;25851580;0;47;0 
23403324;4902811;139041;25851577;0;46;0 
23397657;4902805;139041;25851610;0;47;0 
23407152;4902809;139041;25851533;0;47;0 
23396035;4902808;139041;25851552;0;47;0 
23396966;4902807;139042;25851654;0;47;0 
23395073;4902811;139041;25851583;0;47;0 
23434752;4902808;139041;25851679;0;47;0 
23399324;4902807;139041;25851599;0;47;0 
23415962;4902810;139041;25851612;0;46;0 
23396618;4902812;139041;25851658;0;47;0 
23397154;4902808;139042;25851602;0;51;0 
23397554;4902805;139043;25851595;0;48;0 
23397569;4902807;139041;25851638;0;47;0 
23431588;4902807;139041;25851621;0;47;0 
23399661;4902807;139041;25851620;0;47;0 
23395235;4902812;139041;25851591;0;47;0 
23405798;4902808;139041;25851647;0;47;0 
23401641;4902804;139041;25851584;0;47;0 
23396141;4902806;139041;25851618;0;47;0 
23400910;4902814;139041;25851682;0;47;0 
23425002;4902809;139041;25851652;0;47;0 
23400567;4902808;139042;25851562;0;47;0 
23406031;4902809;139041;25851553;0;49;0 
23398519;4902812;139041;25851561;0;47;0 
23395325;4902809;139041;25851584;0;48;0 
23407861;4902812;139041;25851695;0;47;0 
23397973;4902807;139041;25851602;0;47;0 
23394561;4902811;139041;25851544;0;48;0 
23394852;4902807;139041;25851588;0;47;0 
23411079;4902806;139041;25851689;0;47;0 
23426251;4902809;139041;25851652;0;47;0 
23397281;4902808;139041;25851654;0;47;0 
23400198;4902809;139041;25851565;0;46;0 
23394510;4902807;139042;25851608;0;47;0 
23397808;4902803;139041;25851612;0;47;0 
23417074;4902809;139041;25851637;0;47;0 
23398312;4902807;139041;25851649;0;47;0 
23397693;4902805;139041;25851638;0;47;0 
23400215;4902808;139041;25851660;0;47;0 
23394973;4902807;139041;25851556;0;47;0 
23399336;4902804;139042;25851633;0;47;0 
23400398;4902807;139041;25851615;0;47;0 
23396905;4902806;139042;25851677;0;47;0 
23399793;4902811;139041;25851671;0;47;0 
23400545;4902805;139041;25851630;0;47;0 
23401817;4902802;139042;25851661;0;47;0 
23395993;4902809;139041;25851571;0;47;0 
23411188;4902808;139042;25851646;0;60;0 
23429271;4902802;139043;25851610;0;47;0 
23398282;4902807;139041;25851522;0;47;0 
23413279;4902807;139041;25851616;0;47;0 
23398016;4902809;139041;25851610;0;47;0 
23410569;4902809;139042;25851651;0;47;0 
23395606;4902809;139041;25851591;0;47;0 
23394643;4902811;139041;25851582;0;48;0 
23400477;4902804;139041;25851679;0;47;0 
23400717;4902805;139041;25851649;0;47;0 
23398079;4902809;139041;25851579;0;47;0 
23398684;4902810;139041;25851588;0;47;0 
23396696;4902809;139041;25851539;0;47;0 
23394843;4902807;139042;25851584;0;47;0 
23409554;4902803;139041;25851568;0;47;0 
23408702;4902808;139041;25851662;0;47;0 
23398501;4902808;139041;25851679;0;47;0 
23394760;4902806;139041;25851621;0;47;0 
23397022;4902810;139041;25851674;0;47;0 
23407309;4902812;139041;25851603;0;47;0 
23401891;4902807;139041;25851572;0;47;0 
23396485;4902811;139041;25851625;0;47;0 
23409160;4902806;139041;25851618;0;48;0 
23394905;4902812;139041;25851567;0;47;0 
23397181;4902808;139041;25851625;0;47;0 
23423029;4902807;139041;25851571;0;47;0 
23397758;4902808;139041;25851586;0;47;0 
23401449;4902811;139041;25851610;0;47;0 
23397712;4902810;139041;25851642;0;47;0 
23401893;4902804;139041;25851664;0;47;0 
23410993;4902806;139041;25851559;0;47;0 
23435496;4902807;139041;25851659;0;47;0 
23397968;4902809;139041;25851636;0;47;0 
23405261;4902809;139042;25851570;0;47;0 
23400170;4902804;139042;25851563;0;47;0 
23408408;4902804;139041;25851614;0;47;0 
23397298;4902812;139041;25851653;0;47;0 
23398060;4902806;139041;25851581;0;47;0 
23438089;4902807;139042;25851626;0;48;0 
23431956;4902810;139041;25851661;0;47;0 
23428928;4902808;139041;25851680;0;49;0 
23506669;4902815;139041;25851721;0;80;0 
23420823;4902813;139041;25851714;0;58;0 
23416806;4902807;139041;25851571;0;48;0 
23399750;4902809;139042;25851677;0;47;0 
23404540;4902810;139042;25851580;0;47;0 
23397097;4902805;139041;25851646;0;47;0 
23402454;4902809;139041;25851555;0;47;0 
23397416;4902811;139041;25851578;0;47;0 
23394756;4902809;139041;25851620;0;47;0 
23397103;4902810;139042;25851584;0;47;0 
23396365;4902811;139041;25851561;0;47;0 
23395077;4902811;139041;25851588;0;47;0 
23408772;4902806;139041;25851617;0;47;0 
23397083;4902811;139041;25851640;0;47;0 
23411219;4902810;139041;25851635;0;47;0 
23396640;4902809;139042;25851587;0;46;0 
23406194;4902806;139041;25851636;0;47;0 
23432011;4902813;139041;25851648;0;46;0 
23405249;4902810;139041;25851602;0;47;0 
23401092;4902808;139041;25851609;0;47;0 
23396507;4902810;139041;25851551;0;47;0 
23398063;4902808;139041;25851596;0;47;0 
23403764;4902809;139042;25851615;0;47;0 
23395928;4902808;139041;25851677;0;47;0 
23408737;4902808;139041;25851613;0;47;0 
23395677;4902803;139041;25851619;0;47;0 
23400368;4902805;139042;25851595;0;47;0 
23399587;4902802;139041;25851700;0;47;0 
23407140;4902812;139041;25851577;0;47;0 
23431249;4902810;139041;25851644;0;47;0 
23398323;4902810;139043;25851586;0;47;0 
23396514;4902808;139041;25851574;0;46;0 
23405824;4902807;139041;25851534;0;47;0 
23397475;4902810;139041;25851616;0;47;0 
23397630;4902805;139042;25851664;0;47;0 
23406857;4902808;139041;25851624;0;47;0 
23408920;4902807;139041;25851574;0;48;0 
23408116;4902808;139041;25851692;0;47;0 
23396660;4902808;139042;25851606;0;47;0 
23398257;4902804;139041;25851562;0;47;0 
23406110;4902809;139041;25851662;0;47;0 
23397438;4902811;139041;25851639;0;47;0 
23400436;4902807;139042;25851655;0;47;0 
23398972;4902804;139041;25851561;0;47;0 
23401386;4902808;139041;25851610;0;47;0 
23396733;4902807;139042;25851540;0;47;0 
23415286;4902811;139042;25851685;0;59;0 
23409557;4902809;139042;25851517;0;47;0 
23397390;4902806;139041;25851643;0;47;0 
23428938;4902808;139041;25851607;0;47;0 
23404034;4902807;139042;25851585;0;47;0 
23396991;4902810;139041;25851563;0;47;0 
23396017;4902809;139042;25851620;0;47;0 
23395774;4902809;139042;25851555;0;47;0 
