CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
23408612;1;42;0;6060;0;2091 
23394715;1;41;0;2477;0;722 
23406002;1;41;0;6272;0;2357 
23397205;1;40;0;2591;0;680 
23404124;1;41;0;5868;0;2321 
23398370;1;40;0;2714;0;801 
23397668;1;41;0;3280;0;890 
23411541;1;41;0;7056;0;1897 
23395184;1;42;0;2803;0;909 
23396844;1;40;0;2764;0;832 
23398841;1;41;0;3371;0;773 
23395652;1;41;0;2859;0;1038 
23397339;1;41;0;2709;0;879 
23425561;1;41;0;9826;0;3214 
23403559;1;41;0;3947;0;1068 
23396701;1;40;0;2670;0;825 
23394832;1;41;0;2410;0;640 
23396371;1;40;0;2625;0;758 
23397493;1;41;0;3491;0;1171 
23395545;1;40;0;2604;0;778 
23399909;1;40;0;3848;0;1159 
23397089;1;40;0;3062;0;738 
23402885;1;41;0;4478;0;1276 
23398539;1;41;0;3482;0;953 
23396252;1;42;0;2393;0;560 
23399158;1;40;0;3413;0;744 
23394260;1;40;0;2461;0;711 
23399226;1;41;0;3349;0;911 
23414562;1;45;0;7684;0;2318 
23402191;1;40;0;3684;0;1108 
23397764;1;40;0;2706;0;854 
23401044;1;41;0;3280;0;776 
23400717;1;41;0;3902;0;873 
23425826;1;41;0;9457;0;2992 
23406441;1;41;0;5989;0;2213 
23397426;1;40;0;2717;0;741 
23404047;1;41;0;3404;0;808 
23407935;1;41;0;5300;0;1056 
23409511;1;41;0;6123;0;2226 
23406536;1;41;0;6133;0;2390 
23398182;1;40;0;3574;0;1064 
23406202;1;40;0;6063;0;2244 
23394465;1;40;0;2442;0;729 
23425407;1;40;0;10148;0;3395 
23396221;1;40;0;2824;0;847 
23396349;1;41;0;2543;0;601 
23399565;1;39;0;3867;0;1330 
23408307;1;42;0;6601;0;1869 
23418918;1;40;0;8319;0;3044 
23396828;1;40;0;3702;0;1456 
23395223;1;40;0;2499;0;698 
23396311;1;40;0;2410;0;650 
23408873;1;40;0;6670;0;2197 
23395430;1;41;0;2428;0;673 
23405154;1;40;0;6054;0;2096 
23407635;1;40;0;6490;0;2736 
23412376;1;41;0;7133;0;2490 
23397499;1;40;0;3838;0;1253 
23405557;1;40;0;6112;0;2351 
23399036;1;44;0;3768;0;1381 
23410520;1;40;0;7174;0;2066 
23406991;1;39;0;6107;0;2382 
23398757;1;40;0;3769;0;1198 
23423668;1;40;0;10079;0;2907 
23398374;1;41;0;3572;0;1548 
23408483;1;40;0;6108;0;2305 
23397039;1;40;0;2867;0;995 
23401865;1;40;0;4145;0;1122 
23406435;1;40;0;6017;0;2168 
23405463;1;41;0;5917;0;2216 
23398502;1;40;0;3279;0;1051 
23399537;1;40;0;3840;0;1157 
23403604;1;40;0;6005;0;2210 
23398808;1;41;0;2610;0;658 
23411429;1;40;0;7046;0;2250 
23396564;1;40;0;2593;0;780 
23402403;1;40;0;4272;0;957 
23396589;1;40;0;3257;0;847 
23406577;1;41;0;5219;0;1292 
23395958;1;40;0;2974;0;959 
23417191;1;40;0;7291;0;2472 
23396432;1;40;0;2748;0;907 
23426343;1;40;0;10246;0;3309 
23394842;1;40;0;2643;0;876 
23399267;1;40;0;3758;0;924 
23398198;1;40;0;2641;0;816 
23403343;1;40;0;4325;0;997 
23400528;1;40;0;3471;0;1137 
23398193;1;40;0;3028;0;960 
23395916;1;41;0;2494;0;702 
23430494;1;40;0;12560;0;4477 
23396944;1;41;0;2773;0;827 
23398919;1;40;0;3911;0;1148 
23394756;1;40;0;2832;0;936 
23395116;1;39;0;2678;0;937 
23397442;1;41;0;2954;0;993 
23407701;1;40;0;6005;0;2316 
23406386;1;40;0;5934;0;2427 
23428491;1;40;0;12017;0;4361 
23403625;1;40;0;4395;0;1090 
23405547;1;40;0;4497;0;964 
23414845;1;52;0;7896;0;2594 
23394804;1;39;0;2634;0;832 
23408675;1;40;0;5440;0;1555 
23409415;1;40;0;6142;0;2224 
23397178;1;40;0;2525;0;690 
23403563;1;40;0;4523;0;1126 
23399933;1;40;0;3447;0;899 
23397026;1;40;0;2623;0;738 
23406410;1;40;0;4390;0;829 
23404548;1;40;0;6150;0;2434 
23412979;1;40;0;7711;0;2202 
23402894;1;40;0;5830;0;2440 
23397006;1;40;0;2784;0;858 
23400074;1;40;0;3779;0;1000 
23428471;1;40;0;11858;0;3891 
23397780;1;40;0;2583;0;717 
23402876;1;40;0;3559;0;952 
23409201;1;40;0;6894;0;2660 
23394451;1;40;0;2895;0;876 
23396902;1;40;0;3118;0;1161 
23395047;1;40;0;2594;0;770 
23402213;1;40;0;4370;0;1377 
23405978;1;40;0;6031;0;2241 
23398132;1;39;0;2585;0;690 
23397994;1;40;0;2483;0;698 
23396716;1;40;0;2849;0;770 
23399006;1;40;0;3087;0;963 
23401085;1;40;0;3745;0;1070 
23404057;1;40;0;5890;0;2464 
23402567;1;40;0;4051;0;802 
23400838;1;40;0;3964;0;1043 
23399028;1;40;0;3703;0;1173 
23405313;1;40;0;6025;0;2290 
23398881;1;40;0;3116;0;1031 
23397142;1;40;0;2864;0;901 
23426287;1;40;0;11490;0;3953 
23398535;1;40;0;3050;0;881 
23414527;1;40;0;7519;0;2527 
23397344;1;40;0;2712;0;751 
23421993;1;40;0;9621;0;3028 
23395672;1;40;0;2525;0;853 
23395751;1;40;0;3203;0;1347 
23398425;1;40;0;2988;0;916 
23406804;1;40;0;4735;0;1183 
23397019;1;40;0;3216;0;864 
23397493;1;40;0;3590;0;1026 
23400441;1;40;0;3239;0;988 
23400365;1;40;0;3965;0;1266 
23432853;1;40;0;12695;0;4359 
23401246;1;40;0;3858;0;1294 
23394503;1;39;0;2408;0;678 
23394497;1;40;0;2770;0;973 
23428523;1;40;0;10491;0;3551 
23396226;1;41;0;3220;0;928 
23399832;1;40;0;3831;0;1268 
23405752;1;40;0;5952;0;2258 
23398725;1;40;0;2758;0;795 
23430311;1;40;0;12697;0;4397 
23395712;1;40;0;3063;0;1085 
23403459;1;40;0;3299;0;870 
23402615;1;40;0;4177;0;1157 
23398874;1;40;0;2625;0;776 
23408962;1;40;0;6524;0;2348 
23396800;1;40;0;2763;0;733 
23429861;1;44;0;12487;0;4393 
23405004;1;40;0;6062;0;2454 
23403381;1;40;0;3952;0;1009 
23397666;1;40;0;3506;0;1367 
23395304;1;40;0;2603;0;811 
23395576;1;40;0;3307;0;1330 
23398729;1;40;0;3260;0;951 
23395031;1;40;0;2444;0;634 
23396154;1;40;0;2660;0;709 
23396902;1;40;0;2698;0;787 
23395702;1;41;0;3441;0;1253 
23397721;1;41;0;2497;0;747 
23405875;1;41;0;5043;0;1107 
23404480;1;40;0;4548;0;1017 
23404535;1;40;0;4417;0;987 
23393480;1;40;0;2416;0;817 
23398157;1;40;0;2597;0;909 
23407211;1;40;0;4435;0;1249 
23428485;1;40;0;10707;0;3284 
23406066;1;40;0;6076;0;2094 
23397417;1;40;0;3593;0;1218 
23404183;1;51;0;4232;0;1057 
23395737;1;40;0;3049;0;997 
23397655;1;40;0;3058;0;1003 
23410305;1;40;0;7046;0;1842 
23411821;1;40;0;7100;0;2364 
23408516;1;40;0;6940;0;1937 
23400093;1;40;0;3547;0;748 
23395744;1;40;0;3481;0;1385 
23394763;1;40;0;2943;0;1087 
23400411;1;39;0;3228;0;874 
23432174;1;40;0;12662;0;4199 
23413007;1;40;0;6059;0;2074 
23401896;1;40;0;4112;0;1256 
23397130;1;40;0;2452;0;699 
23398317;1;40;0;3553;0;1097 
23401327;1;40;0;3688;0;1057 
23426389;1;40;0;10145;0;3006 
23409763;1;40;0;5889;0;1508 
23401944;1;41;0;2997;0;669 
23394703;1;40;0;2710;0;747 
23398858;1;40;0;3068;0;806 
23406701;1;40;0;4986;0;1468 
23396651;1;40;0;2851;0;862 
23395265;1;39;0;2624;0;772 
23396951;1;40;0;3133;0;951 
23401610;1;40;0;4180;0;992 
23426413;1;40;0;10302;0;3002 
23395278;1;39;0;2706;0;658 
23396032;1;39;0;2700;0;696 
23401514;1;40;0;3455;0;1061 
23417727;1;40;0;8122;0;2655 
