CYCLES;0x13;0x14;0x15;0x16;0x17;0x18
23394083;5060991;16669849;2141;4474;30;74 
23397595;5061017;16668247;2582;5349;29;124 
23398139;5061053;16670739;2956;6092;24;106 
23399371;5061096;16672042;3513;7242;34;123 
23394620;5060970;16669230;2957;6097;28;165 
23395263;5060987;16670649;2327;4843;34;132 
23410241;5061041;16668712;4837;9596;91;133 
23397628;5060957;16667704;2703;5596;15;164 
23395223;5060987;16669055;2390;4985;17;147 
23395957;5061110;16670906;2938;6060;20;155 
23402423;5061002;16672177;2930;6054;29;115 
23424903;5061061;16666688;9868;19905;18;277 
23400986;5061036;16668858;3233;6649;39;162 
23396782;5061023;16670263;2363;4922;16;106 
23412487;5060999;16667747;7283;14749;15;172 
23408839;5061048;16669334;6165;12561;38;112 
23406522;5061030;16666811;6176;12538;21;160 
23395018;5061049;16668517;2461;5123;18;136 
23397095;5060986;16671166;2304;4820;33;120 
23399148;5061122;16670728;3188;6566;16;134 
23403740;5061052;16669611;4122;8443;30;153 
23433131;5061023;16669707;12809;25800;24;162 
23394669;5060979;16671086;2346;4896;35;113 
23401315;5061083;16670779;3422;7021;24;121 
23403199;5061042;16670850;4054;8291;22;169 
23398161;5061025;16669694;3154;6493;18;166 
23396093;5060992;16671006;3298;5692;16;128 
23402885;5061027;16671226;3753;7739;33;147 
23401430;5060983;16667061;3911;7997;17;126 
23396510;5061024;16670107;2427;5069;23;157 
23395693;5061011;16670932;2502;5211;22;134 
23396892;5061050;16670893;2817;5803;17;161 
23403222;5061104;16670426;3902;7967;90;187 
23396704;5061011;16667383;3356;6090;19;166 
23395907;5060976;16668726;2491;5180;23;149 
23394727;5061096;16671719;2287;4761;16;119 
23409038;5060974;16669122;5940;12072;16;155 
23400313;5060983;16670150;3315;6839;25;118 
23408482;5060998;16669862;6154;12481;29;183 
23394965;5060996;16671058;2452;5130;22;133 
23397073;5061046;16668266;2132;4468;29;112 
23400936;5060978;16669991;2690;5568;21;156 
23405144;5061014;16669535;4899;10039;21;143 
