CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
23394534;6385178;1;1;51734;0;0 
23396035;6385168;1;1;51742;0;0 
23399085;6385168;1;1;51807;0;0 
23411487;6385169;1;1;51823;0;0 
23398212;6385172;1;1;51842;0;0 
23396591;6385174;0;0;51759;0;0 
23406082;6385172;1;1;51816;0;0 
23399571;6385179;1;1;51810;0;0 
23408985;6385174;0;0;51782;0;0 
23403909;6385173;1;1;51840;0;0 
23398837;6385171;1;1;51795;0;0 
23406305;6385172;1;1;51748;0;0 
23400765;6385175;1;1;51780;0;0 
23405494;6385168;1;1;51816;0;0 
23408392;6385172;0;0;51849;0;0 
23401878;6385176;1;1;51829;0;0 
23405594;6385169;1;1;51755;0;0 
23397717;6385178;1;1;51784;0;0 
23399356;6385174;1;1;51827;0;0 
23398059;6385172;0;0;51822;0;0 
23413084;6385171;1;1;51760;0;0 
23411961;6385179;1;1;51798;0;0 
23395582;6385172;1;1;51845;0;0 
23405575;6385172;1;1;51819;0;0 
23405127;6385172;1;1;51843;0;0 
23406526;6385174;1;1;51860;0;0 
23397280;6385171;1;1;51789;0;0 
23395197;6385170;1;1;51763;0;0 
23398142;6385171;1;1;51840;0;0 
23395976;6385175;0;0;51756;0;0 
23430954;6385177;0;0;51749;0;0 
23432776;6385178;1;1;51763;0;0 
23400981;6385170;1;1;51884;0;0 
23396128;6385171;1;1;51750;0;0 
23394067;6385178;1;1;51724;0;0 
23397773;6385179;1;1;51805;0;0 
23398708;6385175;1;1;51780;0;0 
23393862;6385173;1;1;51740;0;0 
23432223;6385171;1;1;51748;0;0 
23404975;6385167;0;0;51776;0;0 
23394781;6385180;1;1;51839;0;0 
23397901;6385174;1;1;51744;0;0 
23395245;6385169;1;1;51722;0;0 
23394507;6385173;0;0;51729;0;0 
23396759;6385176;1;1;51765;0;0 
23399943;6385168;1;1;51768;0;0 
23398683;6385172;1;1;51824;0;0 
23402344;6385172;1;1;51754;0;0 
23394711;6385173;1;1;51830;0;0 
23398172;6385178;1;1;51829;0;0 
23396773;6385171;1;1;51851;0;0 
23394354;6385172;0;0;51824;0;0 
23412384;6385173;1;1;51851;0;0 
23397777;6385174;0;0;51804;0;0 
23417139;6385175;1;1;51790;0;0 
23399708;6385173;1;1;51857;0;0 
23406916;6385172;1;1;51698;0;0 
23398216;6385173;1;1;51844;0;0 
23394313;6385173;1;1;51811;0;0 
23397063;6385174;1;1;51815;0;0 
23407979;6385172;1;1;51716;0;0 
23395253;6385171;1;1;51810;0;0 
23395328;6385166;1;1;51819;0;0 
23412135;6385175;1;1;51780;0;0 
23397805;6385174;1;1;51911;0;0 
23409170;6385168;0;0;51783;0;0 
23405974;6385175;0;0;51931;0;0 
23399207;6385172;1;1;51808;0;0 
23397249;6385169;1;1;51796;0;0 
23399497;6385176;1;1;51772;0;0 
23396786;6385174;0;0;51791;0;0 
23402090;6385176;1;1;51906;0;0 
23406119;6385172;1;1;51766;0;0 
23411272;6385170;1;1;51781;0;0 
23434780;6385185;1;1;51846;0;0 
23396109;6385171;1;1;51846;0;0 
23401317;6385175;1;1;51799;0;0 
23405037;6385174;1;1;51817;0;0 
23397686;6385173;1;1;51780;0;0 
23416113;6385173;1;1;51815;0;0 
23409318;6385178;0;0;51863;0;0 
23428167;6385175;0;0;51827;0;0 
23406814;6385174;1;1;51878;0;0 
23426620;6385176;1;1;51768;0;0 
23410971;6385172;1;1;51780;0;0 
23399144;6385170;0;0;51788;0;0 
23395328;6385174;1;1;51843;0;0 
23399635;6385172;1;1;51736;0;0 
23404716;6385177;1;1;51756;0;0 
23399537;6385179;1;1;51835;0;0 
23411717;6385178;1;1;51849;0;0 
23415285;6385174;1;1;51801;0;0 
23396394;6385171;1;1;51749;0;0 
23409269;6385172;1;1;51795;0;0 
23395351;6385172;1;1;51806;0;0 
23396747;6385173;1;1;51791;0;0 
23398997;6385177;1;1;51737;0;0 
23414129;6385171;1;1;51797;0;0 
23405003;6385174;0;0;51750;0;0 
23398102;6385168;1;1;51739;0;0 
23406495;6385174;1;1;51774;0;0 
23417310;6385169;1;1;51879;0;0 
23396277;6385177;1;1;51793;0;0 
23400436;6385177;1;1;51820;0;0 
23398858;6385174;1;1;51795;0;0 
23401999;6385174;1;1;51781;0;0 
23428296;6385170;1;1;51815;0;0 
23398490;6385174;1;1;51733;0;0 
23408414;6385168;1;1;51891;0;0 
23395979;6385168;1;1;51834;0;0 
23399951;6385175;1;1;51830;0;0 
23401448;6385174;1;1;51803;0;0 
23403710;6385168;0;0;51774;0;0 
23394622;6385172;1;1;51720;0;0 
23405852;6385174;1;1;51782;0;0 
23394885;6385176;0;0;51757;0;0 
23428263;6385174;0;0;51750;0;0 
23403536;6385171;1;1;51862;0;0 
23395915;6385172;1;1;51847;0;0 
23397230;6385171;1;1;51785;0;0 
23399203;6385169;1;1;51852;0;0 
23405760;6385174;1;1;51842;0;0 
23402888;6385177;1;1;51798;0;0 
23395406;6385172;1;1;51790;0;0 
23396923;6385176;1;1;51866;0;0 
23398252;6385172;1;1;51812;0;0 
23429207;6385173;1;1;51817;0;0 
23394778;6385178;0;0;51800;0;0 
23394418;6385170;1;1;51755;0;0 
23407813;6385180;1;1;51847;0;0 
23412234;6385175;1;1;51782;0;0 
23778704;6385171;1;1;51843;0;0 
25237769;6385176;0;0;51805;0;0 
23409163;6385174;1;1;51837;0;0 
23396921;6385175;0;0;51849;0;0 
23428451;6385177;1;1;51874;0;0 
23429383;6385172;1;1;51774;0;0 
23401054;6385174;0;0;51754;0;0 
23399531;6385173;0;0;51741;0;0 
23408824;6385170;1;1;51791;0;0 
23397753;6385175;1;1;51832;0;0 
23397187;6385171;1;1;51781;0;0 
23396020;6385173;1;1;51876;0;0 
23401900;6385172;1;1;51793;0;0 
23396022;6385171;1;1;51841;0;0 
23397161;6385173;1;1;51867;0;0 
23406881;6385174;1;1;51749;0;0 
23396744;6385174;1;1;51806;0;0 
23397347;6385175;1;1;51818;0;0 
23399520;6385173;0;0;51730;0;0 
23399483;6385171;1;1;51805;0;0 
23417598;6385169;1;1;51810;0;0 
23401039;6385180;1;1;51851;0;0 
23395453;6385173;1;1;51857;0;0 
