CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
23407948;6385175;0;0;51738;0;0 
23408310;6385170;0;0;51752;0;0 
23407019;6385170;1;1;51807;0;0 
23406501;6385175;1;1;51827;0;0 
23397886;6385172;1;1;51754;0;0 
23394530;6385175;1;1;51819;0;0 
23397022;6385176;1;1;51869;0;0 
23412634;6385174;1;1;51756;0;0 
23410330;6385170;1;1;51825;0;0 
23394355;6385173;1;1;51800;0;0 
23397352;6385170;1;1;51887;0;0 
23401248;6385173;1;1;51809;0;0 
23400797;6385173;1;1;51809;0;0 
23397556;6385173;0;0;51847;0;0 
23399602;6385168;1;1;51733;0;0 
23407390;6385172;1;1;51758;0;0 
23401531;6385168;1;1;51781;0;0 
23397180;6385174;1;1;51788;0;0 
23398124;6385180;1;1;51840;0;0 
23409557;6385174;1;1;51766;0;0 
23403164;6385176;1;1;51763;0;0 
23396568;6385174;0;0;51840;0;0 
23397796;6385171;1;1;51871;0;0 
23394769;6385175;1;1;51768;0;0 
23400829;6385174;1;1;51869;0;0 
23395403;6385170;1;1;51858;0;0 
23398427;6385171;1;1;51748;0;0 
23396917;6385177;1;1;51843;0;0 
23396874;6385176;1;1;51757;0;0 
23394585;6385174;1;1;51832;0;0 
23399031;6385176;1;1;51812;0;0 
23402240;6385171;1;1;51849;0;0 
23398272;6385175;1;1;51862;0;0 
23398461;6385175;1;1;51858;0;0 
23398208;6385171;1;1;51813;0;0 
23396756;6385173;1;1;51767;0;0 
23398972;6385174;1;1;51846;0;0 
23395672;6385179;1;1;51762;0;0 
23397346;6385171;1;1;51759;0;0 
23396920;6385175;0;0;51784;0;0 
23407669;6385176;1;1;51816;0;0 
23403005;6385178;1;1;51814;0;0 
23403834;6385168;1;1;51767;0;0 
23411363;6385171;1;1;51833;0;0 
23400892;6385175;1;1;51804;0;0 
23403579;6385177;1;1;51819;0;0 
23397448;6385176;1;1;51793;0;0 
23402913;6385175;1;1;51848;0;0 
23395651;6385174;1;1;51849;0;0 
23400767;6385172;1;1;51831;0;0 
23402730;6385174;1;1;51853;0;0 
23398190;6385171;0;0;51828;0;0 
23408297;6385173;1;1;51779;0;0 
23398189;6385176;1;1;51711;0;0 
23399465;6385173;1;1;51870;0;0 
23413208;6385170;1;1;51807;0;0 
23405176;6385173;1;1;51785;0;0 
23405071;6385173;1;1;51779;0;0 
23396379;6385173;1;1;51870;0;0 
23394555;6385178;0;0;51805;0;0 
23395684;6385170;1;1;51791;0;0 
23401594;6385170;1;1;51811;0;0 
23398452;6385173;1;1;51762;0;0 
23407039;6385175;0;0;51806;0;0 
23405087;6385172;1;1;51820;0;0 
23406711;6385176;1;1;51801;0;0 
23430916;6385173;1;1;51796;0;0 
23400329;6385177;0;0;51814;0;0 
23395571;6385173;1;1;51829;0;0 
23404407;6385172;1;1;51789;0;0 
23397041;6385177;1;1;51812;0;0 
23396528;6385180;1;1;51782;0;0 
23404974;6385175;1;1;51805;0;0 
23411304;6385177;1;1;51792;0;0 
23416676;6385174;1;1;51797;0;0 
23397339;6385178;0;0;51827;0;0 
23397816;6385176;1;1;51817;0;0 
23396413;6385165;1;1;51836;0;0 
23398605;6385181;1;1;51813;0;0 
23417318;6385174;1;1;51814;0;0 
23396271;6385176;1;1;51838;0;0 
23396405;6385166;1;1;51821;0;0 
23431689;6385176;1;1;51852;0;0 
23400381;6385172;1;1;51827;0;0 
23400585;6385174;1;1;51830;0;0 
23394543;6385184;1;1;51854;0;0 
23397346;6385169;1;1;51742;0;0 
23400289;6385171;1;1;51769;0;0 
23397208;6385172;1;1;51763;0;0 
23398929;6385176;1;1;51776;0;0 
23397753;6385172;1;1;51832;0;0 
23411907;6385172;0;0;51802;0;0 
23400598;6385172;1;1;51761;0;0 
23398428;6385166;1;1;51832;0;0 
23419013;6385174;1;1;51804;0;0 
23396672;6385174;1;1;51757;0;0 
23399142;6385178;1;1;51750;0;0 
23397399;6385177;1;1;51765;0;0 
23401496;6385176;1;1;51815;0;0 
23402129;6385174;1;1;51813;0;0 
23396096;6385172;1;1;51835;0;0 
23397470;6385176;1;1;51788;0;0 
23399826;6385171;1;1;51767;0;0 
23400375;6385170;1;1;51839;0;0 
23413465;6385176;1;1;51761;0;0 
23399370;6385177;1;1;51821;0;0 
23415609;6385174;1;1;51806;0;0 
23398716;6385177;1;1;51782;0;0 
