CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
23399893;1894421;0;17489;390;3112706;4223 
23396043;1894430;0;12160;294;3114944;3944 
23398129;1894437;0;12084;300;3116374;4320 
23415928;1894429;0;45622;279;3103484;3184 
23397563;1894438;0;12781;297;3116643;3209 
23436269;1894438;0;73535;1647;3090246;8239 
23398355;1894433;0;12612;338;3115929;4776 
23414680;1894428;0;46918;948;3099936;3528 
23416278;1894426;0;48277;277;3101629;3339 
23399317;1894404;0;20840;279;3110630;3594 
23395740;1894426;0;13512;273;3114468;3020 
23399381;1894410;0;13713;288;3114551;6059 
23396335;1894425;0;12200;297;3116117;3201 
23403858;1894439;0;28480;250;3107452;3399 
23397646;1894421;0;13499;254;3116457;3302 
23393780;1894426;0;11220;274;3114714;2989 
23395101;1894412;0;11650;277;3115005;3282 
23394677;1894430;0;11932;275;3114908;3194 
23397338;1894430;0;13161;256;3115483;3484 
23394320;1894426;0;12455;304;3113927;3327 
23397197;1894425;0;12423;299;3115480;4448 
23408074;1894407;0;26644;259;3110924;5747 
23415842;1894409;0;47807;295;3099123;5645 
23406229;1894439;0;32968;316;3105782;3196 
23409224;1894412;0;42473;311;3100098;2992 
23396524;1894433;0;13553;267;3114748;3307 
23397613;1894451;0;17909;554;3111629;3117 
23394830;1894421;0;13220;328;3113820;2973 
23406688;1894436;0;30249;291;3108583;3658 
23408584;1894417;0;27269;265;3110775;5774 
23394734;1894426;0;12365;258;3114382;3048 
23401487;1894443;0;24588;311;3109284;3091 
23402590;1894420;0;21064;296;3111849;4877 
23397354;1894421;0;15989;293;3112974;3628 
23399241;1894430;0;18281;305;3113103;3136 
23398597;1894413;0;17729;282;3112766;3119 
23414522;1894416;0;47130;264;3100204;3627 
23396980;1894443;0;13800;277;3115124;3249 
23405907;1894434;0;30400;293;3106217;5287 
23398763;1894424;0;18568;311;3112552;3165 
23430445;1894401;0;69535;291;3094582;3254 
23407806;1894415;0;35286;302;3106132;2935 
23397030;1894442;0;17399;265;3111700;3401 
23395802;1894407;0;16042;288;3111963;3085 
23413003;1894430;0;45189;305;3100086;3969 
23395180;1894432;0;13023;261;3114391;3096 
23400730;1894446;0;22569;270;3110165;3296 
23404634;1894438;0;29844;293;3107595;3153 
23399120;1894423;0;14935;290;3114505;5032 
23395221;1894422;0;13645;294;3113437;3365 
23432443;1894429;0;81462;254;3085429;3065 
23395374;1894471;0;13267;301;3113918;2994 
23395066;1894425;0;12822;291;3114488;2992 
23411728;1894416;0;36827;274;3104970;6685 
23396220;1894419;0;14255;276;3114168;3070 
23433756;1894416;0;76400;287;3090999;3735 
23398787;1894420;0;13593;282;3115758;3993 
23395377;1894421;0;12669;295;3114540;3013 
23399432;1894439;0;14755;264;3115299;4543 
23399146;1894420;0;17461;304;3111733;5648 
23404529;1894445;0;27002;247;3110017;3186 
23394299;1894437;0;11793;278;3114669;3288 
23405923;1894429;0;28557;325;3109140;3588 
23432523;1894424;0;79070;267;3087549;3459 
23406538;1894423;0;33208;258;3105904;3111 
23407390;1894419;0;35062;294;3105430;3339 
23394484;1894418;0;12010;281;3114424;3001 
23409863;1894413;0;36731;307;3105739;3217 
23405443;1894444;0;26711;280;3110630;3582 
23398388;1894447;0;18178;290;3111766;3648 
23409253;1894414;0;34075;290;3107796;3479 
23399352;1894426;0;19772;246;3111055;3985 
23395224;1894437;0;13572;287;3113331;3417 
23394781;1894423;0;11379;293;3115271;3398 
23395199;1894421;0;13275;278;3114042;2999 
