CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
23427860;0;189;0;1615;5056993;4 
23426304;0;190;0;1768;5056987;4 
23456601;0;217;0;1980;5056988;4 
23435948;0;195;0;3292;5056994;4 
23426252;0;197;0;1718;5056990;4 
23432513;0;190;0;2765;5056992;4 
23430551;0;192;0;2249;5056988;4 
23429595;0;187;0;1755;5056992;4 
23440667;0;190;0;3497;5056996;4 
23426940;0;200;0;1822;5056991;4 
23426069;0;181;0;1619;5056988;4 
23438932;0;178;0;3421;5056996;4 
23441432;0;201;0;3927;5056999;4 
23434504;0;197;0;2707;5056989;4 
23427737;0;184;0;1844;5056991;4 
23433417;0;195;0;2557;5056999;4 
23438790;0;206;0;3252;5056990;4 
23441741;0;190;0;3990;5057002;4 
23427285;0;205;0;1822;5056992;4 
23429391;0;216;0;1849;5056993;4 
23452322;0;188;0;5242;5057005;4 
23442589;0;192;0;4161;5056997;4 
23430163;0;194;0;2148;5056990;4 
23445822;0;198;0;5113;5056992;4 
23427516;0;188;0;1692;5056996;4 
23427324;0;198;0;1732;5056995;4 
23444058;0;189;0;4808;5057001;4 
23425436;0;194;0;1559;5056993;4 
23429603;0;199;0;2204;5056989;4 
23427857;0;180;0;1732;5056998;4 
23437506;0;196;0;3412;5056996;4 
23425054;0;202;0;1669;5056990;4 
23428465;0;211;0;1548;5056991;4 
23431408;0;187;0;2331;5056996;4 
23440010;0;215;0;3900;5056993;4 
23433894;0;180;0;2446;5056993;4 
23462737;0;193;0;7091;5057014;4 
23427867;0;199;0;1576;5056990;4 
23429479;0;210;0;1710;5056992;4 
23436193;0;193;0;3387;5056991;4 
23426626;0;192;0;1658;5056987;4 
23427889;0;187;0;2156;5056993;4 
23427440;0;194;0;1811;5056995;4 
23431501;0;178;0;2549;5056995;4 
23434472;0;196;0;2097;5057001;4 
23428169;0;176;0;1535;5056989;4 
23428016;0;201;0;1797;5056990;4 
23433768;0;185;0;2543;5056987;4 
23427438;0;178;0;1515;5056990;4 
23453056;0;184;0;4930;5056999;4 
23426436;0;189;0;1888;5056988;4 
23429445;0;189;0;1790;5056994;4 
23426370;0;188;0;1829;5056992;4 
23426404;0;220;0;1713;5057002;4 
23426887;0;191;0;1745;5057000;4 
23436326;0;183;0;2388;5056994;4 
23442504;0;189;0;2913;5056992;5 
23429125;0;185;0;1590;5056988;4 
23434725;0;194;0;3053;5056991;4 
23438498;0;191;0;3674;5056993;4 
23437620;0;217;0;3475;5057006;4 
23429473;0;185;0;2078;5056987;4 
23426077;0;194;0;1694;5056991;4 
23429208;0;187;0;2356;5056986;4 
23429610;0;194;0;2315;5056988;4 
23435013;0;204;0;3062;5057004;4 
23434460;0;185;0;3127;5057000;4 
23429939;0;197;0;2165;5056995;4 
23466248;0;188;0;7755;5057011;4 
23432287;0;185;0;2424;5056993;4 
23427761;0;202;0;2030;5056998;4 
23438418;0;188;1;3702;5056992;4 
23426208;0;187;0;1631;5056990;4 
23432286;0;177;0;2234;5056994;4 
23433952;0;186;0;2611;5056992;4 
23448726;0;206;0;4637;5056996;4 
23434831;0;181;0;3061;5056996;5 
23429640;0;174;0;2169;5056988;4 
23439337;0;188;0;3574;5057001;4 
23435828;0;188;0;3578;5056991;4 
23428728;0;208;0;1732;5056990;4 
23438118;0;205;0;3403;5056992;4 
23439095;0;194;1;3407;5057003;4 
23429097;0;197;0;1815;5056988;4 
23426915;0;183;0;1747;5056993;4 
23463927;0;186;0;6890;5057012;4 
23432490;0;182;0;1827;5056993;4 
23433193;0;191;0;2548;5056996;4 
23429809;0;202;0;1727;5056983;4 
23463604;0;201;0;7060;5057014;4 
23425297;0;184;0;1714;5057002;4 
23442421;0;190;0;3963;5056997;4 
23444970;0;185;0;4657;5056996;4 
23429426;0;187;0;2224;5056989;4 
23426743;0;194;0;1779;5056996;4 
23426353;0;188;0;1691;5056990;4 
23429809;0;185;0;2034;5056992;4 
23431897;0;220;0;2174;5056993;4 
23450127;0;212;0;5152;5057009;4 
23432718;0;204;0;1843;5056991;4 
23427200;0;180;0;1782;5056989;4 
23440155;0;192;0;3812;5057000;4 
23438168;0;203;0;3419;5057003;4 
23431591;0;191;0;2542;5056999;4 
23433594;0;208;0;2347;5056998;4 
23434811;0;191;0;2901;5057001;4 
23430872;0;190;0;2579;5056989;4 
23426569;0;200;0;1664;5056990;4 
23437153;0;197;0;3568;5056995;4 
23433494;0;196;0;2295;5057005;4 
23426556;0;205;0;1672;5056992;4 
23428674;0;187;0;2167;5056992;4 
23430362;0;203;0;2435;5056991;4 
23426414;0;194;0;1731;5056994;4 
23465825;0;183;0;7654;5057009;4 
23445967;0;192;0;4971;5057005;4 
23456413;0;180;0;6158;5057003;4 
23428135;0;189;0;2136;5056995;4 
23427350;0;192;0;1790;5056991;4 
23428311;0;188;0;2099;5056987;4 
23433938;0;200;0;1965;5056988;4 
23431865;0;187;0;2482;5056995;4 
23431764;0;179;0;2395;5056998;4 
23439104;0;194;0;3769;5056999;4 
23442442;0;186;0;4014;5056998;4 
23439660;0;185;0;3504;5056998;4 
23438566;0;180;0;3883;5056997;4 
23441185;0;243;0;3764;5057004;4 
23444302;0;206;0;4453;5056998;4 
23432317;0;175;0;2449;5056991;4 
23439705;0;199;0;3779;5056994;4 
23427615;0;213;0;1707;5056997;4 
23434764;0;206;0;2967;5056988;4 
23435625;0;180;0;2430;5056997;4 
23445392;0;186;0;4676;5056996;4 
23427067;0;195;0;1727;5056988;4 
23426637;0;199;0;1722;5056992;4 
23426732;0;185;0;1642;5056999;4 
23430034;0;183;0;2198;5056994;4 
23449807;0;193;0;5016;5057012;4 
23447120;0;225;0;4888;5057009;4 
23468993;0;184;0;8063;5057019;4 
