CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
23396762;4816897;6400262;0;0;51974;6400331 
23396369;4816899;6400263;0;0;51846;6400333 
23398842;4816898;6400260;0;0;51814;6400330 
23397496;4816900;6400266;0;0;51875;6400336 
23404052;4816901;6400265;0;0;51861;6400335 
23398215;4816901;6400264;0;0;51873;6400334 
23397211;4816901;6400265;0;0;51865;6400335 
23405444;4816897;6400263;0;0;51956;6400332 
23396867;4816900;6400264;0;0;51981;6400333 
23395975;4816900;6400262;0;0;51863;6400332 
23395454;4816898;6400260;0;0;51873;6400330 
23397334;4816897;6400260;0;0;51884;6400330 
23399546;4816909;6400270;0;0;51915;6400343 
23402682;4816901;6400266;0;0;51891;6400335 
23397523;4816898;6400263;0;0;51844;6400331 
23395998;4816900;6400263;0;0;51873;6400333 
23402043;4816901;6400266;0;0;51942;6400336 
23405838;4816894;6400260;0;0;51972;6400330 
23396899;4816897;6400259;0;0;51851;6400329 
23397591;4816900;6400263;0;0;51846;6400333 
23413515;4816900;6400264;0;0;51838;6400334 
23407860;4816899;6400263;0;0;51909;6400332 
23399800;4816899;6400262;0;0;51892;6400332 
23397636;4816898;6400262;0;0;51879;6400331 
23426985;4816899;6400260;0;0;51876;6400330 
23405387;4816898;6400262;0;0;51871;6400332 
23424699;4816899;6400262;0;0;51798;6400332 
23398020;4816900;6400261;0;0;51924;6400331 
23407403;4816900;6400266;0;0;51823;6400335 
23396624;4816900;6400263;0;0;51825;6400333 
23408379;4816895;6400261;0;0;51896;6400331 
23400796;4816904;6400267;0;0;51929;6400337 
23397219;4816899;6400262;0;0;51854;6400332 
23397791;4816900;6400264;0;0;51868;6400334 
23395018;4816901;6400267;0;0;51838;6400337 
23395732;4816902;6400262;0;0;51892;6400333 
23399242;4816901;6400264;0;0;51883;6400334 
23397469;4816905;6400273;0;0;51825;6400343 
23397835;4816900;6400266;0;0;51983;6400335 
23399022;4816900;6400265;0;0;51870;6400334 
23402807;4816903;6400266;0;0;51925;6400336 
23400680;4816900;6400264;0;0;51949;6400334 
23395178;4816898;6400262;0;0;51916;6400331 
23398570;4816899;6400264;0;0;51881;6400333 
23397238;4816898;6400265;0;0;51915;6400335 
23405772;4816901;6400265;0;0;51889;6400335 
23397233;4816904;6400267;0;0;51898;6400337 
23399379;4816898;6400266;0;0;51832;6400335 
23396707;4816902;6400266;0;0;51839;6400336 
23398516;4816901;6400266;0;0;51840;6400335 
23402344;4816914;6400268;0;0;51910;6400347 
23409092;4816900;6400264;0;0;51949;6400334 
23396291;4816898;6400262;0;0;51960;6400331 
23396184;4816900;6400266;0;0;51849;6400335 
23395111;4816898;6400261;0;0;51848;6400330 
23396036;4816895;6400258;0;0;51857;6400328 
23409094;4816897;6400264;0;0;51946;6400334 
23399744;4816898;6400261;0;0;51951;6400331 
23399798;4816897;6400262;0;0;51869;6400331 
23408754;4816897;6400261;0;0;51963;6400331 
23400370;4816902;6400266;0;0;51865;6400336 
23398478;4816899;6400264;0;0;51873;6400333 
23398314;4816902;6400267;0;0;51907;6400338 
23395070;4816895;6400259;0;0;51797;6400328 
23394819;4816896;6400262;0;0;51835;6400330 
23396726;4816899;6400260;0;0;51896;6400330 
23399579;4816899;6400263;0;0;51837;6400333 
23403837;4816903;6400269;0;0;51896;6400339 
23397374;4816900;6400264;0;0;51950;6400333 
23407762;4816902;6400263;0;0;51835;6400333 
23404074;4816899;6400265;0;0;51863;6400335 
23399515;4816900;6400266;0;0;51911;6400336 
23396696;4816897;6400260;0;0;51914;6400329 
23405347;4816906;6400265;0;0;52018;6400339 
23399333;4816900;6400266;0;0;51853;6400333 
23397030;4816899;6400267;0;0;51818;6400337 
23399432;4816900;6400265;0;0;51839;6400335 
23406806;4816899;6400262;0;0;51908;6400333 
23398535;4816898;6400264;0;0;51897;6400333 
23396233;4816898;6400264;0;0;51906;6400333 
23395566;4816896;6400260;0;0;51909;6400329 
23398281;4816900;6400262;0;0;51918;6400332 
23394732;4816905;6400267;0;0;51794;6400337 
23409855;4816901;6400267;0;0;51844;6400337 
23424831;4816898;6400263;0;0;51856;6400334 
23398806;4816898;6400262;0;0;51854;6400331 
23396688;4816898;6400262;0;0;51885;6400332 
23402534;4816892;6400256;0;0;51900;6400325 
23440662;4816899;6400267;0;0;51907;6400337 
23399067;4816904;6400266;0;0;51909;6400336 
23396533;4816902;6400266;0;0;51844;6400336 
23399473;4816901;6400265;0;0;51866;6400335 
23403249;4816899;6400262;0;0;51991;6400332 
23397286;4816905;6400267;0;0;51846;6400337 
23413396;4816901;6400266;0;0;51873;6400335 
23395777;4816898;6400261;0;0;51874;6400330 
23397159;4816898;6400263;0;0;51922;6400333 
23396320;4816903;6400268;0;0;51937;6400338 
23414085;4816902;6400267;0;0;51911;6400336 
23396637;4816899;6400261;0;0;51802;6400330 
23413649;4816897;6400260;0;0;51871;6400329 
23400738;4816903;6400267;0;0;51907;6400337 
23399529;4816900;6400262;0;0;51925;6400332 
23395748;4816897;6400262;0;0;51792;6400332 
23396539;4816903;6400266;0;0;51807;6400336 
23398848;4816896;6400263;0;0;51919;6400332 
23399453;4816900;6400266;0;0;51913;6400334 
23396492;4816901;6400264;0;0;51905;6400334 
23408783;4816899;6400264;0;0;51930;6400334 
23395702;4816901;6400266;0;0;51836;6400336 
23415099;4816900;6400266;0;0;51871;6400337 
23399063;4816894;6400257;0;0;51833;6400325 
23427479;4816894;6400258;0;0;51935;6400328 
23398018;4816895;6400259;0;0;51902;6400328 
23395784;4816900;6400264;0;0;51862;6400334 
23397099;4816899;6400263;0;0;51878;6400332 
23408247;4816900;6400265;0;0;51961;6400334 
23400630;4816901;6400264;0;0;51894;6400333 
23425034;4816896;6400258;0;0;51884;6400328 
23400331;4816902;6400267;0;0;51803;6400338 
23406034;4816902;6400266;0;0;51879;6400335 
23401490;4816898;6400263;0;0;51903;6400332 
23395213;4816898;6400259;0;0;51868;6400329 
23398678;4816899;6400262;0;0;51868;6400332 
23400036;4816900;6400263;0;0;51941;6400333 
23401600;4816897;6400260;0;0;51873;6400329 
23405912;4816899;6400263;0;0;51866;6400333 
23398329;4816904;6400269;0;0;51906;6400339 
23403468;4816897;6400262;0;0;51907;6400332 
23396717;4816895;6400257;0;0;51905;6400327 
23395558;4816899;6400261;0;0;51783;6400330 
23395911;4816900;6400267;0;0;51851;6400336 
23399363;4816899;6400267;0;0;51903;6400336 
23403574;4816899;6400264;0;0;51839;6400333 
23407300;4816900;6400262;0;0;51898;6400332 
23404370;4816899;6400262;0;0;51803;6400332 
23399269;4816901;6400275;0;0;51802;6400344 
23402840;4816906;6400260;0;0;51917;6400339 
23405054;4816898;6400262;0;0;51789;6400332 
23396967;4816899;6400261;0;0;51839;6400331 
23399475;4816894;6400256;0;0;51873;6400326 
23400826;4816898;6400264;0;0;51870;6400333 
23399482;4816901;6400264;0;0;51940;6400333 
23395771;4816895;6400259;0;0;51845;6400328 
23405245;4816899;6400261;0;0;51831;6400331 
23401288;4816898;6400262;0;0;51841;6400332 
23397936;4816898;6400265;0;0;51888;6400335 
23400525;4816897;6400263;0;0;51903;6400333 
23410689;4816900;6400264;0;0;51933;6400333 
23396045;4816901;6400267;0;0;51813;6400337 
23406828;4816902;6400267;0;0;51875;6400337 
23396014;4816898;6400263;0;0;51865;6400333 
23400456;4816899;6400264;0;0;51888;6400333 
23398740;4816897;6400259;0;0;51877;6400328 
23396848;4816901;6400266;0;0;51899;6400336 
23396295;4816897;6400259;0;0;51876;6400329 
23399466;4816896;6400263;0;0;51809;6400333 
23395449;4816901;6400266;0;0;51865;6400334 
23399780;4816905;6400267;0;0;51875;6400336 
23400514;4816900;6400265;0;0;51836;6400334 
23397003;4816900;6400265;0;0;51911;6400335 
23403022;4816901;6400262;0;0;51896;6400332 
23399261;4816898;6400265;0;0;51844;6400335 
23399501;4816899;6400264;0;0;51980;6400333 
23403957;4816902;6400269;0;0;51874;6400338 
23398623;4816897;6400262;0;0;51889;6400332 
23407505;4816899;6400265;0;0;51905;6400335 
23403435;4816900;6400265;0;0;51861;6400334 
23407614;4816900;6400262;0;0;51861;6400332 
23401262;4816896;6400258;0;0;51860;6400328 
