CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
23405417;576;0;11702701;0;156;420 
23395746;692;0;11697863;0;64;628 
23402885;648;0;11701430;0;96;552 
23395268;564;0;11697623;0;76;488 
23400018;628;0;11699999;0;80;548 
23401548;572;0;11700766;0;60;512 
23395560;831;0;11697771;0;131;700 
23402257;684;0;11701116;0;84;600 
23396783;680;0;11698378;0;176;504 
23399581;784;0;11699779;0;140;644 
23404315;560;0;11702146;0;60;500 
23398927;712;0;11699455;0;140;572 
23415898;753;0;11707936;0;96;657 
23395272;516;0;11697627;0;84;432 
23394211;664;0;11697097;0;112;552 
23399592;700;0;11699785;0;56;644 
23414353;492;0;11707164;0;72;420 
23396471;586;0;11698229;0;102;484 
23397801;700;0;11698889;0;76;624 
23402515;556;0;11701248;0;76;480 
23396933;674;0;11698455;0;76;598 
23415617;648;0;11707800;0;68;580 
23394465;708;0;11697223;0;112;596 
23395543;704;0;11697760;0;56;648 
23406021;696;0;11703000;0;68;628 
23399547;703;0;11699761;0;271;432 
23400763;480;0;11700371;0;60;420 
23402603;602;0;11701293;0;62;540 
23401068;588;0;11700527;0;76;512 
23405814;740;0;11702896;0;148;592 
23407368;740;0;11703673;0;104;636 
23395696;628;0;11697836;0;96;532 
23395682;687;0;11697832;0;140;547 
23413623;724;0;11706800;0;120;604 
23401920;978;0;11700948;0;310;668 
23402930;672;0;11701453;0;156;516 
23426341;920;0;11713159;0;108;812 
23402589;677;0;11701285;0;96;581 
23395029;732;0;11697502;0;104;628 
23395885;744;0;11697930;0;56;688 
23417977;624;0;11708975;0;136;488 
23404392;940;0;11702183;0;80;860 
23406043;659;0;11703010;0;91;568 
23405194;648;0;11702584;0;108;540 
23397580;705;0;11698776;0;88;617 
23395861;792;0;11697922;0;56;736 
23433410;512;0;11716697;0;104;408 
23395667;712;0;11697820;0;80;632 
23406858;1076;0;11703419;0;80;996 
23398937;583;0;11699461;0;99;484 
23412033;676;0;11706003;0;104;572 
23395984;722;0;11697979;0;102;620 
23396310;576;0;11698143;0;64;512 
23404256;684;0;11702117;0;68;616 
23396812;608;0;11698395;0;132;476 
23395526;656;0;11697753;0;80;576 
23411020;1715;0;11705499;0;595;1120 
23396376;724;0;11698178;0;120;604 
23404383;848;0;11702179;0;68;780 
23395676;636;0;11697825;0;92;544 
23400813;652;0;11700394;0;92;560 
23395302;664;0;11697640;0;84;580 
23396868;556;0;11698422;0;92;464 
23405599;628;0;11702791;0;72;556 
23433585;528;0;11716781;0;88;440 
23394861;624;0;11697419;0;120;504 
23401028;547;0;11700505;0;87;460 
23406815;661;0;11703394;0;68;593 
23401393;820;0;11700685;0;116;704 
23397323;678;0;11698651;0;130;548 
23400764;658;0;11700373;0;96;562 
23398843;620;0;11699408;0;80;540 
23398462;536;0;11699222;0;68;468 
23403262;784;0;11701624;0;116;668 
23399672;564;0;11699826;0;84;480 
23404409;958;0;11702195;0;434;524 
23395316;626;0;11697648;0;62;564 
23413971;888;0;11706974;0;172;716 
23396900;762;0;11698441;0;94;668 
23397700;700;0;11698839;0;128;572 
23395653;600;0;11697814;0;72;528 
23407282;735;0;11703631;0;79;656 
23427405;728;0;11713691;0;56;672 
23417766;640;0;11708874;0;120;520 
23397247;748;0;11698612;0;88;660 
23400678;640;0;11700330;0;96;544 
23405634;938;0;11702808;0;82;856 
23399165;588;0;11699573;0;84;504 
23407713;686;0;11703845;0;186;500 
23397181;660;0;11698583;0;112;548 
23403818;746;0;11701898;0;66;680 
23396035;702;0;11698008;0;112;590 
23397832;588;0;11698905;0;72;516 
23395881;540;0;11697930;0;60;480 
23408802;742;0;11704393;0;90;652 
23396100;648;0;11698041;0;72;576 
23397477;656;0;11698727;0;104;552 
23403499;780;0;11701738;0;104;676 
23396065;588;0;11698021;0;96;492 
23400657;688;0;11700319;0;76;612 
23399025;572;0;11699503;0;64;508 
23414823;784;0;11707404;0;96;688 
23398087;804;0;11699032;0;88;716 
23396246;560;0;11698111;0;68;492 
23399024;748;0;11699500;0;96;652 
23403638;605;0;11701809;0;113;492 
23396285;576;0;11698134;0;108;468 
23406749;628;0;11703363;0;84;544 
23413964;808;0;11706969;0;116;692 
23423591;480;0;11711787;0;64;416 
23404442;664;0;11702210;0;72;592 
23394794;592;0;11697387;0;76;516 
23437711;692;0;11718844;0;84;608 
23398386;776;0;11699182;0;92;684 
23405657;638;0;11702816;0;78;560 
23395781;752;0;11697881;0;72;680 
23399434;688;0;11699707;0;72;616 
23409610;716;0;11704796;0;144;572 
23410724;604;0;11705353;0;92;512 
23402877;624;0;11701428;0;56;568 
23404983;616;0;11702480;0;104;512 
23395993;580;0;11697986;0;96;484 
23405216;768;0;11702598;0;120;648 
23403218;656;0;11701597;0;68;588 
23396897;807;0;11698438;0;87;720 
23397806;576;0;11698894;0;72;504 
23401161;742;0;11700569;0;130;612 
23421598;736;0;11710786;0;68;668 
23408240;784;0;11704109;0;60;724 
23395570;628;0;11697772;0;72;556 
23404122;560;0;11702050;0;76;484 
