CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
23395258;1;42;0;2508;0;668 
23411468;1;42;0;7128;0;2010 
23398196;1;42;0;2766;0;763 
23394177;1;42;0;2484;0;602 
23396656;1;42;0;3348;0;951 
23397257;1;42;0;2617;0;750 
23401290;1;42;0;4115;0;1190 
23399679;1;42;0;3631;0;1155 
23399344;1;42;0;3671;0;944 
23396115;1;42;0;2691;0;681 
23397697;1;44;0;3258;0;983 
23398368;1;42;0;3749;0;1097 
23413241;1;42;0;7168;0;2332 
23404468;1;42;0;4664;0;1449 
23402317;1;42;0;4129;0;911 
23399040;1;42;0;3048;0;784 
23408762;1;42;0;5634;0;1407 
23395699;1;42;0;2752;0;752 
23395197;1;42;0;2618;0;803 
23430553;1;42;0;11864;0;4364 
23398700;1;42;0;3271;0;944 
23395986;1;42;0;2992;0;766 
23396281;1;42;0;2566;0;706 
23397056;1;42;0;2782;0;717 
23397440;1;42;0;3184;0;1159 
23424508;1;42;0;10143;0;3097 
23404131;1;42;0;4445;0;1103 
23413990;1;42;0;6736;0;2778 
23402294;1;42;0;3460;0;835 
23395649;1;42;0;2467;0;596 
23426019;1;42;0;10143;0;3222 
23401874;1;42;0;4147;0;1141 
23427991;1;42;0;11254;0;3758 
23403105;1;42;0;4791;0;1507 
23400192;1;41;0;3804;0;1003 
23403981;1;42;0;4682;0;1398 
23411075;1;42;0;6566;0;2267 
23395621;1;42;0;2581;0;733 
23402287;1;43;0;2641;0;682 
23401641;1;42;0;4586;0;1585 
23401310;1;42;0;3886;0;1003 
23426728;1;42;0;10262;0;3152 
23394717;1;42;0;3037;0;1088 
23396252;1;42;0;2604;0;723 
23395498;1;42;0;3483;0;1363 
23397371;1;42;0;3086;0;711 
23418337;1;42;0;8402;0;2858 
23432786;1;43;0;12697;0;4387 
23396608;1;42;0;2835;0;803 
23398167;1;42;0;2844;0;838 
23404784;1;42;0;4178;0;863 
23399516;1;42;0;3705;0;1424 
23398644;1;42;0;3273;0;999 
23395749;1;42;0;2829;0;914 
23398002;1;42;0;3392;0;1076 
23398486;1;41;0;3118;0;904 
23401084;1;42;0;3862;0;1085 
23400147;1;42;0;2821;0;828 
23395538;1;42;0;2402;0;584 
23398805;1;42;0;3410;0;1255 
23399974;1;41;0;3638;0;1117 
23397093;1;42;0;2540;0;683 
23401276;1;42;0;2751;0;724 
23416237;1;42;0;8250;0;2624 
23398554;1;42;0;3327;0;895 
23398720;1;42;0;2639;0;769 
23398885;1;42;0;2536;0;665 
23397463;1;42;0;3202;0;729 
23402839;1;41;0;3313;0;699 
23397848;1;42;0;3682;0;1526 
23409823;1;42;0;6158;0;2201 
23401168;1;42;0;3759;0;1187 
23399062;1;41;0;3194;0;841 
23397415;1;42;0;2958;0;946 
23397444;1;42;0;2543;0;712 
23395120;1;42;0;2544;0;665 
23400895;1;42;0;3774;0;1072 
23401310;1;42;0;3506;0;1145 
23409503;1;42;0;6911;0;2835 
23428212;1;41;0;12084;0;3998 
23413664;1;42;0;7942;0;2255 
23398564;1;42;0;3417;0;872 
23397644;1;42;0;2782;0;788 
23430536;1;41;0;12345;0;4316 
23397125;1;42;0;2670;0;737 
23394670;1;42;0;2604;0;658 
23398827;1;42;0;2749;0;817 
23404379;1;42;0;4805;0;1614 
23421949;1;42;0;9877;0;3041 
23399073;1;43;0;2661;0;751 
23401697;1;42;0;4093;0;1005 
23403144;1;42;0;4624;0;1298 
23399044;1;42;0;2876;0;856 
23400554;1;44;0;3777;0;1195 
23403932;1;42;0;4290;0;1300 
23401313;1;42;0;4137;0;1139 
23399947;1;42;0;3109;0;786 
23429531;1;42;0;12485;0;4317 
23400159;1;42;0;3439;0;957 
23397933;1;42;0;3264;0;820 
23405896;1;42;0;5202;0;1588 
23429695;1;41;0;11859;0;4109 
23395924;1;42;0;2687;0;845 
23397011;1;42;0;2804;0;823 
23406779;1;42;0;4565;0;865 
23400672;1;42;0;3447;0;1302 
23405639;1;42;0;4807;0;1536 
23401605;1;42;0;3201;0;887 
23396815;1;42;0;2654;0;637 
23396150;1;41;0;2986;0;1034 
23401062;1;41;0;3098;0;975 
23407169;1;51;0;4359;0;974 
23396323;1;42;0;2805;0;853 
23402920;1;42;0;4653;0;1583 
23398632;1;42;0;3610;0;1097 
23414995;1;42;0;7486;0;2341 
23395435;1;42;0;2713;0;720 
23398265;1;42;0;3956;0;1284 
23394902;1;42;0;2859;0;977 
23398878;1;42;0;2772;0;855 
23406688;1;42;0;6401;0;2430 
23412469;1;42;0;7274;0;1857 
23398673;1;42;0;2534;0;654 
23408466;1;42;0;6715;0;2082 
23397581;1;42;0;2880;0;938 
23399272;1;42;0;2512;0;593 
23406291;1;42;0;6002;0;2350 
23398802;1;42;0;2906;0;822 
23406834;1;42;0;6239;0;2281 
23398326;1;42;0;3771;0;1411 
