CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
23397135;6710608;0;11410;0;0;0 
23407468;6715216;0;70726;0;0;0 
23400593;6712871;0;129346;0;0;0 
23396477;6708038;0;78485;0;0;0 
23400536;6711482;0;51533;0;0;0 
23398891;6715449;0;11919;0;39;0 
23429998;6728011;0;4257;0;0;0 
23402787;6705791;0;141137;0;0;0 
23414036;6716484;0;139516;0;0;0 
23404082;6713067;0;60785;0;0;0 
23402730;6717082;0;65887;0;0;0 
23395501;6710450;0;51575;0;0;0 
23398963;6708716;0;106962;0;0;0 
23395227;6710485;0;54464;0;0;0 
23414422;6717588;0;37820;0;0;0 
23408934;6721955;0;46183;0;23;0 
23401340;6712350;0;114634;0;0;0 
23399512;6713605;0;138916;0;0;0 
23397479;6711427;0;58073;0;0;0 
23397113;6707253;0;75860;0;0;0 
23400412;6709081;0;28904;0;0;0 
23395323;6711326;0;69168;0;0;0 
23398204;6710156;0;76844;0;0;0 
23432020;6724004;0;72994;0;0;0 
23399246;6716285;0;151929;0;0;0 
23431284;6726237;0;21949;0;0;0 
23408127;6713147;0;127397;0;0;0 
23430034;6726902;0;5214;0;0;0 
23402246;6711700;0;76978;0;0;0 
23415486;6721307;0;112575;0;0;0 
23414721;6719344;0;131583;0;0;0 
23425258;6718285;0;29158;0;0;0 
23402367;6717788;0;128583;0;0;0 
23407257;6715621;0;39537;0;0;0 
23394699;6710602;0;52577;0;0;0 
23395637;6702107;0;46363;0;0;0 
23402570;6714541;0;75344;0;0;0 
23411587;6723205;0;55164;0;30;0 
23409656;6712104;0;130494;0;0;0 
23398973;6709811;0;26907;0;0;0 
23412393;6713637;0;115601;0;0;0 
23397745;6709151;0;40688;0;0;0 
23401982;6715445;0;112331;0;0;0 
23395132;6708831;0;2053;0;0;0 
23395418;6708455;0;40569;0;0;0 
23397123;6710650;0;13905;0;0;0 
23397887;6711584;0;93927;0;0;0 
23397120;6714324;0;78825;0;0;0 
23397001;6708748;0;60536;0;0;0 
23405984;6710527;0;64246;0;1;0 
23400120;6710306;0;73221;0;0;0 
23396523;6711214;0;139138;0;0;0 
23411051;6718714;0;44174;0;0;0 
23396475;6705401;0;26801;0;0;0 
23398701;6711732;0;97047;0;0;0 
23394626;6712665;0;72476;0;0;0 
23402679;6709613;0;117405;0;0;0 
23399003;6708073;0;23896;0;0;0 
23395392;6712517;0;58104;0;0;0 
23397218;6713747;0;77261;0;0;0 
23424122;6721364;0;64595;0;0;0 
23399688;6707288;0;28872;0;0;0 
23436037;6728937;0;3674;0;0;0 
23399018;6714835;0;79941;0;0;0 
23397659;6711137;0;324771;0;6;0 
23396456;6712734;0;109503;0;0;0 
23396922;6713673;0;69077;0;0;0 
23400202;6709354;0;8427;0;0;0 
23394880;6709283;0;31545;0;0;0 
23399739;6709715;0;79473;0;0;0 
23405095;6713198;0;159591;0;0;0 
23396840;6711702;0;49552;0;0;0 
23407309;6714040;0;98828;0;0;0 
23412084;6716237;0;37820;0;0;0 
23395220;6714259;0;49757;0;0;0 
23399462;6709419;0;110579;0;0;0 
23399099;6714241;0;29411;0;0;0 
23402936;6712449;0;66394;0;0;0 
23395134;6712164;0;67372;0;0;0 
23395707;6707367;0;55418;0;0;0 
23409625;6716217;0;127398;0;0;0 
23426058;6723120;0;33604;0;0;0 
23400886;6717147;0;64059;0;0;0 
23404132;6711898;0;49746;0;0;0 
23399547;6711098;0;63724;0;0;0 
23395626;6712776;0;78420;0;0;0 
23399216;6714698;0;107789;0;0;0 
23402307;6711386;0;52096;0;0;0 
23396955;6711077;0;44026;0;0;0 
23402221;6716130;0;104152;0;0;0 
23423577;6723139;0;126045;0;0;0 
23398253;6712195;0;136833;0;0;0 
23407419;6715620;0;82718;0;0;0 
23414362;6721396;0;107679;0;0;0 
23395498;6710899;0;25826;0;0;0 
23395552;6713066;0;39132;0;0;0 
23408043;6711623;0;53522;0;0;0 
23397002;6710792;0;62538;0;0;0 
23399275;6710936;0;92900;0;0;0 
23404055;6712376;0;130610;0;0;0 
23397849;6709364;1;140217;0;13;0 
23399239;6713802;0;64674;0;0;0 
23395911;6709935;0;128545;0;140;0 
23404938;6714622;0;105873;0;6;0 
23396752;6709194;0;26075;0;0;0 
23412571;6716430;1;12847;0;0;0 
23406783;6709674;0;76161;0;0;0 
23394492;6711785;0;28976;0;0;0 
23394257;6710519;0;51685;0;0;0 
23401708;6710455;0;97933;0;0;0 
23399409;6711483;0;113208;0;0;0 
23397263;6713514;0;96470;0;0;0 
23395576;6710809;0;69129;0;0;0 
23398035;6708763;0;6673;0;0;0 
23403454;6718009;0;15273;0;0;0 
23408426;6715292;0;40601;0;0;0 
23398797;6714535;0;18463;0;0;0 
23398296;6710029;0;79734;0;0;0 
23403346;6710975;0;68127;0;0;0 
23397253;6712045;0;103539;0;426;0 
23394644;6709287;0;102227;0;0;0 
23400091;6710573;0;54215;0;0;0 
23406941;6710335;0;40593;0;0;0 
23426529;6721633;0;97036;0;0;0 
23411158;6719924;0;100238;0;0;0 
23395946;6707285;0;33107;0;0;0 
23433099;6720425;0;102131;0;0;0 
23405374;6717320;0;58229;0;0;0 
23399166;6713509;0;85904;0;0;0 
23412983;6724168;0;96857;0;0;0 
23410520;6711989;0;58975;0;0;0 
23403776;6713291;0;104881;0;0;0 
23395127;6711163;0;127887;0;0;0 
