CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
36083;0;6;0;7;20909;0 
35760;0;14;0;8;20910;0 
35383;0;9;0;8;20909;0 
36642;0;11;0;5;20909;0 
36393;0;11;0;8;20909;0 
35689;0;9;0;5;20909;0 
35566;0;11;0;6;20909;0 
35907;0;11;0;6;20909;0 
36706;0;8;0;7;20909;0 
37488;0;11;0;7;20909;0 
35498;0;10;0;6;20909;0 
35409;0;9;0;7;20909;0 
37177;0;12;0;6;20909;0 
35835;0;9;0;6;20909;0 
35585;0;10;0;6;20909;0 
35604;0;9;0;7;20909;0 
35869;0;7;0;5;20909;0 
36009;0;10;0;5;20909;0 
37282;0;11;0;7;20909;0 
35681;0;8;0;6;20909;0 
35760;0;11;0;5;20909;0 
36471;0;9;0;7;20909;0 
37612;0;9;0;7;20909;0 
35783;0;10;0;7;20909;0 
35510;0;11;0;5;20909;0 
37441;0;11;0;6;20909;0 
36117;0;8;0;6;20909;0 
37901;0;9;0;6;20909;0 
36466;0;10;0;6;20909;0 
35654;0;9;0;6;20909;0 
35794;0;11;0;6;20909;0 
35647;0;11;0;5;20909;0 
35616;0;11;0;5;20909;0 
35729;0;10;0;5;20909;0 
35538;0;10;0;9;20909;0 
37351;0;9;0;6;20909;0 
38245;0;9;0;7;20909;0 
37713;0;9;0;6;20909;0 
36441;0;12;0;8;20909;0 
38287;0;11;0;7;20909;0 
35465;0;7;0;6;20909;0 
35656;0;11;0;6;20909;0 
35398;0;9;0;6;20909;0 
35725;0;11;0;8;20909;0 
38833;0;14;0;9;20910;0 
35623;0;10;0;6;20909;0 
36386;0;9;0;8;20909;0 
35896;0;9;0;6;20909;0 
35728;0;9;0;6;20909;0 
36809;0;11;0;5;20909;0 
35618;0;10;0;5;20909;0 
36913;0;11;0;5;20909;0 
36983;0;8;0;5;20909;0 
38267;0;9;0;9;20909;0 
35586;0;10;0;5;20909;0 
35764;0;8;0;5;20909;0 
36144;0;11;0;6;20909;0 
35420;0;10;0;5;20909;0 
37782;0;11;0;5;20909;0 
35600;0;11;0;6;20909;0 
37661;0;11;0;6;20909;0 
35463;0;12;0;6;20909;0 
36801;0;12;0;8;20909;0 
36925;0;9;0;5;20909;0 
35492;0;11;0;5;20909;0 
38338;0;9;0;6;20909;0 
35411;0;7;0;6;20909;0 
35636;0;11;0;7;20909;0 
37239;0;9;0;7;20909;0 
35408;0;11;0;6;20909;0 
36560;0;7;0;6;20909;0 
36800;0;11;0;8;20909;0 
37311;0;18;0;7;20910;0 
38501;0;10;0;7;20909;0 
38468;0;11;0;6;20909;0 
36576;0;9;0;5;20909;0 
35848;0;8;0;7;20909;0 
38199;0;11;0;6;20909;0 
37656;0;11;0;6;20909;0 
35725;0;10;0;7;20909;0 
36574;0;15;0;9;20910;0 
38732;0;11;0;7;20909;0 
36545;0;11;0;6;20909;0 
36721;0;11;0;5;20909;0 
38142;0;10;0;5;20909;0 
35626;0;10;0;6;20909;0 
36691;0;7;0;7;20909;0 
37686;0;9;0;5;20909;0 
38010;0;10;0;6;20909;0 
35631;0;10;0;6;20909;0 
37556;0;8;0;5;20909;0 
38139;0;11;0;6;20909;0 
36673;0;10;0;5;20909;0 
35369;0;11;0;6;20909;0 
38420;0;11;0;6;20909;0 
37762;0;16;0;14;20910;0 
37590;0;11;0;6;20909;0 
35381;0;11;0;5;20909;0 
35691;0;9;0;6;20909;0 
37231;0;10;0;6;20909;0 
39897;0;16;0;9;20910;0 
35889;0;10;0;6;20909;0 
39806;0;8;0;6;20909;0 
36311;0;9;0;6;20909;0 
35401;0;7;0;6;20909;0 
35884;0;9;0;7;20909;0 
35392;0;9;0;6;20909;0 
37433;0;9;0;6;20909;0 
36163;0;10;0;9;20909;0 
35548;0;9;0;6;20909;0 
35757;0;10;0;6;20909;0 
35444;0;7;0;6;20909;0 
36570;0;9;0;7;20909;0 
35377;0;9;0;7;20909;0 
