CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
35389;14407;6502;31723;0;1;0 
35511;14407;6502;31723;0;1;0 
35208;14407;6502;31723;0;1;0 
36432;14407;6502;31723;0;1;0 
35723;14407;6502;31723;0;1;0 
35594;14407;6502;31723;0;1;0 
35084;14407;6502;31723;0;1;0 
35330;14407;6502;31723;0;1;0 
36646;14407;6502;31723;0;1;0 
35324;14407;6502;31722;0;1;0 
35363;14407;6502;31723;0;1;0 
35436;14407;6502;31723;0;1;0 
36372;14407;6502;31723;0;1;0 
35719;14407;6502;31723;0;1;0 
35345;14407;6502;31723;0;1;0 
35390;14407;6502;31722;0;1;0 
35353;14407;6502;31723;0;1;0 
35064;14407;6502;31722;0;1;0 
36320;14407;6502;31723;0;1;0 
35386;14407;6502;31723;0;1;0 
35293;14407;6502;31723;0;1;0 
35446;14407;6502;31723;0;1;0 
35029;14407;6502;31723;0;1;0 
35646;14407;6502;31722;0;1;0 
35315;14407;6502;31722;0;1;0 
36118;14407;6502;31723;0;1;0 
35228;14407;6502;31723;0;1;0 
35413;14407;6502;31723;0;1;0 
35832;14407;6502;31723;0;1;0 
36337;14407;6502;31723;0;1;0 
35983;14407;6502;31723;0;1;0 
36288;14407;6502;31723;0;1;0 
36448;14407;6502;31723;0;1;0 
35415;14407;6502;31723;0;1;0 
35216;14407;6502;31723;0;1;0 
36584;14407;6502;31723;0;1;0 
35321;14407;6502;31723;0;1;0 
35356;14407;6502;31723;0;1;0 
36986;14407;6502;31723;0;1;0 
35230;14407;6502;31723;0;1;0 
35362;14407;6502;31723;0;1;0 
35220;14407;6502;31723;0;1;0 
36373;14407;6502;31723;0;2;0 
35785;14407;6502;31722;0;1;0 
35109;14407;6502;31723;0;1;0 
35346;14407;6502;31722;0;1;0 
36479;14407;6502;31723;0;1;0 
38174;14407;6502;31723;0;1;0 
36372;14407;6502;31722;0;1;0 
35400;14407;6502;31723;0;1;0 
36335;14407;6502;31722;0;1;0 
36233;14407;6502;31723;0;1;0 
36421;14407;6502;31723;0;1;0 
35382;14407;6502;31723;0;1;0 
36833;14407;6502;31722;0;1;0 
37969;14407;6502;31723;0;1;0 
37451;14407;6502;31723;0;1;0 
35333;14407;6502;31723;0;1;0 
36505;14407;6502;31723;0;1;0 
35053;14407;6502;31723;0;1;0 
35302;14407;6502;31723;0;1;0 
35259;14407;6502;31723;0;1;0 
35214;14407;6502;31723;0;1;0 
35241;14407;6502;31722;0;1;0 
36323;14408;6502;31725;0;2;0 
35075;14408;6502;31725;0;2;0 
36079;14407;6502;31722;0;1;0 
35221;14407;6502;31723;0;1;0 
35235;14407;6502;31723;0;1;0 
37465;14407;6502;31722;0;1;0 
35058;14407;6502;31723;0;1;0 
35374;14407;6502;31722;0;1;0 
36479;14407;6502;31723;0;1;0 
35223;14407;6502;31722;0;1;0 
36420;14407;6502;31723;0;1;0 
35689;14408;6502;31725;0;2;0 
35853;14407;6502;31723;0;1;0 
37619;14407;6502;31723;0;1;0 
35940;14407;6502;31723;0;1;0 
35343;14407;6502;31723;0;1;0 
35916;14407;6502;31723;0;1;0 
36727;14407;6502;31722;0;1;0 
35453;14407;6502;31723;0;1;0 
38145;14407;6502;31723;0;1;0 
36188;14407;6502;31723;0;1;0 
35474;14407;6502;31723;0;1;0 
35469;14407;6502;31722;0;1;0 
35211;14407;6502;31723;0;1;0 
36153;14407;6502;31723;0;1;0 
35347;14407;6502;31723;0;1;0 
35413;14407;6502;31723;0;1;0 
35039;14407;6502;31723;0;1;0 
36346;14407;6502;31722;0;1;0 
35294;14407;6502;31722;0;1;0 
35228;14407;6502;31723;0;1;0 
35471;14407;6502;31723;0;1;0 
36155;14407;6502;31723;0;1;0 
35745;14407;6502;31723;0;1;0 
36324;14407;6502;31723;0;1;0 
36023;14407;6502;31723;0;1;0 
35323;14407;6502;31723;0;1;0 
36473;14407;6502;31723;0;1;0 
36303;14407;6502;31722;0;1;0 
36274;14407;6502;31723;0;1;0 
36929;14407;6502;31723;0;1;0 
35256;14407;6502;31722;0;1;0 
35636;14407;6502;31723;0;1;0 
36516;14407;6502;31722;0;1;0 
35335;14407;6502;31723;0;1;0 
36338;14407;6503;31725;0;2;0 
36497;14408;6502;31725;0;2;0 
35317;14407;6502;31722;0;1;0 
35455;14407;6502;31723;0;1;0 
35074;14407;6502;31723;0;1;0 
35261;14407;6502;31722;0;1;0 
36653;14407;6502;31723;0;1;0 
38991;14407;6502;31723;0;1;0 
35204;14407;6502;31723;0;1;0 
35196;14407;6502;31723;0;1;0 
35065;14407;6502;31723;0;1;0 
36338;14407;6502;31723;0;1;0 
36185;14407;6502;31723;0;1;0 
35494;14407;6502;31722;0;1;0 
35283;14407;6502;31723;0;1;0 
36299;14407;6502;31723;0;1;0 
35428;14407;6502;31723;0;1;0 
35234;14407;6502;31723;0;1;0 
35223;14407;6502;31723;0;1;0 
35640;14407;6502;31723;0;1;0 
35285;14407;6502;31722;0;1;0 
35314;14407;6502;31723;0;1;0 
35813;14407;6502;31723;0;1;0 
35218;14407;6502;31723;0;1;0 
37341;14407;6502;31723;0;1;0 
36827;14407;6502;31723;0;1;0 
35321;14407;6502;31723;0;1;0 
35255;14407;6502;31723;0;1;0 
37726;14407;6502;31723;0;1;0 
35532;14407;6502;31723;0;1;0 
37704;14407;6502;31723;0;1;0 
35093;14407;6502;31723;0;1;0 
35176;14407;6502;31723;0;1;0 
36789;14407;6502;31723;0;1;0 
35448;14407;6502;31723;0;1;0 
36260;14407;6502;31722;0;1;0 
35370;14407;6502;31723;0;1;0 
35060;14407;6502;31722;0;1;0 
35223;14407;6502;31723;0;1;0 
35525;14407;6502;31723;0;1;0 
36410;14407;6502;31723;0;1;0 
35405;14407;6502;31723;0;1;0 
35480;14407;6502;31723;0;1;0 
36367;14407;6502;31723;0;1;0 
35240;14407;6502;31723;0;1;0 
35355;14407;6502;31723;0;1;0 
35481;14407;6502;31722;0;1;0 
35338;14407;6502;31723;0;1;0 
36117;14407;6502;31723;0;1;0 
35808;14407;6502;31722;0;1;0 
35350;14407;6502;31723;0;1;0 
35066;14407;6502;31723;0;1;0 
35251;14407;6502;31723;0;1;0 
35295;14407;6502;31723;0;1;0 
35319;14407;6502;31722;0;1;0 
35171;14407;6502;31722;0;1;0 
35181;14407;6502;31723;0;1;0 
35469;14408;6502;31725;0;2;0 
35457;14407;6502;31724;0;2;0 
35316;14407;6502;31723;0;1;0 
35246;14407;6502;31723;0;1;0 
35359;14407;6502;31723;0;1;0 
35774;14407;6502;31723;0;1;0 
35036;14407;6502;31723;0;1;0 
36812;14407;6502;31723;0;1;0 
35396;14407;6502;31723;0;1;0 
36156;14407;6502;31723;0;1;0 
35070;14407;6502;31723;0;1;0 
35408;14407;6502;31723;0;1;0 
35046;14407;6502;31723;0;1;0 
35378;14407;6502;31723;0;1;0 
35271;14407;6502;31723;0;1;0 
35083;14407;6502;31723;0;1;0 
35943;14407;6502;31723;0;1;0 
35559;14407;6502;31723;0;1;0 
35230;14407;6502;31723;0;1;0 
35311;14407;6502;31723;0;1;0 
35382;14407;6502;31722;0;1;0 
35419;14407;6502;31723;0;1;0 
35334;14407;6502;31723;0;1;0 
35381;14407;6502;31723;0;1;0 
35193;14407;6502;31723;0;1;0 
35235;14407;6502;31722;0;1;0 
35399;14407;6502;31723;0;1;0 
38142;14407;6502;31723;0;1;0 
37266;14407;6502;31723;0;1;0 
35069;14407;6502;31723;0;1;0 
35255;14407;6502;31723;0;1;0 
35427;14407;6502;31723;0;1;0 
35544;14407;6502;31722;0;1;0 
35459;14407;6502;31723;0;1;0 
35659;14407;6502;31722;0;1;0 
35391;14407;6502;31723;0;1;0 
37584;14407;6502;31723;0;1;0 
35597;14407;6502;31723;0;1;0 
35063;14407;6502;31723;0;1;0 
35136;14407;6502;31723;0;1;0 
35382;14407;6502;31723;0;1;0 
35222;14407;6502;31723;0;1;0 
37677;14407;6502;31722;0;1;0 
35048;14407;6502;31722;0;1;0 
35329;14407;6502;31723;0;1;0 
35329;14407;6502;31723;0;1;0 
36543;14407;6502;31723;0;1;0 
37484;14407;6502;31723;0;1;0 
35375;14407;6502;31722;0;1;0 
36457;14407;6502;31723;0;1;0 
35713;14407;6502;31723;0;1;0 
35432;14407;6502;31722;0;1;0 
36429;14407;6502;31723;0;1;0 
35216;14407;6502;31723;0;1;0 
35362;14407;6502;31723;0;1;0 
35369;14407;6502;31722;0;1;0 
37843;14407;6502;31723;0;1;0 
35194;14407;6502;31723;0;1;0 
35265;14407;6502;31722;0;1;0 
35449;14407;6502;31722;0;1;0 
35615;14407;6502;31722;0;1;0 
35757;14407;6502;31723;0;1;0 
35213;14407;6502;31723;0;1;0 
35764;14407;6502;31722;0;1;0 
35235;14407;6502;31723;0;1;0 
35342;14407;6502;31723;0;1;0 
35611;14407;6502;31722;0;1;0 
35412;14407;6502;31722;0;1;0 
35182;14407;6502;31723;0;1;0 
35442;14407;6502;31723;0;1;0 
35495;14408;6502;31725;0;2;0 
35197;14407;6502;31723;0;1;0 
35468;14407;6502;31723;0;1;0 
35589;14407;6502;31722;0;1;0 
35293;14407;6502;31723;0;1;0 
36238;14407;6502;31722;0;1;0 
35207;14407;6502;31722;0;1;0 
36360;14407;6502;31722;0;1;0 
35361;14407;6502;31723;0;1;0 
35174;14407;6502;31723;0;1;0 
35291;14407;6502;31723;0;1;0 
35206;14407;6502;31722;0;1;0 
36129;14407;6502;31722;0;1;0 
36364;14407;6502;31723;0;1;0 
36427;14407;6502;31723;0;1;0 
35269;14407;6502;31723;0;1;0 
35314;14407;6502;31723;0;1;0 
35242;14407;6502;31723;0;1;0 
35790;14407;6502;31723;0;1;0 
35538;14407;6502;31723;0;1;0 
35290;14407;6502;31722;0;1;0 
35320;14407;6502;31722;0;1;0 
35350;14407;6502;31723;0;1;0 
35380;14407;6502;31724;0;2;0 
35391;14407;6502;31723;0;1;0 
35464;14407;6502;31724;0;2;0 
35911;14407;6502;31723;0;1;0 
36477;14407;6502;31723;0;1;0 
35497;14407;6502;31723;0;1;0 
36249;14407;6502;31722;0;1;0 
35176;14407;6502;31723;0;1;0 
35282;14407;6502;31722;0;1;0 
37924;14407;6502;31723;0;1;0 
37766;14407;6502;31722;0;1;0 
35359;14407;6502;31722;0;1;0 
36063;14407;6502;31724;0;2;0 
35604;14407;6502;31723;0;1;0 
36337;14407;6502;31723;0;1;0 
35274;14407;6502;31723;0;1;0 
35077;14407;6502;31723;0;1;0 
35107;14407;6502;31723;0;1;0 
35447;14407;6502;31723;0;1;0 
35386;14407;6502;31723;0;1;0 
35389;14407;6502;31723;0;1;0 
35684;14407;6502;31723;0;1;0 
35406;14407;6502;31723;0;1;0 
35119;14407;6502;31723;0;1;0 
36569;14407;6502;31723;0;1;0 
36170;14407;6502;31723;0;1;0 
35178;14407;6502;31723;0;1;0 
35692;14407;6502;31723;0;1;0 
35352;14407;6502;31723;0;1;0 
37759;14407;6502;31723;0;1;0 
35717;14407;6502;31723;0;1;0 
38140;14407;6502;31722;0;1;0 
36029;14407;6502;31723;0;1;0 
35483;14407;6502;31723;0;1;0 
35382;14407;6503;31725;0;2;0 
35256;14407;6502;31723;0;1;0 
35624;14407;6502;31722;0;1;0 
35243;14407;6502;31722;0;1;0 
35173;14407;6502;31722;0;1;0 
37057;14407;6502;31722;0;1;0 
35202;14407;6502;31723;0;1;0 
35594;14407;6502;31723;0;1;0 
35410;14407;6502;31723;0;1;0 
35706;14407;6502;31723;0;1;0 
36637;14407;6502;31722;0;1;0 
36371;14407;6502;31722;0;1;0 
36371;14407;6502;31723;0;1;0 
36419;14407;6502;31723;0;1;0 
35615;14407;6502;31722;0;1;0 
35414;14407;6502;31723;0;1;0 
35884;14407;6502;31722;0;1;0 
36352;14407;6502;31723;0;1;0 
35240;14407;6502;31723;0;1;0 
36239;14407;6502;31722;0;1;0 
36702;14407;6502;31722;0;1;0 
35172;14407;6502;31722;0;1;0 
36693;14408;6502;31725;0;2;0 
36168;14407;6502;31722;0;1;0 
36065;14407;6502;31723;0;1;0 
