CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
35512;5;96;0;17756;0;76 
35370;4;32;0;17685;0;16 
35360;4;48;0;17680;0;32 
36265;2;44;0;18132;0;36 
36160;3;36;0;18080;0;24 
36552;3;44;0;18276;0;32 
36779;3;36;0;18389;0;24 
35206;2;24;0;17603;0;16 
36022;1;20;0;18011;0;16 
37183;6;72;0;18592;0;48 
35269;4;36;0;17635;0;20 
36383;6;48;0;18191;0;24 
35532;2;88;0;17766;0;80 
35196;3;32;0;17598;0;20 
35202;3;56;0;17601;0;44 
37328;5;40;0;18664;0;20 
36145;3;32;0;18073;0;20 
35074;1;20;0;17537;0;16 
35152;3;48;0;17576;0;36 
35169;5;32;0;17585;0;12 
35649;2;56;0;17825;0;48 
35491;4;60;0;17746;0;44 
35302;1;24;0;17651;0;20 
35484;4;44;0;17742;0;28 
35280;4;32;0;17640;0;16 
35873;2;36;0;17937;0;28 
35248;4;68;0;17624;0;52 
35362;7;56;0;17681;0;28 
35038;2;24;0;17519;0;16 
36436;5;44;0;18218;0;24 
35315;6;44;0;17657;0;20 
35759;4;72;0;17880;0;56 
36100;7;84;0;18050;0;56 
35768;1;24;0;17884;0;20 
36164;4;32;0;18082;0;16 
36958;4;40;0;18479;0;24 
36273;3;40;0;18136;0;28 
35402;5;44;0;17701;0;24 
36183;3;32;0;18092;0;20 
35577;0;32;0;17788;0;32 
35206;4;32;0;17603;0;16 
36105;2;28;0;18052;0;20 
35734;6;48;0;17867;0;24 
36566;7;64;0;18283;0;36 
35178;1;36;0;17589;0;32 
36391;3;40;0;18195;0;28 
35249;4;52;0;17625;0;36 
35080;3;24;0;17540;0;12 
37643;3;36;0;18821;0;24 
35984;4;48;0;17992;0;32 
35988;3;28;0;17994;0;16 
37300;3;36;0;18650;0;24 
35252;2;24;0;17626;0;16 
35395;6;48;0;17698;0;24 
35786;5;44;0;17893;0;24 
35330;3;40;0;17665;0;28 
36159;2;52;0;18079;0;44 
37081;3;52;0;18541;0;40 
35486;1;40;0;17743;0;36 
38043;2;28;0;19022;0;20 
35264;2;48;0;17632;0;40 
35492;8;64;0;17746;0;32 
35130;3;28;0;17565;0;16 
36485;5;60;0;18242;0;40 
35473;4;36;0;17737;0;20 
35523;5;44;0;17761;0;24 
35288;6;44;0;17644;0;20 
35509;4;44;0;17755;0;28 
36235;8;60;0;18117;0;28 
37917;2;52;0;18959;0;44 
35331;5;64;0;17665;0;44 
38477;3;36;0;19239;0;24 
35369;0;20;0;17684;0;20 
35607;5;40;0;17803;0;20 
35415;5;48;0;17707;0;28 
36765;2;40;0;18382;0;32 
35502;3;32;0;17751;0;20 
35450;6;52;0;17725;0;28 
36123;4;44;0;18061;0;28 
35548;7;56;0;17774;0;28 
35951;4;32;0;17975;0;16 
35068;4;28;0;17534;0;12 
35399;3;32;0;17700;0;20 
35248;1;20;0;17624;0;16 
35999;1;24;0;18000;0;20 
35413;3;48;0;17706;0;36 
36005;0;24;0;18002;0;24 
35715;5;44;0;17857;0;24 
36033;2;28;0;18017;0;20 
35341;3;36;0;17670;0;24 
36556;7;88;0;18278;0;60 
35311;6;44;0;17656;0;20 
36514;3;36;0;18257;0;24 
36165;2;24;0;18082;0;16 
36389;3;36;0;18194;0;24 
35031;2;24;0;17516;0;16 
36278;5;40;0;18139;0;20 
36226;3;68;0;18113;0;56 
35357;1;32;0;17678;0;28 
36284;5;48;0;18142;0;28 
36234;1;20;0;18117;0;16 
35820;3;40;0;17910;0;28 
36451;4;40;0;18226;0;24 
35832;4;44;0;17916;0;28 
35600;2;28;0;17800;0;20 
35461;9;68;0;17730;0;32 
35223;8;60;0;17611;0;28 
35791;4;48;0;17895;0;32 
36360;3;28;0;18180;0;16 
36291;1;24;0;18145;0;20 
35504;5;52;0;17752;0;32 
35142;3;28;0;17571;0;16 
36642;3;28;0;18321;0;16 
35339;3;36;0;17669;0;24 
35560;5;48;0;17780;0;28 
35542;7;60;0;17771;0;32 
36613;4;32;0;18307;0;16 
35150;3;28;0;17575;0;16 
36387;5;60;0;18194;0;40 
35473;2;48;0;17737;0;40 
35450;7;76;0;17725;0;48 
36556;5;52;0;18278;0;32 
36140;3;56;0;18070;0;44 
36238;3;28;0;18119;0;16 
37404;3;28;0;18702;0;16 
36290;4;64;0;18145;0;48 
36184;1;32;0;18092;0;28 
35439;3;32;0;17719;0;20 
35521;2;68;0;17761;0;60 
35389;3;32;0;17695;0;20 
35929;1;24;0;17965;0;20 
35049;3;24;0;17524;0;12 
35326;3;72;0;17663;0;60 
35458;5;48;0;17729;0;28 
35606;5;48;0;17803;0;28 
35167;6;44;0;17583;0;20 
