CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
35478;24;1;0;0;29;0 
35179;8;1;0;0;28;0 
35474;16;1;0;0;30;0 
35395;12;1;0;0;28;0 
35257;20;1;0;0;26;0 
35328;28;1;0;0;27;0 
35639;12;1;0;0;29;0 
35256;24;1;0;0;28;0 
35490;20;1;0;0;27;0 
35217;8;1;0;0;28;0 
36396;4;1;0;0;29;0 
36208;20;1;0;0;29;0 
35264;16;1;0;0;28;0 
35241;4;1;0;0;28;0 
35398;12;1;0;0;28;0 
35169;8;1;0;0;27;0 
36210;12;1;0;0;25;0 
35471;16;1;0;0;28;0 
36451;32;1;0;0;31;0 
35199;4;1;0;0;28;0 
35968;16;1;0;0;29;0 
35311;20;1;0;0;27;0 
35652;28;1;0;0;28;0 
35403;16;1;0;0;27;0 
35279;20;1;0;0;25;0 
35158;8;1;0;0;27;0 
36251;12;1;0;0;30;0 
35739;20;1;0;0;25;0 
35308;12;1;0;0;28;0 
36165;12;1;0;0;29;0 
35435;8;1;0;0;29;0 
35415;12;1;0;0;26;0 
35537;16;1;1;0;28;0 
35335;16;1;0;0;28;0 
35352;16;1;0;0;28;0 
35247;16;1;0;0;27;0 
36359;12;1;0;0;28;0 
36045;12;1;0;0;29;0 
35283;16;1;0;0;29;0 
36218;20;1;0;0;29;0 
36348;16;1;0;0;26;0 
35401;32;1;0;0;25;0 
35209;0;1;0;0;27;0 
35904;16;1;0;0;26;0 
35894;12;1;0;0;30;0 
37046;4;1;0;0;27;0 
36229;28;1;0;0;29;0 
36013;24;1;0;0;27;0 
35273;20;1;0;0;27;0 
35403;8;1;0;0;26;0 
35439;12;1;0;0;29;0 
36401;20;1;0;0;27;0 
36201;12;1;0;0;29;0 
36352;12;1;0;0;25;0 
35241;16;1;0;0;27;0 
35919;24;1;0;0;28;0 
35235;16;1;0;0;31;0 
36195;28;1;0;0;28;0 
35333;16;1;0;0;26;0 
35195;8;1;0;0;27;0 
35292;8;1;0;0;25;0 
36020;12;1;0;0;28;0 
36260;12;1;0;0;29;0 
36263;24;1;0;0;27;0 
35229;8;1;0;0;30;0 
35384;24;1;0;0;31;0 
37786;16;1;0;0;26;0 
35559;4;1;0;0;27;0 
35240;8;1;0;0;30;0 
35317;28;1;0;0;26;0 
35352;16;1;0;0;29;0 
35414;12;1;0;0;29;0 
35380;8;1;0;0;27;0 
35190;16;1;0;0;27;0 
35389;24;1;0;0;30;0 
36010;16;1;0;0;26;0 
35116;4;1;0;0;27;0 
35875;12;1;0;0;28;0 
35347;24;1;0;0;27;0 
35214;8;1;0;0;27;0 
36199;16;1;0;0;27;0 
35213;20;1;0;0;28;0 
35323;8;1;0;0;27;0 
35389;24;1;0;0;26;0 
35775;20;1;0;0;29;0 
36133;20;1;0;0;29;0 
