CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
35242;0;3402;1;1;130;0 
35329;0;3402;1;1;128;0 
37435;0;3402;1;1;132;0 
35473;0;3402;1;1;128;0 
35245;0;3402;1;1;129;0 
36025;0;3402;1;1;127;0 
35911;0;3402;1;1;127;0 
36468;0;3402;1;1;134;0 
35719;0;3402;1;1;127;0 
35538;0;3402;1;1;128;0 
35306;0;3402;1;1;133;0 
36032;0;3402;1;1;131;0 
35506;0;3402;1;1;128;0 
36411;0;3402;1;1;129;0 
35254;0;3402;1;1;127;0 
36057;0;3402;1;1;129;0 
36192;0;3402;1;1;128;0 
35080;0;3402;1;1;133;0 
35321;0;3402;1;1;127;0 
35658;0;3402;1;1;129;0 
38106;0;3402;1;1;129;0 
35758;0;3402;1;1;130;0 
35626;0;3402;1;1;133;0 
35516;0;3402;1;1;129;0 
35233;0;3402;1;1;130;0 
35195;0;3402;1;1;128;0 
36497;0;3402;1;1;129;0 
35264;0;3402;1;1;129;0 
36259;0;3402;1;1;130;0 
36390;0;3402;1;1;129;0 
35240;0;3402;1;1;126;0 
35642;0;3402;1;1;128;0 
35322;0;3402;1;1;129;0 
35528;0;3402;1;1;131;0 
35251;0;3402;1;1;130;0 
35315;0;3402;1;1;127;0 
35791;0;3402;1;1;133;0 
35437;0;3402;1;1;128;0 
36399;0;3402;1;1;132;0 
36023;0;3402;1;1;127;0 
35251;0;3402;1;1;131;0 
37378;0;3402;1;1;130;0 
35436;0;3402;1;1;130;0 
35374;0;3402;1;1;131;0 
35816;0;3402;1;1;130;0 
35914;0;3402;1;1;130;0 
36119;0;3402;1;1;129;0 
35394;0;3402;1;1;128;0 
35340;0;3402;1;1;130;0 
35237;0;3402;1;1;132;0 
35470;0;3402;1;1;132;0 
35378;0;3402;1;1;130;0 
35417;0;3402;1;1;129;0 
35375;0;3402;1;1;131;0 
35341;0;3402;1;1;128;0 
35384;0;3402;1;1;133;0 
35095;0;3402;1;1;125;0 
35231;0;3402;1;1;129;0 
37420;0;3402;1;1;129;0 
35366;0;3402;1;1;129;0 
35349;0;3402;1;1;130;0 
35989;0;3402;1;1;128;0 
35267;0;3402;1;1;130;0 
35258;0;3402;1;1;131;0 
35206;0;3402;1;1;129;0 
35662;0;3402;1;1;127;0 
36140;0;3402;1;1;126;0 
36256;0;3402;1;1;127;0 
35339;0;3402;1;1;128;0 
35387;0;3402;1;1;128;0 
35444;0;3402;1;1;130;0 
36382;0;3402;1;1;128;0 
35355;0;3402;1;1;129;0 
35487;0;3402;1;1;129;0 
35697;0;3402;1;1;131;0 
35255;0;3402;1;1;134;0 
35205;0;3402;1;1;130;0 
35241;0;3402;1;1;129;0 
35065;0;3402;1;1;129;0 
35449;0;3402;1;1;130;0 
35490;0;3402;1;1;132;0 
35203;0;3402;1;1;129;0 
35145;0;3402;1;1;127;0 
35092;0;3402;1;1;127;0 
35869;0;3402;1;1;130;0 
36347;0;3402;1;1;129;0 
35184;0;3402;1;1;128;0 
36721;0;3402;1;1;128;0 
36076;0;3402;1;1;130;0 
35385;0;3402;1;1;128;0 
35425;0;3402;1;1;130;0 
36352;0;3402;1;1;130;0 
35415;0;3402;1;1;128;0 
35879;0;3402;1;1;127;0 
35075;0;3402;1;1;132;0 
35152;0;3402;1;1;126;0 
38635;0;3402;1;1;128;0 
36598;0;3402;1;1;132;0 
35267;0;3402;1;1;130;0 
35126;0;3402;1;1;130;0 
35447;0;3402;1;1;129;0 
35250;0;3402;1;1;127;0 
36628;0;3402;1;1;132;0 
35346;0;3402;1;1;127;0 
35978;0;3402;1;1;128;0 
35315;0;3402;1;1;126;0 
35770;0;3402;1;1;128;0 
35385;0;3402;1;1;132;0 
36278;0;3402;1;1;126;0 
35302;0;3402;1;1;128;0 
35174;0;3402;1;1;127;0 
35234;0;3402;1;1;134;0 
36091;0;3402;1;1;126;0 
37883;0;3402;1;1;127;0 
35368;0;3402;1;1;129;0 
35068;0;3402;1;1;128;0 
36250;0;3402;1;1;132;0 
35263;0;3402;1;1;129;0 
35984;0;3402;1;1;129;0 
37397;0;3402;1;1;129;0 
35209;0;3402;1;1;128;0 
36558;0;3402;0;0;132;0 
35439;0;3402;1;1;135;0 
36063;0;3402;0;0;130;0 
35211;0;3402;1;1;129;0 
35343;0;3402;1;1;128;0 
