Evento;Ficheiro;MI Global;Alt A (Impacto Bilateral);Alt B (Bimodal);Alt C (MI P95);Curtose;Entropia;Norm_MI;Norm_Impacto;Índice Global (Base 2)
0x11;fibcall_perf_ite_n3_...;7,0303;0,1086;0,6187894676744317;4,883156763323857;4,152654695692286;10,420702498309042;1,0;0,0068;2,0068
0x1D;fibcall_perf_ite_n5_...;6,1878;0,092;0,6213591637342833;4,768529161384879;3,1786552429969084;9,509255880509574;0,8802;0,0058;1,7661
0x61;fibcall_perf_ite_n6_...;0,0101;16,0;0,3748015034802236;0,0;0,264591526494351;2,9361177662956646;0,0014;1,0;1,0029
0xE1;fibcall_perf_ite_n9_...;1,3477;4,9296;0,7246742001100172;1,2469449936289392;8,63261190238081;9,649265509411386;0,1917;0,3081;0,6915
0xC3;fibcall_perf_ite_n7_...;0,5912;1,8792;0,9211963595487797;0,19696030273540543;-0,2325998299309977;9,46050423434509;0,0841;0,1174;0,2856
0xE0;fibcall_perf_ite_n9_...;0,0328;4,275;0,8641518962994841;0,06803082446103703;518,8922553393759;5,077668077647859;0,0047;0,2672;0,2765
0xE7;fibcall_perf_ite_n10...;0,646;0,959;0,8018278536829943;0,16073433591599562;1,6335895663915392;7,710617444137286;0,0919;0,0599;0,2437
0xE2;fibcall_perf_ite_n9_...;0,0143;3,7778;0,648924829491383;0,0;31,69226319051457;2,0035715381938832;0,002;0,2361;0,2402
0xC2;fibcall_perf_ite_n7_...;0,0019;3,0;0,9221576905642234;0,0;113,25417621479275;0,14833722709740593;0,0003;0,1875;0,188
0x18;fibcall_perf_ite_n5_...;0,0;3,0;0,39163641982467384;0,014774885780814984;0,1206669571309642;2,8534572121646726;0,0;0,1875;0,1875
0x17;fibcall_perf_ite_n4_...;0,1375;2,1667;0,5366486423369622;0,010720761249608302;2,1308067282737926;3,2306547629410187;0,0196;0,1354;0,1745
0x60;fibcall_perf_ite_n5_...;0,1139;2,1667;0,5511867021634332;0,0;2,3413960182876914;3,2133995310598307;0,0162;0,1354;0,1678
0xE8;fibcall_perf_ite_n10...;0,0033;2,0;0,49412115337560064;0,0020269164684876273;820,3129025827527;0,13197555940695338;0,0005;0,125;0,1259
0x19;fibcall_perf_ite_n5_...;0,0734;1,5;0,4366009479917102;0,05191149778223414;1,2848655960012407;3,684674654797183;0,0104;0,0938;0,1146
0x03;fibcall_perf_ite_n1_...;0,013;1,5;0,424906351401593;0,02025044339001525;11,046180983513553;2,036511238443524;0,0019;0,0938;0,0975
0x01;fibcall_perf_ite_n1_...;0,0349;1,0;0,27256734300282415;0,046751332854053196;6,074564843749526;2,4721754627019767;0,005;0,0625;0,0724
0x86;fibcall_perf_ite_n6_...;0,0097;1,0;0,7417285422568466;0,00989587856860652;47,51501701992107;0,2062766920386327;0,0014;0,0625;0,0653
0x0A;fibcall_perf_ite_n2_...;0,008;1,0;1,0000000000000002;0,029303952239167597;22,597773935489688;0,22506268805199522;0,0011;0,0625;0,0648
0x05;fibcall_perf_ite_n1_...;0,0005;1,0;1,0000000000000002;0,0;550,8333368542516;0,01900652978466376;0,0001;0,0625;0,0626
0xCB;fibcall_perf_ite_n8_...;0,0005;1,0;1,0;0,0;239,02665243914984;0,03841656474699079;0,0001;0,0625;0,0626
0xCA;fibcall_perf_ite_n8_...;0,0;1,0;1,0;0,0;239,02665243914984;0,03841656474699079;0,0;0,0625;0,0625
0xC0;fibcall_perf_ite_n6_...;0,0382;0,6071;0,3189307360836981;0,04244080350004209;13,401989600552804;2,925124635987072;0,0054;0,0379;0,0488
0x16;fibcall_perf_ite_n4_...;0,0371;0,5652;0,35471636859865063;0,0;15,757860493726797;3,365768737937596;0,0053;0,0353;0,0459
0x15;fibcall_perf_ite_n4_...;0,0119;0,5001;0,14042043253306463;0,0;8,61775244742376;2,1394470455258197;0,0017;0,0313;0,0346
0x10;fibcall_perf_ite_n3_...;0,0206;0,0687;0,3878272547752078;0,0;1,2238447159133252;2,994862494930317;0,0029;0,0043;0,0102
0xCC;fibcall_perf_ite_n8_...;0,0185;0,062;0,4002527534478199;0,08146378142140209;0,8265604900614969;2,967798878521067;0,0026;0,0039;0,0091
0x14;fibcall_perf_ite_n4_...;0,0266;0,0081;0,6321824263626957;0,0;-0,061966290082669406;7,1516097097488815;0,0038;0,0005;0,0081
0x08;fibcall_perf_ite_n2_...;0,0204;0,0001;0,26033285287942937;0,023989737543611778;6,12994039487562;1,0572779126036778;0,0029;0,0;0,0058
0x04;fibcall_perf_ite_n1_...;0,0124;0,0;0,9999999999974573;0,0;44,06306105569773;0,14368057600395787;0,0018;0,0;0,0035
0x0C;fibcall_perf_ite_n3_...;0,01;0,001;0,8638252227058008;0,020775592406471866;35,26932028629435;0,22882584650832646;0,0014;0,0001;0,0029
0x12;fibcall_perf_ite_n4_...;0,0078;0,0005;0,8767610257720532;0,005785033919596394;37,313759331095405;0,23918544872524503;0,0011;0,0;0,0023
0xE4;fibcall_perf_ite_n10...;0,0067;0,0002;0,9208079270500709;0,0;46,60840211757516;0,1662908232079567;0,001;0,0;0,0019
0xE5;fibcall_perf_ite_n10...;0,0022;0,0038;0,11166025250947573;0,0005808503952391408;6,849390932813183;0,7996277313038431;0,0003;0,0002;0,0008
0xC9;fibcall_perf_ite_n8_...;0,0024;0,0003;0,9999999999995854;0,0;352,32240148451774;0,02777888634516364;0,0003;0,0;0,0007
0x06;fibcall_perf_ite_n2_...;0,002;0,0001;1,0000000000011826;0,013936265302343376;61,71334738728935;0,11236071009937676;0,0003;0,0;0,0006
0x07;fibcall_perf_ite_n2_...;0,0013;0,0002;1,0000000000005882;0,004355748378278679;146,5956828852174;0,057296196531931326;0,0002;0,0;0,0004
0x02;fibcall_perf_ite_n1_...;0,0008;0,0;0,9999999999999997;0,0;2496,248949850047;0,005092047537180205;0,0001;0,0;0,0002
0x0F;fibcall_perf_ite_n3_...;0,0007;0,0;0,0;0,0;0,0;0,0;0,0001;0,0;0,0002
0xC6;fibcall_perf_ite_n7_...;0,0002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0001
0xE6;fibcall_perf_ite_n10...;0,0003;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0001
0x1A;fibcall_perf_ite_n5_...;0,0004;0,0;0,0;0,0;0,0;0,0;0,0001;0,0;0,0001
0x1E;fibcall_perf_ite_n5_...;0,0004;0,0;0,0;0,0;0,0;0,0;0,0001;0,0;0,0001
0xD0;fibcall_perf_ite_n8_...;0,0003;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0001
0x7A;fibcall_perf_ite_n6_...;0,0002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0001
0xD1;fibcall_perf_ite_n9_...;0,0005;0,0;0,0;0,0;0,0;0,0;0,0001;0,0;0,0001
0x09;fibcall_perf_ite_n2_...;0,0002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0001
0xC5;fibcall_perf_ite_n7_...;0,0004;0,0;0,0;0,0;0,0;0,0;0,0001;0,0;0,0001
0xC8;fibcall_perf_ite_n8_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x87;fibcall_perf_ite_n6_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x00;fibcall_perf_ite_n1_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x13;fibcall_perf_ite_n4_...;0,0;0,0;1,0000000000034384;0,0;40,29221145185301;0,15307441964685373;0,0;0,0;0,0
0xC1;fibcall_perf_ite_n6_...;0,0001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xD2;fibcall_perf_ite_n9_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x0E;fibcall_perf_ite_n3_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x0D;fibcall_perf_ite_n3_...;0,0;0,0003;1,00000000000009;0,0018965331599702928;258,2914368112724;0,036022994169332356;0,0;0,0;0,0
0x0B;fibcall_perf_ite_n2_...;0,0001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xE3;fibcall_perf_ite_n9_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xE3;fibcall_perf_ite_n10...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xC4;fibcall_perf_ite_n7_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xC7;fibcall_perf_ite_n7_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
