CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
35283;6401;802;0;2089;2;0 
35152;6401;802;0;1963;2;0 
35017;6401;802;0;1976;2;0 
35057;6401;802;0;1877;2;0 
35071;6401;802;0;1957;2;0 
35107;6401;802;0;1965;2;0 
35879;6402;799;0;2557;2;0 
35078;6401;802;0;1957;2;0 
35047;6401;802;0;1866;2;0 
34933;6401;802;0;1877;2;0 
35228;6401;802;0;1963;2;0 
35202;6401;802;0;2055;2;0 
35009;6401;802;0;1959;2;0 
35074;6401;802;0;1976;2;0 
35231;6401;802;0;1865;2;0 
35367;6401;802;0;2021;2;0 
35157;6401;802;0;2035;2;0 
36251;6401;802;0;2963;2;0 
35698;6401;802;0;1868;2;0 
35397;6401;802;0;2020;2;0 
36237;6401;802;0;3005;2;0 
35489;6401;802;0;2010;2;0 
35267;6401;802;0;2071;2;0 
36864;6401;799;0;2096;2;0 
35765;6401;803;0;2596;2;0 
35369;6401;802;0;2021;2;0 
37764;6401;802;0;2024;2;0 
35113;6401;802;0;1876;2;0 
37927;6401;802;0;3720;2;0 
35358;6401;802;0;2015;2;0 
35242;6401;802;0;2032;2;0 
35053;6401;802;0;1866;2;0 
36247;6401;802;0;3011;2;0 
35373;6401;802;0;2014;2;0 
36259;6401;803;0;2954;2;0 
35247;6401;802;0;2061;2;0 
35257;6401;802;0;1866;2;0 
36161;6401;802;0;2988;2;0 
35462;6401;802;0;2010;2;0 
35271;6401;802;0;2015;2;0 
35907;6401;802;0;2514;2;0 
35215;6401;802;0;2031;2;0 
35157;6401;802;0;1865;2;0 
35488;6401;802;0;2019;2;0 
35953;6401;802;0;2011;2;0 
36434;6401;802;0;2994;2;0 
36071;6401;802;0;2696;2;0 
35228;6401;802;0;2023;2;0 
35530;6401;802;0;2182;2;0 
35614;6401;801;0;2053;5;0 
36308;6401;802;0;2979;2;0 
35112;6401;802;0;1866;2;0 
35307;6401;802;0;2016;2;0 
35322;6401;802;0;2024;2;0 
35946;6401;802;0;2054;2;0 
35212;6401;802;0;2009;2;0 
35093;6401;802;0;1868;2;0 
37202;6401;802;0;3130;2;0 
35365;6401;802;0;2023;2;0 
35708;6401;802;0;2021;2;0 
37422;6401;802;0;1865;2;0 
36498;6401;802;0;2028;2;0 
36656;6401;802;0;1888;2;0 
35268;6401;802;0;1882;2;0 
35371;6401;802;0;2014;2;0 
35305;6401;802;0;2026;2;0 
35366;6401;802;0;2010;2;0 
36828;6401;802;0;3669;2;0 
35347;6401;802;0;1865;2;0 
36354;6401;802;0;3155;2;0 
35380;6401;802;0;2027;2;0 
35494;6401;802;0;2016;2;0 
35349;6401;802;0;2013;2;0 
36452;6401;802;0;2022;2;0 
35312;6401;802;0;2046;2;0 
35800;6401;804;0;2505;2;0 
35195;6401;802;0;1877;2;0 
35210;6401;802;0;2022;2;0 
35484;6401;802;0;2016;2;0 
36310;6401;802;0;2980;2;0 
37461;6401;802;0;2010;2;0 
36145;6401;802;0;1866;2;0 
35367;6401;802;0;2021;2;0 
35615;6401;802;0;2012;2;0 
35439;6401;802;0;2061;2;0 
36877;6401;802;0;3161;2;0 
36866;6401;802;0;3002;2;0 
36300;6401;802;0;3108;2;0 
37072;6401;802;0;2972;2;0 
35515;6401;802;0;2065;2;0 
35053;6401;802;0;1865;2;0 
36046;6401;802;0;2780;2;0 
38117;6401;802;0;3704;2;0 
35615;6401;804;0;2029;2;0 
36617;6401;802;0;3124;2;0 
36285;6401;802;0;1877;2;0 
35092;6401;802;0;1877;2;0 
35187;6401;803;0;2091;2;0 
37152;6401;802;0;2025;2;0 
36491;6401;802;0;3003;2;0 
39261;6401;800;0;3229;2;0 
36727;6401;802;0;3391;2;0 
35271;6401;802;0;2061;2;0 
35185;6401;802;0;2038;2;0 
35386;6401;802;0;2014;2;0 
36374;6401;802;0;3169;2;0 
35411;6401;802;0;2011;2;0 
36347;6401;804;0;3026;2;0 
35268;6401;802;0;2028;2;0 
35421;6401;802;0;2013;2;0 
35240;6401;802;0;2014;2;0 
35447;6401;802;0;2013;2;0 
36495;6401;804;0;2171;2;0 
35618;6401;802;0;2010;2;0 
36195;6401;802;0;3026;2;0 
35542;6401;802;0;2014;2;0 
35244;6401;802;0;2010;2;0 
36104;6401;802;0;1877;2;0 
35242;6401;802;0;2036;2;0 
35227;6401;802;0;2013;2;0 
35748;6401;802;0;1876;2;0 
35328;6401;802;0;2058;2;0 
37678;6402;800;0;2069;5;0 
35093;6401;800;0;1909;2;0 
36172;6401;800;0;2735;2;0 
35230;6401;803;0;2013;2;0 
35218;6401;802;0;2012;2;0 
35358;6401;802;0;2037;2;0 
35244;6401;802;0;1865;2;0 
37221;6401;802;0;3108;2;0 
35217;6401;804;0;2038;2;0 
35062;6401;802;0;1866;2;0 
35671;6401;802;0;2024;2;0 
35357;6401;802;0;2026;2;0 
35917;6401;802;0;2016;2;0 
35226;6401;802;0;2013;2;0 
35662;6401;802;0;1865;2;0 
36319;6401;802;0;2973;2;0 
35553;6401;802;0;1878;2;0 
36056;6401;804;0;2020;2;0 
37315;6401;802;0;3248;2;0 
35415;6401;802;0;2019;2;0 
36333;6401;802;0;2962;2;0 
37863;6401;802;0;2012;2;0 
36241;6401;802;0;3116;2;0 
35398;6402;800;0;2057;2;0 
35935;6401;800;0;2035;2;0 
37735;6401;802;0;2024;2;0 
35098;6401;802;0;1876;2;0 
35364;6401;802;0;2024;2;0 
36887;6401;803;0;3184;2;0 
36416;6402;800;0;3015;2;0 
35266;6401;803;0;2051;2;0 
35470;6401;804;0;2010;2;0 
37622;6401;802;0;2023;2;0 
35101;6401;802;0;1865;2;0 
36495;6401;803;0;3106;2;0 
35201;6401;802;0;2022;2;0 
35215;6401;802;0;1877;2;0 
36277;6401;802;0;2014;2;0 
35336;6401;802;0;2158;2;0 
35137;6401;804;0;2023;2;0 
35298;6401;802;0;1906;2;0 
36373;6401;802;0;2977;2;0 
35354;6401;802;0;2014;2;0 
35995;6401;802;0;1873;2;0 
35528;6401;802;0;2021;2;0 
35388;6401;802;0;2014;2;0 
35334;6401;804;0;2011;2;0 
35943;6401;802;0;2667;2;0 
35418;6401;802;0;2024;2;0 
36002;6401;803;0;2014;2;0 
35864;6401;802;0;2022;2;0 
35470;6401;802;0;2010;2;0 
35318;6401;802;0;2022;2;0 
35445;6401;803;0;1864;2;0 
35815;6401;802;0;2033;2;0 
35995;6401;802;0;2011;2;0 
35203;6401;802;0;2016;2;0 
35543;6401;802;0;2170;2;0 
36391;6401;802;0;3111;2;0 
36380;6401;802;0;2961;2;0 
36200;6401;802;0;2015;2;0 
36224;6401;802;0;2988;2;0 
36234;6401;802;0;2873;2;0 
36341;6401;802;0;2946;2;0 
36118;6401;802;0;2958;2;0 
36392;6401;802;0;3027;2;0 
35964;6401;802;0;2747;2;0 
36446;6401;802;0;2010;2;0 
36312;6401;802;0;2983;2;0 
36778;6401;802;0;3546;2;0 
35581;6401;802;0;2025;2;0 
35488;6401;802;0;2161;2;0 
35173;6401;803;0;1867;2;0 
35401;6401;802;0;2038;2;0 
35621;6401;802;0;1866;2;0 
35626;6401;802;0;2172;2;0 
35028;6401;802;0;1873;2;0 
35235;6401;802;0;2066;2;0 
35736;6401;802;0;2153;2;0 
35216;6401;803;0;2012;2;0 
36398;6401;802;0;2012;2;0 
35667;6401;802;0;2156;2;0 
35193;6401;802;0;1865;2;0 
35513;6401;802;0;2162;2;0 
36479;6401;802;0;2010;2;0 
35347;6401;802;0;2013;2;0 
35222;6401;802;0;1866;2;0 
35339;6401;802;0;1865;2;0 
35598;6401;802;0;2024;2;0 
35434;6401;802;0;2183;2;0 
35783;6401;802;0;2022;2;0 
36360;6401;802;0;2962;2;0 
35752;6402;799;0;2084;2;0 
35084;6401;802;0;1876;2;0 
35245;6401;802;0;2037;2;0 
35093;6401;802;0;1880;2;0 
36324;6401;802;0;2957;2;0 
35214;6401;804;0;1866;2;0 
36536;6401;802;0;3249;2;0 
35734;6401;802;0;2009;2;0 
37838;6401;803;0;1886;2;0 
37541;6401;800;0;2054;5;0 
35689;6401;802;0;2194;2;0 
35398;6401;803;0;2014;2;0 
36159;6401;802;0;2183;2;0 
36152;6401;802;0;2959;2;0 
35010;6401;802;0;1865;2;0 
36584;6401;802;0;3095;2;0 
36390;6401;802;0;3051;2;0 
35457;6402;800;0;1921;2;0 
36037;6401;802;0;1900;2;0 
35951;6401;802;0;2020;2;0 
35683;6401;804;0;2022;2;0 
35295;6401;802;0;1878;2;0 
36169;6401;802;0;2166;2;0 
35291;6401;802;0;1866;2;0 
35584;6401;802;0;2176;2;0 
35165;6401;802;0;1866;2;0 
37739;6401;802;0;3764;2;0 
35853;6401;802;0;1877;2;0 
35682;6401;802;0;2024;2;0 
35356;6401;802;0;1866;2;0 
35144;6401;802;0;2009;2;0 
35432;6401;802;0;2159;2;0 
35251;6401;802;0;2015;2;0 
36351;6401;802;0;2997;2;0 
37027;6401;804;0;3597;2;0 
36409;6401;804;0;3202;2;0 
35058;6401;802;0;1865;2;0 
35123;6401;802;0;1875;2;0 
35076;6401;802;0;1881;2;0 
35073;6401;802;0;1865;2;0 
35250;6401;802;0;1917;2;0 
35408;6401;802;0;2012;2;0 
36150;6401;803;0;2768;2;0 
36304;6401;804;0;3122;2;0 
35177;6401;803;0;1867;2;0 
36358;6401;802;0;3011;2;0 
36398;6401;802;0;2983;2;0 
36249;6401;802;0;3029;2;0 
35618;6401;802;0;2018;2;0 
36288;6401;802;0;2973;2;0 
35295;6401;802;0;1877;2;0 
35474;6401;802;0;2013;2;0 
35051;6401;803;0;1906;2;0 
35209;6401;802;0;2013;2;0 
