CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x11
36635;2005;3603;0;0;128;36635 
36592;2005;3603;0;0;133;36592 
35041;2005;3603;0;0;129;35041 
35921;2005;3603;0;0;135;35921 
36118;2005;3603;0;0;133;36118 
35456;2005;3603;0;0;132;35456 
36006;2005;3603;0;0;131;36006 
35208;2005;3603;0;0;129;35208 
35519;2005;3603;0;0;132;35519 
35280;2005;3603;0;0;130;35280 
35249;2005;3603;0;0;128;35249 
35378;2005;3603;0;0;131;35378 
35261;2005;3603;0;0;135;35261 
35436;2005;3603;0;0;132;35436 
35055;2005;3603;0;0;131;35055 
35141;2005;3603;0;0;130;35141 
35338;2005;3603;0;0;131;35338 
35400;2005;3603;0;0;131;35400 
35901;2006;3603;0;0;134;35901 
36211;2005;3603;0;0;133;36211 
36005;2005;3603;0;0;131;36005 
35383;2005;3603;0;0;136;35383 
36346;2005;3603;0;0;133;36346 
35121;2005;3603;0;0;133;35121 
35277;2005;3603;0;0;130;35277 
38215;2005;3603;0;0;129;38215 
35216;2005;3603;0;0;133;35216 
35477;2005;3603;0;0;130;35477 
35306;2005;3603;0;0;130;35306 
36122;2005;3603;0;0;132;36122 
35093;2005;3603;0;0;132;35093 
35751;2005;3603;0;0;133;35751 
35350;2005;3603;0;0;133;35350 
36196;2005;3603;0;0;130;36196 
35195;2005;3603;0;0;133;35195 
35083;2005;3603;0;0;133;35083 
36575;2005;3603;0;0;135;36575 
35304;2005;3603;0;0;130;35304 
35197;2005;3603;0;0;131;35197 
35033;2005;3603;0;0;131;35033 
36833;2007;3604;0;0;136;36833 
35715;2005;3603;0;0;136;35715 
35887;2005;3603;0;0;136;35887 
35380;2005;3603;0;0;129;35380 
35164;2005;3603;0;0;131;35164 
35335;2005;3603;0;0;131;35335 
35386;2005;3603;0;0;129;35386 
35404;2005;3603;0;0;133;35404 
37756;2005;3603;0;0;131;37756 
35726;2005;3603;0;0;130;35726 
35464;2005;3603;0;0;129;35464 
35170;2005;3603;0;0;130;35170 
35456;2005;3603;0;0;130;35456 
35740;2005;3603;0;0;131;35740 
35224;2005;3603;0;0;131;35224 
35682;2005;3603;0;0;131;35682 
35458;2005;3603;0;0;132;35458 
36123;2005;3603;0;0;129;36123 
35735;2005;3603;0;0;132;35735 
35546;2005;3603;0;0;132;35546 
35504;2005;3603;0;0;132;35504 
35237;2005;3603;0;0;131;35237 
35380;2005;3603;0;0;129;35380 
35664;2005;3603;0;0;135;35664 
35269;2005;3603;0;0;128;35269 
