CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
36151;0;0;408;445;8;0 
35333;0;0;398;554;9;0 
36031;0;0;400;1264;10;0 
35355;0;0;399;578;9;0 
36371;0;0;398;650;9;0 
36645;0;0;412;699;10;0 
36440;0;0;401;1670;9;0 
35312;0;0;405;525;9;0 
36204;0;0;395;1444;9;0 
35304;0;0;413;495;8;0 
35370;0;0;397;589;9;0 
35231;0;0;411;424;8;0 
36501;0;0;406;576;9;0 
35916;0;0;397;1123;9;0 
36255;0;0;402;512;9;0 
36813;0;0;394;2024;9;0 
35238;0;0;394;452;9;0 
35248;0;0;402;471;9;0 
35425;0;0;396;664;9;0 
35206;0;0;402;578;9;0 
36141;0;0;410;1342;5;0 
35883;0;0;410;1245;10;0 
36192;0;0;415;433;8;0 
36257;0;0;420;504;9;0 
36138;0;0;409;1351;9;0 
35204;0;0;403;417;10;0 
35519;0;0;410;708;5;0 
35509;0;0;412;577;5;0 
36201;0;0;415;418;9;0 
36446;0;0;387;680;16;0 
36820;0;0;405;412;9;0 
36239;0;0;401;1467;9;0 
35019;0;0;400;372;8;0 
35770;0;0;443;1001;17;0 
35371;0;0;416;423;9;0 
35378;0;0;404;583;9;0 
35065;0;0;410;434;8;0 
36440;0;0;420;542;10;0 
36322;0;0;407;1539;9;0 
35196;0;0;412;544;9;0 
35775;0;0;400;1152;5;0 
36607;0;0;407;688;10;0 
35423;0;0;419;629;5;0 
35224;0;0;400;448;4;0 
36940;0;0;419;891;10;0 
35363;0;0;407;579;9;0 
35259;0;0;394;476;9;0 
35625;0;0;412;825;9;0 
35340;0;0;414;705;9;0 
35230;0;0;404;441;8;0 
35446;0;0;411;664;8;0 
35356;0;0;400;577;10;0 
35241;0;0;396;630;9;0 
35461;0;0;405;527;10;0 
35323;0;0;403;560;9;0 
36365;0;0;402;476;9;0 
35343;0;0;415;530;10;0 
36547;0;0;395;678;9;0 
35050;0;0;410;418;9;0 
35958;0;0;401;1183;9;0 
35741;0;0;408;945;5;0 
35264;0;0;422;425;8;0 
37419;0;0;404;2647;4;0 
35154;0;0;421;365;4;0 
37839;0;0;417;3157;8;0 
37907;0;0;2083;585;17;0 
37412;0;0;413;2742;9;0 
35379;0;0;406;588;9;0 
35073;0;0;406;436;9;0 
35432;0;0;398;525;8;0 
35745;0;0;405;1112;9;0 
35644;0;0;465;666;16;0 
35219;0;0;414;576;9;0 
35215;0;0;409;572;9;0 
35246;0;0;398;624;10;0 
35159;0;0;401;516;9;0 
35353;0;0;401;433;8;0 
35097;0;0;406;459;8;0 
35903;0;0;401;1129;10;0 
36384;0;0;403;638;9;0 
35119;0;0;420;448;8;0 
36111;0;0;399;1351;9;0 
36171;0;0;405;1388;10;0 
35210;0;0;399;444;9;0 
36400;0;0;413;543;9;0 
35206;0;0;401;414;10;0 
35524;0;0;412;584;9;0 
35074;0;0;416;431;5;0 
35392;0;0;403;766;9;0 
35367;0;0;414;571;9;0 
35465;0;0;396;822;9;0 
35224;0;0;407;444;10;0 
36474;0;0;404;1562;5;0 
35985;0;0;410;422;8;0 
35293;0;0;398;674;9;0 
35266;0;0;401;634;10;0 
36115;0;0;403;1314;5;0 
35500;0;0;404;722;5;0 
35301;0;0;401;501;9;0 
35599;0;0;407;810;9;0 
35670;0;0;413;1033;5;0 
36708;0;0;412;2055;9;0 
35510;0;0;396;667;9;0 
35425;0;0;398;494;9;0 
36255;0;0;413;530;10;0 
36258;0;0;417;1447;9;0 
36163;0;0;395;437;10;0 
35092;0;0;414;420;9;0 
36152;0;0;404;442;10;0 
35461;0;0;402;690;8;0 
35211;0;0;403;430;9;0 
37418;0;0;409;1551;10;0 
