CYCLES;0xC2;0xC3;0xC4;0xC5;0xC6;0xC7
35241;12;8863;0;0;0;0 
35373;12;9018;0;0;0;0 
35099;12;8844;0;0;0;0 
35333;12;8736;0;0;0;0 
35464;12;9071;0;0;0;0 
36014;12;9681;0;0;0;0 
35445;12;9074;0;0;0;0 
35485;12;9225;0;0;0;0 
35567;12;9041;0;0;0;0 
35243;12;3316;0;0;0;0 
35149;12;9073;0;0;0;0 
35513;12;9182;0;0;0;0 
35618;12;8729;0;0;0;0 
35890;12;9156;0;0;0;0 
35859;12;9162;0;0;0;0 
35210;12;8877;0;0;0;0 
35213;12;3268;0;0;0;0 
37207;12;10816;0;0;0;0 
35201;12;3160;0;0;0;0 
36742;12;10580;0;0;0;0 
36370;12;4267;0;0;0;0 
35222;12;8872;0;0;0;0 
36472;12;3177;0;0;0;0 
35345;12;3307;0;0;0;0 
35213;12;3324;0;0;0;0 
35327;12;9070;0;0;0;0 
35337;12;8975;0;0;0;0 
36006;12;8886;0;0;0;0 
36341;12;4287;0;0;0;0 
35203;12;8872;0;0;0;0 
35441;12;3316;0;0;0;0 
35859;12;9228;0;0;0;0 
35317;12;8914;0;0;0;0 
35313;12;9059;0;0;0;0 
35065;12;8741;0;0;0;0 
35260;12;9084;0;0;0;0 
37304;12;10087;0;0;0;0 
35384;12;3324;0;0;0;0 
35381;12;3319;0;0;0;0 
37178;12;9085;0;0;0;0 
35046;12;8941;0;0;0;0 
35308;12;8850;0;0;0;0 
35071;12;8929;0;0;0;0 
35475;12;8997;0;0;0;0 
36114;3;8911;0;0;0;0 
35272;12;8863;0;0;0;0 
35898;12;3304;0;0;0;0 
36434;12;3446;0;0;0;0 
35229;12;8882;0;0;0;0 
35083;12;3161;0;0;0;0 
35362;12;3263;0;0;0;0 
35360;12;9080;0;0;0;0 
35989;12;3903;0;0;0;0 
35230;12;3315;0;0;0;0 
36451;12;4439;0;0;0;0 
36515;12;10164;0;0;0;0 
37755;14;9050;0;0;0;0 
35404;12;3163;0;0;0;0 
36460;12;3464;0;0;0;0 
35335;12;9021;0;0;0;0 
35218;12;8889;0;0;0;0 
35105;12;8820;0;0;0;0 
35329;12;9047;0;0;0;0 
35408;12;9074;0;0;0;0 
35090;12;8742;0;0;0;0 
36319;12;9846;0;0;0;0 
37026;12;10620;0;0;0;0 
35668;9;8847;0;0;0;0 
