CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x11
35536;2005;3603;0;0;132;35536 
36083;2005;3603;0;0;129;36083 
35658;2005;3603;0;0;131;35658 
35197;2005;3603;0;0;128;35197 
35407;2005;3603;0;0;131;35407 
35215;2005;3603;0;0;131;35215 
35269;2005;3603;0;0;131;35269 
35959;2005;3603;0;0;132;35959 
35434;2005;3603;0;0;132;35434 
36358;2005;3603;0;0;131;36358 
36277;2005;3603;0;0;130;36277 
38889;2005;3603;0;0;134;38889 
35542;2005;3603;0;0;131;35542 
35396;2005;3603;0;0;131;35396 
35378;2005;3603;0;0;131;35378 
35189;2005;3603;0;0;129;35189 
35501;2005;3603;0;0;132;35501 
35397;2006;3603;0;0;134;35397 
37549;2005;3603;0;0;134;37549 
35324;2005;3603;0;0;131;35324 
35679;2005;3603;0;0;131;35679 
35601;2005;3603;0;0;131;35601 
35775;2005;3603;0;0;131;35775 
35168;2005;3603;0;0;131;35168 
35346;2005;3603;0;0;130;35346 
35088;2005;3603;0;0;129;35088 
35203;2005;3603;0;0;130;35203 
35663;2005;3603;0;0;133;35663 
35421;2005;3603;0;0;129;35421 
36635;2005;3603;0;0;130;36635 
35317;2005;3603;0;0;131;35317 
35977;2005;3603;0;0;130;35977 
36317;2005;3603;0;0;132;36317 
35360;2005;3603;0;0;130;35360 
35589;2005;3603;0;0;132;35589 
35144;2005;3603;0;0;129;35144 
35225;2005;3603;0;0;132;35225 
36310;2005;3603;0;0;129;36310 
35178;2005;3603;0;0;128;35178 
35276;2005;3603;0;0;132;35276 
35541;2005;3603;0;0;131;35541 
35803;2005;3603;0;0;128;35803 
35489;2005;3603;0;0;130;35489 
35407;2005;3603;0;0;130;35407 
35390;2005;3603;0;0;135;35390 
35189;2005;3603;0;0;129;35189 
36341;2005;3603;0;0;131;36341 
35410;2005;3603;0;0;130;35410 
35372;2005;3603;0;0;130;35372 
35759;2005;3603;0;0;131;35759 
36348;2005;3603;0;0;136;36348 
35360;2005;3603;0;0;131;35360 
35603;2005;3603;0;0;130;35603 
35303;2005;3603;0;0;130;35303 
36456;2005;3603;0;0;131;36456 
36218;2005;3603;0;0;130;36218 
36774;2005;3603;0;0;131;36774 
35954;2006;3603;0;0;132;35954 
