CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
35377;0;9;0;6;20909;0 
35205;0;11;0;6;20909;0 
35210;0;11;0;7;20909;0 
35421;0;9;0;5;20909;0 
35294;0;10;0;6;20909;0 
35238;0;11;0;7;20909;0 
35779;0;9;0;7;20909;0 
35228;0;11;0;8;20909;0 
35433;0;9;0;7;20909;0 
35337;0;10;0;6;20909;0 
36471;0;11;0;8;20909;0 
35312;0;11;0;7;20909;0 
35181;0;9;0;9;20909;0 
36399;0;11;0;6;20909;0 
35218;0;9;0;6;20909;0 
35139;0;10;0;6;20909;0 
35529;0;9;0;7;20909;0 
35633;0;10;0;6;20909;0 
35153;0;8;0;6;20909;0 
35008;0;9;0;5;20909;0 
34962;0;8;0;7;20909;0 
35028;0;11;0;6;20909;0 
35060;0;11;0;6;20909;0 
35194;0;10;0;7;20909;0 
35107;0;11;0;6;20909;0 
35036;0;8;0;6;20909;0 
35226;0;8;0;8;20909;0 
35190;0;9;0;6;20909;0 
35227;0;10;0;7;20909;0 
35198;0;11;0;7;20909;0 
35808;0;7;0;5;20909;0 
36178;0;9;0;6;20909;0 
35213;0;11;0;6;20909;0 
36439;0;8;0;8;20909;0 
36192;0;7;0;5;20909;0 
35214;0;9;0;7;20909;0 
36804;0;10;0;8;20909;0 
35952;0;17;0;9;20910;0 
36639;0;10;0;7;20909;0 
35415;0;9;0;6;20909;0 
35076;0;9;0;6;20909;0 
36226;0;10;0;5;20909;0 
35371;0;9;0;6;20909;0 
37483;0;7;0;6;20909;0 
36184;0;9;0;5;20909;0 
35992;0;10;0;7;20909;0 
35446;0;9;0;6;20909;0 
35349;0;8;0;6;20909;0 
35369;0;11;0;8;20909;0 
35431;0;10;0;6;20909;0 
38250;0;9;0;7;20909;0 
36332;0;11;0;6;20909;0 
38184;0;10;0;7;20909;0 
35197;0;7;0;7;20909;0 
35035;0;10;0;7;20909;0 
36329;0;9;0;9;20910;0 
35403;0;14;0;11;20910;0 
35070;0;8;0;7;20909;0 
35387;0;9;0;8;20909;0 
35221;0;9;0;6;20909;0 
35008;0;8;0;5;20909;0 
37158;0;8;0;7;20909;0 
35149;0;9;0;5;20909;0 
35308;0;9;0;6;20909;0 
35325;0;9;0;6;20909;0 
36244;0;10;0;5;20909;0 
35400;0;10;0;7;20909;0 
35069;0;10;0;6;20909;0 
35823;0;11;0;5;20909;0 
35637;0;10;0;6;20909;0 
36936;0;11;0;7;20909;0 
35252;0;10;0;6;20909;0 
35806;0;8;0;5;20909;0 
35283;0;11;0;7;20909;0 
36296;0;11;0;7;20909;0 
35214;0;9;0;5;20909;0 
35218;0;9;0;5;20909;0 
35229;0;9;0;6;20909;0 
35355;0;11;0;7;20909;0 
36502;0;11;0;6;20909;0 
35045;0;9;0;5;20909;0 
35309;0;11;0;7;20909;0 
36363;0;10;0;6;20909;0 
35433;0;8;0;5;20909;0 
35378;0;11;0;6;20909;0 
35089;0;11;0;6;20909;0 
35413;0;11;0;6;20909;0 
36251;0;9;0;6;20909;0 
37021;0;12;0;5;20909;0 
36776;0;11;0;7;20909;0 
35898;0;11;0;6;20909;0 
35143;0;9;0;10;20909;0 
35556;0;15;0;10;20909;0 
35182;0;7;0;5;20909;0 
35877;0;10;0;7;20909;0 
35212;0;11;0;5;20909;0 
35404;0;11;0;6;20909;0 
36318;0;11;0;5;20909;0 
35417;0;11;0;6;20909;0 
35265;0;11;0;5;20909;0 
35213;0;11;0;7;20909;0 
35424;0;9;0;6;20909;0 
37475;0;11;0;6;20909;0 
36248;0;8;0;7;20909;0 
35295;0;11;0;6;20909;0 
36629;0;8;0;7;20909;0 
35074;0;8;0;5;20909;0 
36096;0;7;0;6;20909;0 
35469;0;11;0;6;20909;0 
36146;0;11;0;6;20909;0 
35387;0;11;0;7;20909;0 
35653;0;9;0;6;20909;0 
35347;0;10;0;6;20909;0 
36152;0;11;0;6;20909;0 
35055;0;11;0;5;20909;0 
35387;0;11;0;5;20909;0 
35499;0;11;0;5;20909;0 
35266;0;9;0;6;20909;0 
35352;0;11;0;6;20909;0 
35258;0;11;0;6;20909;0 
35478;0;8;0;5;20909;0 
35562;0;9;0;6;20909;0 
35316;0;10;0;7;20909;0 
35475;0;11;0;7;20909;0 
35277;0;9;0;7;20909;0 
36275;0;11;0;5;20909;0 
37741;0;9;0;6;20909;0 
35313;0;9;0;6;20909;0 
36147;0;9;0;6;20909;0 
36666;0;11;0;6;20909;0 
35239;0;8;0;9;20909;0 
36547;0;13;0;8;20909;0 
35330;0;10;0;6;20909;0 
35665;0;20;0;17;20910;0 
36504;0;11;0;6;20909;0 
35359;0;11;0;7;20909;0 
35213;0;11;0;6;20909;0 
35425;0;11;0;7;20909;0 
35211;0;10;0;6;20909;0 
35211;0;11;0;8;20909;0 
35062;0;6;0;6;20909;0 
35485;0;9;0;5;20909;0 
36520;0;9;0;7;20909;0 
36549;0;10;0;6;20909;0 
35049;0;9;0;6;20909;0 
36889;0;9;0;8;20909;0 
35191;0;9;0;6;20909;0 
37987;0;9;0;8;20909;0 
35506;0;19;0;12;20909;0 
35307;0;11;0;8;20909;0 
35505;0;10;0;6;20909;0 
35316;0;11;0;6;20909;0 
35387;0;8;0;6;20909;0 
35117;0;11;0;5;20909;0 
36244;0;9;0;6;20909;0 
35257;0;7;0;7;20909;0 
35235;0;11;0;6;20909;0 
35020;0;10;0;7;20909;0 
35250;0;10;0;6;20909;0 
35252;0;11;0;6;20909;0 
35940;0;8;0;6;20909;0 
35252;0;9;0;6;20909;0 
35254;0;10;0;7;20909;0 
35089;0;9;0;6;20909;0 
35014;0;9;0;6;20909;0 
35171;0;9;0;6;20909;0 
35254;0;11;0;8;20909;0 
35581;0;16;0;9;20909;0 
38116;0;10;0;6;20909;0 
35377;0;12;0;10;20909;0 
35535;0;11;0;7;20909;0 
35544;0;11;0;6;20909;0 
35267;0;11;0;5;20909;0 
35210;0;10;0;6;20909;0 
35085;0;9;0;8;20909;1 
35229;0;9;0;6;20909;0 
35238;0;11;0;6;20909;0 
36352;0;11;0;7;20909;0 
35186;0;9;0;6;20909;0 
36536;0;8;0;7;20909;0 
35496;0;8;0;6;20909;0 
36149;0;9;0;6;20909;0 
35343;0;10;0;6;20909;0 
35252;0;9;0;6;20909;0 
36043;0;7;0;7;20909;0 
35371;0;11;0;7;20909;0 
35519;0;15;0;8;20909;0 
36229;0;9;0;7;20909;0 
35076;0;11;0;7;20909;0 
35448;0;12;0;6;20909;0 
35125;0;8;0;6;20909;0 
35060;0;9;0;6;20909;0 
36323;0;9;0;5;20909;0 
37351;0;11;0;5;20909;0 
36201;0;7;0;7;20909;0 
35077;0;9;0;7;20909;0 
36143;0;11;0;7;20909;0 
36072;0;9;0;6;20909;0 
35108;0;9;0;6;20909;0 
36861;0;9;0;6;20909;0 
35737;0;11;0;6;20909;0 
35206;0;11;0;7;20909;0 
35241;0;9;0;7;20909;0 
35839;0;10;0;5;20909;0 
35436;0;11;0;6;20909;0 
36397;0;10;0;7;20909;0 
36030;0;9;0;7;20909;0 
36151;0;14;0;7;20909;0 
35281;0;11;0;5;20909;0 
35317;0;9;0;6;20909;0 
36376;0;10;0;7;20909;0 
35341;0;11;0;6;20909;0 
36506;0;10;0;6;20909;0 
35264;0;11;0;7;20909;0 
35513;0;8;0;6;20909;0 
37795;0;10;0;6;20909;0 
35336;0;11;0;6;20909;0 
36220;0;8;0;5;20909;0 
35584;0;10;0;5;20909;0 
36581;0;11;0;6;20909;0 
35459;0;10;0;6;20909;0 
36327;0;8;0;6;20909;0 
35204;0;10;0;6;20909;0 
35189;0;8;0;6;20909;0 
35525;0;10;0;6;20909;0 
36002;0;7;0;5;20909;0 
35604;0;10;0;5;20909;0 
35413;0;11;0;7;20909;0 
38204;0;21;0;14;20909;0 
35355;0;11;0;7;20909;0 
35403;0;9;0;7;20909;0 
36181;0;11;0;7;20909;0 
35342;0;9;0;6;20909;0 
36239;0;11;0;5;20909;0 
35204;0;11;0;5;20909;0 
34997;0;9;0;5;20909;0 
37093;0;9;0;6;20909;0 
35956;0;11;0;6;20909;0 
36228;0;11;0;6;20909;0 
36094;0;11;0;6;20909;0 
35047;0;10;0;6;20909;0 
37528;0;10;0;6;20909;0 
36150;0;11;0;8;20909;0 
35238;0;9;0;6;20909;0 
35370;0;11;0;8;20909;0 
35150;0;7;0;6;20909;0 
35923;0;17;0;14;20910;0 
36240;0;10;0;6;20909;0 
35217;0;11;0;6;20909;0 
35220;0;11;0;7;20909;0 
35195;0;11;0;6;20909;0 
35185;0;9;0;6;20909;0 
35406;0;11;0;7;20909;0 
35436;0;9;0;5;20909;0 
36403;0;10;0;6;20909;0 
35824;0;8;0;6;20909;0 
35681;0;10;0;6;20909;0 
35068;0;9;0;6;20909;0 
35309;0;11;0;7;20909;0 
35553;0;11;0;6;20909;0 
35230;0;11;0;8;20909;0 
37288;0;9;0;6;20909;0 
35226;0;9;0;7;20909;0 
35524;0;11;0;7;20909;0 
35309;0;10;0;6;20909;0 
35334;0;7;0;7;20909;0 
35219;0;11;0;6;20909;0 
35347;0;12;0;8;20909;0 
35191;0;11;0;5;20909;0 
35282;0;11;0;6;20909;0 
35780;0;8;0;5;20909;0 
35208;0;10;0;5;20909;0 
35209;0;9;0;6;20909;0 
35854;0;11;0;6;20909;0 
35842;0;9;0;5;20909;0 
35205;0;8;0;7;20909;0 
36478;0;10;0;5;20909;0 
35181;0;7;0;6;20909;0 
35401;0;10;0;8;20909;0 
35191;0;9;0;6;20909;0 
35899;0;9;0;6;20909;0 
35872;0;12;0;5;20909;0 
35543;0;10;0;6;20909;0 
35137;0;8;0;8;20909;0 
36385;0;10;0;6;20909;0 
37693;0;11;0;6;20909;0 
35349;0;16;0;8;20910;0 
35261;0;9;0;8;20909;0 
35458;0;10;0;7;20909;0 
35481;0;11;0;6;20909;0 
35555;0;11;0;6;20909;0 
35512;0;9;0;6;20909;0 
35202;0;9;0;6;20909;0 
35358;0;11;0;6;20909;0 
