CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
35773;14407;6502;31723;0;1;0 
36450;14407;6502;31723;0;1;0 
35820;14407;6502;31722;0;1;0 
35242;14407;6502;31722;0;1;0 
35396;14407;6502;31723;0;1;0 
35309;14407;6502;31723;0;1;0 
35550;14407;6502;31723;0;1;0 
35210;14407;6502;31723;0;1;0 
35587;14407;6502;31723;0;1;0 
35820;14407;6502;31723;0;1;0 
35238;14407;6502;31723;0;1;0 
37285;14407;6502;31722;0;1;0 
35336;14407;6502;31723;0;1;0 
35588;14407;6502;31722;0;1;0 
36135;14407;6502;31723;0;1;0 
35379;14407;6502;31723;0;1;0 
35222;14407;6502;31722;0;1;0 
35471;14407;6502;31722;0;1;0 
35370;14407;6502;31723;0;1;0 
35130;14407;6502;31722;0;1;0 
35517;14407;6502;31722;0;1;0 
35591;14407;6502;31723;0;1;0 
36423;14407;6502;31722;0;1;0 
35493;14407;6502;31723;0;1;0 
36124;14407;6502;31723;0;1;0 
35497;14407;6502;31722;0;1;0 
35072;14407;6502;31723;0;1;0 
35268;14407;6502;31723;0;1;0 
35161;14407;6502;31723;0;1;0 
35410;14407;6502;31723;0;1;0 
36408;14407;6502;31723;0;1;0 
36442;14407;6502;31723;0;1;0 
35114;14407;6502;31723;0;1;0 
35190;14407;6502;31723;0;1;0 
36150;14407;6502;31723;0;1;0 
35223;14407;6502;31723;0;1;0 
35257;14407;6502;31723;0;1;0 
35233;14407;6502;31723;0;1;0 
36044;14407;6502;31723;0;1;0 
35269;14407;6502;31723;0;1;0 
35390;14407;6502;31723;0;1;0 
35072;14407;6502;31722;0;1;0 
35195;14407;6502;31723;0;1;0 
35203;14407;6502;31723;0;1;0 
37015;14407;6502;31722;0;1;0 
35480;14407;6502;31723;0;1;0 
35412;14407;6502;31723;0;1;0 
35590;14407;6502;31723;0;1;0 
36161;14407;6502;31723;0;1;0 
35709;14407;6502;31723;0;1;0 
36310;14407;6502;31722;0;1;0 
35229;14407;6502;31723;0;1;0 
36218;14407;6502;31723;0;1;0 
35136;14407;6502;31723;0;1;0 
35367;14407;6502;31723;0;1;0 
35280;14408;6502;31725;0;2;0 
35545;14407;6502;31723;0;1;0 
