CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
35092;3;52;0;17546;0;40 
35162;3;36;0;17581;0;24 
35141;3;36;0;17571;0;24 
35148;6;52;0;17574;0;28 
35114;4;36;0;17557;0;20 
35148;5;80;0;17574;0;60 
35087;6;48;0;17543;0;24 
35209;4;48;0;17605;0;32 
35077;4;44;0;17538;0;28 
35075;4;36;0;17538;0;20 
35095;3;36;0;17547;0;24 
35953;2;32;0;17977;0;24 
36520;3;36;0;18260;0;24 
35641;5;40;0;17820;0;20 
35901;3;40;0;17951;0;28 
35225;2;24;0;17613;0;16 
35368;4;40;0;17684;0;24 
35501;3;40;0;17751;0;28 
35309;4;44;0;17654;0;28 
35215;4;36;0;17607;0;20 
35210;5;52;0;17605;0;32 
35791;4;44;0;17896;0;28 
36256;1;32;0;18128;0;28 
37690;2;28;0;18845;0;20 
35373;6;48;0;17687;0;24 
35202;5;40;0;17601;0;20 
36198;1;20;0;18099;0;16 
36185;1;24;0;18093;0;20 
35957;4;60;0;17978;0;44 
35429;5;44;0;17715;0;24 
35357;2;32;0;17678;0;24 
37942;4;48;0;18971;0;32 
35381;3;44;0;17690;0;32 
35052;2;24;0;17526;0;16 
35242;4;44;0;17621;0;28 
35985;2;32;0;17992;0;24 
35390;3;52;0;17695;0;40 
35400;2;32;0;17700;0;24 
35333;5;36;0;17666;0;16 
35276;6;44;0;17638;0;20 
36434;4;72;0;18217;0;56 
35222;1;24;0;17611;0;20 
35190;5;40;0;17595;0;20 
35144;1;16;0;17572;0;12 
35246;3;48;0;17623;0;36 
35462;5;60;0;17731;0;40 
37152;1;24;0;18576;0;20 
35439;3;40;0;17719;0;28 
35272;7;48;0;17636;0;20 
35409;2;32;0;17704;0;24 
35060;3;28;0;17530;0;16 
35340;2;44;0;17670;0;36 
35361;4;44;0;17680;0;28 
35956;3;28;0;17978;0;16 
35158;1;24;0;17579;0;20 
36065;4;32;0;18032;0;16 
35554;3;44;0;17777;0;32 
36358;1;28;0;18179;0;24 
35360;3;36;0;17680;0;24 
35322;3;40;0;17661;0;28 
35385;1;24;0;17692;0;20 
35728;5;36;0;17864;0;16 
35132;4;28;0;17566;0;12 
36639;2;36;0;18320;0;28 
36241;1;24;0;18120;0;20 
35409;6;56;0;17705;0;32 
35939;3;32;0;17969;0;20 
35365;2;32;0;17682;0;24 
36928;6;48;0;18464;0;24 
35182;7;40;0;17591;0;12 
35241;3;32;0;17620;0;20 
35355;1;44;0;17677;0;40 
35430;3;36;0;17715;0;24 
36061;2;36;0;18030;0;28 
35441;4;44;0;17720;0;28 
36033;1;32;0;18016;0;28 
36085;7;88;0;18042;0;60 
35275;2;32;0;17637;0;24 
35992;2;20;0;17996;0;12 
35204;6;52;0;17602;0;28 
36251;1;28;0;18125;0;24 
36574;3;36;0;18287;0;24 
36263;4;40;0;18131;0;24 
35269;5;40;0;17635;0;20 
35359;4;40;0;17679;0;24 
35275;3;28;0;17637;0;16 
35147;5;40;0;17573;0;20 
35323;3;48;0;17662;0;36 
35390;5;52;0;17695;0;32 
35514;4;40;0;17757;0;24 
35406;6;44;0;17703;0;20 
35214;3;28;0;17607;0;16 
35549;2;24;0;17774;0;16 
35199;1;28;0;17599;0;24 
37266;4;40;0;18633;0;24 
35084;7;40;0;17542;0;12 
36423;2;52;0;18211;0;44 
35507;2;56;0;17753;0;48 
35077;2;24;0;17539;0;16 
35293;7;48;0;17647;0;20 
35404;6;72;0;17702;0;48 
35837;2;24;0;17918;0;16 
35200;5;40;0;17600;0;20 
35272;6;56;0;17636;0;32 
35351;6;52;0;17676;0;28 
35149;4;36;0;17574;0;20 
36366;4;64;0;18183;0;48 
35241;6;44;0;17621;0;20 
35323;2;32;0;17661;0;24 
35528;3;44;0;17764;0;32 
35222;2;24;0;17611;0;16 
36096;1;32;0;18048;0;28 
35781;3;36;0;17890;0;24 
36381;2;24;0;18191;0;16 
35249;4;56;0;17624;0;40 
36618;4;40;0;18309;0;24 
35045;4;28;0;17522;0;12 
35571;2;40;0;17786;0;32 
36100;2;32;0;18050;0;24 
35359;2;32;0;17679;0;24 
36859;4;40;0;18429;0;24 
35046;3;28;0;17523;0;16 
35266;5;36;0;17633;0;16 
36631;4;36;0;18316;0;20 
36273;4;40;0;18136;0;24 
35780;2;32;0;17890;0;24 
35116;4;32;0;17558;0;16 
35590;6;48;0;17795;0;24 
36444;4;40;0;18222;0;24 
35233;3;28;0;17616;0;16 
35833;3;32;0;17916;0;20 
35335;6;44;0;17667;0;20 
36216;3;44;0;18108;0;32 
37749;3;28;0;18875;0;16 
36404;5;36;0;18202;0;16 
35737;4;44;0;17868;0;28 
37840;2;48;0;18920;0;40 
35851;6;92;0;17925;0;68 
35227;2;24;0;17614;0;16 
35384;3;32;0;17692;0;20 
35349;4;40;0;17674;0;24 
35657;5;36;0;17828;0;16 
35191;2;28;0;17596;0;20 
36259;3;28;0;18129;0;16 
36258;1;20;0;18128;0;16 
37309;6;52;0;18654;0;28 
35348;1;28;0;17674;0;24 
35162;1;32;0;17581;0;28 
35810;5;44;0;17905;0;24 
35577;7;76;0;17788;0;48 
36260;1;24;0;18130;0;20 
35850;4;32;0;17925;0;16 
36275;1;36;0;18138;0;32 
35211;2;28;0;17605;0;20 
35069;4;32;0;17534;0;16 
35329;0;28;0;17665;0;28 
35745;2;32;0;17873;0;24 
35575;5;44;0;17787;0;24 
36347;5;52;0;18174;0;32 
35508;6;48;0;17754;0;24 
35409;8;76;0;17704;0;44 
36667;4;36;0;18333;0;20 
35077;3;28;0;17538;0;16 
35275;4;32;0;17637;0;16 
37844;3;48;0;18922;0;36 
36295;2;36;0;18147;0;28 
36864;2;32;0;18432;0;24 
35187;5;60;0;17593;0;40 
35110;4;28;0;17555;0;12 
36589;4;52;0;18294;0;36 
35224;4;37;0;17612;0;20 
37984;4;36;0;18992;0;20 
35232;3;28;0;17616;0;16 
37308;3;36;0;18654;0;24 
35969;3;36;0;17984;0;24 
35717;3;36;0;17858;0;24 
35243;2;24;0;17622;0;16 
36496;4;40;0;18248;0;24 
36138;6;60;0;18069;0;36 
35356;2;28;0;17678;0;20 
35112;3;32;0;17556;0;20 
36186;1;20;0;18093;0;16 
35399;3;32;0;17700;0;20 
35206;1;32;0;17603;0;28 
35225;2;24;0;17612;0;16 
35947;4;40;0;17973;0;24 
35396;3;36;0;17698;0;24 
35456;5;44;0;17728;0;24 
35371;4;40;0;17685;0;24 
35870;7;68;0;17935;0;40 
35497;3;36;0;17748;0;24 
36433;6;56;0;18216;0;32 
35218;3;32;0;17609;0;20 
35086;4;40;0;17543;0;24 
35929;7;44;0;17965;0;16 
35391;3;32;0;17695;0;20 
35227;2;24;0;17614;0;16 
35319;4;32;0;17660;0;16 
35526;4;44;0;17763;0;28 
35064;2;24;0;17532;0;16 
35232;2;40;0;17616;0;32 
35370;2;28;0;17685;0;20 
36180;3;32;0;18090;0;20 
36369;2;44;0;18185;0;36 
35461;6;48;0;17730;0;24 
36508;2;36;0;18254;0;28 
35676;6;40;0;17838;0;16 
35374;1;24;0;17687;0;20 
36146;1;20;0;18073;0;16 
35262;3;40;0;17631;0;28 
35346;3;32;0;17673;0;20 
36167;1;20;0;18084;0;16 
35437;1;24;0;17718;0;20 
35268;2;28;0;17634;0;20 
35435;1;28;0;17718;0;24 
35599;6;52;0;17799;0;28 
35324;3;36;0;17662;0;24 
35421;4;36;0;17711;0;20 
35565;3;40;0;17782;0;28 
35409;3;32;0;17705;0;20 
36152;3;36;0;18076;0;24 
35887;4;36;0;17943;0;20 
35455;3;24;0;17727;0;12 
35353;3;36;0;17677;0;24 
35250;2;28;0;17625;0;20 
35923;7;48;0;17962;0;20 
36168;6;56;0;18084;0;32 
35510;6;44;0;17755;0;20 
35697;3;36;0;17848;0;24 
35347;2;48;0;17673;0;40 
35298;1;28;0;17649;0;24 
35214;6;56;0;17607;0;32 
36785;3;52;0;18393;0;40 
35764;4;36;0;17882;0;20 
35419;6;52;0;17710;0;28 
36217;5;36;0;18108;0;16 
35341;0;36;0;17671;0;36 
35269;2;28;0;17635;0;20 
35052;5;36;0;17526;0;16 
35217;6;44;0;17609;0;20 
35480;2;36;0;17740;0;28 
36672;3;44;0;18336;0;32 
36598;5;44;0;18299;0;24 
36502;5;40;0;18251;0;20 
35477;5;92;0;17739;0;72 
37541;3;52;0;18771;0;40 
36233;0;20;0;18116;0;20 
36349;3;36;0;18174;0;24 
36322;4;44;0;18161;0;28 
37004;2;28;0;18502;0;20 
36099;5;56;0;18049;0;36 
35372;4;32;0;17686;0;16 
37541;5;40;0;18770;0;20 
35498;6;40;0;17749;0;16 
35091;5;32;0;17546;0;12 
35189;5;36;0;17595;0;16 
35209;2;24;0;17604;0;16 
35360;2;52;0;17680;0;44 
35145;2;24;0;17572;0;16 
35415;6;48;0;17708;0;24 
36511;2;32;0;18256;0;24 
35503;3;52;0;17752;0;40 
35086;1;24;0;17543;0;20 
35095;2;24;0;17548;0;16 
35296;3;28;0;17648;0;16 
35209;2;28;0;17605;0;20 
35241;5;40;0;17621;0;20 
35212;3;32;0;17606;0;20 
35244;3;36;0;17622;0;24 
36299;2;64;0;18150;0;56 
35310;3;32;0;17655;0;20 
36960;4;44;0;18480;0;28 
35408;3;36;0;17704;0;24 
35310;2;32;0;17655;0;24 
35595;3;44;0;17797;0;32 
35365;1;56;0;17683;0;52 
35236;4;36;0;17618;0;20 
35249;5;36;0;17625;0;16 
35531;2;24;0;17765;0;16 
35218;2;28;0;17609;0;20 
36186;4;40;0;18093;0;24 
36569;0;24;0;18284;0;24 
36375;2;28;0;18187;0;20 
35140;5;36;0;17570;0;16 
35818;1;28;0;17909;0;24 
