CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
36271;12;1;0;0;26;0 
37810;12;1;0;0;29;0 
35348;16;1;0;0;28;0 
35145;20;1;0;0;26;0 
36209;8;1;0;0;28;0 
35388;16;1;0;0;30;0 
35468;20;1;0;0;28;0 
35062;8;1;0;0;28;0 
36443;12;1;0;0;27;0 
35550;12;1;0;0;29;0 
35903;4;1;0;0;29;0 
37157;20;1;0;0;26;0 
35036;12;1;0;0;25;0 
35315;8;1;0;0;26;0 
35357;20;1;0;0;27;0 
36939;12;1;0;0;25;0 
35533;12;1;0;0;29;0 
35426;12;1;0;0;27;0 
36255;32;1;0;0;29;0 
35189;8;1;0;0;27;0 
35319;16;1;0;0;29;0 
37091;20;1;0;0;27;0 
35070;8;1;0;0;30;0 
35384;16;1;0;0;27;0 
35233;8;1;0;0;27;0 
36141;16;1;0;0;29;0 
35488;12;1;0;0;30;0 
35211;24;1;0;0;26;0 
35326;16;1;0;0;25;0 
35284;20;1;0;0;24;0 
35367;20;1;0;0;28;0 
35361;16;1;0;0;28;0 
35780;16;1;0;0;29;0 
35323;16;1;0;0;31;0 
35929;4;1;0;0;26;0 
35188;20;1;0;0;29;0 
35289;16;1;0;0;30;0 
35753;20;1;0;0;29;0 
35514;16;1;0;0;28;0 
36225;8;1;1;0;34;0 
35450;20;1;0;0;31;0 
35118;20;1;0;0;28;0 
35476;8;1;1;0;23;0 
35343;8;1;0;0;27;0 
35199;16;1;0;0;26;0 
35413;12;1;0;0;26;0 
35228;8;1;0;0;28;0 
35224;8;1;0;0;29;0 
37004;12;1;0;0;28;0 
35407;16;1;0;0;29;0 
36330;4;1;0;0;28;0 
35642;24;1;0;0;28;0 
35425;12;1;0;0;30;0 
36327;16;1;0;0;30;0 
35391;12;1;0;0;26;0 
35520;24;1;0;0;27;0 
35406;16;1;0;0;26;0 
35288;20;1;0;0;25;0 
35243;24;1;0;0;27;0 
35350;8;1;0;0;28;0 
35616;24;1;0;0;29;0 
35658;8;1;0;0;29;0 
36703;24;1;0;0;27;0 
35235;28;1;0;0;26;0 
36030;8;1;0;0;29;0 
39262;20;1;0;0;28;0 
36310;12;1;0;0;29;0 
35940;20;1;0;0;28;0 
35221;12;1;0;0;29;0 
36451;40;1;0;0;26;0 
35182;16;1;0;0;30;0 
35316;12;1;0;0;26;0 
35232;12;1;0;0;27;0 
35164;16;1;0;0;28;0 
36156;12;1;0;0;28;0 
36399;24;1;0;0;26;0 
35278;0;1;0;0;27;0 
35057;12;1;0;0;27;0 
35353;4;1;0;0;28;0 
35384;12;1;0;0;29;0 
36509;16;1;0;0;27;0 
37071;28;1;0;0;27;0 
36329;8;1;0;0;28;0 
35749;4;1;0;0;26;0 
35779;24;1;0;0;27;0 
36316;12;1;0;0;29;0 
35380;20;1;0;0;29;0 
35223;36;1;0;0;26;0 
35580;8;1;0;0;27;0 
35147;28;1;0;0;24;0 
36164;20;1;0;0;25;0 
35560;16;1;0;0;28;0 
36148;12;1;0;0;28;0 
38152;28;1;0;0;30;0 
35079;12;1;0;0;29;0 
35295;8;1;0;0;28;0 
35591;20;1;0;0;29;0 
36729;32;1;1;0;37;0 
35403;12;1;0;0;29;0 
38041;4;1;0;0;27;0 
35917;20;1;0;0;27;0 
36624;16;1;0;0;30;0 
35962;12;1;0;0;26;0 
35204;12;1;0;0;29;0 
35360;4;1;0;0;29;0 
35181;20;1;0;0;29;0 
37853;12;1;0;0;31;0 
35358;28;1;0;0;27;0 
36283;4;1;0;0;27;0 
36215;12;1;0;0;29;0 
35243;16;1;0;0;29;0 
35846;8;1;0;0;27;0 
35332;8;1;0;0;28;0 
35572;16;1;0;0;26;0 
35323;0;1;0;0;26;0 
35380;24;1;0;0;30;0 
35405;16;1;0;0;30;0 
35294;24;1;0;0;27;0 
35484;8;1;0;0;29;0 
36424;12;1;1;0;32;0 
35377;20;1;0;0;32;0 
35999;8;1;0;0;29;0 
35229;20;1;0;0;29;0 
35166;8;1;0;0;29;0 
35481;12;1;0;0;27;0 
36065;12;1;0;0;29;0 
35226;20;1;0;0;28;0 
35033;12;1;0;0;29;0 
35350;8;1;0;0;28;0 
35385;24;1;0;0;30;0 
35328;16;1;0;0;29;0 
35857;24;1;0;0;30;0 
35526;24;1;0;0;26;0 
35494;24;1;0;0;27;0 
36263;12;1;0;0;26;0 
36705;12;1;0;0;27;0 
36787;32;1;0;0;29;0 
36520;24;1;0;0;27;0 
35027;12;1;0;0;27;0 
36890;16;1;0;0;28;0 
35196;20;1;0;0;25;0 
35610;8;1;0;0;26;0 
35208;12;1;0;0;28;0 
36455;16;1;0;0;25;0 
35678;16;1;0;0;30;0 
36198;4;1;0;0;28;0 
35454;0;1;0;0;28;0 
37287;24;1;0;0;28;0 
35193;16;1;0;0;27;0 
35198;12;1;0;0;29;0 
36256;20;1;1;0;34;0 
36713;28;1;1;0;34;0 
