CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
36224;6401;802;0;2200;2;0 
35233;6401;802;0;1877;2;0 
36190;6401;802;0;2022;2;0 
35342;6401;802;0;2064;2;0 
36248;6401;802;0;3028;2;0 
35366;6401;802;0;2023;2;0 
35506;6401;802;0;1865;2;0 
35331;6401;802;0;2022;2;0 
35261;6401;802;0;2041;2;0 
35660;6401;802;0;2009;2;0 
36640;6401;802;0;2098;2;0 
35796;6401;802;0;1877;2;0 
36620;6401;802;0;3118;2;0 
35538;6401;802;0;2387;2;0 
35306;6401;802;0;2174;2;0 
35125;6401;802;0;1866;2;0 
37487;6401;802;0;2010;2;0 
35878;6401;802;0;2197;2;0 
37210;6401;802;0;3266;2;0 
35507;6401;800;0;2061;2;0 
35595;6401;800;0;2048;5;0 
35692;6403;799;0;2236;2;0 
38706;6401;802;0;2997;2;0 
35707;6401;802;0;2393;2;0 
35932;6401;802;0;2036;2;0 
36361;6401;802;0;2974;2;0 
35406;6401;802;0;2017;2;0 
35371;6401;802;0;2187;2;0 
35558;6401;802;0;1866;2;0 
35282;6401;802;0;2025;2;0 
35490;6401;803;0;2022;2;0 
35534;6401;803;0;2009;2;0 
36268;6401;802;0;2969;2;0 
35199;6401;802;0;2017;2;0 
35419;6401;802;0;2016;2;0 
35191;6401;802;0;2018;2;0 
35220;6401;802;0;2014;2;0 
35346;6401;802;0;2021;2;0 
35351;6401;802;0;2012;2;0 
36355;6401;802;0;3182;2;0 
35385;6401;802;0;2012;2;0 
36399;6401;802;0;3114;2;0 
36503;6401;802;0;3088;2;0 
35231;6401;802;0;1877;2;0 
35182;6401;802;0;2017;2;0 
35215;6401;802;0;2039;2;0 
35305;6401;802;0;2011;2;0 
35543;6401;801;0;2059;5;0 
35919;6401;802;0;2599;2;0 
35211;6401;802;0;1887;2;0 
35499;6401;802;0;2013;2;0 
35508;6402;801;0;1995;2;0 
37122;6401;802;0;2976;2;0 
35829;6401;802;0;2023;2;0 
35689;6401;802;0;2521;2;0 
35469;6401;802;0;2025;2;0 
35362;6401;802;0;2016;2;0 
35394;6401;802;0;1877;2;0 
35491;6401;802;0;2015;2;0 
36436;6401;802;0;3021;2;0 
35261;6401;803;0;2015;2;0 
35213;6401;802;0;2025;2;0 
35528;6401;802;0;1866;2;0 
35511;6401;802;0;2165;2;0 
35386;6401;802;0;2063;2;0 
35036;6401;802;0;1906;2;0 
35313;6401;802;0;2016;2;0 
35432;6401;802;0;2012;2;0 
35218;6401;802;0;2060;2;0 
35181;6401;802;0;2026;2;0 
35259;6401;802;0;2012;2;0 
35479;6401;802;0;1878;2;0 
35202;6401;802;0;1866;2;0 
36280;6401;802;0;2960;2;0 
35377;6401;802;0;2037;2;0 
35242;6401;802;0;2025;2;0 
35368;6401;802;0;2034;2;0 
36351;6401;802;0;3013;2;0 
36325;6401;802;0;3010;2;0 
37344;6401;802;0;2020;2;0 
35347;6401;802;0;2016;2;0 
36395;6401;802;0;2024;2;0 
35344;6401;802;0;2056;2;0 
35195;6401;802;0;2017;2;0 
37392;6401;802;0;3134;2;0 
35252;6401;802;0;2024;2;0 
36216;6401;803;0;2173;2;0 
35442;6401;802;0;2010;2;0 
36505;6401;802;0;2034;2;0 
35844;6401;802;0;2025;2;0 
35247;6401;802;0;2014;2;0 
35024;6401;802;0;1865;2;0 
37834;6401;802;0;2035;2;0 
36692;6401;802;0;3183;2;0 
35486;6401;802;0;2026;2;0 
36440;6401;804;0;3010;2;0 
36577;6401;804;0;3146;2;0 
35211;6401;802;0;2027;2;0 
35513;6401;802;0;2012;2;0 
36313;6401;802;0;3137;2;0 
35329;6401;802;0;2011;2;0 
36412;6401;802;0;3143;2;0 
35421;6401;802;0;2011;2;0 
35269;6401;804;0;1877;2;0 
35204;6401;802;0;1877;2;0 
35888;6401;802;0;2733;2;0 
35969;6401;802;0;2022;2;0 
35696;6401;802;0;2039;2;0 
36108;6401;802;0;1888;2;0 
35238;6401;802;0;1906;2;0 
35847;6401;802;0;2602;2;0 
35501;6401;802;0;2012;2;0 
36039;6401;802;0;1887;2;0 
35037;6401;802;0;1865;2;0 
35384;6401;802;0;2011;2;0 
35296;6401;802;0;1906;2;0 
35301;6401;802;0;1877;2;0 
35202;6401;802;0;1877;2;0 
35173;6401;802;0;1865;2;0 
35137;6401;802;0;2016;2;0 
36423;6401;802;0;3088;2;0 
35209;6401;802;0;2028;2;0 
36626;6401;802;0;3151;2;0 
35638;6401;802;0;2207;2;0 
35352;6401;802;0;2055;2;0 
36044;6401;802;0;2159;2;0 
35297;6401;802;0;2175;2;0 
36360;6401;802;0;2010;2;0 
36158;6401;802;0;2942;2;0 
35326;6401;802;0;2167;2;0 
35254;6401;802;0;2026;2;0 
35280;6401;802;0;2036;2;0 
35261;6401;802;0;2099;2;0 
35168;6401;802;0;1889;2;0 
35267;6402;801;0;2057;7;0 
35285;6402;800;0;1936;2;0 
35012;6401;804;0;1877;2;0 
35365;6401;802;0;2016;2;0 
36638;6401;802;0;2994;2;0 
35051;6401;802;0;1888;2;0 
36159;6401;802;0;2944;2;0 
35050;6401;802;0;1880;2;0 
35229;6401;802;0;2029;2;0 
37811;6401;802;0;2015;2;0 
35489;6401;802;0;2013;2;0 
35881;6401;802;0;2218;2;0 
35822;6401;802;0;1876;2;0 
36427;6401;802;0;3158;2;0 
36333;6401;802;0;2969;2;0 
35371;6401;802;0;2013;2;0 
36287;6401;802;0;3119;2;0 
36545;6401;802;0;3129;2;0 
35855;6401;802;0;2619;2;0 
35448;6401;802;0;2013;2;0 
35237;6401;802;0;2021;2;0 
36178;6401;802;0;2021;2;0 
35539;6401;802;0;2026;2;0 
36606;6401;802;0;2017;2;0 
35203;6401;802;0;2022;2;0 
36156;6401;802;0;2955;2;0 
35820;6401;802;0;1908;2;0 
35275;6401;802;0;1877;2;0 
35239;6401;803;0;2038;2;0 
35659;6401;802;0;2370;2;0 
35341;6401;802;0;2020;2;0 
36612;6401;802;0;3148;2;0 
37281;6401;802;0;3144;2;0 
35185;6401;802;0;2026;2;0 
35349;6401;804;0;2057;2;0 
36424;6401;802;0;2963;2;0 
35243;6401;802;0;2023;2;0 
35455;6401;802;0;2050;2;0 
36191;6401;802;0;2997;2;0 
36135;6401;804;0;2944;2;0 
35363;6401;802;0;2024;2;0 
36302;6401;802;0;3122;2;0 
35258;6401;802;0;1869;2;0 
36903;6401;802;0;3585;2;0 
35449;6401;802;0;2012;2;0 
36980;6401;802;0;1876;2;0 
35225;6401;802;0;2022;2;0 
35065;6401;802;0;1865;2;0 
35264;6401;802;0;2023;2;0 
35333;6401;802;0;2029;2;0 
35131;6401;802;0;1877;2;0 
36194;6401;804;0;2995;2;0 
35359;6401;802;0;2012;2;0 
35266;6401;802;0;2011;2;0 
37227;6401;802;0;3028;2;0 
35070;6401;802;0;1889;2;0 
35136;6401;802;0;1879;2;0 
37459;6401;802;0;1865;2;0 
35330;6401;802;0;1866;2;0 
35481;6401;802;0;2200;2;0 
36302;6401;802;0;3020;2;0 
35518;6401;802;0;2199;2;0 
36062;6401;803;0;2012;2;0 
35371;6401;802;0;2012;2;0 
35639;6401;804;0;2255;2;0 
35229;6401;802;0;2028;2;0 
35342;6401;802;0;2158;2;0 
35187;6401;802;0;2026;2;0 
36394;6401;802;0;2023;2;0 
36381;6401;802;0;3179;2;0 
35355;6401;802;0;2009;2;0 
35538;6401;802;0;2018;2;0 
36242;6401;804;0;2946;2;0 
35338;6401;802;0;2015;2;0 
35275;6401;802;0;2062;2;0 
35174;6401;802;0;2028;2;0 
36398;6401;802;0;2166;2;0 
35167;6401;802;0;2028;2;0 
36493;6401;802;0;3033;2;0 
36306;6401;802;0;2939;2;0 
36725;6401;802;0;3140;2;0 
35846;6401;802;0;2031;2;0 
36786;6401;802;0;3615;2;0 
35489;6401;802;0;2036;2;0 
35711;6402;800;0;2189;2;0 
36099;6401;800;0;2192;2;0 
35388;6401;802;0;2014;2;0 
35219;6401;802;0;2039;2;0 
35330;6401;802;0;2013;2;0 
35430;6401;802;0;2025;2;0 
36622;6401;802;0;3343;2;0 
35219;6401;802;0;1876;2;0 
35093;6401;802;0;1888;2;0 
37615;6401;802;0;3130;2;0 
36525;6401;802;0;3195;2;0 
35384;6401;802;0;2171;2;0 
35265;6401;802;0;2022;2;0 
35212;6401;802;0;2024;2;0 
35097;6401;802;0;1889;2;0 
36759;6401;802;0;2980;2;0 
35286;6401;802;0;2014;2;0 
38038;6401;802;0;2258;2;0 
35480;6401;802;0;2169;2;0 
35211;6401;802;0;1876;2;0 
36273;6401;802;0;3138;2;0 
35506;6401;802;0;2298;2;0 
35689;6401;802;0;2062;2;0 
35272;6401;800;0;1896;5;0 
35353;6401;802;0;2196;2;0 
36369;6402;799;0;3025;2;0 
38214;6401;802;0;2010;2;0 
37041;6401;802;0;3572;2;0 
35357;6401;804;0;2014;2;0 
36069;6401;802;0;2013;2;0 
35400;6401;802;0;2051;2;0 
35378;6401;802;0;2156;2;0 
35230;6401;802;0;2029;2;0 
35350;6401;802;0;2016;2;0 
35419;6401;802;0;2010;2;0 
35170;6401;803;0;2025;2;0 
35476;6401;802;0;2036;2;0 
35528;6401;802;0;2015;2;0 
35349;6401;802;0;2015;2;0 
35069;6401;802;0;1889;2;0 
35977;6401;802;0;2161;2;0 
36417;6401;802;0;3187;2;0 
36485;6401;802;0;2155;2;0 
35407;6401;802;0;2199;2;0 
35224;6401;802;0;2037;2;0 
35224;6401;802;0;1878;2;0 
35182;6401;802;0;1866;2;0 
36148;6401;802;0;2953;2;0 
35362;6401;802;0;2024;2;0 
35704;6401;802;0;1888;2;0 
36545;6401;802;0;2015;2;0 
35267;6401;802;0;2024;2;0 
36141;6401;802;0;2021;2;0 
35358;6401;802;0;2026;2;0 
36342;6401;803;0;2984;2;0 
35216;6401;802;0;2017;2;0 
35326;6401;802;0;2011;2;0 
36471;6401;802;0;1889;2;0 
36527;6401;802;0;2063;2;0 
38280;6401;802;0;3834;2;0 
35504;6401;802;0;2026;2;0 
36151;6401;802;0;2969;2;0 
35268;6401;802;0;2014;2;0 
35548;6401;802;0;2169;2;0 
35353;6401;802;0;2012;2;0 
35328;6401;802;0;2014;2;0 
35375;6401;802;0;2021;2;0 
35492;6401;802;0;2157;2;0 
35230;6401;802;0;1877;2;0 
35215;6401;803;0;2024;2;0 
36307;6401;802;0;2012;2;0 
35215;6401;802;0;2008;2;0 
36508;6401;802;0;2033;2;0 
35693;6401;802;0;2041;2;0 
35742;6401;802;0;2543;2;0 
36130;6401;802;0;2786;2;0 
35181;6401;802;0;1879;2;0 
35056;6401;802;0;1866;2;0 
36428;6401;802;0;2020;2;0 
35436;6401;802;0;2016;2;0 
35359;6401;802;0;2022;2;0 
35194;6401;802;0;1866;2;0 
35386;6401;802;0;2017;2;0 
35975;6401;802;0;2011;2;0 
35343;6401;802;0;2027;2;0 
35812;6401;802;0;2023;2;0 
38254;6401;802;0;2018;2;0 
36386;6401;802;0;3166;2;0 
36444;6401;802;0;3124;2;0 
35733;6401;802;0;2036;2;0 
35773;6401;802;0;2024;2;0 
36280;6401;802;0;3010;2;0 
35526;6401;802;0;2133;2;0 
36280;6401;802;0;2171;2;0 
35829;6401;802;0;2023;2;0 
37233;6401;802;0;1868;2;0 
35469;6401;802;0;2015;2;0 
35358;6401;802;0;2183;2;0 
36264;6401;802;0;2022;2;0 
36324;6401;802;0;3137;2;0 
35337;6401;802;0;1888;2;0 
35325;6401;802;0;2034;2;0 
35909;6401;804;0;2022;2;0 
36070;6401;800;0;2062;5;0 
35202;6401;802;0;1865;2;0 
35384;6401;802;0;2155;2;0 
36081;6401;802;0;2862;2;0 
35306;6401;802;0;1876;2;0 
35375;6401;802;0;2010;2;0 
35702;6401;802;0;2143;2;0 
35203;6401;802;0;1866;2;0 
35380;6401;802;0;2014;2;0 
35838;6401;802;0;2159;2;0 
35377;6401;802;0;1865;2;0 
35345;6401;802;0;1865;2;0 
35207;6401;802;0;1877;2;0 
35485;6401;802;0;2167;2;0 
35486;6401;802;0;2015;2;0 
35408;6401;802;0;2170;2;0 
36011;6401;802;0;2024;2;0 
35527;6401;802;0;2177;2;0 
36382;6401;802;0;3127;2;0 
35467;6401;802;0;2017;2;0 
37232;6401;802;0;3153;2;0 
35943;6401;804;0;2011;2;0 
35598;6401;802;0;2132;2;0 
35318;6401;802;0;2052;2;0 
35348;6401;802;0;2015;2;0 
35376;6401;800;0;2051;2;0 
36641;6401;799;0;2993;5;0 
37305;6401;802;0;1888;2;0 
36470;6401;802;0;2995;2;0 
35404;6401;802;0;2198;2;0 
36334;6401;802;0;3123;2;0 
36217;6401;800;0;2877;5;0 
35200;6401;802;0;2035;2;0 
35484;6401;803;0;2057;2;0 
35621;6401;802;0;2013;2;0 
36377;6401;802;0;2022;2;0 
35363;6401;802;0;2053;2;0 
35261;6401;802;0;1887;2;0 
35700;6401;802;0;2156;2;0 
35518;6401;802;0;2079;2;0 
37367;6401;802;0;2067;2;0 
36030;6401;802;0;1905;2;0 
35180;6401;803;0;2052;2;0 
35204;6401;802;0;2016;2;0 
35759;6401;802;0;2012;2;0 
35228;6401;804;0;2025;2;0 
35554;6401;802;0;2156;2;0 
35530;6401;802;0;2159;2;0 
36384;6401;802;0;2173;2;0 
35737;6401;802;0;2157;2;0 
36242;6401;802;0;3050;2;0 
35574;6401;802;0;2394;2;0 
35795;6401;802;0;2654;2;0 
36349;6401;802;0;3136;2;0 
35114;6401;802;0;1888;2;0 
36277;6401;802;0;3020;2;0 
36473;6401;804;0;2038;2;0 
35635;6401;799;0;2045;5;0 
35792;6401;802;0;2012;2;0 
36571;6401;802;0;3124;5;0 
38155;6401;802;0;2033;2;0 
35230;6401;802;0;1865;2;0 
35027;6401;802;0;1885;2;0 
35968;6401;802;0;2011;2;0 
35404;6401;802;0;2010;2;0 
37003;6401;802;0;3664;2;0 
35593;6401;802;0;2159;2;0 
35197;6401;802;0;1905;2;0 
36667;6401;802;0;3181;2;0 
35365;6401;802;0;2181;2;0 
35330;6401;802;0;2011;2;0 
35328;6401;802;0;1877;2;0 
36066;6401;802;0;2170;2;0 
35202;6401;804;0;2034;2;0 
35054;6401;802;0;1876;2;0 
36385;6401;802;0;3120;2;0 
35331;6401;802;0;2182;2;0 
35168;6401;802;0;2063;2;0 
37032;6401;802;0;3208;2;0 
35210;6401;802;0;2037;2;0 
35408;6401;802;0;2168;2;0 
36272;6401;802;0;3093;2;0 
35211;6401;802;0;2025;2;0 
35319;6401;802;0;1888;2;0 
35446;6401;803;0;2060;2;0 
35320;6401;800;0;1889;2;0 
35206;6401;804;0;2012;2;0 
35275;6401;802;0;1877;2;0 
35215;6401;802;0;1876;2;0 
35088;6401;802;0;1866;2;0 
36394;6401;802;0;2955;2;0 
36065;6401;802;0;2211;2;0 
35670;6401;802;0;2159;2;0 
36317;6401;802;0;3011;2;0 
35360;6401;804;0;2023;2;0 
35664;6401;802;0;2026;2;0 
35575;6401;802;0;2163;2;0 
36976;6401;802;0;3652;2;0 
36224;6401;802;0;2977;2;0 
35422;6401;802;0;2193;2;0 
36316;6401;802;0;3115;2;0 
35120;6401;802;0;1880;2;0 
35245;6401;802;0;2029;2;0 
36184;6401;802;0;2986;2;0 
35169;6401;802;0;1865;2;0 
35316;6401;802;0;2127;2;0 
35346;6401;804;0;1866;2;0 
35418;6401;802;0;1866;2;0 
35898;6401;802;0;2011;2;0 
35531;6401;802;0;2180;2;0 
36210;6401;801;0;2178;2;0 
36215;6401;800;0;2218;5;0 
35845;6401;802;0;2327;2;0 
35583;6401;802;0;2203;2;0 
35305;6401;802;0;2033;2;0 
36954;6401;802;0;2047;2;0 
36821;6401;802;0;3153;2;0 
36256;6401;802;0;2063;2;0 
35361;6401;802;0;1887;2;0 
35544;6401;802;0;2017;2;0 
36440;6401;802;0;2034;2;0 
35597;6401;802;0;2166;2;0 
35351;6401;802;0;2049;2;0 
35496;6401;802;0;2156;2;0 
35456;6401;802;0;2012;2;0 
35430;6401;802;0;2014;2;0 
35328;6401;802;0;2027;2;0 
35451;6401;804;0;2023;2;0 
36404;6401;802;0;3019;2;0 
36261;6401;802;0;2968;2;0 
35481;6401;802;0;2010;2;0 
36402;6401;802;0;2961;2;0 
35193;6401;802;0;2009;2;0 
35321;6401;802;0;2046;2;0 
35459;6401;802;0;2209;2;0 
35239;6401;802;0;1866;2;0 
35432;6401;802;0;2001;2;0 
35196;6401;802;0;1866;2;0 
35531;6401;802;0;2300;2;0 
37203;6401;802;0;3890;2;0 
36269;6401;800;0;2795;2;0 
35077;6401;802;0;1876;2;0 
35612;6401;802;0;2265;2;0 
35603;6401;802;0;2165;2;0 
36196;6401;802;0;2011;2;0 
36156;6401;802;0;2053;2;0 
35246;6401;802;0;1866;2;0 
35356;6401;802;0;2023;2;0 
35390;6401;803;0;2013;2;0 
35827;6401;802;0;2015;2;0 
35183;6401;802;0;1877;2;0 
35709;6401;802;0;2323;2;0 
37484;6401;802;0;2157;2;0 
37269;6401;802;0;3128;2;0 
35368;6401;802;0;1866;2;0 
35272;6401;802;0;2037;2;0 
36344;6401;802;0;3129;2;0 
35363;6401;802;0;2068;2;0 
36336;6401;804;0;3140;2;0 
37155;6401;802;0;2025;2;0 
35190;6401;802;0;2014;2;0 
37270;6401;802;0;3448;2;0 
35692;6401;802;0;2025;2;0 
35302;6401;802;0;2017;2;0 
35204;6401;802;0;2015;2;0 
35285;6401;802;0;1865;2;0 
35388;6401;802;0;2023;2;0 
35182;6401;802;0;2014;2;0 
35956;6401;802;0;2011;2;0 
35370;6401;802;0;2050;2;0 
36208;6401;799;0;2180;2;0 
35499;6401;802;0;2073;5;0 
35212;6401;802;0;2024;2;0 
35851;6401;802;0;2654;2;0 
35331;6401;802;0;2015;2;0 
36396;6401;802;0;3087;2;0 
35958;6401;802;0;1878;2;0 
35386;6401;802;0;2016;2;0 
35048;6401;802;0;1865;2;0 
36171;6401;802;0;2714;2;0 
35361;6401;802;0;2181;2;0 
35653;6401;802;0;1866;2;0 
35209;6401;803;0;1867;2;0 
35423;6401;802;0;1877;2;0 
35349;6401;802;0;2022;2;0 
35238;6401;802;0;2027;2;0 
35243;6401;802;0;1866;2;0 
36087;6401;802;0;2025;2;0 
35460;6401;802;0;2023;2;0 
35258;6401;802;0;1865;2;0 
35323;6401;802;0;2015;2;0 
35354;6401;802;0;2161;2;0 
35136;6401;802;0;1877;2;0 
35957;6401;802;0;2565;2;0 
35495;6401;802;0;2159;2;0 
36634;6401;804;0;3152;2;0 
35413;6401;802;0;2169;2;0 
35634;6401;802;0;2329;2;0 
35223;6401;802;0;2010;2;0 
36469;6401;802;0;2021;2;0 
36389;6401;802;0;3236;2;0 
35377;6401;800;0;1909;2;0 
35320;6401;804;0;2025;2;0 
35408;6401;802;0;2016;2;0 
36859;6401;800;0;3259;2;0 
35745;6401;802;0;2448;2;0 
35230;6401;802;0;2062;2;0 
36161;6401;802;0;2952;2;0 
35341;6401;802;0;2015;2;0 
37476;6401;802;0;3154;2;0 
35354;6401;804;0;2014;2;0 
36468;6401;802;0;3020;2;0 
35444;6401;802;0;2015;2;0 
36182;6401;802;0;3012;2;0 
35493;6401;802;0;2015;2;0 
35621;6402;803;0;2240;2;0 
35041;6401;802;0;1866;2;0 
35260;6401;802;0;2190;2;0 
35352;6401;802;0;2067;2;0 
35501;6401;802;0;2172;2;0 
35522;6401;802;0;2160;2;0 
35485;6401;802;0;2025;2;0 
35533;6401;802;0;2174;2;0 
36290;6401;802;0;2938;2;0 
35316;6401;802;0;2100;2;0 
36163;6401;802;0;2949;2;0 
35947;6401;802;0;2174;2;0 
37546;6401;802;0;3152;2;0 
35460;6401;802;0;2013;2;0 
36423;6401;802;0;2024;2;0 
35412;6401;802;0;2015;2;0 
35088;6401;802;0;1877;2;0 
35558;6401;802;0;1866;2;0 
35271;6401;802;0;2016;2;0 
36947;6401;802;0;3651;2;0 
36255;6401;802;0;3022;2;0 
35433;6401;802;0;2024;2;0 
35492;6401;802;0;2049;2;0 
36734;6401;802;0;3009;2;0 
35282;6401;802;0;2011;2;0 
35190;6401;802;0;2028;2;0 
35489;6401;802;0;2160;2;0 
36480;6401;802;0;3166;2;0 
36134;6401;802;0;2950;2;0 
35127;6401;802;0;1865;2;0 
35412;6401;802;0;2031;2;0 
36218;6401;803;0;2158;2;0 
35275;6401;802;0;2015;2;0 
35216;6401;803;0;2040;2;0 
35547;6401;803;0;2098;2;0 
36016;6401;802;0;2009;2;0 
36328;6401;802;0;3002;2;0 
35210;6401;802;0;2013;2;0 
36381;6401;802;0;3010;2;0 
35443;6401;802;0;2013;2;0 
35204;6401;802;0;1865;2;0 
35491;6401;802;0;2316;2;0 
35114;6401;802;0;1889;2;0 
35240;6401;802;0;2040;2;0 
35192;6401;802;0;2022;2;0 
36990;6401;802;0;3121;2;0 
35153;6401;802;0;2009;2;0 
36223;6401;803;0;3037;2;0 
35281;6401;802;0;1866;2;0 
35213;6401;804;0;1906;2;0 
35376;6401;804;0;2011;2;0 
35206;6401;802;0;2028;2;0 
35327;6401;802;0;2034;2;0 
36571;6401;802;0;1916;2;0 
35346;6401;802;0;1865;2;0 
36328;6401;802;0;1887;2;0 
35347;6401;802;0;2211;2;0 
35768;6401;802;0;2024;2;0 
35391;6401;802;0;1888;2;0 
35925;6401;802;0;2014;2;0 
35056;6401;802;0;1877;2;0 
35039;6401;802;0;1869;2;0 
35217;6401;802;0;1882;2;0 
36509;6401;803;0;2973;2;0 
36029;6401;802;0;2693;2;0 
35610;6401;803;0;2025;2;0 
35406;6401;802;0;2037;2;0 
35801;6401;802;0;2010;2;0 
35059;6401;802;0;1865;2;0 
35282;6401;804;0;1876;2;0 
35472;6401;802;0;2173;2;0 
35186;6401;802;0;1887;2;0 
36486;6401;802;0;3111;2;0 
36379;6401;802;0;3086;2;0 
36360;6401;802;0;3114;2;0 
35066;6401;802;0;1876;2;0 
36987;6401;802;0;3702;2;0 
35469;6401;802;0;2026;2;0 
36113;6401;802;0;2026;2;0 
35685;6401;802;0;2188;2;0 
37179;6401;802;0;2034;2;0 
35219;6401;802;0;1876;2;0 
36397;6401;802;0;2956;2;0 
35390;6401;802;0;2036;2;0 
36052;6401;802;0;2023;2;0 
35357;6401;802;0;2012;2;0 
35346;6401;804;0;2162;2;0 
36453;6401;804;0;3118;2;0 
35421;6401;802;0;2089;2;0 
36799;6401;802;0;3091;2;0 
35317;6401;802;0;2003;2;0 
35405;6401;802;0;2016;2;0 
36006;6401;802;0;2064;2;0 
35242;6401;804;0;1877;2;0 
35575;6401;802;0;2011;2;0 
35194;6401;802;0;2019;2;0 
35354;6401;802;0;2013;2;0 
35229;6401;802;0;1876;2;0 
36188;6401;802;0;2991;2;0 
37327;6401;802;0;2161;2;0 
