Evento;Ficheiro;MI Global;Alt A (Impacto Bilateral);Alt B (Bimodal);Alt C (MI P95);Curtose;Entropia;Norm_MI;Norm_Impacto;Índice Global (Base 2)
0x1D;matmult_perf_n5_even...;7,3422;0,0493;0,5793748029701209;4,925223429990524;12,905221530296354;11,64414366134561;1,0;0,0001;2,0001
0xC7;matmult_perf_n7_even...;0,2556;353,5;0,8277449780943987;0,16461598939335342;22,13162837814862;10,025648089417418;0,0348;1,0;1,0696
0xE8;matmult_perf_n10_eve...;0,2886;44,25;0,8680604237801092;0,0632519808457328;15,726734835840373;10,090582497350304;0,0393;0,1252;0,2038
0xE1;matmult_perf_n9_even...;0,5427;3,528;0,477429045393512;0,23043289757923713;10,738075580278592;11,652466662788243;0,0739;0,01;0,1578
0xE7;matmult_perf_n10_eve...;0,5073;1,0701;0,5140256238189349;0,2292367651131073;10,020029756270606;11,735687962039481;0,0691;0,003;0,1412
0xC5;matmult_perf_n7_even...;0,48;1,8293;0,5539873815216223;0,11432395600711232;7,076893658302863;11,463660444777846;0,0654;0,0052;0,1359
0xC3;matmult_perf_n7_even...;0,3555;3,3307;0,679026669163399;0,10544551745364661;11,398208263966461;11,030460792218516;0,0484;0,0094;0,1063
0x61;matmult_perf_n6_even...;0,2936;3,8621;0,7341102579383985;0,2262851209787975;5,65680302790479;5,869741970222386;0,04;0,0109;0,0909
0x17;matmult_perf_n4_even...;0,2921;0,7363;0,49584894269449786;0,510410246496225;11,730044708541952;5,057035090354352;0,0398;0,0021;0,0816
0x18;matmult_perf_n5_even...;0,219;6,0;0,6943556236096566;0,41364845735673805;16,81401959555951;5,69239177308298;0,0298;0,017;0,0766
0x19;matmult_perf_n5_even...;0,2133;1,1548;0,6320867208943525;0,26168020695260896;12,587680705341104;6,705357533485914;0,029;0,0033;0,0614
0x60;matmult_perf_n5_even...;0,1752;0,6522;0,42025685103376054;0,3804858275780201;11,775799311364958;5,726534318658416;0,0239;0,0018;0,0496
0xE2;matmult_perf_n9_even...;0,0317;2,9699;0,806727924753196;0,061433143993214756;4447,060438861158;4,750059316157457;0,0043;0,0084;0,017
0x0A;matmult_perf_n2_even...;0,0205;4,0;0,4173669078100497;0,04506138750530386;6,051861341350973;1,4128175232535989;0,0028;0,0113;0,0169
0xE0;matmult_perf_n9_even...;0,0417;1,7483;0,7856955633526075;0,10025170464141198;52,51900755290884;7,81702226184955;0,0057;0,0049;0,0163
0x86;matmult_perf_n6_even...;0,0179;4,0;0,6137169572366529;0,0;2,2809356694495846;1,3202233756612072;0,0024;0,0113;0,0162
