CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
544751;0;114;0;68;140400;0 
542245;0;73;0;46;140398;0 
542393;0;75;0;50;140398;0 
544525;0;95;0;44;140399;0 
543287;0;107;0;63;140399;0 
543473;0;95;0;49;140398;0 
557526;0;77;0;49;140396;0 
544826;0;92;0;40;140398;0 
547184;0;109;0;59;140401;0 
541210;0;69;0;49;140395;0 
545997;0;94;0;53;140394;0 
545235;0;96;0;44;140399;0 
542046;0;97;0;47;140398;0 
559968;0;78;0;72;140396;0 
542753;0;102;0;50;140398;0 
545610;0;100;0;54;140397;0 
559623;0;100;0;78;140394;0 
545926;0;107;0;92;140396;0 
541658;0;91;0;48;140394;0 
548944;0;116;0;88;140398;0 
541781;0;90;0;44;140394;0 
544706;0;107;0;56;140397;0 
542645;0;93;0;59;140398;0 
546487;0;103;0;45;140399;0 
543731;0;74;0;51;140396;0 
542282;0;93;0;56;140395;0 
544895;0;72;0;49;140392;0 
555469;0;103;0;66;140398;0 
543628;0;72;0;56;140397;0 
542560;0;78;0;42;140397;0 
542614;0;100;0;50;140398;0 
541515;0;99;0;61;140397;0 
543653;0;98;0;42;140397;0 
542793;0;97;0;49;140399;0 
549917;0;92;0;46;140397;0 
541972;0;108;0;61;140398;0 
545564;0;72;0;44;140399;0 
542638;0;104;0;60;140399;0 
543280;0;77;0;52;140394;0 
543808;0;86;0;47;140399;0 
544720;0;79;0;61;140398;0 
554467;0;97;0;53;140392;0 
541419;0;102;0;53;140399;1 
544104;0;93;0;48;140397;0 
541473;0;103;1;54;140398;0 
544876;0;75;0;68;140394;0 
545042;0;96;0;56;140393;0 
544807;0;85;0;46;140398;0 
548870;0;97;0;56;140395;0 
543661;0;86;0;40;140397;0 
542032;0;104;0;68;140400;0 
544604;0;74;0;46;140396;0 
543903;0;91;0;49;140400;0 
543043;0;85;0;53;140400;0 
543215;0;89;0;46;140396;0 
556106;0;83;0;50;140398;0 
542845;0;73;0;39;140398;0 
543348;0;71;0;56;140399;0 
544243;0;90;0;42;140396;0 
550240;0;88;0;50;140397;0 
541545;0;96;0;49;140396;0 
542996;0;106;0;67;140397;0 
542519;0;94;0;47;140398;0 
552461;0;72;0;48;140396;0 
541579;0;99;0;44;140399;0 
542436;0;75;0;39;140396;0 
545079;0;67;0;45;140398;0 
541594;0;74;0;42;140397;0 
544704;0;95;0;60;140399;0 
542322;0;91;0;48;140399;0 
548011;0;96;0;49;140399;0 
543959;0;101;0;40;140398;0 
542741;0;80;0;52;140398;0 
545327;0;107;0;57;140395;0 
545100;0;108;0;57;140400;0 
545235;0;93;0;48;140399;0 
542750;0;105;0;60;140396;0 
571822;0;100;0;88;140396;0 
542002;0;109;0;68;140400;0 
542305;0;80;0;48;140399;0 
542520;0;102;0;44;140399;0 
550210;0;104;0;70;140396;0 
543944;0;95;0;50;140399;0 
543514;0;92;0;48;140397;0 
556067;0;94;0;42;140397;0 
545181;0;94;0;51;140399;0 
542951;0;81;0;61;140399;0 
542001;0;103;0;53;140395;0 
549539;0;76;0;43;140395;0 
542971;0;104;0;61;140397;0 
541981;0;94;0;52;140396;0 
577218;0;102;0;66;140397;0 
544017;0;103;0;52;140398;0 
542959;0;70;0;46;140397;0 
542593;0;97;0;46;140393;0 
551282;0;108;0;55;140395;0 
545758;0;75;1;50;140395;0 
545534;0;89;0;64;140397;0 
564337;0;96;1;52;140395;0 
542945;0;103;0;59;140399;0 
541675;0;66;0;49;140397;0 
546470;0;104;0;49;140399;0 
559619;0;69;0;53;140395;0 
541902;0;75;0;46;140397;0 
543300;0;108;0;56;140398;0 
544720;0;96;0;56;140399;0 
547002;0;102;0;49;140398;0 
542432;0;79;0;50;140394;0 
542467;0;92;0;39;140397;0 
552390;0;81;0;53;140396;0 
542641;0;101;0;58;140397;0 
541264;0;94;0;39;140396;0 
545388;0;81;0;63;140400;0 
543106;0;84;0;45;140398;0 
543335;0;81;0;51;140398;0 
543215;0;98;0;43;140396;0 
546191;0;90;0;49;140398;0 
545158;0;96;0;47;140396;0 
545263;0;94;0;55;140393;0 
544941;0;75;0;42;140396;0 
556132;0;111;0;74;140400;0 
543527;0;71;0;40;140397;0 
554206;0;90;0;76;140400;0 
542455;0;100;0;44;140397;0 
544144;0;73;0;48;140395;0 
546737;0;95;0;51;140395;0 
545336;0;75;0;51;140397;0 
547108;0;77;0;45;140398;0 
541833;0;103;0;53;140401;0 
542496;0;102;0;47;140396;0 
542011;0;107;0;84;140396;0 
542991;0;99;0;55;140396;0 
546051;0;98;0;47;140394;0 
545022;0;104;0;50;140399;0 
556854;0;97;0;47;140395;0 
542949;0;110;0;74;140396;0 
543612;0;92;0;46;140399;0 
546051;0;79;0;99;140397;0 
541869;0;93;0;55;140395;0 
545582;0;100;0;44;140399;0 
545996;0;77;0;68;140397;0 
563040;0;106;0;62;140394;0 
542079;0;93;0;45;140399;0 
543688;0;97;0;49;140399;0 
542527;0;71;0;45;140399;0 
543124;0;74;0;49;140396;0 
547792;0;79;0;60;140399;0 
546471;0;97;0;50;140399;0 
545921;0;108;0;61;140400;0 
543651;0;97;0;51;140397;0 
543690;0;95;0;74;140401;0 
541737;0;67;0;42;140395;0 
542919;0;95;0;53;140397;0 
548045;0;101;0;62;140398;0 
544569;0;92;0;47;140398;0 
578913;0;92;0;47;140396;0 
544639;0;100;0;47;140398;0 
544796;0;100;0;47;140397;0 
542566;0;69;0;40;140392;0 
547261;0;83;0;50;140397;0 
541676;0;90;0;43;140394;0 
542665;0;90;0;52;140396;0 
564694;0;101;0;46;140397;0 
546434;0;85;0;91;140396;0 
542752;0;65;0;42;140398;0 
547341;0;112;0;70;140399;0 
550846;0;97;0;54;140395;0 
541794;0;81;0;41;140397;0 
542164;0;73;0;50;140398;0 
552104;0;98;0;48;140399;0 
542591;0;98;0;44;140398;0 
545265;0;109;0;59;140398;0 
545045;0;77;0;51;140400;0 
556224;0;91;0;50;140395;0 
542897;0;86;0;53;140398;0 
542096;0;89;0;42;140398;0 
543433;0;77;0;52;140399;0 
544089;0;98;0;57;140393;0 
543771;0;94;0;46;140395;0 
541703;0;80;0;50;140400;0 
553355;0;92;0;45;140398;0 
542492;0;95;0;46;140395;0 
544225;0;104;0;84;140395;0 
544174;0;72;0;41;140394;0 
544355;0;90;0;72;140397;0 
544759;0;95;0;47;140400;0 
544448;0;101;0;59;140398;0 
545878;0;78;0;43;140397;0 
542228;0;92;0;47;140398;0 
542890;0;78;0;52;140398;0 
547476;0;93;0;67;140398;0 
541249;0;71;0;42;140399;0 
544231;0;109;0;65;140398;0 
545097;0;94;0;52;140399;0 
543054;0;106;0;62;140397;0 
545630;0;91;0;77;140398;0 
545469;0;80;0;45;140397;0 
545188;0;109;0;77;140394;0 
551135;0;88;0;49;140398;0 
545938;0;96;0;47;140398;0 
547982;0;104;0;58;140398;0 
544467;0;71;0;49;140397;0 
542060;0;73;0;48;140395;0 
544995;0;106;0;62;140397;0 
545664;0;79;0;47;140398;0 
545962;0;117;0;81;140401;0 
540901;0;73;0;38;140398;0 
543414;0;90;0;51;140397;0 
541824;0;94;0;41;140397;0 
553616;0;99;0;65;140397;0 
541808;0;99;0;52;140396;0 
543153;0;100;0;57;140397;0 
545325;0;76;0;47;140398;0 
542554;0;69;0;54;140396;0 
545756;0;107;0;63;140397;0 
543522;0;105;0;46;140398;0 
545945;0;94;0;46;140399;0 
541565;0;81;0;40;140398;0 
545480;0;93;0;70;140400;0 
553279;0;84;0;38;140396;0 
544453;0;91;0;46;140398;0 
544707;0;70;0;45;140399;0 
554742;0;78;0;43;140397;0 
542760;0;95;0;48;140398;0 
545896;0;99;0;50;140398;0 
543732;0;76;0;43;140398;0 
556763;0;109;0;50;140397;0 
541828;0;70;0;45;140398;0 
541332;0;89;0;45;140395;0 
545991;0;90;0;47;140399;0 
546318;0;100;0;44;140399;0 
543884;0;94;0;47;140396;0 
544985;0;93;0;67;140397;0 
556726;0;97;0;46;140396;0 
543434;0;71;0;44;140393;0 
546457;0;106;0;87;140398;0 
541080;0;97;0;43;140396;0 
541086;0;81;0;47;140398;0 
545321;0;71;0;60;140397;0 
543118;0;91;0;44;140396;0 
543456;0;86;0;49;140397;0 
544621;0;110;0;60;140398;0 
544590;0;94;0;38;140397;0 
544504;0;81;0;59;140398;0 
552599;0;103;0;52;140397;0 
542466;0;89;0;42;140398;0 
543692;0;110;0;61;140400;0 
543082;0;93;0;39;140399;0 
545139;0;100;0;53;140398;0 
543936;0;104;0;61;140400;0 
542831;0;75;0;41;140397;0 
551994;0;101;0;49;140395;0 
543927;0;98;0;53;140398;0 
546457;0;100;0;53;140397;0 
541107;0;96;0;46;140394;0 
545475;0;96;1;48;140397;0 
544490;0;96;0;66;140391;0 
545031;0;98;0;51;140397;0 
553567;0;97;0;46;140396;0 
541526;0;67;0;46;140398;0 
540809;0;98;0;45;140399;0 
541716;0;98;0;49;140397;0 
548623;0;103;0;65;140397;0 
543115;0;91;0;46;140399;0 
545952;0;100;0;59;140397;0 
548183;0;88;0;43;140396;0 
545778;0;110;0;56;140398;0 
542315;0;103;0;53;140397;0 
545343;0;100;0;63;140400;0 
546541;0;103;0;53;140400;0 
547561;0;104;0;60;140395;0 
545375;0;112;0;61;140395;0 
572217;0;78;0;62;140401;0 
547372;0;109;0;60;140400;0 
543356;0;94;0;49;140399;0 
546271;0;91;0;44;140397;0 
547066;0;72;0;48;140397;0 
547925;0;101;1;60;140398;0 
544799;0;90;0;42;140398;0 
565062;0;70;0;45;140397;0 
543652;0;76;0;56;140396;0 
541532;0;91;0;56;140396;0 
542430;0;96;0;45;140394;0 
552699;0;99;0;53;140397;0 
541233;0;75;0;47;140398;0 
542030;0;71;0;47;140398;0 
551174;0;96;0;45;140398;0 
545917;0;95;0;80;140397;0 
545653;0;77;0;45;140396;0 
545601;0;103;0;56;140396;0 
558119;0;77;0;49;140392;0 
542472;0;78;0;45;140398;0 
545197;0;69;0;42;140397;0 
543386;0;99;0;48;140398;0 
542126;0;100;0;46;140398;0 
545463;0;112;0;62;140398;0 
542951;0;89;0;51;140397;0 
563423;0;106;0;73;140397;0 
543182;0;88;0;53;140397;0 
