CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x10
541902;8985;9467;0;0;579;579 
542484;8982;9467;0;0;575;575 
542136;8983;9467;0;0;578;578 
542481;8982;9467;0;0;563;563 
542303;8982;9467;0;0;570;570 
545557;8982;9467;0;0;572;572 
542909;8982;9467;0;0;570;570 
548473;8982;9467;0;0;567;567 
542834;8982;9467;0;0;563;563 
542461;8982;9467;0;0;566;566 
543114;8982;9467;0;0;573;573 
547146;8984;9467;0;0;571;571 
542562;8982;9467;0;0;558;558 
542176;8985;9468;0;0;577;577 
545369;8982;9467;0;0;563;563 
550046;8984;9467;0;0;570;570 
543276;8982;9467;0;0;568;568 
543507;8983;9467;0;0;572;572 
549662;8984;9467;0;0;573;573 
545303;8982;9467;0;0;571;571 
544428;8983;9467;0;0;580;580 
544606;8982;9467;0;0;564;564 
546563;8983;9467;0;0;574;574 
544994;8982;9467;0;0;571;571 
542918;8983;9467;0;0;565;565 
541834;8982;9467;0;0;567;567 
557741;8982;9467;0;0;569;569 
544837;8982;9467;0;0;575;575 
542270;8982;9467;0;0;570;570 
544483;8982;9467;0;0;588;588 
542855;8982;9467;0;0;571;571 
542832;8982;9467;0;0;571;571 
542323;8982;9467;0;0;565;565 
541627;8982;9467;0;0;555;555 
555005;8982;9467;0;0;571;571 
542629;8984;9467;0;0;571;571 
541639;8982;9467;0;0;574;574 
542422;8984;9467;0;0;571;571 
543455;8982;9467;0;0;566;566 
543384;8984;9467;0;0;577;577 
543336;8982;9467;0;0;570;570 
543192;8984;9467;0;0;575;575 
553102;8982;9467;0;0;569;569 
542368;8982;9467;0;0;561;561 
544532;8982;9467;0;0;568;568 
542038;8982;9467;0;0;567;567 
542071;8982;9467;0;0;565;565 
543275;8983;9467;0;0;571;571 
544956;8982;9467;0;0;567;567 
547576;8983;9467;0;0;576;576 
543748;8982;9467;0;0;564;564 
543840;8982;9467;0;0;565;565 
544328;8983;9467;0;0;570;570 
543024;8982;9467;0;0;574;574 
546799;8982;9467;0;0;571;571 
550650;8982;9467;0;0;564;564 
546363;8984;9467;0;0;568;568 
544543;8982;9467;0;0;584;584 
541981;8982;9467;0;0;563;563 
544594;8982;9467;0;0;566;566 
546778;8982;9467;0;0;567;567 
543152;8984;9467;0;0;574;574 
543530;8982;9467;0;0;566;566 
551529;8982;9467;0;0;571;571 
543536;8982;9467;0;0;595;595 
548100;8983;9467;0;0;567;567 
541277;8982;9467;0;0;564;564 
544557;8982;9467;0;0;567;567 
542664;8984;9467;0;0;570;570 
545196;8982;9467;0;0;568;568 
548252;8984;9467;0;0;572;572 
550766;8983;9467;0;0;567;567 
544134;8982;9467;0;0;565;565 
542769;8982;9467;0;0;565;565 
542996;8982;9467;0;0;570;570 
542475;8982;9467;0;0;567;567 
545224;8982;9467;0;0;567;567 
548736;8982;9467;0;0;566;566 
543229;8982;9467;0;0;574;574 
555817;8982;9467;0;0;572;572 
545139;8982;9467;0;0;574;574 
541789;8982;9467;0;0;566;566 
544956;8982;9467;0;0;570;570 
542916;8982;9467;0;0;571;571 
544410;8982;9467;0;0;577;577 
545152;8982;9467;0;0;565;565 
543693;8982;9467;0;0;561;561 
548706;8984;9467;0;0;570;570 
542262;8984;9467;0;0;567;567 
542787;8982;9467;0;0;563;563 
545846;8983;9467;0;0;575;575 
543815;8982;9467;0;0;569;569 
545216;8982;9467;0;0;563;563 
544061;8982;9467;0;0;572;572 
544383;8982;9467;0;0;569;569 
544481;8982;9467;0;0;564;564 
542380;8982;9467;0;0;573;573 
542727;8983;9467;0;0;568;568 
544957;8982;9467;0;0;571;571 
544031;8982;9467;0;0;565;565 
545419;8982;9467;0;0;569;569 
544836;8982;9467;0;0;577;577 
543331;8982;9467;0;0;585;585 
562210;8983;9467;0;0;573;573 
544502;8982;9467;0;0;561;561 
544910;8982;9467;0;0;572;572 
545104;8982;9467;0;0;576;576 
546179;8982;9467;0;0;558;558 
542466;8983;9467;0;0;572;572 
542509;8982;9467;0;0;574;574 
542823;8982;9467;0;0;566;566 
560888;8983;9467;0;0;568;568 
544303;8984;9467;0;0;570;570 
545109;8982;9467;0;0;573;573 
541590;8982;9467;0;0;575;575 
549279;8982;9467;0;0;569;569 
542976;8982;9467;0;0;571;571 
541783;8982;9467;0;0;561;561 
545547;8982;9467;0;0;568;568 
553569;8982;9467;0;0;565;565 
543278;8982;9467;0;0;570;570 
546200;8982;9467;0;0;565;565 
542655;8983;9467;0;0;570;570 
553710;8984;9467;0;0;566;566 
541902;8982;9467;0;0;568;568 
545609;8984;9467;0;0;560;560 
541420;8982;9467;0;0;572;572 
546736;8984;9467;0;0;571;571 
545407;8982;9467;0;0;567;567 
543671;8984;9467;0;0;568;568 
542012;8982;9467;0;0;568;568 
