CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
541782;35;458;0;270891;0;318 
541052;21;440;0;270526;0;356 
541024;25;468;0;270512;0;368 
543329;32;516;0;271664;0;388 
541850;40;536;0;270924;0;376 
540314;43;540;0;270157;0;368 
542382;27;528;0;271191;0;420 
542083;22;424;0;271042;0;336 
541893;15;420;0;270946;0;360 
546323;37;528;0;273161;0;380 
544876;41;568;0;272438;0;404 
543099;21;492;0;271549;0;408 
545759;33;510;0;272878;0;378 
542634;20;396;0;271317;0;316 
546617;81;626;0;273309;0;318 
543633;32;504;0;271816;0;376 
543390;30;474;0;271695;0;354 
552976;9;428;0;276488;0;392 
542768;37;492;0;271383;0;344 
548727;29;444;0;274363;0;364 
545745;31;526;0;272872;0;402 
543142;30;484;0;271571;0;364 
544914;28;492;0;272457;0;380 
542961;47;556;0;271480;0;372 
542623;19;447;0;271311;0;371 
543346;26;488;0;271672;0;384 
548966;15;447;0;274483;0;391 
542444;35;476;0;271222;0;336 
542322;26;468;0;271161;0;364 
546310;47;540;0;273155;0;352 
542975;17;428;0;271487;0;360 
545725;41;560;0;272862;0;396 
544104;17;469;0;272051;0;401 
542789;27;464;0;271394;0;356 
555558;86;612;0;277779;0;400 
542746;23;448;0;271373;0;356 
542153;32;492;0;271076;0;364 
544989;18;416;0;272494;0;344 
544475;30;472;0;272237;0;352 
542082;40;516;0;271041;0;356 
542314;23;460;0;271157;0;368 
545891;27;472;0;272946;0;364 
543621;23;452;0;271810;0;360 
552931;44;512;0;276465;0;384 
542697;12;392;0;271348;0;344 
543970;25;440;0;271985;0;340 
544375;16;384;0;272187;0;320 
542758;26;448;0;271379;0;344 
543861;60;572;0;271930;0;332 
542243;20;460;0;271121;0;380 
546040;34;510;0;273019;0;374 
541732;17;416;0;270866;0;348 
547980;13;428;0;273990;0;384 
545443;23;428;0;272721;0;336 
540896;22;404;0;270448;0;316 
545217;22;468;0;272608;0;380 
544998;26;467;0;272499;0;363 
542862;40;496;0;271431;0;336 
544870;32;492;0;272435;0;364 
