CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
546624;187820;48577;1;11562;603;0 
541959;187828;48580;3;10899;337;0 
545270;187823;48587;4;14616;215;0 
541802;187824;48589;1;11326;115;0 
544351;187823;48582;2;13066;394;0 
545184;187824;48582;5;13419;389;0 
542645;187822;48581;3;10950;323;0 
541460;187826;48582;4;11317;167;0 
542880;187825;48576;5;11136;855;0 
544090;187822;48581;5;12377;455;0 
545112;187827;48582;5;11477;256;0 
546948;187825;48582;2;12349;1119;0 
545626;187821;48588;3;11345;2355;0 
541965;187819;48582;4;10946;284;0 
543624;187816;48584;2;13113;424;0 
545222;187820;48584;2;11801;717;0 
544612;187826;48584;1;14070;482;0 
543222;187815;48586;5;12227;163;0 
546670;187826;48586;2;13315;1827;0 
544014;187820;48583;1;11287;525;0 
546113;187825;48586;3;11811;845;0 
542939;187825;48584;6;12128;287;0 
542371;187824;48580;5;10889;711;0 
566690;187826;48583;7;17329;7412;0 
544526;187825;48580;5;13330;329;0 
543787;187827;48583;5;12245;251;0 
542847;187827;48581;5;11182;397;0 
542857;187827;48580;5;11498;392;0 
542489;187821;48582;3;10817;225;0 
542297;187824;48584;4;11838;177;0 
542269;187829;48580;5;11924;244;0 
542529;187825;48579;3;10885;455;0 
542575;187826;48582;7;11111;351;0 
547373;187825;48580;5;13720;524;0 
541642;187823;48583;3;10733;302;0 
567808;187824;48579;5;21480;4571;0 
542002;187823;48583;4;10902;507;0 
543718;187819;48584;4;11650;637;0 
543229;187825;48587;1;11984;71;0 
549341;187827;48582;1;10815;4222;0 
543801;187826;48585;5;12575;429;0 
545007;187819;48586;3;14593;76;0 
544728;187823;48578;5;12923;529;0 
545816;187816;48589;2;13228;364;0 
541692;187826;48585;1;11521;390;0 
543361;187822;48587;1;11644;54;0 
544204;187821;48578;4;12142;456;0 
545759;187828;48578;5;13903;344;0 
545688;187827;48582;5;11533;761;0 
546865;187822;48584;4;11565;325;0 
544411;187828;48580;5;10894;326;0 
561394;187823;48585;3;16787;6906;0 
542083;187829;48585;4;11002;98;0 
542663;187823;48584;5;11432;493;0 
546006;187822;48591;3;11568;46;0 
545571;187829;48583;2;11668;3079;0 
542414;187819;48582;5;10928;231;0 
541908;187820;48582;2;10819;382;0 
542450;187824;48589;5;10860;310;0 
552891;187827;48583;3;17339;640;0 
542679;187818;48583;3;11574;484;0 
552066;187825;48583;2;15536;1056;0 
543127;187826;48581;6;11925;265;0 
543367;187820;48580;5;11936;76;0 
545091;187823;48580;2;13925;359;0 
546396;187825;48582;6;13735;32;0 
547439;187829;48585;2;15793;265;0 
543467;187826;48578;5;10951;290;0 
542292;187823;48580;1;11158;425;0 
545295;187828;48585;5;13439;318;0 
557000;187830;48584;5;14000;8935;0 
543989;187826;48584;1;11601;158;0 
543230;187823;48583;4;10446;580;0 
545883;187822;48583;2;14680;391;0 
546151;187824;48581;4;11084;496;0 
543519;187822;48587;2;12161;164;0 
544305;187826;48577;5;11741;302;0 
543022;187825;48587;3;12439;276;0 
542252;187824;48581;4;10789;700;0 
542402;187828;48584;2;11563;482;0 
546282;187826;48587;3;14533;938;0 
544162;187822;48585;2;12258;104;0 
562310;187829;48581;5;17324;5530;0 
541621;187823;48588;4;10503;311;0 
544935;187826;48583;6;12876;1019;0 
545217;187825;48584;6;11107;318;0 
542682;187826;48581;6;11466;305;0 
544493;187824;48582;4;13944;266;0 
545326;187823;48589;2;13564;293;0 
542679;187827;48583;5;10852;438;0 
545146;187821;48583;5;11894;571;0 
543935;187825;48582;5;12998;374;0 
543498;187813;48585;4;11734;1013;0 
541853;187823;48581;3;11120;153;0 
546632;187821;48586;2;12438;290;0 
544101;187829;48587;2;12520;101;0 
549280;187817;48583;4;16110;741;0 
546253;187827;48580;5;14096;847;0 
548999;187823;48589;5;11708;538;0 
542018;187825;48583;5;10478;461;0 
544742;187821;48590;2;14060;214;0 
545581;187818;48588;2;14771;39;0 
543519;187827;48583;5;11428;495;0 
543035;187826;48585;5;11042;490;0 
544082;187826;48584;4;13410;298;0 
542843;187822;48587;5;10841;567;0 
546395;187823;48584;2;12486;2141;0 
543011;187823;48590;3;11661;325;0 
545564;187824;48585;1;13927;508;0 
544530;187817;48586;4;12651;503;0 
553360;187827;48580;5;10887;6465;0 
542888;187825;48583;3;12328;141;0 
544708;187826;48585;1;14350;157;0 
542533;187823;48582;7;11218;326;0 
543706;187820;48578;5;11926;262;0 
544731;187824;48579;5;13098;280;0 
543772;187828;48590;5;12171;252;0 
544427;187823;48585;5;12805;328;0 
552848;187821;48582;5;14432;1083;0 
545685;187824;48583;6;13981;267;0 
542593;187825;48585;3;11329;328;0 
541618;187821;48588;2;10947;240;0 
546445;187821;48588;4;11770;286;0 
543976;187824;48581;4;12049;78;0 
541856;187828;48586;2;11381;172;0 
543152;187823;48583;5;12390;423;0 
546285;187822;48576;2;11996;194;0 
543088;187826;48588;3;11628;58;0 
542549;187824;48578;6;10795;634;0 
542214;187824;48580;4;11134;434;0 
550369;187821;48581;3;14779;566;0 
542010;187827;48585;3;11041;520;0 
542448;187825;48585;5;11159;537;0 
543367;187825;48585;5;12940;242;0 
543111;187820;48580;4;11486;360;0 
545973;187815;48586;2;14238;327;0 
543676;187825;48581;3;10721;246;0 
543433;187818;48589;5;11855;385;0 
545934;187824;48584;5;13868;450;0 
544515;187827;48588;6;12192;468;0 
545438;187827;48579;5;11484;323;0 
543087;187826;48587;1;11122;751;0 
567366;187820;48582;4;16006;7178;0 
552215;187819;48588;4;15686;181;0 
544301;187829;48587;1;10521;541;0 
545744;187818;48594;2;14564;426;0 
554788;187825;48578;3;11441;6079;0 
544610;187827;48583;5;11321;156;0 
541298;187826;48587;1;11242;52;0 
543638;187825;48581;5;12509;402;0 
545557;187827;48584;4;14767;89;0 
545905;187820;48586;4;15109;26;0 
542807;187823;48586;3;11210;410;0 
543167;187822;48582;3;11721;250;0 
555849;187824;48583;6;21382;1337;0 
542912;187827;48582;5;11422;190;0 
546043;187823;48582;2;14476;366;0 
545389;187825;48579;5;14092;581;0 
542817;187825;48586;1;12322;163;0 
545949;187823;48586;5;14367;317;0 
544285;187821;48582;2;13715;348;0 
541216;187827;48585;3;11332;289;0 
543233;187826;48581;2;11500;539;0 
543999;187817;48581;3;11814;483;0 
542188;187826;48584;5;10936;385;0 
541886;187817;48591;2;11005;58;0 
550817;187824;48581;5;13200;3952;0 
542273;187825;48584;1;11586;53;0 
541802;187825;48582;6;10431;515;0 
541847;187826;48586;2;11438;405;0 
546029;187829;48587;1;15390;18;0 
544657;187826;48585;4;14047;346;0 
545792;187813;48584;3;11768;22;0 
542110;187825;48578;5;10589;624;0 
543869;187826;48591;3;11513;690;0 
541563;187828;48586;5;11055;345;0 
543106;187816;48588;3;10803;486;0 
543047;187823;48579;5;11452;524;0 
545134;187826;48582;5;11439;652;0 
543806;187829;48580;3;11436;239;0 
546446;187826;48588;5;11096;497;0 
550745;187825;48583;5;12044;6844;0 
