CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
542189;122386;17384;411188;0;3;0 
540959;122387;17383;411187;0;3;0 
540823;122386;17383;411187;0;1;0 
541020;122388;17383;411192;0;4;0 
541547;122387;17383;411189;0;3;0 
547473;122386;17384;411189;0;3;0 
544988;122386;17383;411186;0;1;0 
546930;122386;17383;411189;0;3;0 
545756;122386;17383;411184;0;1;0 
546484;122386;17383;411187;0;3;0 
551579;122386;17383;411183;0;1;0 
542637;122386;17383;411186;0;1;0 
542273;122386;17383;411186;0;2;0 
542635;122386;17383;411183;0;1;0 
550484;122386;17383;411185;0;1;0 
542445;122386;17383;411186;0;1;0 
542114;122386;17383;411184;0;1;0 
548484;122386;17383;411185;0;1;0 
542503;122386;17383;411186;0;1;0 
542384;122386;17383;411187;0;1;0 
542532;122386;17383;411185;0;2;0 
548778;122386;17383;411187;0;1;0 
543736;122387;17383;411190;0;3;0 
543739;122386;17383;411184;0;1;0 
545337;122386;17383;411189;0;3;0 
544897;122386;17384;411189;0;4;0 
542546;122386;17383;411185;0;1;0 
547168;122386;17383;411195;0;4;0 
548150;122386;17383;411190;0;3;0 
545316;122387;17383;411187;0;3;0 
542603;122386;17383;411183;0;1;0 
542042;122386;17383;411188;0;3;0 
553275;122386;17383;411186;0;1;0 
544532;122386;17383;411188;0;1;0 
541853;122386;17383;411184;0;1;0 
541851;122386;17383;411186;0;1;0 
553800;122386;17383;411186;0;1;0 
543420;122386;17383;411186;0;1;0 
543693;122386;17383;411184;0;1;0 
545792;122386;17383;411188;0;2;0 
546248;122386;17384;411190;0;3;0 
543072;122386;17383;411184;0;1;0 
544940;122386;17384;411192;0;4;0 
543816;122386;17383;411186;0;1;0 
544506;122386;17383;411190;0;1;0 
543324;122386;17383;411185;0;1;0 
552142;122386;17383;411188;0;3;0 
546218;122386;17383;411188;0;1;0 
543835;122386;17383;411186;0;1;0 
546090;122386;17384;411188;0;3;0 
542546;122386;17383;411187;0;1;0 
566692;122386;17383;411191;0;2;0 
544941;122386;17383;411184;0;1;0 
545039;122386;17383;411188;0;2;0 
545474;122386;17383;411187;0;1;0 
559517;122386;17384;411192;0;2;0 
544905;122386;17383;411184;0;1;0 
545501;122386;17383;411186;0;1;0 
543379;122386;17383;411185;0;1;0 
