CYCLES;0xC2;0xC3;0xC4;0xC5;0xC6;0xC7
541733;117;2123;1;3911;0;46 
542145;116;2512;1;4809;0;173 
543562;124;2254;1;4115;0;19 
542872;114;2803;1;4819;0;220 
545888;114;2695;1;5170;0;407 
543987;112;2922;1;5089;0;741 
542740;119;2424;1;4365;0;216 
542672;120;2929;1;5535;0;155 
541350;120;2422;1;3888;0;78 
562864;121;8390;1;13053;0;7901 
545400;120;2469;1;4628;0;736 
542342;116;3073;1;4755;0;213 
546046;117;2651;1;4932;0;194 
549059;119;5877;1;7075;0;5282 
544463;115;2727;1;4527;0;578 
545422;121;2274;1;7895;0;316 
543639;116;2604;1;3766;0;436 
543751;120;2770;1;5151;0;41 
542790;121;2986;1;4625;0;523 
543101;121;2250;1;4624;0;286 
540910;124;2157;1;3429;0;143 
546574;121;3030;1;5242;0;392 
543533;111;3033;1;5473;0;625 
541787;114;2763;1;5070;0;381 
541844;115;2147;1;4169;0;334 
541882;118;1961;1;5152;0;347 
545193;124;2694;1;6468;0;327 
548486;117;3049;1;9063;0;1769 
542066;119;2576;1;4288;0;112 
543483;125;2269;1;3859;0;290 
545197;116;2791;1;4684;0;452 
542486;122;2077;1;5267;0;573 
542517;117;2839;1;4486;0;53 
543112;125;2864;1;4828;0;298 
542164;115;2082;1;4549;0;364 
542040;111;3751;1;4633;0;595 
544026;114;3185;1;5418;0;187 
542835;119;3242;1;4424;0;599 
542193;115;3973;1;3792;0;383 
543054;112;2690;1;5111;0;453 
543126;127;2900;1;4895;0;431 
553768;120;6732;1;8174;0;5842 
544648;120;2661;1;5128;0;328 
546704;123;2505;1;7406;0;236 
542287;120;2753;1;4739;0;229 
548588;114;3520;1;9798;0;1081 
542592;114;2748;1;5261;0;498 
542660;114;2676;1;4829;0;199 
546222;118;3611;1;5663;0;1021 
545634;112;3206;1;5317;0;939 
549875;114;2709;1;4102;0;521 
545067;119;2958;1;4572;0;297 
541415;116;2808;1;4224;0;124 
542614;121;2964;1;4680;0;238 
542404;116;2446;1;4399;0;355 
542388;111;2480;1;4488;0;206 
541651;112;2412;1;4339;0;218 
543060;116;3107;1;5120;0;474 
550296;110;4148;1;7720;0;477 
542838;115;2954;1;5006;0;704 
542502;119;2705;1;4117;0;221 
542415;119;2789;1;4429;0;285 
542752;116;3215;1;5242;0;386 
547021;115;4132;1;4473;0;1207 
542421;116;2694;1;4892;0;383 
541831;115;2475;1;4411;0;139 
542321;115;2543;1;4427;0;285 
542794;126;2564;1;4521;0;464 
575208;111;11148;1;11460;0;9002 
543212;123;2690;1;5194;0;278 
545390;114;2669;1;4867;0;39 
541027;113;2329;1;4274;0;127 
546550;113;2914;1;7412;0;167 
542553;118;2761;1;4374;0;248 
543686;113;2811;1;4851;0;400 
543926;113;2246;1;4488;0;285 
545841;114;3240;1;5381;0;1008 
544745;112;3387;1;5639;0;517 
541544;124;2351;1;4080;0;139 
542381;123;2684;1;4577;0;242 
546892;113;5553;1;8277;0;600 
545778;117;3315;1;5243;0;906 
560752;128;5525;1;7820;0;5035 
544367;120;2362;1;4101;0;96 
544281;115;2776;1;4838;0;335 
543073;122;2552;1;4656;0;154 
543587;119;2795;1;5312;0;236 
545224;124;3030;1;4705;0;351 
542091;119;2850;1;4842;0;509 
542196;118;2568;1;3981;0;306 
543411;125;1992;1;5081;0;648 
553688;118;4821;1;10653;0;3522 
542515;116;2411;1;4444;0;264 
545363;114;2818;1;5024;0;197 
543785;119;1773;1;4524;0;29 
543430;121;2563;1;4052;0;161 
544797;116;2814;1;8345;0;376 
545303;120;2552;1;4570;0;307 
541282;116;2412;1;4248;0;235 
559265;152;11310;1;12858;0;9911 
542372;115;2700;1;4734;0;473 
541326;124;2392;1;3915;0;299 
542891;114;2600;1;4281;0;264 
544858;114;2634;1;5286;0;561 
547268;121;3036;1;6347;0;363 
546196;112;2789;1;4732;0;547 
542829;120;2944;1;5068;0;168 
542430;118;2591;1;4468;0;618 
541666;123;2605;1;4425;0;234 
574128;115;6630;1;8520;0;5693 
545756;119;2690;1;4506;0;301 
545356;117;2925;1;5088;0;273 
545071;114;2737;1;5187;0;427 
546915;114;6277;1;8403;0;686 
542719;118;3280;1;4776;0;338 
542732;115;2607;1;4875;0;211 
543001;116;2970;1;4349;0;478 
541552;115;2827;1;4370;0;108 
545370;122;2781;1;4695;0;569 
546246;114;4037;1;5131;0;664 
545161;117;2389;1;4206;0;775 
547596;124;5652;1;8466;0;288 
542244;124;2813;1;5213;0;312 
553236;115;4785;1;6518;0;4710 
541768;113;2462;1;4557;0;277 
545929;113;1945;1;5359;0;404 
541755;119;2178;1;4169;0;152 
545626;112;2762;1;8070;0;273 
542953;112;2541;1;4533;0;332 
544653;114;5533;1;7458;0;213 
552630;113;7919;1;10837;0;310 
546349;121;3031;1;7810;0;543 
543963;113;2680;1;4913;0;278 
544385;116;2039;1;4779;0;270 
542817;118;2754;1;4694;0;497 
545797;125;3133;1;5458;0;482 
544673;120;2792;1;5399;0;270 
545698;118;2825;1;4198;0;294 
542994;117;1914;1;4035;0;555 
542155;115;3027;1;4874;0;531 
553740;121;9574;1;8962;0;8828 
546488;118;2960;1;5370;0;721 
542198;122;2593;1;4513;0;452 
545310;110;5862;1;7874;0;193 
545295;121;1783;1;5666;0;121 
545153;126;3271;1;5753;0;665 
541683;124;2081;1;4010;0;191 
542129;116;2371;1;4254;0;314 
544579;120;2386;1;7404;0;141 
544658;117;2731;1;5089;0;218 
563980;113;8642;1;9919;0;7306 
544136;115;2836;1;4990;0;104 
544981;119;2459;1;3970;0;298 
541921;115;2985;1;4936;0;527 
557773;115;8855;1;10685;0;8076 
542068;113;2596;1;4582;0;461 
542420;119;2764;1;4807;0;107 
547836;115;3945;1;5410;0;431 
544764;119;5618;1;7412;0;407 
544609;111;3445;1;6409;0;1337 
541610;116;2474;1;4355;0;437 
541291;117;2078;1;4001;0;159 
543681;110;2992;1;5022;0;353 
542865;111;2250;1;4822;0;588 
545180;123;2990;1;4823;0;285 
545898;119;3221;1;8163;0;314 
541852;113;2481;1;4656;0;167 
545799;118;2849;1;8034;0;299 
543947;112;2982;1;5247;0;468 
542042;113;2434;1;4798;0;363 
545719;128;3259;1;4888;0;352 
551741;123;3708;1;6376;0;708 
546680;120;2991;1;8245;0;391 
548357;113;3627;1;8723;0;2278 
544791;116;2216;1;7206;0;155 
542472;117;1774;1;4240;0;232 
545170;115;3466;1;5460;0;417 
543267;125;2470;1;4628;0;419 
541921;114;2885;1;4852;0;475 
544293;112;2784;1;4538;0;671 
541807;119;2493;1;4196;0;485 
550836;123;3171;1;8496;0;529 
541816;114;2502;1;4146;0;504 
543996;116;2061;1;3461;0;78 
544697;114;3033;1;4703;0;552 
541556;119;2477;1;4273;0;270 
545281;130;2949;1;5317;0;233 
545709;117;3213;1;5002;0;450 
542754;125;1813;1;4449;0;210 
545782;120;2728;1;7949;0;382 
547831;119;5088;1;6800;0;174 
546637;121;5856;1;7865;0;3687 
545626;115;5809;1;7574;0;443 
545514;121;2578;1;5202;0;276 
544271;115;2819;1;4612;0;284 
549390;121;3566;1;6366;0;681 
545360;121;2022;1;5543;0;350 
544654;124;2558;1;4551;0;322 
545025;117;2823;1;4709;0;473 
543674;116;2942;1;4875;0;300 
542723;121;2441;1;4035;0;366 
542899;117;2699;1;4574;0;658 
562827;110;5178;1;10413;0;2093 
541996;112;2258;1;3949;0;242 
543492;120;2618;1;5007;0;437 
543713;120;2740;1;5508;0;482 
553550;119;5950;1;7229;0;4313 
543134;118;2698;1;4948;0;318 
543666;125;2400;1;4542;0;190 
542328;124;2436;1;4326;0;318 
541913;116;2139;1;4728;0;405 
545318;114;2819;1;4510;0;208 
545723;115;3214;1;5197;0;511 
543153;118;2274;1;4041;0;142 
542539;119;2963;1;4452;0;730 
545286;128;2165;1;5146;0;591 
544441;116;1941;1;4700;0;516 
545333;115;5729;1;7454;0;481 
542655;114;2613;1;4692;0;456 
543121;125;2674;1;4853;0;52 
542716;120;2665;1;4227;0;470 
541269;112;2467;1;4513;0;157 
542005;118;2372;1;4106;0;471 
552380;124;4367;1;8247;0;1457 
542114;114;2565;1;4103;0;128 
544675;119;2843;1;4535;0;22 
541960;121;2522;1;4585;0;35 
541366;114;2611;1;4575;0;98 
543587;120;2913;1;5296;0;216 
546108;121;3007;1;7696;0;3393 
541965;115;2827;1;4431;0;519 
542735;121;1712;1;4949;0;361 
542521;121;1884;1;4572;0;314 
545214;115;4755;1;6125;0;3192 
544197;115;2606;1;4528;0;532 
543984;119;2596;1;4658;0;27 
543176;112;3423;1;4983;0;923 
544786;121;3731;1;6290;0;1476 
545775;113;5377;1;8105;0;141 
541606;116;1979;1;4446;0;109 
542448;115;2908;1;4570;0;484 
541757;116;2574;1;4775;0;176 
542250;116;2430;1;4077;0;194 
555200;115;6394;1;8025;0;4955 
543446;115;3032;1;5588;0;494 
543264;120;3135;1;4783;0;330 
543027;113;2770;1;4617;0;251 
556359;113;7947;1;11100;0;7399 
543000;115;2686;1;4507;0;354 
541754;119;2255;1;4144;0;182 
543790;113;3158;1;4872;0;442 
544017;114;2402;1;4213;0;176 
544271;126;2700;1;4796;0;279 
545458;115;2871;1;4533;0;388 
541815;117;2216;1;3971;0;135 
542567;110;2391;1;5309;0;574 
543507;119;2959;1;5034;0;910 
542932;124;3217;1;4623;0;521 
541908;116;1812;1;4406;0;93 
544305;125;1949;1;4455;0;310 
543231;113;2827;1;5107;0;311 
547840;122;6383;1;7906;0;82 
544193;109;2188;1;4861;0;532 
