CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
541473;124;4;1;0;309;0 
541164;132;4;2;0;321;0 
541087;88;4;0;0;303;0 
540440;116;4;2;0;299;0 
541554;224;4;2;0;310;0 
541211;172;4;1;0;333;0 
542196;96;4;0;0;305;0 
543297;96;4;1;0;338;0 
542755;108;4;2;0;325;0 
540783;144;4;2;0;332;0 
541001;116;4;2;0;309;0 
541984;72;4;0;0;308;0 
553610;492;4;0;0;321;0 
546478;144;4;1;0;312;0 
541390;104;4;0;0;313;0 
544297;116;4;0;0;320;0 
542950;156;4;0;0;287;0 
546787;184;4;1;0;324;0 
555964;220;4;0;0;308;0 
547601;168;4;2;0;338;0 
543109;128;4;0;0;313;0 
545770;120;4;2;0;289;0 
545688;88;4;2;0;330;0 
542253;104;4;0;0;303;0 
546731;276;4;2;0;343;0 
541529;92;4;0;0;300;0 
542028;108;4;3;0;322;0 
542889;80;4;0;0;298;0 
545434;112;4;0;0;309;0 
543090;96;4;0;0;303;0 
543331;188;4;1;0;316;0 
545801;88;4;0;0;301;0 
542301;100;4;0;0;312;0 
544763;132;4;1;0;344;0 
546040;220;4;0;0;298;0 
548698;108;4;2;0;325;0 
544790;120;4;0;0;287;0 
543429;108;4;0;0;316;0 
545712;36;4;0;0;311;0 
545468;148;4;2;0;296;0 
547836;68;4;0;0;317;0 
543116;108;4;3;0;317;0 
542699;80;4;2;0;328;0 
546044;196;4;0;0;300;0 
543655;88;4;0;0;287;0 
545169;80;4;0;0;306;0 
545105;104;4;1;0;316;0 
541577;64;4;0;0;306;0 
551347;32;4;3;0;366;0 
545909;108;4;0;0;273;0 
550167;156;4;0;0;298;0 
544477;68;4;0;0;287;0 
542270;92;4;0;0;284;0 
542835;116;4;0;0;308;0 
542351;140;4;0;0;303;0 
542615;116;4;0;0;285;0 
541589;72;4;0;0;286;0 
544328;108;4;0;0;310;0 
542270;88;4;0;0;295;0 
546628;164;4;0;0;298;0 
543492;192;4;0;0;304;0 
543780;104;4;0;0;280;0 
542298;120;4;0;0;305;0 
548465;124;4;2;0;343;0 
548215;196;4;0;0;289;0 
543523;96;4;2;0;330;0 
541564;112;4;0;0;304;0 
545766;88;4;1;0;299;0 
541045;64;4;0;0;277;0 
546273;100;4;0;0;296;0 
542842;152;4;0;0;299;0 
543452;92;4;0;0;312;0 
547695;100;4;2;0;300;0 
543715;72;4;0;0;307;0 
546912;248;4;1;0;319;0 
547037;84;4;0;0;321;0 
545627;116;4;1;0;319;0 
544642;100;4;0;0;312;0 
541784;68;4;0;0;317;0 
545628;112;4;0;0;309;0 
546772;144;4;2;0;319;0 
544590;72;4;0;0;283;0 
542041;92;4;0;0;284;0 
542629;96;4;2;0;291;0 
543008;216;4;0;0;286;0 
543234;112;4;2;0;303;0 
544948;88;4;0;0;307;0 
542483;104;4;2;0;303;0 
542114;60;4;0;0;299;0 
542342;84;4;2;0;319;0 
546644;188;4;0;0;286;0 
547081;136;4;2;0;329;0 
545368;72;4;2;0;302;0 
540786;104;4;0;0;307;0 
544255;124;4;2;0;319;0 
541710;80;4;0;0;287;0 
543591;252;4;2;0;336;0 
544048;72;4;0;0;278;0 
545814;140;4;2;0;325;0 
544159;144;4;0;0;312;0 
546714;192;4;0;0;315;0 
545352;136;4;0;0;332;0 
556890;392;4;1;0;308;0 
543875;104;4;0;0;281;0 
542363;80;4;0;0;298;0 
545702;148;4;0;0;304;0 
545009;152;4;0;0;297;0 
543678;140;4;0;0;308;0 
545608;116;4;0;0;318;0 
542366;72;4;1;0;312;0 
542580;172;4;0;0;323;0 
542123;152;4;0;0;269;0 
550444;236;4;0;0;291;0 
542582;104;4;1;0;311;0 
543065;56;4;0;0;312;0 
545845;172;4;0;0;292;0 
543035;88;4;0;0;308;0 
543703;112;4;0;0;313;0 
544953;108;4;0;0;277;0 
540997;64;4;0;0;280;0 
544747;184;4;0;0;288;0 
542433;180;4;0;0;310;0 
545173;148;4;0;0;292;0 
545908;84;4;0;0;318;0 
544768;128;4;0;0;311;0 
542151;140;4;0;0;290;0 
545706;116;4;1;0;313;0 
544851;92;4;0;0;284;0 
542783;100;4;0;0;306;0 
543265;44;4;0;0;305;0 
546229;196;4;0;0;289;0 
542936;164;4;0;0;305;0 
552389;408;4;0;0;310;0 
542341;80;4;2;0;331;0 
542240;116;4;0;0;299;0 
546880;232;4;3;0;337;0 
545105;68;4;0;0;281;0 
542712;112;4;0;0;316;0 
546233;88;4;0;0;307;0 
541351;116;4;0;0;288;0 
543220;188;4;0;0;290;0 
545895;164;4;1;0;325;0 
544822;112;4;0;0;296;0 
541769;104;4;0;0;283;0 
544066;124;4;3;0;307;0 
542839;180;4;0;0;310;0 
543109;92;4;1;0;315;0 
542307;80;4;0;0;310;0 
544967;112;4;0;0;317;0 
541011;72;4;0;0;302;0 
546476;128;4;1;0;338;0 
544898;172;4;0;0;294;0 
543053;64;4;0;0;312;0 
542879;116;4;3;0;305;0 
542383;128;4;0;0;280;0 
547438;208;4;0;0;319;0 
544370;88;4;0;0;295;0 
545515;72;4;1;0;314;0 
543876;60;4;0;0;304;0 
541497;104;4;0;0;285;0 
543767;196;4;0;0;286;0 
547175;232;4;2;0;323;0 
542765;104;4;0;0;292;0 
541488;112;4;0;0;299;0 
542037;124;4;2;0;303;0 
542817;180;4;0;0;280;0 
546372;92;4;2;0;335;0 
541471;100;4;0;0;326;0 
542857;128;4;0;0;314;0 
543390;56;4;1;0;355;0 
544333;128;4;0;0;294;0 
542309;156;4;0;0;275;0 
544573;164;4;0;0;324;0 
546352;128;4;1;0;347;0 
544038;68;4;0;0;290;0 
554411;200;4;0;0;314;0 
544359;120;4;0;0;310;0 
545334;108;4;0;0;286;0 
543678;104;4;0;0;301;0 
541342;60;4;0;0;298;0 
546347;148;4;0;0;303;0 
543637;200;4;0;0;292;0 
547719;108;4;0;0;293;0 
543986;112;4;0;0;288;0 
543667;160;4;1;0;337;0 
546684;244;4;0;0;322;0 
543043;132;4;0;0;319;0 
544513;124;4;0;0;318;0 
540979;124;4;0;0;314;0 
541983;68;4;0;0;283;0 
543149;120;4;1;0;311;0 
543804;104;4;0;0;322;0 
542643;128;4;4;0;369;0 
545195;88;4;2;0;343;0 
542375;176;4;0;0;311;0 
546171;88;4;1;0;288;0 
545628;96;4;0;0;274;0 
545936;168;4;2;0;321;0 
542649;108;4;0;0;282;0 
552906;16;4;0;0;285;0 
545476;104;4;0;0;306;0 
543362;108;4;0;0;297;0 
545577;124;4;1;0;317;0 
542661;144;4;2;0;340;0 
544454;236;4;0;0;280;0 
545178;136;4;2;0;325;0 
545422;96;4;0;0;304;0 
544158;96;4;2;0;291;0 
544825;96;4;0;0;281;0 
551704;56;4;1;0;350;0 
545107;132;4;0;0;292;0 
544005;92;4;3;0;355;0 
543818;240;4;0;0;286;0 
542151;88;4;0;0;298;0 
542438;116;4;1;0;309;0 
542590;84;4;0;0;320;0 
546136;128;4;1;0;300;0 
545505;112;4;0;0;302;0 
558102;384;4;0;0;322;0 
542723;88;4;0;0;305;0 
544284;84;4;0;0;289;0 
544089;80;4;0;0;293;0 
543422;344;4;0;0;298;0 
546301;64;4;0;0;295;0 
542204;116;4;0;0;303;0 
542580;92;4;0;0;302;0 
542230;100;4;0;0;280;0 
545862;276;4;0;0;323;0 
560368;328;4;0;0;302;0 
546379;96;4;0;0;297;0 
543640;104;4;2;0;309;0 
544524;76;4;0;0;313;0 
547929;476;4;0;0;288;0 
545582;128;4;2;0;308;0 
541138;68;4;0;0;285;0 
547646;152;4;2;0;324;0 
543044;128;4;0;0;318;0 
545649;204;4;2;0;343;0 
557365;212;4;0;0;308;0 
546637;204;4;0;0;300;0 
546225;120;4;0;0;310;0 
542637;112;4;0;0;277;0 
552756;456;4;0;0;307;0 
542479;92;4;1;0;328;0 
541891;88;4;0;0;298;0 
543771;108;4;1;0;321;0 
546093;188;4;0;0;307;0 
545015;148;4;2;0;327;0 
547307;160;4;0;0;296;0 
542584;96;4;2;0;340;0 
543431;184;4;0;0;303;0 
545873;128;4;3;0;371;0 
556088;400;4;0;0;310;0 
546105;80;4;0;0;315;0 
541845;96;4;1;0;305;0 
543014;172;4;2;0;319;0 
541427;112;4;1;0;304;0 
543313;100;4;0;0;279;0 
542545;124;4;2;0;303;0 
541093;92;4;0;0;280;0 
544972;180;4;2;0;324;0 
548129;244;4;0;0;274;0 
543166;116;4;1;0;310;0 
542386;120;4;1;0;315;0 
542059;100;4;0;0;322;0 
543874;236;4;0;0;304;0 
545240;64;4;0;0;273;0 
542507;60;4;1;0;293;0 
543699;108;4;0;0;313;0 
542232;60;4;2;0;349;0 
542752;180;4;0;0;305;0 
545525;196;4;1;0;309;0 
547361;100;4;0;0;305;0 
540919;84;4;0;0;310;0 
545744;80;4;0;0;302;0 
544984;152;4;0;0;288;0 
543438;104;4;1;0;314;0 
544985;116;4;0;0;280;0 
545572;120;4;2;0;322;0 
542564;60;4;0;0;297;0 
545206;120;4;1;0;321;0 
546959;204;4;0;0;285;0 
542475;92;4;0;0;277;0 
542556;84;4;0;0;316;0 
543305;108;4;0;0;308;0 
544215;220;4;1;0;322;0 
543916;104;4;0;0;304;0 
544011;96;4;2;0;359;0 
543747;56;4;0;0;300;0 
541405;60;4;3;0;300;0 
545786;152;4;0;0;288;0 
546649;164;4;2;0;312;0 
544462;120;4;0;0;280;0 
542258;80;4;0;0;291;0 
541666;92;4;0;0;276;0 
543541;268;4;0;0;322;0 
545708;100;4;0;0;279;0 
545208;124;4;0;0;304;0 
542022;96;4;0;0;309;0 
544607;100;4;0;0;308;0 
543108;128;4;3;0;354;0 
543630;192;4;0;0;296;0 
545499;176;4;1;0;332;0 
543045;100;4;0;0;309;0 
541663;136;4;0;0;283;0 
543044;228;4;0;0;287;0 
544101;148;4;0;0;316;0 
542503;72;4;0;0;303;0 
542082;84;4;0;0;282;0 
541191;52;4;2;0;331;0 
542755;100;4;0;0;306;0 
543068;140;4;0;0;318;0 
544689;156;4;0;0;305;0 
541945;76;4;0;0;285;0 
543013;116;4;0;0;297;0 
543355;212;4;0;0;300;0 
544778;80;4;0;0;275;0 
544596;112;4;0;0;315;0 
541875;84;4;0;0;276;0 
541601;52;4;0;0;287;0 
546184;132;4;0;0;313;0 
546111;100;4;0;0;286;0 
542169;84;4;0;0;295;0 
543629;88;4;0;0;295;0 
543335;84;4;0;0;295;0 
546420;240;4;0;0;285;0 
544325;88;4;0;0;300;0 
542673;128;4;0;0;280;0 
541926;108;4;0;0;301;0 
544979;32;4;1;0;316;0 
543948;132;4;0;0;312;0 
546559;136;4;0;0;312;0 
544712;112;4;0;0;298;0 
542452;96;4;1;0;331;0 
542405;140;4;0;0;284;0 
546889;288;4;0;0;306;0 
545091;124;4;0;0;287;0 
542272;128;4;0;0;333;0 
543285;120;4;0;0;314;0 
542701;80;4;0;0;282;0 
545270;112;4;0;0;295;0 
545617;124;4;0;0;335;0 
541863;80;4;0;0;282;0 
543530;96;4;0;0;306;0 
542186;92;4;0;0;310;0 
542802;184;4;0;0;304;0 
542581;88;4;0;0;292;0 
542909;84;4;0;0;297;0 
544403;84;4;0;0;309;0 
543222;40;4;2;0;356;0 
543622;132;4;0;0;307;0 
544811;164;4;0;0;298;0 
544223;136;4;0;0;285;0 
544143;108;4;0;0;295;0 
543409;136;4;0;0;313;0 
543891;256;4;0;0;280;0 
543653;64;4;0;0;284;0 
543618;116;4;0;0;307;0 
543906;100;4;0;0;301;0 
544074;84;4;0;0;296;0 
542687;136;4;0;0;291;0 
542162;116;4;0;0;283;0 
547357;116;4;0;0;305;0 
543927;72;4;0;0;283;0 
541897;112;4;0;0;310;0 
542983;260;4;0;0;275;0 
545855;112;4;0;0;291;0 
544099;68;4;0;0;322;0 
544560;84;4;0;0;324;0 
545768;168;4;0;0;287;0 
543992;72;4;0;0;309;0 
544678;136;4;0;0;297;0 
547242;156;4;1;0;355;0 
557662;372;4;0;0;310;0 
543063;80;4;0;0;288;0 
544257;92;4;2;0;322;0 
542297;88;4;0;0;292;0 
547852;228;4;3;0;338;0 
543075;104;4;0;0;301;0 
544497;108;4;2;0;313;0 
545324;172;4;0;0;283;0 
542893;160;4;2;0;310;0 
542519;140;4;0;0;295;0 
550276;324;4;3;0;328;0 
541777;92;4;1;0;306;0 
542601;80;4;3;0;328;0 
541514;92;4;0;0;281;0 
545396;108;4;2;0;342;0 
552253;128;4;0;0;321;0 
541370;124;4;1;0;286;0 
542271;124;4;0;0;276;0 
542379;152;4;0;0;302;0 
544114;108;4;1;0;320;0 
541468;60;4;0;0;311;0 
551335;60;4;2;0;302;0 
542985;128;4;0;0;295;0 
546285;124;4;2;0;311;0 
544250;100;4;0;0;320;0 
542447;84;4;0;0;280;0 
545681;260;4;1;0;295;0 
544773;80;4;0;0;303;0 
544379;116;4;2;0;327;0 
544951;76;4;0;0;295;0 
543518;120;4;2;0;322;0 
551860;36;4;0;0;313;0 
545275;176;4;0;0;311;0 
543032;124;4;1;0;331;0 
544471;96;4;0;0;298;0 
542654;124;4;0;0;321;0 
546472;128;4;0;0;307;0 
544069;84;4;0;0;288;0 
543344;164;4;0;0;284;0 
542035;96;4;0;0;310;0 
543239;84;4;0;0;279;0 
543497;64;4;0;0;301;0 
543917;112;4;1;0;323;0 
544880;120;4;0;0;308;0 
543737;112;4;1;0;319;0 
542402;152;4;3;0;339;0 
545845;156;4;0;0;317;0 
542960;140;4;2;0;298;0 
544561;112;4;0;0;329;0 
543265;80;4;2;0;305;0 
545399;132;4;0;0;313;0 
543013;88;4;1;0;342;0 
544162;132;4;0;0;289;0 
548038;124;4;2;0;365;0 
543456;116;4;0;0;318;0 
541758;72;4;0;0;303;0 
545854;124;4;2;0;344;0 
544795;192;4;0;0;279;0 
545970;104;4;2;0;333;0 
542279;112;4;0;0;290;0 
544946;92;4;2;0;333;0 
543264;120;4;0;0;323;0 
543345;132;4;2;0;305;0 
544653;104;4;0;0;274;0 
543220;84;4;1;0;322;0 
544899;72;4;2;0;293;0 
542875;128;4;0;0;291;0 
545599;232;4;1;0;328;0 
544957;112;4;0;0;296;0 
542380;88;4;2;0;324;0 
542204;100;4;0;0;308;0 
542361;68;4;2;0;329;0 
545816;92;4;0;0;313;0 
545871;116;4;0;0;313;0 
545157;72;4;0;0;311;0 
542299;92;4;0;0;309;0 
545306;112;4;0;0;283;0 
543020;184;4;0;0;308;0 
545801;124;4;1;0;308;0 
543740;88;4;0;0;283;0 
544369;72;4;2;0;327;0 
542744;84;4;0;0;311;0 
543355;88;4;2;0;323;0 
544045;80;4;0;0;264;0 
548279;140;4;2;0;322;0 
542713;96;4;3;0;333;0 
541589;76;4;0;0;294;0 
549734;268;4;3;0;371;0 
543490;120;4;0;0;315;0 
547519;68;4;3;0;358;0 
541573;88;4;0;0;310;0 
541140;72;4;0;0;285;0 
542336;120;4;0;0;303;0 
545767;152;4;2;0;315;0 
544712;116;4;0;0;307;0 
544344;100;4;0;0;307;0 
547023;136;4;2;0;314;0 
544188;204;4;0;0;287;0 
545611;116;4;1;0;313;0 
544488;84;4;0;0;283;0 
541534;112;4;2;0;345;0 
542612;60;4;0;0;282;0 
547319;128;4;3;0;352;0 
543523;168;4;0;0;287;0 
548147;104;4;2;0;327;0 
544570;160;4;1;0;306;0 
542041;60;4;0;0;274;0 
546995;244;4;2;0;332;0 
545166;116;4;0;0;284;0 
545135;132;4;2;0;330;0 
542007;116;4;0;0;314;0 
541838;64;4;2;0;328;0 
542970;116;4;0;0;296;0 
543170;164;4;1;0;329;0 
546635;120;4;0;0;327;0 
541524;108;4;0;0;303;0 
542094;112;4;1;0;308;0 
542513;216;4;0;0;290;0 
546211;104;4;0;0;298;0 
542313;100;4;0;0;289;0 
541588;112;4;1;0;287;0 
545092;64;4;0;0;311;0 
543111;148;4;2;0;312;0 
544036;144;4;0;0;295;0 
545068;96;4;1;0;288;0 
543647;96;4;0;0;296;0 
542478;152;4;0;0;318;0 
543768;200;4;2;0;313;0 
546113;100;4;0;0;304;0 
545393;112;4;2;0;316;0 
544799;80;4;0;0;300;0 
542228;128;4;2;0;324;0 
544683;180;4;0;0;294;0 
544033;200;4;0;0;286;0 
542452;112;4;0;0;302;0 
543416;160;4;0;0;279;0 
545405;96;4;1;0;348;0 
543370;140;4;0;0;299;0 
543321;120;4;3;0;344;0 
543899;112;4;0;0;308;0 
546138;112;4;3;0;335;0 
541204;100;4;0;0;305;0 
544692;168;4;1;0;329;0 
543428;152;4;0;0;308;0 
545486;116;4;1;0;303;0 
541023;88;4;0;0;279;0 
545834;116;4;0;0;318;0 
541801;176;4;0;0;270;0 
544191;120;4;0;0;312;0 
541960;76;4;0;0;303;0 
543007;100;4;0;0;277;0 
541728;108;4;3;0;369;0 
546274;184;4;0;0;294;0 
544324;200;4;1;0;350;0 
549399;252;4;0;0;289;0 
545045;120;4;0;0;329;0 
544617;128;4;0;0;309;0 
545365;172;4;0;0;306;0 
541463;64;4;0;0;302;0 
541800;108;4;0;0;306;0 
545334;108;4;0;0;281;0 
543992;96;4;0;0;304;0 
543230;196;4;0;0;280;0 
542434;168;4;0;0;304;0 
543640;192;4;0;0;307;0 
545472;72;4;0;0;304;0 
542394;88;4;1;0;316;0 
548145;224;4;0;0;285;0 
545756;56;4;0;0;303;0 
543427;104;4;0;0;277;0 
544005;100;4;0;0;308;0 
544263;72;4;0;0;311;0 
546547;192;4;0;0;298;0 
541723;132;4;0;0;293;0 
548195;176;4;0;0;303;0 
541531;136;4;3;0;290;0 
543164;120;4;0;0;290;0 
544020;196;4;2;0;330;0 
543650;84;4;0;0;285;0 
547058;108;4;1;0;318;0 
542504;104;4;0;0;310;0 
543960;88;4;0;0;296;0 
543291;100;4;0;0;304;0 
547048;204;4;2;0;312;0 
542290;112;4;0;0;310;0 
543353;100;4;0;0;291;0 
544565;128;4;2;0;313;0 
546714;164;4;0;0;294;0 
547979;172;4;0;0;320;0 
545725;108;4;0;0;302;0 
545364;124;4;1;0;310;0 
544914;80;4;0;0;273;0 
547892;196;4;1;0;323;0 
543424;148;4;0;0;320;0 
547615;244;4;2;0;305;0 
548313;56;4;2;0;333;0 
541538;96;4;0;0;284;0 
543702;200;4;2;0;322;0 
543207;124;4;0;0;295;0 
542953;80;4;2;0;314;0 
543022;96;4;0;0;290;0 
541455;128;4;0;0;314;0 
543290;196;4;0;0;293;0 
542611;160;4;2;0;295;0 
542306;120;4;0;0;292;0 
543614;100;4;0;0;274;0 
545389;92;4;3;0;371;0 
543281;108;4;0;0;287;0 
549873;160;4;2;0;352;0 
