CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
544275;0;9025;4;4;561;0 
543355;0;9025;3;3;558;0 
547452;0;9025;3;3;563;0 
543080;0;9025;3;3;556;0 
542907;0;9025;3;3;558;0 
541758;0;9025;3;3;556;0 
541528;0;9025;3;3;557;0 
541161;0;9025;3;3;564;0 
542860;0;9025;3;3;565;0 
542145;0;9025;3;3;562;0 
540802;1;9025;3;3;555;0 
545062;0;9025;3;3;550;0 
545746;0;9025;3;3;557;0 
542358;0;9025;3;3;556;0 
541767;0;9025;3;3;558;0 
543625;0;9025;3;3;552;0 
546519;0;9025;3;3;560;0 
546622;0;9025;3;3;555;0 
541473;0;9025;3;3;554;0 
543509;0;9025;3;3;555;0 
542765;0;9025;3;3;562;0 
542011;1;9025;3;3;560;0 
544531;1;9025;3;3;556;0 
544701;0;9025;3;3;555;0 
551277;0;9025;3;3;553;0 
542660;0;9025;3;3;571;0 
545368;0;9025;3;3;555;0 
542972;0;9025;3;3;556;0 
542973;0;9025;3;3;554;0 
544468;0;9025;3;3;561;0 
545282;0;9025;3;3;557;0 
561518;0;9025;3;3;562;0 
543140;0;9025;3;3;561;0 
543381;0;9025;3;3;550;0 
545195;0;9025;3;3;568;0 
542955;0;9025;3;3;560;0 
541711;0;9025;3;3;554;0 
543744;0;9025;3;3;564;0 
546806;0;9025;3;3;549;0 
541584;0;9025;3;3;557;0 
540901;0;9025;3;3;551;0 
546113;0;9025;3;3;561;0 
544028;0;9025;3;3;559;0 
542389;1;9025;3;3;557;0 
544512;0;9025;3;3;563;0 
550063;0;9025;3;3;559;0 
543492;0;9025;3;3;552;0 
541621;0;9025;3;3;557;0 
544941;0;9025;3;3;560;0 
544429;0;9025;3;3;552;0 
542643;0;9025;3;3;561;0 
541896;0;9025;3;3;560;0 
563613;0;9025;3;3;563;0 
545414;0;9025;3;3;562;0 
545324;0;9025;3;3;558;0 
541918;0;9025;3;3;563;0 
554062;0;9025;3;3;558;0 
541970;0;9025;3;3;556;0 
545077;0;9026;3;3;555;0 
542434;0;9025;3;3;562;0 
543916;1;9025;3;3;562;0 
548117;0;9025;3;3;553;0 
545868;0;9025;3;3;560;0 
562356;0;9025;3;3;558;0 
543369;0;9025;3;3;562;0 
542016;0;9025;3;3;557;0 
