CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
546265;0;0;2068;5802;76;0 
545332;0;0;1710;5145;53;0 
545167;0;0;1759;2225;74;0 
544719;0;0;1899;4916;68;0 
542683;0;0;1721;3321;61;0 
542496;0;0;2123;3013;65;0 
542031;0;0;1726;3107;66;0 
543021;0;0;1926;3072;56;0 
541514;0;0;1778;1906;62;0 
545477;0;0;1756;5829;65;0 
559603;0;0;1887;5962;152;0 
545339;0;0;3958;3556;68;0 
542322;0;0;1744;3133;68;0 
544070;0;0;1738;4921;64;0 
542574;0;0;1717;3102;63;0 
543576;0;0;1738;3065;68;0 
544462;0;0;1771;2115;62;0 
545781;0;0;1742;5565;67;0 
542850;0;0;1741;2933;72;0 
544815;0;0;1748;4687;65;0 
545056;0;0;1848;5709;65;0 
543439;0;0;1760;3138;58;0 
545886;0;0;1737;3597;60;0 
544395;0;0;1793;3353;70;0 
543830;0;0;1722;4083;63;0 
545187;0;0;1742;5623;64;0 
541770;0;0;1751;2411;60;0 
543030;0;0;1747;2725;67;0 
546345;0;0;1732;2967;74;0 
541608;0;0;1734;3240;69;0 
542337;0;0;1747;2470;66;0 
542663;0;0;1757;3534;68;0 
546495;0;0;1753;4667;65;0 
543215;0;0;1910;3948;63;0 
545418;0;0;1774;5245;71;0 
542611;0;0;1725;3332;67;0 
553658;0;0;1716;7797;68;0 
542408;0;0;1756;3021;75;0 
542545;0;0;1736;2962;59;0 
546099;0;0;1736;3067;71;0 
545026;0;0;1745;2681;66;0 
547295;0;0;1917;3584;65;0 
545245;0;0;1863;5667;62;0 
553832;0;0;1731;9977;66;0 
542499;0;0;1733;3048;63;0 
546704;0;0;1716;6488;74;0 
543757;0;0;1718;3984;64;0 
553716;0;0;4785;5611;67;0 
542286;0;0;1747;2721;79;0 
543375;0;0;1897;2681;67;0 
545066;0;0;1865;5084;68;0 
544170;0;0;1718;4305;54;0 
545444;0;0;3961;2437;78;0 
542067;0;0;1733;2566;66;0 
543551;0;0;1806;3439;71;0 
550881;0;0;1700;9139;61;0 
541478;0;0;1839;2886;66;0 
543261;0;0;1724;3953;64;0 
544235;0;0;1706;3758;68;0 
541367;0;0;1750;2275;64;0 
543564;0;0;1725;2751;53;0 
542908;0;0;1901;3079;69;0 
542008;0;0;1921;2196;66;0 
544242;0;0;1734;2589;64;0 
546633;0;0;1742;2809;65;0 
546232;0;0;1843;5092;55;0 
579008;0;0;2304;16511;208;0 
544983;0;0;1754;5733;64;0 
544004;0;0;1748;3102;66;0 
