CYCLES;0x12;0x13;0x14;0x15;0x16;0x17
541771;9504;140404;228851;174;487;80 
543295;9501;140400;228894;160;450;86 
542414;9502;140400;228920;182;511;93 
542176;9501;140399;228921;168;450;86 
545011;9501;140400;228896;161;459;94 
545677;9501;140399;228995;163;448;93 
544358;9501;140400;228856;163;468;95 
544903;9501;140400;228916;167;466;92 
542480;9501;140398;228905;166;456;81 
543056;9501;140399;228921;159;458;89 
542549;9501;140399;228859;160;456;83 
552757;9501;140400;228832;156;449;105 
543446;9501;140398;228890;158;451;84 
545807;9503;140401;228964;190;506;92 
543385;9501;140398;228915;161;445;92 
545493;9503;140401;228983;180;506;97 
561735;9503;140398;228839;175;499;137 
546440;9504;140401;228946;191;532;90 
543563;9501;140400;228948;161;445;92 
548217;9503;140400;228988;227;606;138 
545098;9501;140398;228932;160;461;94 
542087;9501;140398;229105;162;465;87 
545681;9501;140399;228869;169;476;90 
543648;9501;140400;228996;161;440;94 
563931;9501;140399;228889;159;441;129 
543295;9501;140400;228894;159;463;94 
541219;9501;140399;228981;161;444;85 
545743;9501;140399;228869;174;485;96 
550220;9502;140400;229041;171;484;96 
541463;9501;140399;228944;164;464;87 
542985;9502;140399;228948;183;509;88 
541918;9501;140398;228936;171;454;91 
541439;9501;140401;228900;160;464;88 
542000;9501;140398;228907;164;438;90 
548395;9504;140400;228968;193;541;114 
544456;9501;140398;228856;180;495;101 
545012;9504;140400;228903;199;554;119 
546855;9502;140399;228879;164;455;96 
541041;9501;140398;228863;169;474;87 
544295;9502;140399;228892;165;470;91 
543936;9501;140398;228863;168;480;98 
565355;9502;140399;228921;171;485;148 
543056;9501;140399;228964;161;435;98 
541688;9501;140399;228923;170;480;89 
544072;9501;140399;228950;176;482;91 
551110;9503;140399;228926;164;478;97 
540945;9501;140398;228841;160;454;87 
548466;9503;140399;228854;165;475;89 
544724;9501;140399;228901;161;466;96 
546879;9503;140401;228927;169;474;84 
549668;9501;140400;228846;164;468;98 
544414;9502;140399;228880;190;526;84 
550705;9501;140398;228851;172;481;94 
545476;9502;140400;228943;210;561;111 
543423;9501;140398;228890;157;453;86 
542968;9501;140398;228865;160;451;95 
544320;9501;140400;228914;153;441;94 
542725;9501;140398;228912;155;443;91 
546450;9501;140397;229003;183;500;94 
543012;9501;140399;228895;170;483;82 
545845;9501;140399;228909;167;474;92 
547166;9502;140398;228934;169;473;84 
556500;9501;140400;228893;165;471;111 
541326;9501;140398;228857;154;429;84 
546007;9502;140399;228985;163;458;85 
542649;9501;140400;228966;165;451;85 
544054;9504;140399;228845;163;486;79 
565312;9503;140399;228831;158;473;130 
546685;9505;140399;229002;232;591;98 
542453;9501;140400;228955;162;461;96 
544794;9504;140401;229012;215;556;99 
550516;9501;140399;228914;152;446;92 
541993;9501;140398;228966;162;443;97 
545255;9503;140398;228931;169;484;93 
544034;9501;140400;228948;166;483;92 
547095;9502;140398;228926;169;465;94 
546738;9501;140400;228910;176;472;98 
542563;9501;140398;228925;169;472;89 
542660;9504;140401;228909;173;470;86 
542770;9501;140399;228868;166;472;91 
544850;9501;140399;228975;156;436;83 
543773;9505;140399;229014;165;460;94 
542846;9501;140398;228820;165;475;96 
542077;9503;140399;228909;183;513;100 
546015;9501;140399;228914;165;444;92 
543553;9504;140402;229017;204;548;92 
544961;9501;140402;228943;161;444;87 
544995;9503;140397;228931;209;550;91 
544160;9501;140399;228963;153;424;89 
544072;9501;140399;228909;157;443;92 
544915;9501;140400;228946;167;476;98 
542209;9501;140400;228935;153;435;88 
544893;9501;140398;228877;155;428;83 
541067;9501;140400;228889;156;438;85 
541272;9501;140399;228901;160;461;87 
545006;9501;140400;228883;164;466;92 
544049;9501;140397;228898;165;455;101 
545987;9502;140400;229250;172;488;96 
546007;9503;140400;228914;190;533;92 
544258;9501;140398;228907;165;470;88 
546968;9504;140400;228885;172;491;87 
546417;9501;140398;228935;168;458;99 
545590;9503;140399;228939;185;500;102 
544331;9501;140398;228946;154;451;93 
547124;9504;140399;228944;192;536;86 
542420;9501;140399;228899;165;468;92 
551056;9502;140399;228875;180;501;126 
541451;9501;140398;228920;165;451;92 
541394;9501;140398;228923;166;450;89 
544827;9501;140400;228897;162;461;82 
542408;9501;140400;228932;155;450;83 
548040;9501;140399;228877;164;444;97 
545369;9501;140400;228961;176;482;91 
545059;9501;140398;228925;163;441;84 
542925;9501;140400;228935;156;449;92 
541906;9503;140400;228961;164;450;88 
542896;9501;140397;228928;170;456;84 
543247;9503;140399;228818;173;472;96 
541695;9501;140400;228851;170;479;91 
544671;9503;140399;228919;170;472;102 
543574;9501;140400;228913;165;474;85 
543640;9504;140397;229016;221;576;97 
543412;9501;140398;228930;172;462;83 
555006;9502;140400;228885;170;479;122 
541740;9501;140399;229005;168;455;90 
543255;9501;140399;228897;164;470;93 
541500;9502;140397;228876;175;492;85 
543294;9501;140400;228963;159;426;102 
548741;9501;140398;228869;166;465;94 
545607;9501;140400;228930;158;452;85 
542543;9501;140398;228940;165;472;87 
541334;9501;140398;228880;164;470;89 
541313;9502;140400;228934;162;470;77 
548076;9501;140398;228901;170;474;93 
544319;9501;140399;228852;175;481;98 
541851;9501;140399;228901;172;482;93 
543208;9501;140399;228956;171;461;87 
545321;9501;140400;228906;165;443;80 
546243;9502;140399;228891;166;472;96 
542153;9501;140400;228867;166;461;88 
558989;9502;140401;228980;157;457;123 
542677;9503;140398;228903;174;496;93 
541596;9501;140399;228850;156;433;88 
543024;9503;140397;228926;166;483;83 
543687;9501;140400;228888;161;444;86 
569570;9501;140399;228803;159;429;120 
541187;9501;140400;228932;160;436;88 
540726;9501;140398;228967;166;454;82 
542965;9501;140398;228875;169;451;89 
543724;9501;140401;228909;189;518;101 
544709;9501;140399;228875;161;445;91 
542892;9501;140400;228864;162;432;99 
541766;9502;140398;228914;162;468;91 
545083;9501;140399;228897;163;441;92 
545487;9501;140400;228903;171;481;94 
545683;9501;140401;228941;163;466;99 
546281;9501;140397;228937;169;452;89 
543479;9501;140400;228899;165;465;100 
547585;9502;140397;228889;169;490;96 
541989;9501;140400;228899;156;450;78 
546369;9501;140398;228833;170;475;79 
547997;9501;140399;228919;157;459;98 
563174;9501;140398;228889;171;455;140 
543176;9501;140398;228952;157;426;84 
544364;9503;140401;228908;175;480;91 
542298;9501;140400;228990;164;474;92 
553337;9501;140398;228846;170;473;103 
541739;9501;140399;228922;175;487;86 
541430;9501;140399;228852;157;456;89 
543788;9501;140399;228841;151;420;85 
545522;9501;140400;228883;163;469;87 
552202;9501;140399;228926;168;451;101 
541126;9501;140398;228837;168;476;80 
543547;9501;140400;228941;172;489;84 
542350;9502;140400;228981;163;447;100 
545579;9502;140399;228880;175;498;96 
543627;9501;140400;228864;160;462;89 
541630;9501;140398;228890;165;464;88 
544278;9501;140398;228848;161;452;85 
542230;9501;140399;228910;181;508;99 
542297;9501;140398;228880;155;420;87 
543884;9503;140400;228947;176;476;99 
542014;9501;140398;228888;153;422;85 
554307;9501;140400;228930;162;462;111 
541257;9501;140400;228910;158;461;78 
544290;9501;140400;228832;167;473;88 
542892;9503;140399;228902;166;478;84 
545877;9501;140400;228937;150;439;87 
550068;9501;140399;228955;152;444;94 
543745;9501;140399;228840;160;466;89 
542129;9501;140399;228834;160;460;76 
546135;9501;140400;228947;161;457;92 
544876;9501;140399;228879;170;482;85 
543858;9501;140399;228982;165;469;89 
547581;9501;140398;228957;173;487;99 
541695;9501;140400;228946;165;476;86 
544222;9501;140399;228879;162;464;97 
546229;9503;140400;228890;174;497;126 
546139;9501;140400;228976;163;446;95 
542858;9504;140398;228864;212;578;101 
546187;9503;140400;228955;162;470;85 
542447;9501;140399;228864;164;472;92 
543333;9503;140399;228948;172;476;96 
544022;9501;140398;228917;157;455;85 
547075;9503;140399;228934;180;492;95 
544186;9501;140399;228924;160;453;81 
541878;9501;140398;228935;157;437;88 
544232;9501;140400;228906;166;473;86 
555582;9501;140399;228883;164;449;103 
541956;9501;140397;228941;175;496;91 
542703;9503;140400;228985;168;492;89 
541841;9501;140398;228932;167;451;88 
546726;9503;140399;228934;174;474;92 
553327;9501;140400;228931;160;432;96 
542503;9504;140400;228873;181;510;95 
541743;9501;140400;228917;154;449;85 
549922;9501;140399;228902;164;462;101 
543791;9503;140398;229017;164;457;83 
541837;9501;140399;228892;154;422;88 
544978;9503;140399;228929;166;460;91 
546195;9501;140400;228927;164;473;97 
550032;9501;140399;228889;155;428;99 
545953;9503;140400;228918;168;488;96 
547078;9501;140397;228970;167;452;88 
542540;9502;140399;228873;165;464;89 
542984;9504;140399;228873;164;475;86 
545882;9501;140400;228918;175;474;89 
543706;9503;140399;229028;176;501;95 
542051;9501;140399;228928;173;486;85 
548051;9503;140397;228882;185;500;87 
542603;9501;140397;228880;163;463;83 
543224;9504;140399;228988;195;525;86 
542570;9501;140400;228929;163;464;94 
561798;9504;140401;228940;207;562;129 
541519;9501;140399;228859;154;445;87 
541918;9501;140401;228994;161;462;83 
542167;9501;140400;228989;176;492;82 
541570;9501;140398;228930;169;478;90 
548109;9501;140398;228862;157;443;97 
545390;9502;140399;228928;169;483;85 
544847;9501;140399;228955;162;464;83 
542867;9501;140400;228900;165;451;90 
543910;9502;140401;228921;160;466;96 
543070;9502;140398;228936;179;501;101 
542583;9501;140397;228842;159;437;88 
541720;9501;140399;228932;168;474;95 
542632;9501;140400;228914;158;457;88 
541491;9501;140400;228975;163;463;84 
544738;9501;140400;228881;159;455;94 
543514;9503;140398;228963;171;488;94 
551502;9501;140400;228998;156;453;112 
541987;9501;140400;228887;162;463;85 
544262;9504;140400;228951;176;510;90 
543345;9501;140398;228900;152;448;89 
542227;9501;140399;228905;166;472;88 
567562;9504;140399;228971;182;513;132 
544943;9503;140399;228882;192;539;92 
542500;9501;140399;228904;164;471;89 
542656;9503;140400;229040;163;477;87 
551235;9502;140398;228922;189;507;95 
541606;9501;140400;228894;154;450;90 
549124;9504;140399;228972;215;562;107 
542130;9501;140399;228890;155;452;97 
541510;9504;140397;229004;205;556;94 
545732;9501;140398;228839;161;466;105 
541929;9501;140398;228918;168;454;93 
543114;9501;140398;228871;174;491;96 
546430;9501;140398;228954;175;500;96 
542198;9501;140400;229006;168;475;82 
541702;9501;140398;228940;160;460;81 
549537;9501;140399;228975;177;497;93 
544331;9501;140400;228928;172;458;101 
547519;9501;140399;228921;154;426;95 
543340;9503;140399;228952;178;503;88 
543103;9501;140399;228892;163;465;96 
545259;9503;140398;228852;170;493;84 
553506;9501;140398;228889;163;457;107 
544895;9501;140399;228930;155;425;89 
545308;9504;140398;228990;202;552;97 
544705;9501;140399;228956;159;437;95 
549910;9504;140399;228908;208;573;98 
551800;9501;140399;228886;166;473;93 
544150;9501;140399;228859;169;477;82 
543764;9501;140398;228881;171;477;79 
541845;9501;140399;228963;158;431;79 
544255;9501;140398;228863;155;450;81 
542538;9501;140398;228973;164;467;90 
544504;9501;140398;228953;159;458;94 
546344;9501;140399;228874;161;455;100 
545621;9501;140398;228929;161;457;99 
541451;9502;140398;228882;171;477;78 
542820;9501;140400;228895;166;473;86 
542550;9502;140401;228931;168;486;93 
560558;9501;140400;228934;163;463;105 
543190;9501;140399;228890;170;463;99 
546970;9504;140399;228956;220;589;102 
544279;9501;140397;228900;158;451;96 
546071;9504;140399;228911;193;543;103 
551619;9501;140399;228957;162;459;97 
544367;9503;140401;228906;183;520;94 
545466;9501;140398;228849;169;481;88 
542584;9503;140397;228921;170;488;94 
542027;9501;140399;228948;170;449;84 
543539;9501;140399;228881;168;474;86 
542820;9502;140400;229030;154;433;95 
541498;9501;140399;228896;156;431;94 
542677;9502;140398;228900;169;484;91 
544816;9501;140398;228888;170;487;83 
543692;9502;140400;228896;199;536;96 
544729;9501;140399;228954;167;454;98 
550916;9501;140399;228906;155;426;109 
544297;9501;140398;228864;164;469;82 
543508;9503;140400;229089;180;510;101 
543456;9501;140398;228876;161;470;92 
544316;9501;140398;228885;161;451;99 
560785;9502;140400;228984;160;469;123 
543810;9503;140401;228893;162;468;89 
543178;9501;140399;228903;166;447;88 
542652;9502;140397;228955;173;498;87 
550147;9501;140399;228906;166;447;97 
543590;9501;140399;228881;170;474;92 
541750;9501;140397;228931;168;454;90 
545822;9501;140400;228930;154;448;91 
542966;9503;140399;228932;186;521;81 
542620;9501;140399;228885;159;458;90 
543927;9501;140399;228955;157;460;92 
545813;9501;140397;228872;156;435;91 
546526;9501;140400;228941;163;470;99 
543894;9501;140399;228860;163;441;83 
544867;9502;140399;228971;191;514;110 
544809;9501;140399;228947;165;469;89 
547246;9501;140399;229122;161;449;94 
566354;9502;140400;228953;163;446;139 
543843;9503;140399;228875;174;484;94 
544723;9501;140399;228887;163;440;97 
542952;9502;140400;228940;160;462;91 
550563;9501;140401;228920;167;471;105 
542364;9501;140400;228943;176;494;89 
542754;9501;140400;229003;156;424;87 
544922;9501;140399;228922;165;471;94 
541675;9501;140399;228954;152;421;80 
550215;9501;140398;228904;162;458;97 
544005;9501;140399;228927;164;440;87 
543007;9503;140400;228836;177;506;99 
545130;9501;140400;228852;166;471;88 
541607;9501;140398;228960;160;442;85 
543597;9503;140401;228939;182;517;100 
542888;9501;140400;228913;163;451;96 
543182;9502;140400;228937;178;495;102 
556062;9501;140399;228879;165;471;123 
545462;9503;140399;228897;178;509;98 
542243;9501;140399;228930;152;423;89 
545104;9503;140399;228959;197;542;96 
550563;9501;140400;228939;163;465;104 
542860;9501;140398;228982;159;439;98 
541322;9501;140400;228899;170;486;88 
542985;9501;140398;228913;170;472;94 
545666;9502;140398;228930;175;500;85 
555703;9502;140400;228870;175;498;99 
544727;9501;140400;228968;160;437;80 
543425;9503;140399;228998;184;495;93 
544335;9501;140400;228944;156;451;93 
545201;9501;140400;228853;157;454;85 
544028;9504;140400;229012;231;591;104 
544208;9501;140400;228927;162;440;88 
547609;9503;140401;228963;174;486;102 
542262;9501;140400;228909;158;460;82 
560299;9501;140400;228899;158;456;135 
542805;9501;140398;228896;172;485;92 
542081;9503;140399;228920;176;506;86 
544966;9501;140399;228892;158;455;94 
546919;9501;140399;228898;162;444;101 
543840;9501;140399;228953;167;449;85 
541197;9501;140399;228904;158;457;88 
543187;9502;140398;228898;170;489;87 
542662;9501;140398;228890;175;499;91 
548392;9502;140399;228927;192;511;97 
545317;9501;140399;228872;169;461;102 
542669;9501;140400;228902;166;476;103 
547704;9502;140400;228923;168;482;104 
543346;9503;140399;228844;182;505;93 
543645;9501;140399;228916;163;459;96 
547457;9504;140397;228898;172;482;98 
545372;9501;140399;228948;163;443;96 
553027;9501;140399;228930;168;476;123 
546316;9501;140399;228886;161;457;91 
544103;9503;140400;228930;181;516;87 
553682;9501;140399;228891;175;463;90 
547603;9501;140399;228956;159;437;113 
542104;9502;140399;228946;175;494;92 
543510;9501;140399;228933;156;444;91 
545747;9503;140397;228968;168;468;91 
545409;9501;140398;228914;155;454;80 
551193;9504;140402;229072;209;577;99 
543126;9501;140399;228900;155;423;88 
545355;9501;140399;228893;161;444;96 
542814;9501;140400;228949;161;462;94 
545899;9502;140400;228917;171;477;105 
545848;9501;140400;228960;151;434;88 
551269;9501;140399;228888;167;448;94 
546524;9501;140400;228879;160;465;106 
547769;9503;140401;228844;180;509;134 
542501;9501;140399;228949;162;441;86 
545187;9504;140400;228995;185;508;92 
557483;9501;140401;228951;158;468;100 
541902;9501;140399;228987;156;432;93 
542531;9501;140399;228924;156;451;83 
541607;9501;140399;228935;160;441;88 
544582;9501;140399;228866;159;459;82 
558270;9503;140398;228939;168;466;96 
545179;9501;140398;228855;154;443;86 
542254;9501;140401;228977;159;460;90 
543715;9501;140399;228850;174;490;86 
546256;9501;140398;228932;166;453;86 
548078;9502;140398;228887;165;463;99 
544978;9501;140398;228877;164;445;87 
544276;9501;140399;228859;172;484;95 
543514;9501;140399;228907;170;461;96 
541763;9501;140401;228850;164;473;87 
542259;9501;140398;228920;161;437;95 
543140;9501;140400;228832;176;491;101 
545268;9502;140400;228884;174;496;94 
544769;9501;140398;228890;175;470;87 
543415;9502;140399;228912;172;490;90 
543878;9501;140400;228911;156;435;95 
560513;9504;140400;229047;223;591;150 
543431;9502;140397;228916;175;493;101 
541277;9501;140397;228990;162;460;88 
542402;9503;140399;228897;187;518;86 
549702;9504;140400;228937;191;525;113 
541961;9501;140399;228891;153;427;92 
548531;9504;140401;228998;221;583;121 
541849;9501;140398;228994;180;479;87 
543145;9501;140399;228849;161;461;92 
552206;9501;140399;228978;155;425;93 
544777;9504;140401;228961;240;625;117 
543662;9501;140399;228837;162;467;89 
543359;9501;140398;228928;168;451;104 
541966;9501;140400;228947;187;503;92 
542662;9501;140400;228847;159;456;91 
543358;9501;140399;228892;172;472;89 
545488;9503;140399;228855;184;525;95 
544371;9501;140400;228867;154;448;99 
541746;9501;140401;228929;164;453;87 
544775;9502;140400;228979;170;490;84 
542272;9501;140399;228916;157;449;87 
542075;9501;140398;228895;161;457;79 
545629;9502;140400;228914;170;477;92 
543827;9501;140399;228888;160;471;94 
542336;9502;140399;228867;174;491;94 
541705;9501;140397;228821;148;411;92 
543043;9501;140398;228950;156;456;94 
544196;9501;140400;228945;156;450;88 
542732;9501;140400;229036;167;476;91 
549080;9503;140398;228969;175;497;101 
541320;9501;140399;228893;156;433;85 
541951;9501;140399;229073;160;434;94 
543260;9501;140399;228934;168;481;89 
547236;9504;140398;228916;192;529;105 
543531;9501;140399;228934;170;461;90 
561536;9502;140400;228940;170;487;100 
541435;9503;140398;228883;182;519;86 
546060;9503;140399;228974;168;473;74 
543661;9501;140399;228890;161;435;91 
544457;9503;140400;228906;188;521;82 
544541;9501;140400;228901;159;460;86 
543776;9504;140399;228922;193;519;105 
545201;9503;140399;228981;216;572;91 
547214;9501;140400;228908;182;504;92 
544177;9504;140402;228981;190;523;99 
553218;9501;140399;228947;164;469;97 
544641;9501;140399;229040;167;450;93 
545042;9503;140400;228878;180;515;92 
543598;9503;140402;228916;179;515;87 
545109;9502;140399;228896;160;432;97 
545433;9501;140400;228865;160;447;90 
543132;9502;140397;228891;188;513;96 
542080;9501;140399;228893;167;454;89 
546019;9501;140400;228916;158;455;95 
543629;9501;140400;228957;158;450;103 
545085;9503;140400;228971;169;467;87 
542655;9504;140401;228953;230;616;115 
545194;9501;140398;228887;161;459;92 
542098;9502;140399;228954;190;500;84 
541630;9501;140401;228918;151;441;95 
546022;9502;140401;228954;165;467;96 
545979;9501;140400;228964;166;468;88 
546270;9503;140400;228925;172;497;95 
544753;9501;140400;228926;161;458;84 
542639;9501;140398;228910;161;462;96 
562825;9501;140399;228964;153;426;129 
542536;9501;140400;228947;182;506;97 
550541;9503;140400;228883;197;548;139 
544852;9501;140399;228954;163;470;93 
543808;9501;140401;228929;155;423;91 
546192;9503;140399;228892;172;487;81 
546054;9501;140399;228907;169;473;91 
544275;9502;140399;228975;162;459;90 
544411;9501;140401;228965;165;465;99 
545952;9503;140400;228939;212;575;123 
542688;9501;140398;228867;157;449;91 
547842;9504;140401;228987;187;518;101 
554127;9501;140399;228922;160;437;100 
544138;9501;140397;228844;155;450;82 
541484;9503;140401;228980;184;503;94 
542254;9501;140399;228930;162;469;87 
544474;9504;140399;228981;209;579;94 
550595;9501;140399;228859;159;437;95 
545751;9503;140399;228967;177;506;97 
549005;9501;140400;228904;165;472;97 
547789;9503;140401;228959;180;512;87 
543820;9503;140399;228947;171;482;88 
544504;9501;140400;228906;162;465;89 
543248;9503;140399;228940;172;493;97 
542667;9501;140400;228909;151;445;102 
558066;9503;140399;228937;174;477;122 
544707;9501;140398;228913;157;443;89 
544969;9501;140399;228985;161;440;87 
542227;9501;140400;228838;166;473;95 
560385;9501;140399;228833;165;469;118 
545300;9501;140398;228904;162;465;93 
545061;9501;140400;228883;161;463;92 
543639;9503;140400;228921;172;486;83 
543825;9501;140399;228903;168;467;86 
550986;9501;140399;228877;175;488;95 
545012;9501;140399;229072;161;434;95 
546229;9503;140400;228902;178;512;90 
546212;9501;140398;228923;166;471;93 
542521;9501;140398;228987;159;459;91 
544028;9503;140400;228949;193;539;91 
546473;9501;140400;228922;161;463;85 
544182;9504;140401;228956;191;510;99 
563918;9501;140398;228912;171;480;138 
542364;9501;140398;228907;176;467;89 
542133;9501;140399;228908;170;486;92 
543774;9504;140400;228980;221;584;105 
549886;9503;140401;228880;193;543;107 
544837;9501;140400;228990;178;492;78 
542163;9501;140400;228945;159;464;80 
546989;9504;140400;229009;180;487;97 
541849;9501;140399;229143;169;455;80 
542320;9501;140399;228902;158;439;101 
542497;9501;140398;228889;177;495;91 
541966;9501;140401;228919;179;503;85 
543184;9501;140399;228950;161;462;97 
547006;9502;140400;228871;181;504;93 
550428;9501;140400;228910;162;462;123 
544245;9501;140400;229026;161;430;95 
541663;9503;140399;228959;179;497;84 
543982;9501;140399;228830;167;478;97 
543022;9501;140398;228857;165;478;86 
558670;9502;140400;228760;167;475;152 
543428;9501;140400;228944;166;469;88 
544027;9501;140399;228884;166;474;81 
545050;9502;140400;228941;164;467;98 
543793;9503;140399;228896;181;507;98 
545227;9501;140398;228896;161;464;95 
543258;9503;140398;228945;176;516;97 
541183;9501;140399;228944;160;438;81 
542121;9503;140397;228907;176;492;89 
544032;9501;140400;228896;154;427;96 
546124;9502;140400;228989;167;458;96 
542822;9501;140397;228903;163;440;95 
545044;9502;140400;228957;170;468;93 
543612;9502;140398;228975;198;527;97 
542332;9501;140399;228896;158;453;78 
546781;9504;140400;228926;200;554;94 
543298;9501;140400;228891;153;421;100 
556564;9504;140399;229008;192;534;121 
545137;9501;140400;228959;163;458;90 
546277;9501;140401;228964;152;443;92 
545835;9501;140399;228802;163;467;99 
553880;9504;140399;229042;181;487;101 
542214;9501;140399;228921;167;471;94 
542736;9501;140398;228890;168;481;92 
541678;9501;140400;228874;164;466;90 
543434;9501;140400;228937;176;492;90 
552807;9501;140399;228956;175;463;98 
548731;9503;140400;228870;181;513;92 
542958;9501;140399;228933;176;494;89 
542801;9501;140400;228940;159;460;89 
542490;9502;140399;228916;196;515;95 
543247;9501;140400;228871;168;479;93 
545247;9503;140399;229043;202;553;105 
542319;9501;140398;228896;159;452;88 
566461;9503;140400;228963;205;564;138 
544109;9501;140397;228933;154;437;87 
542638;9501;140399;228952;179;480;94 
545534;9501;140401;229015;164;457;85 
554183;9501;140400;228993;160;440;105 
544050;9501;140400;228897;158;457;91 
542859;9503;140400;228930;166;480;95 
542958;9501;140400;228892;161;464;97 
543935;9501;140399;228907;160;455;88 
546293;9501;140399;228929;160;457;103 
541935;9502;140399;228907;174;493;93 
545892;9501;140400;228938;159;459;90 
543434;9501;140399;228860;170;482;97 
544792;9503;140400;228945;174;495;98 
542237;9501;140399;228910;162;441;92 
572460;9503;140400;228887;169;485;174 
541529;9501;140398;228871;160;435;86 
544363;9503;140399;228957;173;474;84 
542892;9501;140400;228877;170;481;91 
546716;9501;140400;228938;174;480;102 
545013;9501;140399;228923;160;460;87 
544684;9501;140398;228914;155;426;87 
545435;9501;140398;228947;163;467;96 
542220;9501;140401;228960;162;440;89 
552522;9501;140400;228928;155;449;101 
543163;9503;140398;229001;161;453;77 
545885;9501;140399;228840;165;467;83 
541933;9503;140397;228946;166;458;92 
543604;9503;140397;228992;212;552;97 
545241;9501;140399;229030;163;448;89 
545259;9504;140399;228993;217;563;97 
541933;9501;140400;228960;165;480;91 
548163;9503;140399;228955;190;504;93 
544085;9501;140398;228907;157;446;90 
543844;9501;140400;228878;162;461;89 
546397;9501;140400;228907;167;462;95 
553544;9503;140402;228877;178;507;108 
542135;9501;140398;228939;159;455;85 
545049;9501;140399;228939;159;458;86 
544622;9501;140400;228962;167;473;81 
542818;9501;140398;228958;159;454;84 
546032;9501;140400;228859;159;457;93 
543892;9501;140400;228859;164;467;83 
545826;9501;140399;228908;161;465;97 
543683;9503;140399;228960;177;514;94 
545956;9501;140400;228897;155;445;99 
544223;9501;140399;228912;169;456;87 
544379;9504;140400;228980;186;524;99 
543062;9501;140398;228890;162;447;86 
