CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
540803;208;4;1;0;320;0 
541084;180;4;2;0;325;0 
542085;128;4;0;0;309;0 
541989;92;4;2;0;323;0 
540992;136;4;2;0;341;0 
541138;204;4;0;0;300;0 
541699;68;4;0;0;283;0 
540615;120;4;4;0;345;0 
551785;396;4;1;0;322;0 
541446;92;4;2;0;301;0 
543256;160;4;2;0;329;0 
542122;144;4;0;0;309;0 
543725;112;4;0;0;314;0 
545991;180;4;1;0;325;0 
542298;104;4;0;0;307;0 
542468;136;4;0;0;319;0 
543843;104;4;0;0;286;0 
542160;100;4;1;0;324;0 
541954;72;4;0;0;297;0 
542862;108;4;1;0;325;0 
545161;80;4;0;0;295;0 
544278;120;4;0;0;323;0 
544047;276;4;1;0;321;0 
546699;108;4;0;0;265;0 
543235;120;4;1;0;328;0 
544545;80;4;0;0;269;0 
543691;124;4;1;0;326;0 
541927;100;4;0;0;297;0 
545428;180;4;1;0;320;0 
542498;108;4;0;0;301;0 
556654;488;4;0;0;307;0 
543719;112;4;3;0;367;0 
545403;92;4;0;0;319;0 
548041;148;4;3;0;337;0 
546693;192;4;0;0;322;0 
544087;84;4;3;0;336;0 
559705;308;4;1;0;282;0 
547971;112;4;2;0;324;0 
542671;96;4;0;0;291;0 
545229;104;4;1;0;319;0 
548783;340;4;0;0;294;0 
541522;60;4;0;0;306;0 
542000;96;4;0;0;303;0 
544731;152;4;0;0;277;0 
545603;100;4;0;0;301;0 
542928;144;4;0;0;283;0 
550080;48;4;0;0;280;0 
545726;132;4;1;0;328;0 
544431;136;4;0;0;301;0 
541712;88;4;1;0;314;0 
545743;88;4;2;0;331;0 
547536;164;4;0;0;286;0 
542253;116;4;0;0;324;0 
542768;88;4;0;0;312;0 
542039;72;4;0;0;315;0 
545479;96;4;0;0;283;0 
546181;140;4;1;0;320;0 
542347;104;4;0;0;291;0 
544817;124;4;2;0;307;0 
553692;496;4;0;0;288;0 
543217;96;4;0;0;305;0 
542263;104;4;2;0;302;0 
542189;108;4;0;0;313;0 
544533;164;4;2;0;335;0 
542576;120;4;0;0;300;0 
544928;340;4;0;0;303;0 
545663;112;4;0;0;312;0 
546143;164;4;3;0;373;0 
544170;140;4;0;0;310;0 
545709;132;4;0;0;287;0 
546954;100;4;1;0;285;0 
541040;88;4;0;0;306;0 
542911;88;4;2;0;325;0 
545838;72;4;0;0;316;0 
542825;120;4;2;0;286;0 
540894;64;4;0;0;294;0 
544624;164;4;2;0;328;0 
543625;228;4;0;0;303;0 
549214;144;4;2;0;328;0 
544302;116;4;0;0;273;0 
543516;60;4;0;0;285;0 
545870;172;4;0;0;289;0 
544531;104;4;0;0;283;0 
545637;96;4;1;0;306;0 
562794;241;4;0;0;300;0 
545565;132;4;0;0;286;0 
545194;128;4;0;0;322;0 
541882;72;4;0;0;308;0 
546753;452;4;0;0;279;0 
545242;96;4;2;0;296;0 
545109;92;4;0;0;307;0 
545426;92;4;0;0;325;0 
544508;92;4;0;0;297;0 
543919;160;4;0;0;311;0 
551629;60;4;0;0;289;0 
544575;144;4;2;0;313;0 
544962;80;4;0;0;311;0 
542267;76;4;2;0;325;0 
542088;100;4;1;0;293;0 
548386;280;4;0;0;328;0 
548211;104;4;1;0;316;0 
