CYCLES;0xC2;0xC3;0xC4;0xC5;0xC6;0xC7
545136;119;2311;1;4191;0;198 
544463;120;2413;1;4072;0;545 
545524;129;2269;1;3894;0;257 
542799;124;2788;1;4749;0;509 
545330;121;3692;1;6605;0;808 
541558;115;2454;1;3933;0;332 
542373;118;2838;1;4137;0;374 
542404;120;2625;1;5021;0;137 
542566;119;2736;1;4255;0;266 
556928;115;3311;1;4988;0;1942 
545070;120;2841;1;4860;0;524 
542191;120;2746;1;4626;0;286 
542270;123;1706;1;4253;0;125 
547599;119;6255;1;8141;0;3915 
545500;120;2648;1;4903;0;405 
544578;111;2437;1;4358;0;259 
542531;116;2693;1;4228;0;409 
542776;114;2729;1;4795;0;378 
543872;119;2929;1;4106;0;310 
564359;116;7721;1;12433;0;5679 
543187;119;2466;1;4653;0;148 
544161;112;3007;1;5258;0;446 
546058;117;2743;1;4990;0;472 
541176;123;2195;1;3682;0;102 
545360;113;2804;1;7939;0;233 
542467;113;2941;1;5058;0;479 
541674;115;2507;1;4490;0;305 
546750;122;3584;1;8265;0;15 
543547;116;2716;1;4526;0;230 
541479;118;2416;1;4179;0;168 
540799;118;1817;1;3546;0;150 
542547;120;2976;1;4393;0;327 
547463;124;6077;1;8159;0;1239 
544687;116;3483;1;5261;0;133 
545599;141;2454;1;7161;0;462 
541603;120;2567;1;4219;0;82 
546577;135;3043;1;5552;0;98 
543107;115;3339;1;4414;0;754 
546747;121;2724;1;4846;0;564 
542574;118;2801;1;4814;0;302 
544669;117;2574;1;4448;0;352 
546233;118;2861;1;7889;0;374 
546260;120;1989;1;7865;0;480 
546216;115;5908;1;7896;0;570 
543341;123;2732;1;4537;0;572 
545469;121;2577;1;4835;0;273 
543504;113;2861;1;4943;0;390 
543112;116;2454;1;4270;0;284 
544221;123;2474;1;4546;0;170 
542036;118;2801;1;4540;0;470 
553423;118;7314;1;10706;0;3275 
544395;115;1963;1;3802;0;174 
548644;122;2668;1;4687;0;201 
544564;114;2350;1;4123;0;225 
545424;121;3635;1;5447;0;765 
543212;118;2869;1;4653;0;381 
541901;124;2091;1;3616;0;159 
540931;119;2704;1;4205;0;469 
541258;125;2482;1;4131;0;301 
542497;124;2872;1;4671;0;341 
549600;113;4096;1;7228;0;1788 
544855;118;2469;1;4422;0;44 
543232;122;3017;1;5116;0;442 
546065;120;6167;1;7606;0;735 
543818;123;3361;1;5402;0;757 
543918;126;2916;1;4906;0;631 
542140;120;2531;1;3925;0;395 
543879;122;2501;1;4231;0;351 
543511;119;2957;1;4569;0;570 
542347;121;1741;1;4209;0;22 
550091;139;3706;1;6062;0;1484 
541207;115;2309;1;3837;0;155 
544000;119;1633;1;4599;0;99 
541963;122;2762;1;4576;0;112 
543550;113;3012;1;4751;0;494 
543221;116;2830;1;5106;0;255 
543394;119;2930;1;4216;0;479 
546065;120;5919;1;7500;0;579 
543800;116;2491;1;4829;0;281 
545117;118;5561;1;7391;0;140 
555520;121;3457;1;6860;0;1705 
542523;122;2361;1;3763;0;43 
542535;120;3027;1;4697;0;452 
542160;128;2481;1;4670;0;118 
541749;115;2384;1;3793;0;359 
543572;122;3329;1;5446;0;945 
546472;116;2682;1;4683;0;326 
543647;111;2977;1;4406;0;622 
544701;122;2737;1;4533;0;461 
545011;118;2800;1;4886;0;466 
551335;118;4926;1;6284;0;2846 
542017;115;2811;1;4318;0;292 
541090;116;2085;1;3604;0;154 
541947;114;3015;1;5177;0;513 
543311;120;2797;1;5045;0;596 
542924;123;2966;1;5421;0;128 
542345;115;2389;1;4087;0;637 
542563;117;2868;1;4328;0;216 
544301;123;2727;1;5069;0;591 
543028;115;2053;1;5046;0;287 
553801;124;11000;1;11620;0;8870 
541708;120;2344;1;3739;0;110 
541990;120;2446;1;4135;0;125 
543021;116;2253;1;5139;0;926 
547829;114;4545;1;7728;0;2286 
544483;116;3370;1;6229;0;784 
546812;123;3298;1;4998;0;639 
545426;115;3168;1;4522;0;927 
545161;115;2876;1;4488;0;268 
544637;115;2653;1;3754;0;141 
549972;119;6096;1;8526;0;243 
540965;116;2202;1;3651;0;99 
542344;124;2640;1;5161;0;94 
545593;118;2684;1;4792;0;696 
541004;117;2105;1;4147;0;38 
544767;114;2967;1;6082;0;623 
549341;123;4333;1;8608;0;2562 
545073;118;2591;1;7775;0;171 
541108;112;2685;1;4551;0;285 
544539;118;2069;1;3764;0;92 
551338;123;8011;1;9633;0;5908 
547488;113;2421;1;4062;0;372 
542845;115;2962;1;4137;0;28 
542391;118;2327;1;4360;0;554 
542139;119;2879;1;4906;0;294 
543775;113;2856;1;4625;0;257 
546025;119;2800;1;4880;0;449 
544099;113;2540;1;4196;0;236 
543271;112;2262;1;3815;0;1 
544349;110;2657;1;4209;0;242 
551735;113;8515;1;8306;0;7876 
542107;121;2467;1;4401;0;294 
541531;119;2449;1;4188;0;251 
541290;109;1898;1;4095;0;269 
545980;115;2546;1;4656;0;301 
548760;120;2247;2;8440;0;520 
541228;131;2385;1;4551;0;180 
541883;112;2404;1;3884;0;443 
542131;115;2807;1;4851;0;494 
546047;116;3051;1;8023;0;236 
553465;113;7576;1;10258;0;6142 
541341;117;2413;1;4188;0;221 
542999;118;1735;1;3550;0;58 
545000;118;2671;1;5061;0;472 
544064;110;2631;1;5013;0;234 
542701;122;2835;1;4271;0;150 
545329;116;3022;1;5060;0;299 
545403;120;5507;1;7501;0;143 
546031;121;2910;1;4870;0;486 
543044;118;2947;1;5331;0;583 
557865;117;7444;1;9365;0;2636 
544664;125;2635;1;4163;0;341 
542896;118;2523;1;4643;0;469 
541469;112;2675;1;4478;0;248 
554707;123;10827;1;12351;0;9236 
542063;123;2470;1;4153;0;275 
543419;116;2044;1;4674;0;510 
543530;130;2720;1;4874;0;192 
546391;118;3848;1;9562;0;752 
546092;113;3161;1;4863;0;405 
543994;123;3168;1;5048;0;633 
545047;112;2873;1;4533;0;174 
542508;121;2764;1;4762;0;33 
543417;121;3280;1;5280;0;864 
549614;123;5234;1;7098;0;2250 
545478;117;4909;1;7493;0;315 
545020;114;2623;1;5555;0;450 
543336;111;3033;1;5350;0;212 
542076;117;2465;1;3934;0;330 
541966;120;2706;1;4557;0;292 
542788;123;3437;1;5070;0;188 
544457;117;2943;1;4510;0;921 
547369;122;5990;1;8059;0;588 
543578;116;2650;1;5107;0;546 
543365;117;3090;1;4312;0;491 
543795;123;2383;1;3881;0;95 
542631;122;3166;1;5389;0;697 
547716;116;3204;1;5508;0;642 
546196;121;2942;1;7987;0;304 
542744;108;3030;1;4806;0;356 
545104;119;5678;1;7965;0;342 
553356;122;3910;1;10040;0;139 
544248;117;2912;1;4375;0;201 
545436;116;2822;1;4590;0;220 
541072;122;2468;1;4251;0;494 
545025;130;2682;1;4321;0;319 
542671;118;2925;1;4815;0;442 
544639;115;5626;1;7109;0;248 
541995;117;2202;1;4501;0;249 
541633;114;2510;1;4015;0;429 
549398;120;3078;1;4502;0;657 
552300;115;4081;1;9290;0;1347 
546052;118;2727;1;4068;0;190 
543557;115;2951;1;5163;0;766 
544617;122;2635;1;7766;0;436 
545353;116;2447;1;4239;0;58 
542873;113;3012;1;4950;0;879 
543855;115;2915;1;5176;0;641 
542283;123;2674;1;4891;0;237 
546378;120;5550;1;8106;0;827 
544963;113;3248;1;8118;0;414 
551639;121;4015;1;5740;0;598 
543206;118;2501;1;4539;0;85 
545245;115;3141;1;5228;0;1044 
542176;121;2358;1;4295;0;362 
548031;112;2885;1;4348;0;298 
541576;116;2669;1;4346;0;82 
542988;111;2185;2;5297;0;420 
550275;120;3726;1;7137;0;1385 
