CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
542979;0;9025;4;4;559;0 
543003;0;9025;3;3;562;0 
543035;0;9025;3;3;570;0 
546318;0;9025;3;3;553;0 
544524;0;9025;3;3;551;0 
541958;0;9025;3;3;555;0 
544177;0;9025;3;3;563;0 
545499;0;9025;3;3;560;0 
541465;0;9025;3;3;555;0 
544604;0;9025;3;3;564;0 
542167;0;9025;3;3;554;0 
544008;0;9025;3;3;562;0 
542316;0;9025;3;3;556;0 
559066;0;9025;3;3;560;0 
541892;0;9025;3;3;550;0 
544415;0;9025;3;3;563;0 
545431;0;9025;3;3;560;0 
543532;0;9025;3;3;558;0 
544526;0;9025;3;3;560;0 
542138;0;9025;3;3;562;0 
552683;0;9025;3;3;559;0 
543925;0;9025;3;3;565;0 
544833;0;9025;3;3;559;0 
550292;0;9025;3;3;562;0 
542276;0;9025;3;3;560;0 
545929;0;9025;3;3;576;0 
542923;0;9025;3;3;560;0 
544648;0;9025;3;3;549;0 
544939;0;9025;3;3;559;0 
545441;0;9025;3;3;554;0 
550399;0;9025;3;3;553;0 
544023;0;9025;3;3;560;0 
545219;0;9025;3;3;558;0 
544255;0;9025;3;3;557;0 
543184;0;9025;3;3;554;0 
545047;0;9025;3;3;565;0 
544459;0;9025;3;3;556;0 
543182;0;9025;3;3;547;0 
541426;0;9025;3;3;559;0 
541948;0;9025;3;3;556;0 
554783;0;9025;3;3;554;0 
545558;0;9025;3;3;551;0 
543407;0;9025;3;3;558;0 
542056;0;9025;3;3;550;0 
555246;0;9025;3;3;560;0 
540536;0;9025;3;3;549;0 
544213;0;9025;3;3;554;0 
543553;0;9025;3;3;566;0 
542458;0;9025;3;3;557;0 
545924;0;9025;3;3;565;0 
542414;0;9025;3;3;564;0 
550639;0;9025;3;3;566;0 
541718;0;9025;3;3;558;0 
544780;0;9025;3;3;560;0 
546494;0;9025;3;3;552;0 
543915;0;9025;3;3;557;0 
546552;0;9025;3;3;564;0 
542380;0;9025;3;3;556;0 
545569;0;9025;3;3;552;0 
541547;0;9025;3;3;555;0 
542557;0;9025;3;3;562;0 
548650;0;9025;3;3;564;0 
542189;0;9025;3;3;552;0 
545048;0;9025;3;3;554;0 
542251;0;9025;3;3;559;0 
555244;0;9025;3;3;554;0 
542279;0;9025;3;3;551;0 
542887;0;9025;3;3;568;0 
542426;0;9025;3;3;553;0 
547087;0;9025;3;3;553;0 
542163;0;9025;3;3;563;0 
543030;0;9025;3;3;575;0 
544268;0;9025;3;3;566;0 
545684;0;9025;3;3;558;0 
544403;0;9025;3;3;558;0 
545454;0;9025;3;3;561;0 
546646;0;9025;3;3;557;0 
542704;0;9025;3;3;556;0 
545922;0;9025;3;3;570;0 
542645;0;9025;3;3;553;0 
544460;0;9025;3;3;555;0 
542858;0;9025;3;3;560;0 
542598;0;9025;3;3;561;0 
544622;0;9025;3;3;560;0 
545180;0;9025;3;3;557;0 
541976;0;9025;3;3;554;0 
545835;0;9025;3;3;562;0 
543560;0;9025;3;3;552;0 
541984;0;9025;3;3;564;0 
543187;0;9025;3;3;557;0 
546127;0;9025;3;3;560;0 
541862;0;9025;3;3;561;0 
544875;0;9025;3;3;562;0 
557919;0;9025;3;3;547;0 
543249;1;9025;3;3;558;0 
545357;0;9025;3;3;562;0 
545544;0;9025;3;3;559;0 
546568;0;9025;3;3;549;0 
542387;0;9025;3;3;558;0 
541456;0;9025;3;3;562;0 
542404;0;9025;3;3;561;0 
542085;0;9025;3;3;560;0 
544404;0;9025;3;3;565;0 
541847;0;9025;3;3;561;0 
546606;0;9025;3;3;561;0 
542229;0;9025;3;3;557;0 
545290;0;9025;3;3;557;0 
543566;0;9025;3;3;550;0 
545295;0;9025;3;3;555;0 
545562;0;9025;3;3;559;0 
544955;0;9025;3;3;560;0 
543683;0;9025;3;3;551;0 
542764;0;9025;3;3;557;0 
545247;0;9025;3;3;554;0 
551430;0;9025;3;3;559;0 
542004;1;9025;3;3;563;0 
543496;0;9025;3;3;565;0 
545871;0;9025;3;3;559;0 
555302;0;9025;3;3;559;0 
542672;0;9025;3;3;562;0 
541925;0;9025;3;3;555;0 
542432;0;9025;3;3;559;0 
546773;1;9025;3;3;557;0 
546671;0;9025;3;3;566;0 
543091;0;9025;3;3;557;0 
545679;0;9025;3;3;558;0 
542343;0;9025;3;3;554;0 
545244;0;9025;3;3;556;0 
542344;0;9025;3;3;563;0 
544386;0;9025;3;3;557;0 
542796;0;9025;3;3;556;0 
541249;0;9025;3;3;553;0 
542851;0;9025;3;3;564;0 
542761;0;9025;3;3;564;0 
546278;0;9025;3;3;555;0 
541701;0;9025;3;3;555;0 
543271;0;9025;3;3;560;0 
546443;0;9025;3;3;555;0 
542389;0;9025;3;3;563;0 
543023;0;9025;3;3;560;0 
541712;0;9025;3;3;554;0 
542066;0;9025;3;3;552;0 
546942;0;9025;3;3;561;0 
543321;0;9025;3;3;558;0 
541224;0;9025;3;3;559;0 
544433;0;9025;3;3;563;0 
565088;0;9025;3;3;552;0 
545567;1;9025;3;3;560;0 
544020;0;9025;3;3;564;0 
542895;0;9025;3;3;556;0 
557469;0;9025;3;3;556;0 
543893;0;9025;3;3;554;0 
544910;0;9025;3;3;555;0 
543622;0;9025;3;3;556;0 
543661;0;9025;3;3;555;0 
542334;0;9025;3;3;556;0 
541520;0;9025;3;3;562;0 
543516;0;9025;3;3;557;0 
540761;0;9025;3;3;559;0 
544228;0;9025;3;3;564;0 
544869;0;9025;3;3;563;0 
548955;0;9025;3;3;555;0 
543459;0;9025;3;3;555;0 
541998;0;9025;3;3;552;0 
543259;0;9025;3;3;552;0 
541782;0;9025;3;3;555;0 
542137;0;9025;3;3;565;0 
544586;0;9025;3;3;551;0 
566952;0;9025;3;3;548;0 
543157;0;9025;3;3;557;0 
545160;0;9025;3;3;562;0 
544665;0;9025;3;3;550;0 
543587;0;9025;3;3;560;0 
543440;0;9025;3;3;568;0 
541177;0;9025;3;3;555;0 
545252;0;9025;3;3;554;0 
541381;0;9025;3;3;555;0 
542968;0;9025;3;3;560;0 
543444;0;9025;3;3;558;0 
541499;1;9025;3;3;561;0 
541947;0;9025;3;3;564;0 
544878;0;9025;3;3;554;0 
543035;0;9025;3;3;555;0 
545227;0;9025;3;3;550;0 
544485;0;9025;3;3;561;0 
543025;0;9025;3;3;549;0 
542332;0;9025;3;3;550;0 
542078;0;9025;3;3;552;0 
544342;0;9025;3;3;555;0 
558454;0;9025;3;3;574;0 
542240;0;9025;3;3;557;0 
543343;0;9025;3;3;554;0 
542082;0;9025;3;3;558;0 
547284;0;9025;3;3;563;0 
544235;0;9025;3;3;548;0 
542195;0;9025;3;3;562;0 
544604;0;9025;3;3;556;0 
546381;0;9025;3;3;563;0 
548204;0;9025;3;3;558;0 
543737;0;9025;3;3;563;0 
563975;0;9025;4;4;570;0 
544288;0;9025;3;3;561;0 
544811;0;9025;3;3;557;0 
544644;0;9025;3;3;555;0 
541522;0;9025;3;3;560;0 
546569;0;9025;3;3;554;0 
542273;0;9025;3;3;560;0 
542032;0;9025;3;3;565;0 
543610;0;9025;3;3;561;0 
544321;0;9025;3;3;554;0 
545320;0;9025;3;3;552;0 
541122;0;9025;3;3;557;0 
544419;0;9025;3;3;552;0 
542783;0;9025;3;3;557;0 
552458;0;9025;3;3;558;0 
543468;0;9025;3;3;563;0 
545934;0;9026;3;3;566;0 
543099;0;9025;3;3;542;0 
542713;0;9025;3;3;563;0 
542848;0;9025;3;3;558;0 
543802;0;9025;2;2;549;0 
544373;0;9025;3;3;552;0 
545265;0;9025;3;3;562;0 
544825;0;9025;3;3;551;0 
543282;0;9025;3;3;561;0 
548960;0;9025;3;3;559;0 
543445;0;9025;3;3;557;0 
541648;0;9025;3;3;562;0 
543613;0;9025;3;3;562;0 
543639;0;9025;3;3;564;0 
542400;0;9025;3;3;558;0 
545939;0;9025;3;3;575;0 
544458;0;9025;3;3;565;0 
544361;0;9025;3;3;563;0 
542332;0;9025;3;3;561;0 
545949;0;9025;3;3;554;0 
543891;0;9025;3;3;559;0 
542963;0;9025;3;3;557;0 
547688;1;9025;3;3;569;0 
543151;0;9025;3;3;561;0 
546960;0;9025;3;3;574;0 
543671;0;9025;3;3;555;0 
564444;0;9025;3;3;559;0 
543171;0;9025;3;3;559;0 
545059;0;9025;3;3;555;0 
543601;0;9025;3;3;549;0 
556143;0;9025;3;3;552;0 
544311;0;9025;3;3;554;0 
541498;0;9025;3;3;554;0 
542038;0;9025;3;3;558;0 
546868;0;9025;3;3;575;0 
544863;0;9025;3;3;560;0 
541462;0;9025;3;3;562;0 
552156;0;9025;3;3;552;0 
545959;0;9025;3;3;560;0 
546109;0;9025;3;3;555;0 
545510;0;9025;3;3;558;0 
548677;0;9025;3;3;563;0 
542888;0;9025;3;3;559;0 
544871;0;9025;4;4;560;0 
543717;0;9025;3;3;552;0 
545448;0;9025;3;3;554;0 
543206;0;9025;3;3;559;0 
557708;0;9025;3;3;559;0 
541964;0;9025;3;3;557;0 
546283;0;9025;3;3;558;0 
541359;0;9025;3;3;560;0 
553368;0;9025;3;3;558;0 
542559;0;9025;3;3;557;0 
542722;0;9025;3;3;560;0 
542560;0;9025;3;3;557;0 
545903;0;9025;3;3;545;0 
541834;0;9025;3;3;554;0 
545266;0;9025;3;3;556;0 
548956;0;9025;3;3;559;0 
541421;0;9025;3;3;560;0 
542726;0;9025;3;3;556;0 
542351;0;9025;3;3;550;0 
544692;0;9025;3;3;548;0 
543862;1;9025;3;3;558;0 
543041;0;9025;3;3;561;0 
541626;0;9025;3;3;556;0 
543677;0;9025;3;3;561;0 
543409;0;9025;3;3;554;0 
543267;0;9025;3;3;559;0 
542193;0;9025;3;3;566;0 
543208;1;9025;3;3;561;0 
541387;0;9025;3;3;554;0 
554565;0;9025;3;3;554;0 
546898;0;9025;3;3;557;0 
544933;0;9025;3;3;558;0 
543146;0;9025;3;3;555;0 
545997;0;9025;3;3;561;0 
544152;0;9025;3;3;565;0 
542393;0;9025;3;3;565;0 
569150;0;9025;3;3;559;0 
542382;0;9025;3;3;559;0 
541743;0;9025;3;3;557;0 
542541;0;9025;3;3;552;0 
545972;0;9025;3;3;556;0 
545262;0;9025;3;3;556;0 
541274;0;9025;3;3;557;0 
544022;0;9025;3;3;562;0 
541828;0;9025;3;3;552;0 
543031;0;9025;3;3;552;0 
542256;0;9025;3;3;555;0 
553527;0;9025;3;3;558;0 
543406;0;9025;3;3;556;0 
543500;0;9025;3;3;557;0 
542601;0;9025;3;3;567;0 
545436;0;9025;3;3;552;0 
546521;0;9025;3;3;556;0 
545824;0;9025;3;3;557;0 
546512;0;9025;3;3;563;0 
543623;0;9025;3;3;554;0 
543291;0;9025;3;3;550;0 
560342;0;9025;3;3;558;0 
543523;0;9025;3;3;568;0 
542268;0;9025;3;3;559;0 
545121;0;9025;3;3;561;0 
559553;0;9025;3;3;560;0 
542421;0;9025;3;3;546;0 
542828;0;9025;3;3;556;0 
545941;0;9025;3;3;557;0 
544118;0;9025;3;3;558;0 
542294;0;9025;3;3;550;0 
543109;0;9025;3;3;556;0 
550961;0;9025;3;3;558;0 
541998;0;9025;3;3;564;0 
546436;0;9025;3;3;558;0 
546717;0;9025;3;3;568;0 
545023;0;9025;3;3;563;0 
544497;0;9025;3;3;565;0 
544863;0;9025;3;3;563;0 
544967;0;9025;3;3;566;0 
543648;0;9025;3;3;557;0 
545203;0;9025;3;3;559;0 
545031;1;9025;3;3;552;0 
545247;0;9025;3;3;557;0 
545751;0;9025;3;3;559;0 
544108;0;9025;3;3;567;0 
544704;0;9025;3;3;557;0 
541562;0;9025;3;3;555;0 
545610;0;9025;3;3;553;0 
544581;0;9025;3;3;557;0 
541255;0;9025;3;3;560;0 
541676;0;9025;3;3;549;0 
564989;0;9025;3;3;566;0 
544726;0;9025;3;3;558;0 
542178;0;9025;3;3;559;0 
545477;0;9025;3;3;563;0 
553852;0;9025;3;3;559;0 
544881;0;9025;3;3;555;0 
545647;0;9025;3;3;559;0 
541613;0;9025;3;3;559;0 
545043;0;9025;3;3;556;0 
546361;0;9025;3;3;550;0 
543430;0;9025;3;3;560;0 
549405;0;9025;3;3;557;0 
545930;0;9025;3;3;562;0 
543428;0;9025;3;3;553;0 
545709;0;9025;3;3;563;0 
542235;0;9025;3;3;555;0 
543912;0;9025;3;3;564;0 
546496;0;9025;3;3;555;0 
544670;0;9025;3;3;560;0 
545518;0;9025;3;3;558;0 
542595;0;9025;3;3;558;0 
557049;0;9025;3;3;544;0 
542351;1;9025;3;3;559;0 
544714;0;9025;3;3;564;0 
544462;0;9025;3;3;558;0 
554263;0;9025;3;3;557;0 
542036;0;9025;3;3;560;0 
543441;0;9025;3;3;552;0 
542550;0;9025;3;3;562;0 
546229;0;9025;3;3;559;0 
545955;0;9025;3;3;557;0 
542565;0;9025;3;3;557;0 
549938;0;9025;3;3;547;0 
541719;0;9025;3;3;559;0 
542326;0;9025;3;3;554;0 
545933;0;9025;3;3;559;0 
543271;0;9025;2;2;564;0 
544946;0;9025;3;3;557;0 
542598;0;9025;3;3;549;0 
542981;0;9025;3;3;561;0 
541478;0;9025;3;3;553;0 
542604;0;9025;3;3;549;0 
545425;0;9025;3;3;558;0 
541495;0;9025;3;3;567;0 
545588;0;9025;3;3;549;0 
543730;0;9025;3;3;555;0 
543051;0;9025;3;3;552;0 
544574;0;9025;3;3;560;0 
542545;0;9025;3;3;559;0 
542574;0;9025;3;3;559;0 
543947;0;9025;3;3;560;0 
545170;0;9025;3;3;558;0 
541743;0;9025;3;3;556;0 
562095;0;9025;3;3;558;0 
542287;0;9025;3;3;560;0 
541765;0;9025;3;3;561;0 
541789;0;9025;3;3;548;0 
548541;0;9025;3;3;560;0 
547778;0;9025;4;4;554;0 
543253;0;9025;3;3;562;0 
542826;0;9025;3;3;559;0 
546106;0;9025;3;3;554;0 
543134;1;9025;3;3;561;0 
542664;0;9025;3;3;559;0 
549709;0;9025;3;3;558;0 
542695;0;9025;3;3;556;0 
544184;0;9025;3;3;555;0 
542548;0;9025;3;3;559;0 
545101;0;9025;3;3;557;0 
544062;0;9025;3;3;561;0 
548233;0;9025;3;3;562;0 
543493;0;9025;3;3;567;0 
542448;0;9025;3;3;566;0 
542660;0;9025;3;3;561;0 
545190;0;9025;3;3;563;0 
543646;0;9025;3;3;553;0 
546118;0;9025;3;3;561;0 
545104;0;9025;3;3;565;0 
544265;0;9025;3;3;550;0 
546710;0;9025;3;3;551;0 
544520;0;9025;3;3;563;0 
541486;0;9025;3;3;559;0 
541885;0;9025;3;3;566;0 
543934;0;9025;3;3;562;0 
543907;0;9025;3;3;558;0 
545515;0;9025;3;3;563;0 
541724;1;9025;3;3;563;0 
542341;0;9025;3;3;555;0 
544479;0;9025;3;3;559;0 
543865;0;9025;3;3;554;0 
