CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
543463;0;0;1803;3607;82;0 
542768;0;0;1720;3128;60;0 
543541;0;0;2066;3785;74;0 
543309;0;0;1717;3802;68;0 
544981;0;0;1737;2955;67;0 
543993;0;0;1763;3952;56;0 
541746;0;0;1761;2416;56;0 
542028;0;0;1745;2611;64;0 
545746;0;0;1919;5730;70;0 
545171;0;0;1738;6083;70;0 
557702;0;0;1953;6113;64;0 
542739;0;0;1720;3141;60;0 
544207;0;0;1738;2766;60;0 
545480;0;0;1747;6304;66;0 
546159;0;0;1732;3029;72;0 
543411;0;0;1736;3582;65;0 
541460;0;0;1755;2481;58;0 
543993;0;0;1741;4184;64;0 
543666;0;0;1922;2291;69;0 
546174;0;0;1736;3398;65;0 
545820;0;0;1878;3045;51;0 
567868;0;0;2287;8156;311;0 
543469;0;0;1930;4167;57;0 
547514;0;0;1968;5975;234;0 
555998;0;0;2235;5239;62;0 
542446;0;0;1708;3271;60;0 
542383;0;0;1932;2806;71;0 
542296;0;0;1732;2952;58;0 
542718;0;0;1970;3679;64;0 
544124;0;0;1737;2988;61;0 
543002;0;0;2035;2289;71;0 
543664;0;0;1752;3849;61;0 
552051;0;0;1979;6022;74;0 
546243;0;0;4004;3759;64;0 
542648;0;0;1753;2843;58;0 
542142;0;0;1725;2350;70;0 
543525;0;0;1723;2715;60;0 
545384;0;0;1743;6094;56;0 
544148;0;0;1750;3917;67;0 
542653;0;0;1892;2359;69;0 
542509;0;0;1916;2406;54;0 
546062;0;0;1744;5952;55;0 
542153;0;0;1735;2880;54;0 
551656;0;0;1782;5765;55;0 
544736;0;0;2104;3122;69;0 
541400;0;0;1717;2826;69;0 
543911;0;0;2025;3991;74;0 
543895;0;0;1764;3554;59;0 
547330;0;0;1766;3058;61;0 
542355;0;0;1755;3234;77;0 
542648;0;0;1763;2324;63;0 
542349;0;0;1888;2814;78;0 
542504;0;0;1727;2878;67;0 
544843;0;0;1729;3429;73;0 
547515;0;0;1773;4441;59;0 
542326;0;0;1990;3206;72;0 
543836;0;0;1773;2932;61;0 
545735;0;0;1868;2964;66;0 
547108;0;0;1996;7009;62;0 
541657;0;0;1730;2851;55;0 
543031;0;0;2680;2689;68;0 
542384;0;0;1744;3963;56;0 
546144;0;0;1759;6347;63;0 
544133;0;0;1883;3222;65;0 
544161;0;0;2006;4015;65;0 
561654;0;0;2536;11461;55;0 
542873;0;0;1741;3293;64;0 
543346;0;0;1728;3833;65;0 
542964;0;0;1736;2615;62;0 
552419;0;0;1865;4287;73;0 
545795;0;0;1727;4760;68;0 
544396;0;0;1725;5321;68;0 
542592;0;0;1735;2057;71;0 
542814;0;0;1732;3149;59;0 
542554;0;0;1759;3187;59;0 
542181;0;0;1750;3156;60;0 
544657;0;0;1717;4750;62;0 
542822;0;0;1765;2246;56;0 
547271;0;0;1717;6333;66;0 
542134;0;0;1751;2725;56;0 
559638;0;0;2226;13689;64;0 
547372;0;0;1820;3089;70;0 
541643;0;0;1735;2363;64;0 
543049;0;0;1827;3408;74;0 
541502;0;0;1774;2759;62;0 
543078;0;0;1913;2389;72;0 
541523;0;0;1705;2874;58;0 
547247;0;0;1739;5409;61;0 
542213;0;0;1725;2822;56;0 
543622;0;0;1749;3490;74;0 
542464;0;0;1915;2568;54;0 
549689;0;0;1762;4173;75;0 
542193;0;0;1845;2908;66;0 
544233;0;0;1746;2453;63;0 
544111;0;0;1858;2776;70;0 
542659;0;0;1736;3222;63;0 
545665;0;0;1800;2599;69;0 
542795;0;0;1995;3405;61;0 
543678;0;0;1735;3234;72;0 
552139;0;0;1760;5475;62;0 
545006;0;0;1731;2762;53;0 
541916;0;0;1741;2690;65;0 
543949;0;0;1969;3448;56;0 
543450;0;0;1743;3470;58;0 
542663;0;0;1738;2835;57;0 
544490;0;0;1758;5783;61;0 
544821;0;0;1732;2167;56;0 
543125;0;0;1764;2891;62;0 
544156;0;0;1751;2291;64;0 
548061;0;0;1873;3948;61;0 
549029;0;0;1752;6565;66;0 
544939;0;0;1736;3193;67;0 
543497;0;0;1753;3576;74;0 
545124;0;0;1724;5044;57;0 
543200;0;0;1741;3389;62;0 
542003;0;0;2027;3219;64;0 
542123;0;0;1739;2259;59;0 
542929;0;0;1919;2232;91;0 
541831;0;0;1754;2034;65;0 
546537;0;0;1719;6278;63;0 
542216;0;0;1710;3210;62;0 
558818;0;0;1743;4377;137;0 
545184;0;0;1734;3460;67;0 
545924;0;0;1761;5423;68;0 
541887;0;0;1715;2476;59;0 
550741;0;0;1740;7854;57;0 
544846;0;0;3174;2926;63;0 
544492;0;0;1736;2881;71;0 
547734;0;0;4500;2384;81;0 
541720;0;0;1718;2015;58;0 
547233;0;0;1848;5587;69;0 
544234;0;0;2013;3516;63;0 
554448;0;0;2282;6430;70;0 
544522;0;0;2043;3455;60;0 
544873;0;0;1845;3707;77;0 
544529;0;0;1720;2542;69;0 
