CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
543957;187820;48581;2;12328;564;0 
542803;187826;48581;5;11449;361;0 
546189;187821;48585;3;11943;225;0 
546315;187820;48580;5;11655;586;0 
542972;187825;48585;5;11986;229;0 
541199;187824;48585;2;11248;145;0 
546155;187829;48579;5;15129;252;0 
545532;187829;48581;5;11309;267;0 
545193;187826;48581;5;14234;234;0 
543315;187826;48584;4;12961;314;0 
545873;187829;48581;5;14147;392;0 
545917;187821;48588;3;11141;2799;0 
540851;187824;48587;2;10406;220;0 
543079;187828;48584;4;11725;223;0 
544649;187817;48581;1;11216;291;0 
545812;187823;48582;7;12906;759;0 
542285;187823;48584;5;11537;147;0 
543673;187827;48586;1;12697;397;0 
540041;187819;48588;4;10017;207;0 
541778;187818;48584;1;11191;107;0 
542809;187823;48583;2;11677;306;0 
541663;187817;48589;5;10774;509;0 
541532;187822;48585;3;10208;135;0 
547857;187812;48580;4;13011;357;0 
540659;187826;48588;1;10371;105;0 
540253;187822;48580;3;10030;59;0 
541768;187828;48585;5;11436;197;0 
541864;187821;48584;4;11681;96;0 
540581;187826;48582;5;10274;271;0 
542722;187824;48585;1;11856;857;0 
545614;187825;48582;1;11527;262;0 
543387;187819;48587;2;12745;334;0 
545440;187826;48580;3;14211;147;0 
545806;187824;48581;6;11681;2018;0 
541729;187824;48581;2;10725;189;0 
540743;187824;48583;2;10531;119;0 
543497;187823;48580;5;11635;399;0 
545692;187816;48585;4;13509;665;0 
544699;187814;48584;5;11397;377;0 
546366;187827;48579;5;11376;519;0 
543948;187820;48581;3;11183;360;0 
544181;187823;48583;5;11518;227;0 
541923;187825;48582;2;11578;468;0 
542595;187825;48584;5;11487;338;0 
543564;187831;48583;6;12278;419;0 
545348;187823;48579;4;12000;33;0 
543487;187822;48584;1;12386;237;0 
543265;187830;48581;3;12475;183;0 
543672;187819;48586;2;12426;160;0 
543611;187824;48581;5;11814;592;0 
543837;187824;48585;5;12988;271;0 
542310;187826;48578;3;11182;565;0 
545303;187828;48586;5;13769;396;0 
545640;187822;48582;3;12197;506;0 
545128;187826;48587;4;14952;61;0 
544264;187831;48584;7;10736;167;0 
545492;187823;48585;2;11575;46;0 
542714;187822;48584;3;11784;244;0 
541518;187826;48580;4;10581;303;0 
544180;187824;48585;5;12462;310;0 
542848;187822;48583;5;11432;478;0 
543822;187828;48582;2;11749;674;0 
542654;187826;48588;6;11600;500;0 
545619;187825;48583;7;13513;707;0 
543902;187828;48588;2;12521;558;0 
546987;187829;48580;5;14414;381;0 
543869;187824;48579;6;11468;653;0 
541708;187814;48583;5;11266;285;0 
545766;187820;48582;5;11920;2564;0 
545990;187820;48585;4;12671;271;0 
545064;187822;48586;4;10989;288;0 
546210;187825;48581;4;10886;664;0 
544473;187824;48580;6;12488;268;0 
548619;187822;48581;5;10862;6242;0 
544031;187824;48581;3;10931;672;0 
542283;187828;48582;6;11505;333;0 
544134;187826;48586;5;12376;250;0 
548191;187828;48588;1;12506;733;0 
545554;187828;48582;4;14121;192;0 
545048;187830;48582;4;10961;393;0 
544220;187815;48581;4;11563;631;0 
559397;187826;48583;5;14569;2364;0 
545166;187825;48580;5;13813;204;0 
542743;187823;48583;3;10787;803;0 
543517;187827;48581;2;11962;228;0 
554138;187826;48579;6;16472;4443;0 
547009;187824;48582;5;11913;773;0 
541937;187828;48583;2;11504;148;0 
542831;187825;48576;5;11644;283;0 
541430;187829;48582;4;10930;211;0 
542416;187827;48581;5;11098;246;0 
542516;187823;48585;2;11146;120;0 
541934;187821;48583;1;11001;74;0 
542267;187826;48585;4;10966;659;0 
542923;187824;48585;6;10578;295;0 
546557;187823;48585;4;15031;124;0 
542184;187813;48583;2;10916;310;0 
550235;187823;48581;5;10983;6539;0 
542811;187831;48582;5;11302;826;0 
545640;187824;48583;2;14050;739;0 
544949;187823;48582;5;11509;471;0 
