CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
542051;122386;17384;411196;0;4;0 
546015;122386;17383;411187;0;1;0 
543377;122386;17383;411189;0;3;0 
546828;122386;17383;411186;0;1;0 
544765;122386;17383;411185;0;1;0 
545917;122386;17383;411187;0;1;0 
542781;122386;17383;411186;0;1;0 
552187;122386;17383;411187;0;1;0 
543067;122387;17384;411189;0;3;0 
547122;122386;17383;411185;0;1;0 
542791;122387;17383;411189;0;3;0 
545161;122386;17383;411190;0;3;0 
543286;122386;17383;411185;0;1;0 
544582;122386;17383;411188;0;3;0 
544890;122386;17383;411187;0;1;0 
546172;122386;17384;411193;0;4;0 
542445;122386;17383;411183;0;1;0 
545096;122386;17383;411187;0;4;0 
542489;122386;17383;411186;0;1;0 
541620;122386;17383;411185;0;1;0 
543600;122386;17383;411187;0;1;0 
543498;122386;17383;411185;0;1;0 
543787;122386;17383;411187;0;2;0 
545224;122386;17383;411182;0;1;0 
543672;122386;17383;411186;0;1;0 
542821;122386;17383;411185;0;1;0 
558070;122387;17383;411191;0;3;0 
543018;122386;17383;411186;0;1;0 
545401;122386;17383;411188;0;1;0 
541810;122386;17383;411186;0;1;0 
563355;122386;17383;411184;0;1;0 
544818;122386;17383;411188;0;1;0 
546795;122386;17384;411191;0;5;0 
550147;122386;17383;411187;0;1;0 
542346;122386;17383;411184;0;1;0 
545510;122387;17383;411185;0;2;0 
544649;122386;17383;411185;0;1;0 
546684;122387;17383;411192;0;3;0 
544074;122386;17383;411185;0;1;0 
542796;122386;17383;411185;0;1;0 
543523;122386;17383;411183;0;1;0 
555027;122386;17383;411191;0;3;0 
544799;122386;17383;411186;0;1;0 
545358;122386;17383;411190;0;2;0 
542182;122386;17383;411186;0;1;0 
567355;122386;17383;411186;0;1;0 
542584;122386;17383;411185;0;1;0 
542577;122386;17383;411192;0;4;0 
546173;122386;17383;411188;0;1;0 
545366;122386;17383;411185;0;1;0 
542527;122386;17383;411185;0;1;0 
546044;122386;17383;411185;0;1;0 
544635;122386;17383;411189;0;3;0 
555163;122386;17383;411187;0;1;0 
545074;122386;17383;411186;0;2;0 
541152;122386;17383;411185;0;1;0 
543051;122386;17383;411184;0;2;0 
542902;122386;17383;411186;0;1;0 
545090;122386;17383;411185;0;1;0 
541463;122386;17383;411187;0;1;0 
545697;122386;17383;411186;0;1;0 
552083;122386;17383;411184;0;1;0 
545158;122387;17384;411188;0;3;0 
544728;122386;17383;411187;0;1;0 
546132;122387;17384;411191;0;4;0 
554190;122386;17383;411190;0;3;0 
542123;122386;17383;411183;0;1;0 
543685;122386;17383;411189;0;3;0 
542183;122386;17383;411185;0;1;0 
557135;122386;17383;411190;0;3;0 
545285;122386;17383;411185;0;1;0 
544110;122386;17383;411188;0;1;0 
545503;122386;17383;411186;0;1;0 
555130;122386;17383;411191;0;3;0 
544381;122386;17383;411185;0;1;0 
543158;122386;17383;411188;0;2;0 
545073;122386;17383;411188;0;1;0 
573823;122386;17383;411186;0;1;0 
545473;122386;17383;411186;0;1;0 
542014;122386;17383;411186;0;1;0 
541954;122386;17383;411188;0;1;0 
546629;122386;17383;411185;0;1;0 
544367;122386;17383;411191;0;3;0 
542506;122386;17383;411187;0;1;0 
543873;122386;17383;411188;0;3;0 
550645;122386;17383;411185;0;1;0 
541201;122386;17383;411188;0;3;0 
542582;122386;17383;411186;0;1;0 
544606;122387;17383;411190;0;3;0 
543975;122386;17383;411188;0;2;0 
544255;122386;17383;411187;0;1;0 
543107;122386;17383;411190;0;2;0 
542986;122386;17383;411185;0;1;0 
552166;122386;17383;411187;0;1;0 
543726;122386;17383;411187;0;1;0 
542841;122386;17383;411185;0;1;0 
543612;122386;17383;411185;0;1;0 
542732;122386;17383;411186;0;1;0 
543437;122386;17383;411185;0;1;0 
542647;122386;17383;411187;0;1;0 
544462;122387;17383;411193;0;3;0 
541677;122386;17383;411186;0;1;0 
543045;122386;17383;411190;0;3;0 
545136;122386;17383;411187;0;1;0 
548423;122386;17383;411186;0;2;0 
545674;122386;17383;411188;0;2;0 
542234;122386;17383;411187;0;1;0 
544663;122386;17383;411188;0;3;0 
544377;122386;17383;411185;0;1;0 
545433;122386;17383;411183;0;1;0 
545727;122386;17383;411187;0;1;0 
544622;122386;17383;411184;0;1;0 
557236;122386;17383;411186;0;1;0 
542566;122386;17383;411188;0;2;0 
544722;122386;17383;411186;0;1;0 
542434;122386;17383;411187;0;2;0 
567074;122388;17383;411190;0;3;0 
546718;122386;17383;411188;0;3;0 
543289;122386;17383;411184;0;1;0 
542233;122386;17383;411188;0;3;0 
546007;122387;17383;411192;0;4;0 
541949;122386;17383;411187;0;1;0 
543240;122387;17383;411189;0;4;0 
542145;122386;17383;411187;0;1;0 
553477;122386;17383;411188;0;2;0 
541255;122386;17383;411186;0;1;0 
545032;122386;17383;411186;0;3;0 
542140;122386;17383;411184;0;1;0 
542276;122386;17383;411186;0;1;0 
545948;122386;17383;411188;0;1;0 
543603;122386;17383;411189;0;1;0 
543588;122386;17383;411184;0;1;0 
548691;122386;17383;411186;0;1;0 
542803;122386;17383;411186;0;2;0 
548089;122386;17383;411188;0;2;0 
541418;122386;17383;411187;0;1;0 
542713;122386;17383;411187;0;1;0 
542839;122387;17384;411191;0;3;0 
547500;122386;17383;411186;0;1;0 
545909;122386;17383;411189;0;1;0 
540903;122386;17383;411188;0;1;0 
545957;122386;17383;411186;0;1;0 
543451;122386;17383;411186;0;1;0 
548337;122386;17383;411185;0;1;0 
542774;122386;17383;411189;0;3;0 
545254;122386;17383;411187;0;1;0 
543390;122387;17383;411190;0;3;0 
548224;122386;17383;411186;0;1;0 
543973;122386;17384;411191;0;3;0 
546400;122386;17383;411184;0;1;0 
545384;122386;17384;411189;0;4;0 
553642;122386;17383;411186;0;1;0 
541555;122386;17383;411185;0;1;0 
544617;122386;17383;411191;0;3;0 
543523;122386;17383;411183;0;1;0 
555031;122388;17383;411191;0;3;0 
545592;122386;17383;411186;0;1;0 
543144;122386;17383;411185;0;1;0 
545360;122386;17383;411187;0;1;0 
559487;122387;17383;411189;0;3;0 
544500;122386;17383;411187;0;1;0 
544977;122386;17383;411190;0;3;0 
542625;122386;17383;411185;0;1;0 
561796;122386;17383;411185;0;1;0 
543348;122386;17383;411186;0;1;0 
542198;122388;17383;411195;0;4;0 
543094;122386;17383;411188;0;1;0 
547242;122386;17383;411188;0;1;0 
544733;122386;17383;411185;0;1;0 
542177;122386;17383;411189;0;1;0 
545003;122386;17383;411189;0;2;0 
560465;122386;17383;411188;0;2;0 
543624;122386;17383;411186;0;2;0 
544836;122386;17383;411188;0;1;0 
544744;122386;17383;411186;0;1;0 
543662;122386;17383;411185;0;1;0 
