CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x10
542270;8985;9467;0;0;574;574 
545260;8982;9467;0;0;564;564 
545546;8983;9467;0;0;564;564 
541840;8982;9467;0;0;571;571 
543232;8982;9467;0;0;575;575 
544219;8982;9467;0;0;563;563 
545415;8982;9467;0;0;570;570 
554994;8982;9467;0;0;562;562 
542541;8984;9467;0;0;574;574 
543352;8982;9467;0;0;567;567 
543008;8984;9467;0;0;570;570 
554568;8982;9467;0;0;568;568 
544706;8982;9467;0;0;572;572 
544395;8982;9467;0;0;565;565 
561195;8982;9467;0;0;565;565 
541981;8982;9467;0;0;564;564 
544213;8985;9467;0;0;572;572 
556647;8982;9467;0;0;572;572 
541372;8982;9467;0;0;561;561 
542532;8982;9467;0;0;579;579 
543621;8982;9467;0;0;571;571 
546500;8982;9467;0;0;573;573 
544942;8983;9467;0;0;561;561 
542815;8982;9467;0;0;562;562 
543403;8982;9467;0;0;572;572 
541479;8982;9467;0;0;565;565 
542500;8982;9467;0;0;575;575 
546881;8984;9467;0;0;578;578 
541332;8982;9467;0;0;571;571 
546001;8983;9467;0;0;573;573 
545152;8982;9467;0;0;575;575 
542596;8982;9467;0;0;575;575 
543654;8982;9467;0;0;570;570 
542926;8982;9467;0;0;572;572 
556479;8982;9467;0;0;564;564 
545416;8982;9467;0;0;586;586 
547584;8984;9467;0;0;568;568 
543015;8982;9467;0;0;570;570 
543209;8984;9467;0;0;572;572 
556828;8982;9467;0;0;572;572 
542741;8984;9467;0;0;575;575 
545088;8982;9467;0;0;567;567 
545837;8984;9467;0;0;563;563 
544590;8984;9467;0;0;563;563 
542346;8982;9467;0;0;569;569 
542346;8982;9467;0;0;563;563 
542874;8982;9467;0;0;567;567 
543990;8984;9467;0;0;569;569 
545502;8982;9467;0;0;569;569 
542323;8982;9467;0;0;572;572 
542509;8982;9467;0;0;569;569 
558215;8984;9467;0;0;565;565 
545503;8982;9467;0;0;570;570 
542291;8982;9467;0;0;568;568 
545633;8982;9467;0;0;575;575 
541364;8982;9467;0;0;566;566 
542481;8982;9467;0;0;576;576 
545078;8984;9467;0;0;571;571 
543195;8982;9467;0;0;571;571 
545666;8984;9467;0;0;576;576 
544660;8983;9467;0;0;574;574 
543519;8982;9467;0;0;565;565 
546130;8984;9467;0;0;567;567 
546351;8982;9467;0;0;573;573 
567098;8982;9467;0;0;567;567 
542335;8982;9467;0;0;561;561 
541781;8982;9467;0;0;564;564 
542190;8982;9467;0;0;567;567 
544181;8982;9467;0;0;570;570 
543959;8982;9467;0;0;566;566 
544589;8982;9467;0;0;558;558 
541675;8983;9467;0;0;568;568 
542595;8982;9467;0;0;564;564 
543070;8982;9467;0;0;570;570 
544426;8982;9467;0;0;568;568 
542567;8982;9467;0;0;566;566 
556109;8982;9467;0;0;570;570 
541384;8983;9467;0;0;565;565 
543971;8982;9467;0;0;563;563 
546059;8982;9467;0;0;581;581 
543766;8982;9467;0;0;571;571 
552457;8984;9467;0;0;570;570 
543732;8982;9467;0;0;568;568 
544897;8984;9467;0;0;568;568 
541802;8982;9467;0;0;570;570 
542384;8982;9467;0;0;560;560 
544441;8984;9467;0;0;568;568 
545309;8982;9467;0;0;568;568 
544742;8984;9467;0;0;573;573 
557160;8982;9467;0;0;567;567 
544704;8984;9467;0;0;575;575 
543114;8982;9467;0;0;570;570 
546915;8983;9467;0;0;568;568 
555058;8982;9467;0;0;566;566 
545309;8982;9467;0;0;567;567 
541434;8982;9467;0;0;563;563 
543296;8982;9467;0;0;562;562 
543875;8984;9467;0;0;562;562 
541536;8982;9467;0;0;563;563 
545865;8982;9467;0;0;564;564 
545564;8982;9467;0;0;566;566 
542641;8982;9467;0;0;566;566 
542246;8982;9467;0;0;572;572 
541782;8982;9467;0;0;575;575 
544972;8982;9467;0;0;569;569 
545667;8982;9467;0;0;568;568 
542649;8982;9467;0;0;566;566 
545532;8982;9467;0;0;574;574 
545328;8982;9467;0;0;562;562 
547916;8983;9467;0;0;570;570 
544938;8985;9467;0;0;579;579 
542673;8982;9467;0;0;570;570 
544203;8986;9468;0;0;576;576 
543813;8982;9467;0;0;574;574 
546752;8983;9467;0;0;573;573 
542845;8982;9467;0;0;562;562 
543363;8984;9467;0;0;577;577 
545821;8982;9467;0;0;568;568 
