CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
2516645;5634;4;0;352;0;16 
2515364;5634;4;0;318;0;3 
2517172;5634;4;0;335;0;0 
2516708;5634;5;0;390;0;0 
2516938;5634;4;0;337;0;24 
2515338;5634;6;0;480;0;10 
2513949;5634;4;0;339;0;4 
2513685;5634;4;0;374;0;6 
2516403;5634;6;0;387;0;3 
2515467;5634;5;0;366;0;2 
2516667;5634;6;0;445;0;3 
2513092;5634;5;0;314;0;6 
2514362;5634;4;0;333;0;3 
2513667;5634;4;0;346;0;13 
2515684;5634;4;0;344;0;3 
2516406;5634;5;0;429;0;3 
2513802;5634;5;0;344;0;9 
2513590;5634;4;0;311;0;12 
2514007;5634;4;0;367;0;6 
2515517;5634;4;0;326;0;3 
2518096;5634;5;0;465;0;6 
2513634;5634;4;0;363;0;9 
2513454;5634;4;0;320;0;9 
2513347;5634;4;0;349;0;10 
2514312;5634;5;0;365;0;6 
2516362;5634;6;0;513;0;0 
2516186;5634;5;0;345;0;3 
2514078;5634;5;0;380;0;11 
2512809;5634;5;0;355;0;6 
2517168;5634;5;0;362;0;6 
2516295;5634;6;0;446;0;12 
2515158;5634;4;0;339;0;11 
2515964;5634;5;0;353;0;0 
2515699;5634;4;0;335;0;9 
2515063;5634;4;0;347;0;20 
2515180;5634;5;0;439;0;3 
2515809;5634;4;0;348;0;3 
2514796;5634;5;0;440;0;3 
2514495;5634;4;0;353;0;6 
2515299;5634;4;0;309;0;8 
2516413;5634;5;0;381;0;6 
2512405;5634;4;0;287;0;0 
2517219;5634;5;0;481;0;11 
2515476;5634;4;0;322;0;8 
2515245;5634;4;0;319;0;11 
2513050;5634;4;0;329;0;9 
2516358;5634;5;0;385;0;0 
2519673;5634;7;0;505;0;6 
2519325;5634;5;0;955;0;7 
2516272;5634;5;0;387;0;10 
2513887;5634;5;0;393;0;9 
2515252;5634;6;0;375;0;10 
2515257;5634;6;0;479;0;16 
2514723;5634;4;0;311;0;3 
2512747;5634;4;0;321;0;0 
2513422;5634;4;0;358;0;3 
2515984;5634;4;0;341;0;0 
2518397;5634;5;0;458;0;9 
2517155;5634;4;0;307;0;6 
2516217;5634;5;0;347;0;12 
2515343;5634;4;0;299;0;3 
2515207;5634;4;0;340;0;12 
2513928;5634;5;0;388;0;3 
2515338;5634;4;0;332;0;10 
2515297;5634;4;0;327;0;9 
