CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
2513386;159291;0;0;0;0;0 
2511826;157014;0;0;0;0;0 
2514600;159599;0;0;0;0;0 
2512572;159564;0;0;0;0;0 
2515532;151255;0;0;0;0;0 
2513409;150886;0;0;0;0;0 
2516350;151374;0;0;0;0;0 
2513955;159648;0;0;0;0;0 
2515561;159561;0;0;0;0;0 
2520087;166794;0;0;0;0;0 
2514249;159123;0;0;0;0;0 
2513975;151327;0;0;0;0;0 
2513580;158826;0;0;0;6;0 
2514948;159623;0;0;0;0;0 
2512251;159539;0;0;0;0;0 
2516221;151202;0;0;0;1;0 
2516336;159518;0;0;0;0;0 
2515638;151330;0;0;0;0;0 
2515764;159449;0;0;0;0;0 
2515251;158853;0;0;0;0;0 
2516821;151246;0;0;0;3;0 
2515232;151157;0;0;0;0;0 
2515112;159569;0;0;0;0;0 
2516256;159405;0;0;0;0;0 
2513191;159052;0;0;0;0;0 
2516900;150737;0;0;0;0;0 
2516017;159124;0;0;0;0;0 
2513947;166485;0;0;0;0;0 
2514311;159583;0;0;0;0;0 
2512314;151284;0;0;0;0;0 
2518103;150876;0;0;0;0;0 
2515736;151122;0;0;0;0;0 
2512832;159672;0;0;0;0;0 
2514383;151076;0;0;0;0;0 
2513764;158743;0;0;0;0;0 
2517943;162127;0;0;0;0;0 
2513074;151002;0;0;0;0;0 
2516600;148759;0;0;0;0;0 
2516015;159529;0;0;0;0;0 
2515593;151275;0;0;0;0;0 
2516279;151066;0;0;0;0;0 
2515401;159463;0;0;0;0;0 
2514902;159556;0;0;0;0;0 
2515712;148769;0;0;0;0;0 
2512283;159691;0;0;0;0;0 
2515654;159391;0;0;0;0;0 
2515515;159299;0;0;0;0;0 
2513532;158828;0;0;0;0;0 
2514657;159384;0;0;0;0;0 
2515475;159200;0;0;0;0;0 
2517113;158632;0;0;0;0;0 
2512811;158961;0;0;0;0;0 
2517561;159372;0;0;0;0;0 
2513847;151382;0;0;0;0;0 
2515286;167035;0;0;0;0;0 
2512513;158915;0;0;0;0;0 
2514834;159552;0;0;0;0;0 
2516721;159260;0;0;0;0;0 
2515816;158787;0;0;0;0;0 
2514993;159608;0;0;0;0;0 
2513608;158707;0;0;0;0;0 
2513461;158839;0;0;0;0;0 
2520566;158963;0;0;0;0;0 
2514276;150387;0;0;0;0;0 
2516612;159502;0;0;0;0;0 
2515178;159086;0;0;0;0;0 
2514772;159526;0;0;0;0;0 
2517354;158765;0;0;0;0;0 
2512612;151162;0;0;0;0;0 
2515029;159576;0;0;0;0;0 
2514725;159648;0;0;0;0;0 
2518803;149603;0;0;0;0;0 
2516006;151117;0;0;0;0;0 
2515682;159543;0;0;0;0;0 
2512141;158909;0;0;0;0;0 
2515110;167097;0;0;0;0;0 
2513849;166227;0;0;0;0;0 
2515911;159070;0;0;0;0;0 
2513829;151215;0;0;0;0;0 
2515568;159372;0;0;0;0;0 
2517187;159500;0;0;0;0;0 
2514468;149037;0;0;0;0;0 
2515451;159400;0;0;0;0;0 
2513495;158809;0;0;0;0;0 
2514590;150979;0;0;0;0;0 
2512824;159618;0;0;0;0;0 
2515418;151406;0;0;0;0;0 
2512455;151372;0;0;0;0;0 
2514678;167284;0;0;0;0;0 
2516732;152744;0;0;0;0;0 
2513533;151494;0;0;0;0;0 
2513970;151299;0;0;0;0;0 
2515786;150946;0;0;0;0;0 
